time,.x,.y,.z
1970/01/01/07:21:39.235000,0.0,0.0,0.0
1970/01/01/07:21:39.285000,0.0,0.0,0.0
1970/01/01/07:21:39.335000,0.0,0.0,0.0
1970/01/01/07:21:39.385000,0.0,0.0,0.0
1970/01/01/07:21:39.435000,0.0,0.0,0.0
1970/01/01/07:21:39.485000,0.0,0.0,0.0
1970/01/01/07:21:39.536000,0.0,0.0,0.0
1970/01/01/07:21:39.585000,0.0,0.0,0.0
1970/01/01/07:21:39.635000,0.0,0.0,0.0
1970/01/01/07:21:39.685000,0.0,0.0,0.0
1970/01/01/07:21:39.735000,0.0,0.0,0.0
1970/01/01/07:21:39.785000,0.0,0.0,0.0
1970/01/01/07:21:39.836000,0.0,0.0,0.0
1970/01/01/07:21:39.885000,0.0,0.0,0.0
1970/01/01/07:21:39.936000,0.0,0.0,0.0
1970/01/01/07:21:39.985000,0.0,0.0,0.0
1970/01/01/07:21:40.035000,0.0,0.0,0.0
1970/01/01/07:21:40.086000,0.0,0.0,0.0
1970/01/01/07:21:40.136000,0.0,0.0,0.0
1970/01/01/07:21:40.185000,0.0,0.0,0.0
1970/01/01/07:21:40.235000,0.0,0.0,0.0
1970/01/01/07:21:40.285000,0.0,0.0,0.0
1970/01/01/07:21:40.336000,0.0,0.0,0.0
1970/01/01/07:21:40.385000,0.0,0.0,0.0
1970/01/01/07:21:40.436000,0.0,0.0,0.0
1970/01/01/07:21:40.485000,0.0,0.0,0.0
1970/01/01/07:21:40.535000,0.0,0.0,0.0
1970/01/01/07:21:40.585000,0.0,0.0,0.0
1970/01/01/07:21:40.636000,0.0,0.0,0.0
1970/01/01/07:21:40.685000,0.0,0.0,0.0
1970/01/01/07:21:40.735000,0.0,0.0,0.0
1970/01/01/07:21:40.785000,0.0,0.0,0.0
1970/01/01/07:21:40.835000,0.0,0.0,0.0
1970/01/01/07:21:40.885000,0.0,0.0,0.0
1970/01/01/07:21:40.935000,0.0,0.0,0.0
1970/01/01/07:21:40.985000,0.0,0.0,0.0
1970/01/01/07:21:41.035000,0.0,0.0,0.0
1970/01/01/07:21:41.085000,0.0,0.0,0.0
1970/01/01/07:21:41.135000,0.0,0.0,0.0
1970/01/01/07:21:41.185000,0.0,0.0,0.0
1970/01/01/07:21:41.235000,0.0,0.0,0.0
1970/01/01/07:21:41.285000,0.0,0.0,0.0
1970/01/01/07:21:41.335000,0.0,0.0,0.0
1970/01/01/07:21:41.385000,0.0,0.0,0.0
1970/01/01/07:21:41.435000,0.0,0.0,0.0
1970/01/01/07:21:41.485000,0.0,0.0,0.0
1970/01/01/07:21:41.535000,0.0,0.0,0.0
1970/01/01/07:21:41.585000,0.0,0.0,0.0
1970/01/01/07:21:41.636000,0.0,0.0,0.0
1970/01/01/07:21:41.685000,0.0,0.0,0.0
1970/01/01/07:21:41.735000,0.0,0.0,0.0
1970/01/01/07:21:41.786000,0.0,0.0,0.0
1970/01/01/07:21:41.835000,0.0,0.0,0.0
