time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/07:20:05.500000,-0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.500000,-0.25,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.550000,-0.25,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.600000,-0.25,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.651000,-0.25,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.701000,-0.248625010252,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.751000,-0.24552500248,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.800000,-0.242449998856,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.851000,-0.239349991083,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.900000,-0.236250013113,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.951000,-0.233175009489,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.001000,-0.230125010014,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.050000,-0.227124989033,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.101000,-0.224175006151,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.150000,-0.221224993467,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.201000,-0.218349993229,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.250000,-0.21547499299,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.300000,-0.212650001049,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.349000,-0.209874987602,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.401000,-0.207125008106,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.450000,-0.204400002956,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.500000,-0.201700001955,0.0,0.0,0.0,0.0,0.0
