time,.x,.y,.theta
1970/01/01/07:20:19.306000,-2.00000126803,3.99999853245,8.49846080472e-08
1970/01/01/07:20:19.356000,-2.00000126792,3.99999853174,8.50686159504e-08
1970/01/01/07:20:19.406000,-2.00000126782,3.99999853102,8.51526251075e-08
1970/01/01/07:20:19.456000,-2.00000126771,3.99999853031,8.52366350552e-08
1970/01/01/07:20:19.506000,-2.0000012676,3.9999985296,8.53206431544e-08
1970/01/01/07:20:19.556000,-2.00000126749,3.99999852889,8.54046522208e-08
1970/01/01/07:20:19.606000,-2.00000126739,3.99999852818,8.54886616317e-08
1970/01/01/07:20:19.656000,-2.00000126728,3.99999852747,8.5572671063e-08
1970/01/01/07:20:19.706000,-2.00000126717,3.99999852676,8.56566827146e-08
1970/01/01/07:20:19.756000,-2.00000126706,3.99999852605,8.57406943589e-08
1970/01/01/07:20:19.806000,-2.00000126696,3.99999852534,8.58247073926e-08
1970/01/01/07:20:19.856000,-2.00000126685,3.99999852463,8.59087212744e-08
1970/01/01/07:20:19.906000,-2.00000126674,3.99999852392,8.59927373758e-08
1970/01/01/07:20:19.956000,-2.00000126663,3.99999852321,8.60767527288e-08
1970/01/01/07:20:20.007000,-2.00000126653,3.9999985225,8.6160767741e-08
1970/01/01/07:20:20.056000,-2.00000126642,3.99999852179,8.62447836247e-08
1970/01/01/07:20:20.106000,-2.00000126631,3.99999852108,8.6328800954e-08
1970/01/01/07:20:20.156000,-2.0000012662,3.99999852037,8.64128177149e-08
1970/01/01/07:20:20.206000,-2.0000012661,3.99999851966,8.64968346501e-08
1970/01/01/07:20:20.257000,-2.00000126599,3.99999851895,8.65808515022e-08
1970/01/01/07:20:20.306000,-2.00000126588,3.99999851824,8.66648679168e-08
1970/01/01/07:20:20.356000,-2.00000126577,3.99999851753,8.67488843455e-08
1970/01/01/07:20:20.406000,-2.00000126567,3.99999851682,8.68329013683e-08
1970/01/01/07:20:20.456000,-2.00000126556,3.99999851611,8.6916920186e-08
