time,.x,.y,.theta
1970/01/01/07:19:53.537000,0.0,0.0,0.0
1970/01/01/07:19:53.587000,0.0,0.0,0.0
1970/01/01/07:19:53.637000,0.0,0.0,0.0
1970/01/01/07:19:53.688000,0.0,0.0,0.0
1970/01/01/07:19:53.737000,0.0,0.0,0.0
1970/01/01/07:19:53.788000,0.0,0.0,0.0
1970/01/01/07:19:53.837000,0.0,0.0,0.0
1970/01/01/07:19:53.888000,0.0,0.0,0.0
1970/01/01/07:19:53.937000,0.0,0.0,0.0
1970/01/01/07:19:53.987000,0.0,0.0,0.0
1970/01/01/07:19:54.037000,0.0,0.0,0.0
1970/01/01/07:19:54.088000,0.0,0.0,0.0
1970/01/01/07:19:54.137000,0.0,0.0,0.0
1970/01/01/07:19:54.187000,0.0,0.0,0.0
1970/01/01/07:19:54.237000,0.0,0.0,0.0
1970/01/01/07:19:54.287000,0.0,0.0,0.0
1970/01/01/07:19:54.337000,0.0,0.0,0.0
1970/01/01/07:19:54.387000,0.0,0.0,0.0
1970/01/01/07:19:54.438000,0.0,0.0,0.0
1970/01/01/07:19:54.487000,0.0,0.0,0.0
1970/01/01/07:19:54.537000,0.0,0.0,0.0
1970/01/01/07:19:54.588000,0.0,0.0,0.0
1970/01/01/07:19:54.637000,0.0,0.0,0.0
1970/01/01/07:19:54.687000,0.0,0.0,0.0
1970/01/01/07:19:54.738000,0.0,0.0,0.0
1970/01/01/07:19:54.787000,0.0,0.0,0.0
1970/01/01/07:19:54.837000,0.0,0.0,0.0
1970/01/01/07:19:54.887000,0.0,0.0,0.0
1970/01/01/07:19:54.937000,0.0,0.0,0.0
1970/01/01/07:19:54.988000,0.0,0.0,0.0
1970/01/01/07:19:55.038000,0.0,0.0,0.0
1970/01/01/07:19:55.087000,0.0,0.0,0.0
1970/01/01/07:19:55.137000,0.0,0.0,0.0
1970/01/01/07:19:55.187000,0.0,0.0,0.0
1970/01/01/07:19:55.238000,0.0,0.0,0.0
1970/01/01/07:19:55.287000,0.0,0.0,0.0
1970/01/01/07:19:55.338000,0.0,0.0,0.0
1970/01/01/07:19:55.387000,0.0,0.0,0.0
1970/01/01/07:19:55.437000,0.0,0.0,0.0
1970/01/01/07:19:55.537000,0.0,0.0,0.0
1970/01/01/07:19:55.588000,0.0,0.0,0.0
1970/01/01/07:19:55.637000,0.0,0.0,0.0
1970/01/01/07:19:55.687000,0.0,0.0,0.0
1970/01/01/07:19:55.737000,0.0,0.0,0.0
1970/01/01/07:19:55.788000,0.0,0.0,0.0
1970/01/01/07:19:55.837000,0.0,0.0,0.0
1970/01/01/07:19:55.887000,0.0,0.0,0.0
1970/01/01/07:19:55.937000,0.0,0.0,0.0
1970/01/01/07:19:55.988000,0.0,0.0,0.0
1970/01/01/07:19:56.037000,0.0,0.0,0.0
1970/01/01/07:19:56.088000,0.0,0.0,0.0
1970/01/01/07:19:56.137000,0.0,0.0,0.0
1970/01/01/07:19:56.187000,0.0,0.0,0.0
1970/01/01/07:19:56.237000,0.0,0.0,0.0
1970/01/01/07:19:56.287000,0.0,0.0,0.0
1970/01/01/07:19:56.337000,0.0,0.0,0.0
1970/01/01/07:19:56.387000,0.0,0.0,0.0
1970/01/01/07:19:56.438000,0.0,0.0,0.0
1970/01/01/07:19:56.487000,0.0,0.0,0.0
1970/01/01/07:19:56.538000,0.0,0.0,0.0
1970/01/01/07:19:56.587000,0.0,0.0,0.0
1970/01/01/07:19:56.637000,0.0,0.0,0.0
1970/01/01/07:19:56.685000,0.0,0.0,0.0
1970/01/01/07:19:56.738000,0.0,0.0,0.0
1970/01/01/07:19:56.787000,0.0,0.0,0.0
1970/01/01/07:19:56.837000,0.0,0.0,0.0
1970/01/01/07:19:56.887000,0.0,0.0,0.0
1970/01/01/07:19:56.937000,0.0,0.0,0.0
1970/01/01/07:19:56.987000,0.0,0.0,0.0
1970/01/01/07:19:57.037000,0.0,0.0,0.0
1970/01/01/07:19:57.087000,0.0,0.0,0.0
1970/01/01/07:19:57.138000,0.0,0.0,0.0
1970/01/01/07:19:57.188000,0.0,0.0,0.0
1970/01/01/07:19:57.237000,0.0,0.0,0.0
1970/01/01/07:19:57.287000,0.0,0.0,0.0
1970/01/01/07:19:57.337000,0.0,0.0,0.0
1970/01/01/07:19:57.387000,0.0,0.0,0.0
1970/01/01/07:19:57.438000,0.0,0.0,0.0
1970/01/01/07:19:57.487000,0.0,0.0,0.0
1970/01/01/07:19:57.537000,0.0,0.0,0.0
1970/01/01/07:19:57.587000,0.0,0.0,0.0
1970/01/01/07:19:57.637000,0.0,0.0,0.0
1970/01/01/07:19:57.687000,0.0,0.0,0.0
1970/01/01/07:19:57.738000,0.0,0.0,0.0
1970/01/01/07:19:57.786000,0.0,0.0,0.0
1970/01/01/07:19:57.837000,0.0,0.0,0.0
1970/01/01/07:19:57.887000,0.0,0.0,0.0
1970/01/01/07:19:57.937000,0.0,0.0,0.0
1970/01/01/07:19:57.988000,0.0,0.0,0.0
1970/01/01/07:19:58.038000,0.0,0.0,0.0
1970/01/01/07:19:58.087000,0.0,0.0,0.0
1970/01/01/07:19:58.137000,0.0,0.0,0.0
1970/01/01/07:19:58.188000,0.0,0.0,0.0
1970/01/01/07:19:58.237000,0.0,0.0,0.0
1970/01/01/07:19:58.287000,0.0,0.0,0.0
1970/01/01/07:19:58.337000,0.0,0.0,0.0
1970/01/01/07:19:58.387000,0.0,0.0,0.0
1970/01/01/07:19:58.439000,0.0,0.0,0.0
1970/01/01/07:19:58.487000,0.0,0.0,0.0
1970/01/01/07:19:58.537000,0.0,0.0,0.0
1970/01/01/07:19:58.587000,0.0,0.0,0.0
1970/01/01/07:19:58.638000,0.0,0.0,0.0
1970/01/01/07:19:58.687000,0.0,0.0,0.0
1970/01/01/07:19:58.737000,0.0,0.0,0.0
1970/01/01/07:19:58.787000,0.0,0.0,0.0
1970/01/01/07:19:58.837000,0.0,0.0,0.0
1970/01/01/07:19:58.887000,0.0,0.0,0.0
1970/01/01/07:19:58.937000,0.0,0.0,0.0
1970/01/01/07:19:58.987000,0.0,0.0,0.0
1970/01/01/07:19:59.038000,0.0,0.0,0.0
1970/01/01/07:19:59.088000,0.0,0.0,0.0
1970/01/01/07:19:59.138000,0.0,0.0,0.0
1970/01/01/07:19:59.188000,0.0,0.0,0.0
1970/01/01/07:19:59.237000,0.0,0.0,0.0
1970/01/01/07:19:59.287000,0.0,0.0,0.0
1970/01/01/07:19:59.338000,0.0,0.0,0.0
1970/01/01/07:19:59.387000,0.0,0.0,0.0
1970/01/01/07:19:59.437000,0.0,0.0,0.0
1970/01/01/07:19:59.487000,0.0,0.0,0.0
1970/01/01/07:19:59.537000,0.0,0.0,0.0
1970/01/01/07:19:59.587000,0.0,0.0,0.0
1970/01/01/07:19:59.637000,0.0,0.0,0.0
1970/01/01/07:19:59.687000,0.0,0.0,0.0
1970/01/01/07:19:59.737000,0.0,0.0,0.0
