time,.x,.y,.theta
1970/01/01/07:20:18.283000,-1.0000012706,-2.00000145051,8.29681017156e-08
1970/01/01/07:20:18.333000,-1.00000127049,-2.00000145122,8.305210311e-08
1970/01/01/07:20:18.383000,-1.00000127039,-2.00000145193,8.31361043109e-08
1970/01/01/07:20:18.432000,-1.00000127028,-2.00000145264,8.32201046024e-08
1970/01/01/07:20:18.483000,-1.00000127017,-2.00000145335,8.33041045515e-08
1970/01/01/07:20:18.533000,-1.00000127007,-2.00000145406,8.33881049172e-08
1970/01/01/07:20:18.583000,-1.00000126996,-2.00000145477,8.34721047856e-08
1970/01/01/07:20:18.633000,-1.00000126985,-2.00000145548,8.35561035973e-08
1970/01/01/07:20:18.683000,-1.00000126975,-2.00000145619,8.36401016527e-08
1970/01/01/07:20:18.733000,-1.00000126964,-2.0000014569,8.3724098796e-08
1970/01/01/07:20:18.783000,-1.00000126953,-2.00000145761,8.38080942162e-08
1970/01/01/07:20:18.834000,-1.00000126942,-2.00000145832,8.38920887123e-08
1970/01/01/07:20:18.883000,-1.00000126932,-2.00000145903,8.3976082308e-08
1970/01/01/07:20:18.933000,-1.00000126921,-2.00000145974,8.40600753885e-08
1970/01/01/07:20:18.983000,-1.0000012691,-2.00000146045,8.41440673154e-08
1970/01/01/07:20:19.033000,-1.000001269,-2.00000146116,8.42280590296e-08
1970/01/01/07:20:19.083000,-1.00000126889,-2.00000146187,8.43120508956e-08
1970/01/01/07:20:19.133000,-1.00000126878,-2.00000146258,8.43960421161e-08
1970/01/01/07:20:19.184000,-1.00000126867,-2.00000146329,8.44800321746e-08
1970/01/01/07:20:19.233000,-1.00000126857,-2.000001464,8.45640211351e-08
1970/01/01/07:20:19.283000,-1.00000126846,-2.00000146471,8.46480095028e-08
1970/01/01/07:20:19.333000,-1.00000126835,-2.00000146542,8.47319978446e-08
1970/01/01/07:20:19.384000,-1.00000126824,-2.00000146613,8.48159847867e-08
1970/01/01/07:20:19.433000,-1.00000126814,-2.00000146684,8.48999716857e-08
1970/01/01/07:20:19.483000,-1.00000126803,-2.00000146756,8.49839588571e-08
1970/01/01/07:20:19.534000,-1.03866172863,-2.00000138336,4.71423461429e-08
1970/01/01/07:20:19.583000,-1.08924398335,-2.00000117375,4.08296269164e-08
1970/01/01/07:20:19.633000,-1.13986281138,-2.00000089412,5.46570994604e-08
1970/01/01/07:20:19.683000,-1.19051517235,-2.00000055548,8.47602904593e-08
1970/01/01/07:20:19.733000,-1.23937754474,-2.00000017977,1.3671109747e-07
1970/01/01/07:20:19.783000,-1.28573658935,-1.9999997863,2.17753705703e-07
1970/01/01/07:20:19.833000,-1.32958329043,-1.99999938791,3.35518463549e-07
1970/01/01/07:20:19.883000,-1.37071644983,-1.99999899667,4.95163516594e-07
1970/01/01/07:20:19.933000,-1.40932073475,-1.99999861932,7.00105895728e-07
1970/01/01/07:20:19.983000,-1.44553285779,-1.99999826091,9.51422121785e-07
1970/01/01/07:20:20.033000,-1.47943568683,-1.99999792588,1.24685897798e-06
1970/01/01/07:20:20.083000,-1.51122179843,-1.99999761612,1.58300957313e-06
1970/01/01/07:20:20.133000,-1.54105843493,-1.99999733281,1.95517759708e-06
1970/01/01/07:20:20.183000,-1.56899896341,-1.99999707687,2.35802104481e-06
1970/01/01/07:20:20.233000,-1.59529486317,-1.99999684776,2.78557453782e-06
1970/01/01/07:20:20.284000,-1.61986450485,-1.99999664547,3.23311722389e-06
1970/01/01/07:20:20.333000,-1.64293202202,-1.99999646886,3.69439471704e-06
1970/01/01/07:20:20.383000,-1.66454342235,-1.99999631625,4.166524595e-06
1970/01/01/07:20:20.433000,-1.68483646347,-1.99999618571,4.64766650383e-06
1970/01/01/07:20:20.483000,-1.70385044618,-1.99999607448,5.13866591991e-06
1970/01/01/07:20:20.533000,-1.72167031551,-1.99999597885,5.64466329333e-06
1970/01/01/07:20:20.583000,-1.73841174993,-1.99999639337,5.01889680068e-06
1970/01/01/07:20:20.633000,-1.75412026163,-1.99999660937,2.88679349908e-06
1970/01/01/07:20:20.683000,-1.76886060107,-1.99999670963,1.14047933678e-06
1970/01/01/07:20:20.783000,-1.78269813394,-1.99999744981,-3.12523673483e-08
1970/01/01/07:20:20.833000,-1.79568914988,-1.99999837653,-1.05414196022e-06
1970/01/01/07:20:20.883000,-1.80788456467,-1.99999914039,-2.08005964558e-06
1970/01/01/07:20:20.933000,-1.81933371222,-1.99999989543,-3.04887012268e-06
1970/01/01/07:20:20.983000,-1.83008534501,-2.00000062268,-3.97491014717e-06
1970/01/01/07:20:21.033000,-1.84018162547,-2.00000135188,-4.86744154156e-06
1970/01/01/07:20:21.083000,-1.84991553423,-2.00000201887,-5.75821870957e-06
1970/01/01/07:20:21.133000,-1.85939066269,-2.00000270506,-6.63457321906e-06
1970/01/01/07:20:21.183000,-1.86827981681,-2.00000339136,-7.47125390477e-06
1970/01/01/07:20:21.233000,-1.87664882053,-2.00000402592,-8.29240729419e-06
1970/01/01/07:20:21.283000,-1.88449580199,-2.00000465931,-9.05398112589e-06
1970/01/01/07:20:21.333000,-1.89184649686,-2.00000529751,-9.75982475117e-06
1970/01/01/07:20:21.383000,-1.89872255755,-2.00000591763,-1.04283184451e-05
1970/01/01/07:20:21.433000,-1.90515564008,-2.00000651436,-1.10688415203e-05
1970/01/01/07:20:21.483000,-1.91117140918,-2.00000708802,-1.16723423492e-05
1970/01/01/07:20:21.533000,-1.91680443927,-2.00000763901,-1.22474679966e-05
1970/01/01/07:20:21.583000,-1.92206541287,-2.00000817383,-1.27954634232e-05
1970/01/01/07:20:21.633000,-1.92698271714,-2.00000867826,-1.33154305552e-05
1970/01/01/07:20:21.683000,-1.93158084381,-2.00000915721,-1.38055653931e-05
1970/01/01/07:20:21.733000,-1.93588269444,-2.00000962679,-1.4274399338e-05
1970/01/01/07:20:21.783000,-1.9399110774,-2.00001006887,-1.47209416568e-05
1970/01/01/07:20:21.833000,-1.94367489806,-2.0000104901,-1.51392808834e-05
1970/01/01/07:20:21.883000,-1.94721517567,-2.00001089719,-1.55371164615e-05
1970/01/01/07:20:21.934000,-1.95051093087,-2.00001128277,-1.59156393503e-05
1970/01/01/07:20:21.983000,-1.95359638455,-2.00001165131,-1.62739070353e-05
1970/01/01/07:20:22.033000,-1.95649467086,-2.00001200138,-1.66151197278e-05
1970/01/01/07:20:22.083000,-1.95919772197,-2.00001233869,-1.69386313316e-05
1970/01/01/07:20:22.133000,-1.96173176991,-2.00001266014,-1.72459211345e-05
1970/01/01/07:20:22.183000,-1.9641007553,-2.00001296315,-1.75342366621e-05
1970/01/01/07:20:22.233000,-1.96632142335,-2.0000132533,-1.78104640983e-05
1970/01/01/07:20:22.283000,-1.96839852228,-2.00001352776,-1.80714255314e-05
1970/01/01/07:20:22.333000,-1.97034800319,-2.0000137897,-1.83169816876e-05
1970/01/01/07:20:22.384000,-1.97217061363,-2.00001403911,-1.85527118324e-05
1970/01/01/07:20:22.433000,-1.97387900952,-2.00001427572,-1.8775460763e-05
1970/01/01/07:20:22.483000,-1.97547874905,-2.00001450168,-1.89862448987e-05
1970/01/01/07:20:22.533000,-1.97697829345,-2.00001471476,-1.91848984739e-05
1970/01/01/07:20:22.583000,-1.97838009872,-2.00001491759,-1.93725279204e-05
1970/01/01/07:20:22.633000,-1.97969443605,-2.0000151098,-1.95507158864e-05
1970/01/01/07:20:22.683000,-1.98092656632,-2.0000152917,-1.97212025083e-05
1970/01/01/07:20:22.733000,-1.98208315815,-2.00001542862,-1.98497318871e-05
1970/01/01/07:20:22.783000,-1.98316798288,-2.00001530203,-1.97356430276e-05
1970/01/01/07:20:22.832000,-1.98418511147,-2.00001537243,-1.98009588172e-05
1970/01/01/07:20:22.883000,-1.98514031236,-2.00001530601,-1.97537029675e-05
1970/01/01/07:20:22.933000,-1.98603556492,-2.00001528542,-1.97830766531e-05
1970/01/01/07:20:22.984000,-1.98687394422,-2.00001514253,-1.98031057015e-05
1970/01/01/07:20:23.033000,-1.98766182334,-2.00001489646,-1.96368017337e-05
1970/01/01/07:20:23.083000,-1.98840328221,-2.00001460624,-1.92612275264e-05
1970/01/01/07:20:23.133000,-1.98909830471,-2.00001428845,-1.8719750816e-05
1970/01/01/07:20:23.182000,-1.98974826619,-2.00001397944,-1.81771459047e-05
1970/01/01/07:20:23.233000,-1.99035844972,-2.00001369966,-1.78655682277e-05
1970/01/01/07:20:23.283000,-1.99093253938,-2.00001331645,-1.7566804115e-05
1970/01/01/07:20:23.383000,-1.99147221755,-2.00001287733,-1.7097708576e-05
1970/01/01/07:20:23.433000,-1.99197986724,-2.00001244213,-1.64515934296e-05
1970/01/01/07:20:23.483000,-1.99245447193,-2.00001195661,-1.58176497676e-05
1970/01/01/07:20:23.533000,-1.99290131723,-2.00001144617,-1.52710970694e-05
1970/01/01/07:20:23.583000,-1.99331979306,-2.00001094211,-1.47686692658e-05
1970/01/01/07:20:23.633000,-1.99372298643,-2.00001043365,-1.42822576304e-05
1970/01/01/07:20:23.683000,-1.99411538567,-2.00000992313,-1.38232669919e-05
1970/01/01/07:20:23.733000,-1.99448347816,-2.00000942174,-1.3381701866e-05
1970/01/01/07:20:23.783000,-1.99483175332,-2.00000891009,-1.29283112411e-05
1970/01/01/07:20:23.832000,-1.99515900143,-2.00000839169,-1.24678288479e-05
1970/01/01/07:20:23.883000,-1.99546601343,-2.000007876,-1.20104535096e-05
1970/01/01/07:20:23.933000,-1.99575238024,-2.00000736593,-1.15560107669e-05
1970/01/01/07:20:23.983000,-1.99602089418,-2.00000685691,-1.11121702057e-05
1970/01/01/07:20:24.033000,-1.99627064642,-2.00000634773,-1.06861266395e-05
1970/01/01/07:20:24.083000,-1.99650283074,-2.00000582887,-1.0273800082e-05
1970/01/01/07:20:24.133000,-1.99671953895,-2.00000529773,-9.86371175035e-06
1970/01/01/07:20:24.184000,-1.9969240623,-2.00000475836,-9.43119941304e-06
1970/01/01/07:20:24.233000,-1.99711489824,-2.00000419752,-8.97795971427e-06
1970/01/01/07:20:24.283000,-1.99729373925,-2.00000360509,-8.47363867264e-06
1970/01/01/07:20:24.333000,-1.99746227804,-2.00000298509,-7.92448306568e-06
1970/01/01/07:20:24.383000,-1.99762051327,-2.00000233074,-7.32720189851e-06
1970/01/01/07:20:24.433000,-1.99776843728,-2.00000163803,-6.71534870178e-06
1970/01/01/07:20:24.483000,-1.99790604393,-2.00000088889,-6.12094413824e-06
1970/01/01/07:20:24.533000,-1.99803333476,-2.00000009951,-5.58287647468e-06
1970/01/01/07:20:24.583000,-1.99815440388,-1.9999992932,-5.17085763147e-06
1970/01/01/07:20:24.633000,-1.99826594538,-1.99999848707,-4.88766347796e-06
1970/01/01/07:20:24.683000,-1.99837175545,-1.99999770047,-4.69123136729e-06
1970/01/01/07:20:24.733000,-1.99847233016,-1.99999693451,-4.56242243935e-06
1970/01/01/07:20:24.783000,-1.99856326568,-1.99999620074,-4.49029492243e-06
1970/01/01/07:20:24.833000,-1.99864846467,-1.99999550576,-4.46099597911e-06
1970/01/01/07:20:24.885000,-1.99872851897,-1.99999484706,-4.47508053725e-06
1970/01/01/07:20:24.933000,-1.99880352496,-1.99999423303,-4.51611719085e-06
1970/01/01/07:20:24.983000,-1.99887327953,-1.99999366542,-4.5697229987e-06
1970/01/01/07:20:25.033000,-1.99894278023,-1.99999314247,-4.63300700206e-06
1970/01/01/07:20:25.083000,-1.99900722356,-1.99999266057,-4.70507911716e-06
1970/01/01/07:20:25.133000,-1.99906650696,-1.99999221753,-4.78612191952e-06
1970/01/01/07:20:25.183000,-1.99912092822,-1.9999918095,-4.88532557254e-06
1970/01/01/07:20:25.233000,-1.99917498574,-1.99999142789,-4.98708302546e-06
1970/01/01/07:20:25.283000,-1.99922388172,-1.99999107183,-5.08648025429e-06
1970/01/01/07:20:25.333000,-1.99926820875,-1.99999074376,-5.18400769801e-06
1970/01/01/07:20:25.384000,-1.99931196554,-1.99999044278,-5.28082725918e-06
1970/01/01/07:20:25.433000,-1.99935124979,-1.99999016612,-5.37683190648e-06
1970/01/01/07:20:25.483000,-1.99938966036,-1.99998991332,-5.47182220737e-06
1970/01/01/07:20:25.533000,-1.99942389525,-1.99998968299,-5.56591400363e-06
1970/01/01/07:20:25.583000,-1.99945695357,-1.99998947462,-5.65900708366e-06
1970/01/01/07:20:25.633000,-1.9994861336,-1.99998928648,-5.74987475879e-06
1970/01/01/07:20:25.683000,-1.99951533459,-1.99998911797,-5.83769741413e-06
1970/01/01/07:20:25.732000,-1.99954325512,-1.99998896644,-5.92281100718e-06
1970/01/01/07:20:25.783000,-1.99956739376,-1.99998883077,-6.00583837649e-06
1970/01/01/07:20:25.833000,-1.99959155009,-1.99998871173,-6.08778590255e-06
1970/01/01/07:20:25.933000,-1.99961572314,-1.99998860771,-6.17109435487e-06
1970/01/01/07:20:25.985000,-1.99963821159,-1.99998851253,-6.25015204486e-06
1970/01/01/07:20:26.033000,-1.9996573143,-1.99998842927,-6.31880919347e-06
1970/01/01/07:20:26.083000,-1.99967643104,-1.99998835545,-6.37924909055e-06
1970/01/01/07:20:26.133000,-1.99969556102,-1.99998829061,-6.43173726755e-06
1970/01/01/07:20:26.183000,-1.99971470352,-1.99998823404,-6.47683866452e-06
1970/01/01/07:20:26.233000,-1.99973156035,-1.99998818397,-6.51629191477e-06
1970/01/01/07:20:26.283000,-1.9997456316,-1.99998814073,-6.54971145788e-06
1970/01/01/07:20:26.333000,-1.99975971368,-1.99998810557,-6.57582067544e-06
1970/01/01/07:20:26.383000,-1.99977380596,-1.99998807779,-6.59533923248e-06
1970/01/01/07:20:26.433000,-1.99978790788,-1.99998805653,-6.6090504493e-06
1970/01/01/07:20:26.483000,-1.99980201889,-1.99998804114,-6.61756689257e-06
1970/01/01/07:20:26.533000,-1.99981323817,-1.99998803106,-6.62131149803e-06
1970/01/01/07:20:26.583000,-1.99982226556,-1.99998802767,-6.61924534162e-06
1970/01/01/07:20:26.634000,-1.99983130081,-1.99998802832,-6.61359727783e-06
1970/01/01/07:20:26.683000,-1.99984034349,-1.99998802885,-6.60786204611e-06
1970/01/01/07:20:26.733000,-1.99984939316,-1.99998802929,-6.60204291811e-06
1970/01/01/07:20:26.783000,-1.99985844944,-1.99998802971,-6.59610991165e-06
1970/01/01/07:20:26.833000,-1.99986751198,-1.9999880301,-6.59006552746e-06
1970/01/01/07:20:26.883000,-1.99987658044,-1.99998803049,-6.58391659993e-06
1970/01/01/07:20:26.934000,-1.99988565451,-1.99998803085,-6.57767019301e-06
1970/01/01/07:20:26.983000,-1.99989103337,-1.99998803117,-6.5713345534e-06
1970/01/01/07:20:27.033000,-1.99989501721,-1.99998803157,-6.56491482009e-06
1970/01/01/07:20:27.083000,-1.99989900596,-1.99998803193,-6.5584171213e-06
1970/01/01/07:20:27.132000,-1.99990299935,-1.99998803228,-6.55184630821e-06
1970/01/01/07:20:27.183000,-1.99990699713,-1.99998803261,-6.54520758843e-06
1970/01/01/07:20:27.233000,-1.99991099907,-1.99998803294,-6.53850578829e-06
1970/01/01/07:20:27.280000,-1.99991500495,-1.99998803325,-6.53174535432e-06
1970/01/01/07:20:27.333000,-1.99991901455,-1.99998803356,-6.52493043306e-06
1970/01/01/07:20:27.383000,-1.99992302767,-1.99998803385,-6.51806487202e-06
1970/01/01/07:20:27.436000,-1.99992704412,-1.99998803414,-6.51115227079e-06
1970/01/01/07:20:27.483000,-1.99993106373,-1.99998803442,-6.50419596982e-06
1970/01/01/07:20:27.533000,-1.99993508633,-1.9999880347,-6.49719909544e-06
1970/01/01/07:20:27.583000,-1.99993911175,-1.99998803496,-6.49016454802e-06
1970/01/01/07:20:27.634000,-1.99994313985,-1.99998803522,-6.48309503908e-06
1970/01/01/07:20:27.683000,-1.99994717048,-1.99998803548,-6.47599309041e-06
1970/01/01/07:20:27.733000,-1.9999512035,-1.99998803572,-6.46886104928e-06
1970/01/01/07:20:27.783000,-1.9999552388,-1.99998803596,-6.46170110558e-06
1970/01/01/07:20:27.833000,-1.99995927623,-1.9999880362,-6.45451529193e-06
1970/01/01/07:20:27.883000,-1.99996271562,-1.99998803626,-6.44731651791e-06
1970/01/01/07:20:27.933000,-1.99996165635,-1.99998803638,-6.44018701862e-06
1970/01/01/07:20:27.984000,-1.99996059906,-1.9999880365,-6.43302538012e-06
1970/01/01/07:20:28.033000,-1.99995954363,-1.99998803662,-6.42584052066e-06
1970/01/01/07:20:28.083000,-1.99995848996,-1.99998803673,-6.41863608122e-06
1970/01/01/07:20:28.133000,-1.99995743795,-1.99998803684,-6.41141398906e-06
1970/01/01/07:20:28.183000,-1.99995638753,-1.99998803695,-6.40417550583e-06
1970/01/01/07:20:28.233000,-1.9999553386,-1.99998803706,-6.39692191433e-06
1970/01/01/07:20:28.283000,-1.99995429109,-1.99998803717,-6.38965434278e-06
1970/01/01/07:20:28.333000,-1.99995324491,-1.99998803727,-6.38237311362e-06
1970/01/01/07:20:28.383000,-1.99995220002,-1.99998803738,-6.37507108554e-06
1970/01/01/07:20:28.483000,-1.99995115635,-1.99998803749,-6.36773711643e-06
1970/01/01/07:20:28.533000,-1.99995011387,-1.99998803759,-6.36036578368e-06
1970/01/01/07:20:28.583000,-1.99994907253,-1.9999880377,-6.35295705191e-06
1970/01/01/07:20:28.633000,-1.99994803231,-1.9999880378,-6.34551111798e-06
1970/01/01/07:20:28.683000,-1.99994699317,-1.9999880379,-6.33802819616e-06
1970/01/01/07:20:28.733000,-1.9999482554,-1.99998803815,-6.33045873913e-06
1970/01/01/07:20:28.783000,-1.99995231894,-1.99998803833,-6.32282055995e-06
1970/01/01/07:20:28.833000,-1.99995638332,-1.9999880385,-6.31516126381e-06
1970/01/01/07:20:28.883000,-1.99996044853,-1.99998803867,-6.30746828158e-06
1970/01/01/07:20:28.933000,-1.99996451454,-1.99998803884,-6.29973965139e-06
1970/01/01/07:20:28.983000,-1.99996588096,-1.9999880388,-6.2920263154e-06
1970/01/01/07:20:29.033000,-1.99996484794,-1.9999880389,-6.28429352154e-06
1970/01/01/07:20:29.083000,-1.99996381583,-1.999988039,-6.2765033166e-06
1970/01/01/07:20:29.133000,-1.99996278463,-1.99998803909,-6.26866071269e-06
1970/01/01/07:20:29.183000,-1.99996175434,-1.99998803917,-6.26076790022e-06
1970/01/01/07:20:29.233000,-1.99996072496,-1.99998803925,-6.25282558504e-06
1970/01/01/07:20:29.284000,-1.99995969649,-1.99998803933,-6.24483407495e-06
1970/01/01/07:20:29.333000,-1.99995866893,-1.99998803941,-6.23679356898e-06
1970/01/01/07:20:29.383000,-1.99995764227,-1.99998803949,-6.22870423605e-06
1970/01/01/07:20:29.433000,-1.99995661652,-1.99998803956,-6.22056623646e-06
1970/01/01/07:20:29.483000,-1.99995559167,-1.99998803963,-6.21237972751e-06
1970/01/01/07:20:29.533000,-1.99995456773,-1.9999880397,-6.2041448661e-06
1970/01/01/07:20:29.583000,-1.99995354469,-1.99998803977,-6.19586180793e-06
1970/01/01/07:20:29.633000,-1.99995252256,-1.99998803983,-6.18753070875e-06
1970/01/01/07:20:29.683000,-1.99995150133,-1.99998803989,-6.17915172338e-06
1970/01/01/07:20:29.733000,-1.999950481,-1.99998803995,-6.17072500675e-06
1970/01/01/07:20:29.783000,-1.99994946156,-1.99998804001,-6.16225071324e-06
1970/01/01/07:20:29.833000,-1.99994844303,-1.99998804006,-6.15372899682e-06
1970/01/01/07:20:29.883000,-1.9999474254,-1.99998804011,-6.14516001087e-06
1970/01/01/07:20:29.934000,-1.99994640866,-1.99998804016,-6.13654390877e-06
1970/01/01/07:20:29.983000,-1.99995009345,-1.9999880404,-6.12778221404e-06
1970/01/01/07:20:30.033000,-1.99995417904,-1.99998804053,-6.11899276663e-06
1970/01/01/07:20:30.083000,-1.99995826537,-1.99998804065,-6.11016227459e-06
1970/01/01/07:20:30.132000,-1.99996235244,-1.99998804077,-6.10128510383e-06
1970/01/01/07:20:30.183000,-1.99996143959,-1.99998804064,-6.09245991129e-06
1970/01/01/07:20:30.233000,-1.99996042761,-1.99998804068,-6.08356664949e-06
1970/01/01/07:20:30.283000,-1.99995941652,-1.99998804071,-6.07462115225e-06
1970/01/01/07:20:30.333000,-1.99995840633,-1.99998804074,-6.06562805011e-06
1970/01/01/07:20:30.383000,-1.99995739703,-1.99998804077,-6.05658869162e-06
1970/01/01/07:20:30.433000,-1.99995638862,-1.99998804079,-6.04750354739e-06
1970/01/01/07:20:30.483000,-1.99995538109,-1.99998804082,-6.03837285323e-06
1970/01/01/07:20:30.533000,-1.99995437446,-1.99998804084,-6.02919678177e-06
1970/01/01/07:20:30.583000,-1.99995336871,-1.99998804085,-6.01997548757e-06
1970/01/01/07:20:30.633000,-1.99995236386,-1.99998804087,-6.01070912093e-06
1970/01/01/07:20:30.683000,-1.99995135988,-1.99998804088,-6.00139782983e-06
1970/01/01/07:20:30.733000,-1.99995035679,-1.99998804089,-5.99204176163e-06
1970/01/01/07:20:30.783000,-1.99994935459,-1.9999880409,-5.98264106374e-06
1970/01/01/07:20:30.833000,-1.99994835327,-1.99998804091,-5.97319588303e-06
1970/01/01/07:20:30.883000,-1.99994735283,-1.99998804091,-5.9637063652e-06
1970/01/01/07:20:30.983000,-1.99994795351,-1.99998804106,-5.95413155184e-06
