time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/07:20:19.469000,-0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.469000,-0.0,2.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.516000,-0.0,2.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.566000,-0.0,2.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.616000,-0.0,2.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.665000,-0.0,1.93429994583,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.716000,-0.0,1.83270001411,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.767000,-0.0,1.73119997978,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.816000,-0.0,1.62960004807,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.865000,-0.0,1.53069996834,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.917000,-0.0,1.43670010567,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.965000,-0.0,1.34770011902,0.0,0.0,0.0,0.0
1970/01/01/07:20:20.016000,-0.0,1.26430010796,0.0,0.0,0.0,0.0
1970/01/01/07:20:20.066000,-0.0,1.18600010872,0.0,0.0,0.0,0.0
1970/01/01/07:20:20.117000,-0.0,1.11249995232,0.0,0.0,0.0,0.0
1970/01/01/07:20:20.165000,-0.0,1.04369997978,0.0,0.0,0.0,0.0
1970/01/01/07:20:20.215000,-0.0,0.97939991951,0.0,0.0,0.0,0.0
1970/01/01/07:20:20.265000,-0.0,0.919100046158,0.0,0.0,0.0,0.0
1970/01/01/07:20:20.316000,-0.0,0.86260008812,0.0,0.0,0.0,0.0
1970/01/01/07:20:20.366000,-0.0,0.809799909592,0.0,0.0,0.0,0.0
1970/01/01/07:20:20.415000,-0.0,0.760099887848,0.0,0.0,0.0,0.0
1970/01/01/07:20:20.465000,-0.0,0.713799953461,0.0,0.0,0.0,0.0
1970/01/01/07:20:20.515000,-0.0,0.670399904251,0.0,0.0,0.0,0.0
1970/01/01/07:20:20.566000,-0.0,0.62969994545,0.0,0.0,0.0,0.0
1970/01/01/07:20:20.615000,-0.0,0.591599941254,0.0,0.0,0.0,0.0
1970/01/01/07:20:20.665000,-0.0,0.555900096893,0.0,0.0,0.0,0.0
1970/01/01/07:20:20.716000,-0.0,0.522500038147,0.0,0.0,0.0,0.0
1970/01/01/07:20:20.766000,-0.0,0.491100072861,0.0,0.0,0.0,0.0
1970/01/01/07:20:20.815000,-0.0,0.461699962616,0.0,0.0,0.0,0.0
1970/01/01/07:20:20.866000,-0.0,0.434200048447,0.0,0.0,0.0,0.0
1970/01/01/07:20:20.916000,-0.0,0.408299922943,0.0,0.0,0.0,0.0
1970/01/01/07:20:20.966000,-0.0,0.384099960327,0.0,0.0,0.0,0.0
1970/01/01/07:20:21.015000,-0.0,0.361299991608,0.0,0.0,0.0,0.0
1970/01/01/07:20:21.066000,-0.0,0.339999914169,0.0,0.0,0.0,0.0
1970/01/01/07:20:21.115000,-0.0,0.319999933243,0.0,0.0,0.0,0.0
1970/01/01/07:20:21.166000,-0.0,0.301199913025,0.0,0.0,0.0,0.0
1970/01/01/07:20:21.216000,-0.0,0.301199913025,0.0,0.0,0.0,0.0
1970/01/01/07:20:21.266000,-0.0,0.283600091934,0.0,0.0,0.0,0.0
1970/01/01/07:20:21.315000,-0.0,0.267100095749,0.0,0.0,0.0,0.0
1970/01/01/07:20:21.366000,-0.0,0.251499891281,0.0,0.0,0.0,0.0
1970/01/01/07:20:21.416000,-0.0,0.23659992218,0.0,0.0,0.0,0.0
1970/01/01/07:20:21.466000,-0.0,0.222100019455,0.0,0.0,0.0,0.0
1970/01/01/07:20:21.516000,-0.0,0.208400011063,0.0,0.0,0.0,0.0
1970/01/01/07:20:21.566000,-0.0,0.195600032806,0.0,0.0,0.0,0.0
1970/01/01/07:20:21.616000,-0.0,0.183599948883,0.0,0.0,0.0,0.0
1970/01/01/07:20:21.665000,-0.0,0.172300100327,0.0,0.0,0.0,0.0
1970/01/01/07:20:21.716000,-0.0,0.161799907684,0.0,0.0,0.0,0.0
1970/01/01/07:20:21.766000,-0.0,0.151999950409,0.0,0.0,0.0,0.0
1970/01/01/07:20:21.819000,-0.0,0.142800092697,0.0,0.0,0.0,0.0
1970/01/01/07:20:21.866000,-0.0,0.13420009613,0.0,0.0,0.0,0.0
1970/01/01/07:20:21.915000,-0.0,0.126199960709,0.0,0.0,0.0,0.0
1970/01/01/07:20:21.966000,-0.0,0.118700027466,0.0,0.0,0.0,0.0
1970/01/01/07:20:22.015000,-0.0,0.11159992218,0.0,0.0,0.0,0.0
1970/01/01/07:20:22.066000,-0.0,0.105099916458,0.0,0.0,0.0,0.0
1970/01/01/07:20:22.116000,-0.0,0.0989999771118,0.0,0.0,0.0,0.0
1970/01/01/07:20:22.166000,-0.0,0.093199968338,0.0,0.0,0.0,0.0
1970/01/01/07:20:22.216000,-0.0,0.0878999233246,0.0,0.0,0.0,0.0
1970/01/01/07:20:22.267000,-0.0,0.0829000473022,0.0,0.0,0.0,0.0
1970/01/01/07:20:22.316000,-0.0,0.0782001018524,0.0,0.0,0.0,0.0
1970/01/01/07:20:22.366000,-0.0,0.0738000869751,0.0,0.0,0.0,0.0
1970/01/01/07:20:22.415000,-0.0,0.0697000026703,0.0,0.0,0.0,0.0
1970/01/01/07:20:22.466000,-0.0,0.0659000873566,0.0,0.0,0.0,0.0
1970/01/01/07:20:22.515000,-0.0,0.0622999668121,0.0,0.0,0.0,0.0
1970/01/01/07:20:22.566000,-0.0,0.0589001178741,0.0,0.0,0.0,0.0
1970/01/01/07:20:22.616000,-0.0,0.0557999610901,0.0,0.0,0.0,0.0
1970/01/01/07:20:22.665000,-0.0,0.0529000759125,0.0,0.0,0.0,0.0
1970/01/01/07:20:22.716000,-0.0,0.0501000881195,0.0,0.0,0.0,0.0
1970/01/01/07:20:22.766000,-0.0,0.047600030899,0.0,0.0,0.0,0.0
1970/01/01/07:20:22.815000,-0.0,0.0452001094818,0.0,0.0,0.0,0.0
1970/01/01/07:20:22.866000,-0.0,0.0429000854492,0.0,0.0,0.0,0.0
1970/01/01/07:20:22.916000,-0.0,0.0408000946045,0.0,0.0,0.0,0.0
1970/01/01/07:20:22.966000,-0.0,0.0388000011444,0.0,0.0,0.0,0.0
1970/01/01/07:20:23.016000,-0.0,0.0369999408722,0.0,0.0,0.0,0.0
1970/01/01/07:20:23.066000,-0.0,0.0352001190186,0.0,0.0,0.0,0.0
1970/01/01/07:20:23.116000,-0.0,0.0336000919342,0.0,0.0,0.0,0.0
1970/01/01/07:20:23.165000,-0.0,0.0320999622345,0.0,0.0,0.0,0.0
1970/01/01/07:20:23.216000,-0.0,0.030699968338,0.0,0.0,0.0,0.0
1970/01/01/07:20:23.266000,-0.0,0.0292999744415,0.0,0.0,0.0,0.0
1970/01/01/07:20:23.316000,-0.0,0.0281000137329,0.0,0.0,0.0,0.0
1970/01/01/07:20:23.366000,-0.0,0.0269000530243,0.0,0.0,0.0,0.0
1970/01/01/07:20:23.416000,-0.0,0.0257999897003,0.0,0.0,0.0,0.0
1970/01/01/07:20:23.465000,-0.0,0.0248000621796,0.0,0.0,0.0,0.0
1970/01/01/07:20:23.516000,-0.0,0.0237998962402,0.0,0.0,0.0,0.0
1970/01/01/07:20:23.565000,-0.0,0.0229001045227,0.0,0.0,0.0,0.0
1970/01/01/07:20:23.617000,-0.0,0.0220000743866,0.0,0.0,0.0,0.0
1970/01/01/07:20:23.665000,-0.0,0.0211999416351,0.0,0.0,0.0,0.0
1970/01/01/07:20:23.716000,-0.0,0.0204999446869,0.0,0.0,0.0,0.0
1970/01/01/07:20:23.765000,-0.0,0.0204999446869,0.0,0.0,0.0,0.0
1970/01/01/07:20:23.816000,-0.0,0.0197999477386,0.0,0.0,0.0,0.0
1970/01/01/07:20:23.866000,-0.0,0.0190999507904,0.0,0.0,0.0,0.0
1970/01/01/07:20:23.916000,-0.0,0.0185000896454,0.0,0.0,0.0,0.0
1970/01/01/07:20:23.966000,-0.0,0.0178999900818,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.016000,-0.0,0.0172998905182,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.066000,-0.0,0.0167999267578,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.116000,-0.0,0.0162999629974,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.165000,-0.0,0.0157999992371,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.216000,-0.0,0.0153999328613,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.266000,-0.0,0.014899969101,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.315000,-0.0,0.0144999027252,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.365000,-0.0,0.0141999721527,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.416000,-0.0,0.013799905777,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.466000,-0.0,0.0134999752045,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.515000,-0.0,0.013200044632,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.565000,-0.0,0.0129001140594,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.615000,-0.0,0.0127000808716,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.665000,-0.0,0.0123999118805,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.715000,-0.0,0.0122001171112,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.766000,-0.0,0.0120000839233,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.816000,-0.0,0.0118000507355,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.865000,-0.0,0.0116000175476,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.916000,-0.0,0.0113999843597,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.965000,-0.0,0.0111999511719,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.015000,-0.0,0.0111000537872,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.066000,-0.0,0.0109000205994,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.116000,-0.0,0.0107998847961,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.165000,-0.0,0.0106999874115,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.216000,-0.0,0.0104999542236,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.265000,-0.0,0.010400056839,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.315000,-0.0,0.0102999210358,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.367000,-0.0,0.0102000236511,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.415000,-0.0,0.0100998878479,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.466000,-0.0,0.0100998878479,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.516000,-0.0,0.00999999046326,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.565000,-0.0,0.00990009307861,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.616000,-0.0,0.00979995727539,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.666000,-0.0,0.00979995727539,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.717000,-0.0,0.00970005989075,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.766000,-0.0,0.00970005989075,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.815000,-0.0,0.00959992408752,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.866000,-0.0,0.00959992408752,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.915000,-0.0,0.00950002670288,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.965000,-0.0,0.00950002670288,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.015000,-0.0,0.00939989089966,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.066000,-0.0,0.00939989089966,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.115000,-0.0,0.00929999351501,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.165000,-0.0,0.00929999351501,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.216000,-0.0,0.00929999351501,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.266000,-0.0,0.00929999351501,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.315000,-0.0,0.00929999351501,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.366000,-0.0,0.00920009613037,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.415000,-0.0,0.00920009613037,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.465000,-0.0,0.00920009613037,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.516000,-0.0,0.00920009613037,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.566000,-0.0,0.00909996032715,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.615000,-0.0,0.00909996032715,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.666000,-0.0,0.00909996032715,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.716000,-0.0,0.00909996032715,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.765000,-0.0,0.00909996032715,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.815000,-0.0,0.0090000629425,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.866000,-0.0,0.0090000629425,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.916000,-0.0,0.0090000629425,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.966000,-0.0,0.0090000629425,0.0,0.0,0.0,0.0
1970/01/01/07:20:27.016000,-0.0,0.0090000629425,0.0,0.0,0.0,0.0
1970/01/01/07:20:27.065000,-0.0,0.0090000629425,0.0,0.0,0.0,0.0
1970/01/01/07:20:27.116000,-0.0,0.0090000629425,0.0,0.0,0.0,0.0
1970/01/01/07:20:27.165000,-0.0,0.0090000629425,0.0,0.0,0.0,0.0
1970/01/01/07:20:27.215000,-0.0,0.0090000629425,0.0,0.0,0.0,0.0
1970/01/01/07:20:27.266000,-0.0,0.00889992713928,0.0,0.0,0.0,0.0
1970/01/01/07:20:27.315000,-0.0,0.00889992713928,0.0,0.0,0.0,0.0
1970/01/01/07:20:27.365000,-0.0,0.00889992713928,0.0,0.0,0.0,0.0
1970/01/01/07:20:27.416000,-0.0,0.00889992713928,0.0,0.0,0.0,0.0
1970/01/01/07:20:27.465000,-0.0,0.00889992713928,0.0,0.0,0.0,0.0
1970/01/01/07:20:27.515000,-0.0,0.00889992713928,0.0,0.0,0.0,0.0
1970/01/01/07:20:27.566000,-0.0,0.00889992713928,0.0,0.0,0.0,0.0
1970/01/01/07:20:27.616000,-0.0,0.00889992713928,0.0,0.0,0.0,0.0
1970/01/01/07:20:27.665000,-0.0,0.00889992713928,0.0,0.0,0.0,0.0
