time,.x,.y,.theta
1970/01/01/07:20:18.283000,0.0,0.0,0.0
1970/01/01/07:20:18.383000,0.0,0.0,0.0
1970/01/01/07:20:18.483000,0.0,0.0,0.0
1970/01/01/07:20:18.538000,0.0,0.0,0.0
1970/01/01/07:20:18.583000,0.0,0.0,0.0
1970/01/01/07:20:18.683000,0.0,0.0,0.0
1970/01/01/07:20:18.733000,0.0,0.0,0.0
1970/01/01/07:20:18.784000,0.0,0.0,0.0
1970/01/01/07:20:18.834000,0.0,0.0,0.0
1970/01/01/07:20:18.883000,0.0,0.0,0.0
1970/01/01/07:20:18.983000,0.0,0.0,0.0
1970/01/01/07:20:19.033000,0.0,0.0,0.0
1970/01/01/07:20:19.083000,0.0,0.0,0.0
1970/01/01/07:20:19.133000,0.0,0.0,0.0
1970/01/01/07:20:19.233000,0.0,0.0,0.0
1970/01/01/07:20:19.283000,0.0,0.0,0.0
1970/01/01/07:20:19.333000,0.0,0.0,0.0
1970/01/01/07:20:19.384000,0.0,0.0,0.0
1970/01/01/07:20:19.433000,0.0,0.0,0.0
1970/01/01/07:20:19.534000,0.0,0.0,0.0
1970/01/01/07:20:19.584000,0.0,0.0,0.0
1970/01/01/07:20:19.634000,0.0,0.0,0.0
1970/01/01/07:20:19.683000,0.0,0.0,0.0
1970/01/01/07:20:19.783000,0.0,0.0,0.0
1970/01/01/07:20:19.833000,0.0,0.0,0.0
1970/01/01/07:20:19.933000,0.0,0.0,0.0
1970/01/01/07:20:19.983000,0.0,0.0,0.0
1970/01/01/07:20:20.033000,0.0,0.0,0.0
1970/01/01/07:20:20.133000,0.0,0.0,0.0
1970/01/01/07:20:20.185000,0.0,0.0,0.0
1970/01/01/07:20:20.283000,0.0,0.0,0.0
1970/01/01/07:20:20.383000,0.0,0.0,0.0
1970/01/01/07:20:20.433000,0.0,0.0,0.0
1970/01/01/07:20:20.483000,0.0,0.0,0.0
1970/01/01/07:20:20.583000,0.0,0.0,0.0
1970/01/01/07:20:20.633000,0.0,0.0,0.0
1970/01/01/07:20:20.683000,0.0,0.0,0.0
1970/01/01/07:20:20.733000,0.0,0.0,0.0
1970/01/01/07:20:20.783000,0.0,0.0,0.0
1970/01/01/07:20:20.833000,0.0,0.0,0.0
1970/01/01/07:20:20.933000,0.0,0.0,0.0
1970/01/01/07:20:20.984000,0.0,0.0,0.0
1970/01/01/07:20:21.034000,0.0,0.0,0.0
1970/01/01/07:20:21.083000,0.0,0.0,0.0
1970/01/01/07:20:21.133000,0.0,0.0,0.0
1970/01/01/07:20:21.183000,0.0,0.0,0.0
1970/01/01/07:20:21.283000,0.0,0.0,0.0
1970/01/01/07:20:21.333000,0.0,0.0,0.0
1970/01/01/07:20:21.383000,0.0,0.0,0.0
1970/01/01/07:20:21.434000,0.0,0.0,0.0
1970/01/01/07:20:21.483000,0.0,0.0,0.0
1970/01/01/07:20:21.583000,0.0,0.0,0.0
1970/01/01/07:20:21.633000,0.0,0.0,0.0
1970/01/01/07:20:21.683000,0.0,0.0,0.0
1970/01/01/07:20:21.734000,0.0,0.0,0.0
1970/01/01/07:20:21.833000,0.0,0.0,0.0
1970/01/01/07:20:21.883000,0.0,0.0,0.0
1970/01/01/07:20:21.933000,0.0,0.0,0.0
1970/01/01/07:20:21.983000,0.0,0.0,0.0
1970/01/01/07:20:22.033000,0.0,0.0,0.0
1970/01/01/07:20:22.083000,0.0,0.0,0.0
1970/01/01/07:20:22.133000,0.0,0.0,0.0
1970/01/01/07:20:22.233000,0.0,0.0,0.0
1970/01/01/07:20:22.333000,0.0,0.0,0.0
1970/01/01/07:20:22.383000,0.0,0.0,0.0
1970/01/01/07:20:22.433000,0.0,0.0,0.0
1970/01/01/07:20:22.533000,0.0,0.0,0.0
