time,.x,.y,.theta
1970/01/01/07:20:00.021000,-1.00000130839,-2.00000119333,5.25580809043e-08
1970/01/01/07:20:00.071000,-1.00000130829,-2.00000119404,5.26420908918e-08
1970/01/01/07:20:00.122000,-1.00000130818,-2.00000119475,5.27260997126e-08
1970/01/01/07:20:00.171000,-1.00000130808,-2.00000119546,5.28101063307e-08
1970/01/01/07:20:00.221000,-1.00000130798,-2.00000119617,5.28941102901e-08
1970/01/01/07:20:00.271000,-1.00000130788,-2.00000119688,5.29781112627e-08
1970/01/01/07:20:00.321000,-1.00000130778,-2.00000119759,5.30621106945e-08
1970/01/01/07:20:00.371000,-1.00000130767,-2.0000011983,5.31461080278e-08
1970/01/01/07:20:00.421000,-1.00000130757,-2.00000119901,5.32301032699e-08
1970/01/01/07:20:00.471000,-1.00000130747,-2.00000119973,5.33140966397e-08
1970/01/01/07:20:00.521000,-1.00000130737,-2.00000120044,5.33980886409e-08
1970/01/01/07:20:00.571000,-1.00000130727,-2.00000120115,5.34820785957e-08
1970/01/01/07:20:00.621000,-1.00000130716,-2.00000120186,5.35660665484e-08
1970/01/01/07:20:00.671000,-1.00000130706,-2.00000120257,5.36500524283e-08
1970/01/01/07:20:00.722000,-1.00000130696,-2.00000120328,5.37340362916e-08
1970/01/01/07:20:00.821000,-1.00000130686,-2.00000120399,5.38180187402e-08
1970/01/01/07:20:00.871000,-1.00000130676,-2.0000012047,5.39019990683e-08
1970/01/01/07:20:00.921000,-1.00000130665,-2.00000120541,5.39859785777e-08
1970/01/01/07:20:00.971000,-1.00000130655,-2.00000120612,5.40699574807e-08
1970/01/01/07:20:01.021000,-1.00000130645,-2.00000120683,5.41539352953e-08
1970/01/01/07:20:01.072000,-1.00000130635,-2.00000120754,5.42379124578e-08
1970/01/01/07:20:01.121000,-1.00000130625,-2.00000120825,5.43218901989e-08
1970/01/01/07:20:01.171000,-1.00000130614,-2.00000120896,5.44058669208e-08
1970/01/01/07:20:01.221000,-1.00000130604,-2.00000120967,5.44898452737e-08
1970/01/01/07:20:01.271000,-1.00000130594,-2.00000121038,5.4573827655e-08
1970/01/01/07:20:01.321000,-1.00000130584,-2.00000121109,5.46578111811e-08
1970/01/01/07:20:01.371000,-1.00000130573,-2.0000012118,5.47417964837e-08
1970/01/01/07:20:01.421000,-1.00000130563,-2.00000121251,5.48257839786e-08
1970/01/01/07:20:01.471000,-1.00000130553,-2.00000121322,5.49097743032e-08
1970/01/01/07:20:01.522000,-1.00000130543,-2.00000121393,5.49937664397e-08
1970/01/01/07:20:01.571000,-1.00000130533,-2.00000121464,5.50777589878e-08
1970/01/01/07:20:01.621000,-1.00000130522,-2.00000121535,5.51617534014e-08
