time,.x,.y,.theta
1970/01/01/07:19:56.854000,0.0,0.0,0.0
1970/01/01/07:19:56.903000,0.0,0.0,0.0
1970/01/01/07:19:56.953000,0.0,0.0,0.0
1970/01/01/07:19:57.003000,0.0,0.0,0.0
1970/01/01/07:19:57.053000,0.0,0.0,0.0
1970/01/01/07:19:57.103000,0.0,0.0,0.0
1970/01/01/07:19:57.153000,0.0,0.0,0.0
1970/01/01/07:19:57.203000,0.0,0.0,0.0
1970/01/01/07:19:57.253000,0.0,0.0,0.0
1970/01/01/07:19:57.303000,0.0,0.0,0.0
1970/01/01/07:19:57.353000,0.0,0.0,0.0
1970/01/01/07:19:57.403000,0.0,0.0,0.0
1970/01/01/07:19:57.453000,0.0,0.0,0.0
1970/01/01/07:19:57.503000,0.0,0.0,0.0
1970/01/01/07:19:57.553000,0.0,0.0,0.0
1970/01/01/07:19:57.603000,0.0,0.0,0.0
1970/01/01/07:19:57.653000,0.0,0.0,0.0
1970/01/01/07:19:57.703000,0.0,0.0,0.0
1970/01/01/07:19:57.753000,0.0,0.0,0.0
1970/01/01/07:19:57.803000,0.0,0.0,0.0
1970/01/01/07:19:57.853000,0.0,0.0,0.0
1970/01/01/07:19:57.903000,0.0,0.0,0.0
1970/01/01/07:19:57.953000,0.0,0.0,0.0
1970/01/01/07:19:58.003000,0.0,0.0,0.0
1970/01/01/07:19:58.103000,0.0,0.0,0.0
1970/01/01/07:19:58.154000,0.0,0.0,0.0
1970/01/01/07:19:58.204000,0.0,0.0,0.0
1970/01/01/07:19:58.253000,0.0,0.0,0.0
1970/01/01/07:19:58.304000,0.0,0.0,0.0
1970/01/01/07:19:58.353000,0.0,0.0,0.0
1970/01/01/07:19:58.403000,0.0,0.0,0.0
1970/01/01/07:19:58.453000,0.0,0.0,0.0
1970/01/01/07:19:58.503000,0.0,0.0,0.0
1970/01/01/07:19:58.553000,0.0,0.0,0.0
1970/01/01/07:19:58.603000,0.0,0.0,0.0
1970/01/01/07:19:58.653000,0.0,0.0,0.0
1970/01/01/07:19:58.704000,0.0,0.0,0.0
1970/01/01/07:19:58.753000,0.0,0.0,0.0
1970/01/01/07:19:58.803000,0.0,0.0,0.0
1970/01/01/07:19:58.853000,0.0,0.0,0.0
1970/01/01/07:19:58.903000,0.0,0.0,0.0
1970/01/01/07:19:58.953000,0.0,0.0,0.0
