time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/07:20:24.055000,-0.0,6.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.105000,-0.0,6.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.154000,-0.0,6.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.204000,-0.0,5.51460027695,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.254000,-0.0,4.59810018539,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.305000,-0.0,3.68129968643,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.356000,-0.0,2.76480031013,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.405000,-0.0,1.89479970932,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.454000,-0.0,1.14030003548,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.505000,-0.0,0.528900146484,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.554000,-0.0,0.0578999519348,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.605000,-0.0,-0.272400140762,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.655000,-0.0,-0.477300167084,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.705000,-0.0,-0.58260011673,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.755000,-0.0,-0.60840010643,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.805000,-0.0,-0.579299926758,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.854000,-0.0,-0.515100002289,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.904000,-0.0,-0.430499911308,0.0,0.0,0.0,0.0
1970/01/01/07:20:24.955000,-0.0,-0.339599847794,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.004000,-0.0,-0.251399874687,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.054000,-0.0,-0.172800064087,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.105000,-0.0,-0.106500148773,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.154000,-0.0,-0.0546001195908,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.204000,-0.0,-0.016499876976,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.256000,-0.0,0.00929975509644,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.304000,-0.0,0.0245997905731,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.354000,-0.0,0.0318002700806,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.405000,-0.0,0.0327000617981,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.454000,-0.0,0.0323996543884,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.505000,-0.0,0.0299999713898,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.555000,-0.0,0.0264000892639,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.605000,-0.0,0.0228002071381,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.654000,-0.0,0.0192003250122,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.705000,-0.0,0.0161998271942,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.755000,-0.0,0.0134997367859,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.804000,-0.0,0.0113997459412,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.855000,-0.0,0.00989985466003,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.904000,-0.0,0.0090000629425,0.0,0.0,0.0,0.0
1970/01/01/07:20:25.955000,-0.0,0.00810027122498,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.004000,-0.0,0.00779986381531,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.056000,-0.0,0.00779986381531,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.105000,-0.0,0.00779986381531,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.155000,-0.0,0.00779986381531,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.204000,-0.0,0.00779986381531,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.255000,-0.0,0.00779986381531,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.304000,-0.0,0.00779986381531,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.355000,-0.0,0.00779986381531,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.406000,-0.0,0.00779986381531,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.455000,-0.0,0.00779986381531,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.505000,-0.0,0.00779986381531,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.554000,-0.0,0.00750017166138,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.604000,-0.0,0.00750017166138,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.655000,-0.0,0.00750017166138,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.710000,-0.0,0.00750017166138,0.0,0.0,0.0,0.0
1970/01/01/07:20:26.755000,-0.0,0.00750017166138,0.0,0.0,0.0,0.0
