time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/07:20:04.489000,-0.75,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.539000,-0.75,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.589000,-0.75,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.640000,-0.724424958229,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.689000,-0.696074992418,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.742000,-0.667650014162,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.790000,-0.639225035906,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.839000,-0.611700028181,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.889000,-0.585300028324,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.939000,-0.55995002389,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.989000,-0.535800039768,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.039000,-0.512625038624,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.090000,-0.490500032902,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.140000,-0.469350010157,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.189000,-0.449174970388,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.240000,-0.429824978113,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.289000,-0.411300033331,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.340000,-0.393599957228,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.390000,-0.376725018024,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.439000,-0.360525012016,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.489000,-0.345075041056,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.540000,-0.33030000329,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.590000,-0.33030000329,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.639000,-0.316124975681,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.690000,-0.302624970675,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.740000,-0.289724975824,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.790000,-0.277125030756,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.840000,-0.264824956656,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.889000,-0.252974957228,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.939000,-0.241649955511,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.989000,-0.230850040913,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.040000,-0.220500022173,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.090000,-0.210675001144,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.140000,-0.201225042343,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.190000,-0.192224979401,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.239000,-0.183674991131,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.289000,-0.175499975681,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.339000,-0.167700022459,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.390000,-0.160200029612,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.439000,-0.153075009584,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.489000,-0.146324962378,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.539000,-0.139800041914,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.589000,-0.133650004864,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.640000,-0.12772500515,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.690000,-0.122099965811,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.739000,-0.116699963808,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.790000,-0.111524999142,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.839000,-0.106574982405,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.889000,-0.10192501545,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.939000,-0.0974249839783,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.989000,-0.0931499898434,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:07.045000,-0.0890250205994,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:07.089000,-0.0851249992847,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:07.139000,-0.0814500153065,0.0,0.0,0.0,0.0,0.0
