time,.x,.y,.theta
1970/01/01/07:19:58.307000,-1.00000131144,-2.00000117202,5.00375805938e-08
1970/01/01/07:19:58.358000,-1.00000131133,-2.00000117273,5.01215777154e-08
1970/01/01/07:19:58.407000,-1.00000131123,-2.00000117344,5.02055776061e-08
1970/01/01/07:19:58.457000,-1.00000131113,-2.00000117415,5.02895805764e-08
1970/01/01/07:19:58.507000,-1.00000131103,-2.00000117486,5.03735859509e-08
1970/01/01/07:19:58.558000,-1.00000131093,-2.00000117557,5.04575937231e-08
1970/01/01/07:19:58.608000,-1.00000131083,-2.00000117628,5.05416034807e-08
1970/01/01/07:19:58.657000,-1.00000131073,-2.00000117699,5.06256146146e-08
1970/01/01/07:19:58.707000,-1.00000131062,-2.0000011777,5.07096272625e-08
1970/01/01/07:19:58.757000,-1.00000131052,-2.00000117841,5.07936410003e-08
1970/01/01/07:19:58.807000,-1.00000131042,-2.00000117912,5.08776568788e-08
1970/01/01/07:19:58.858000,-1.00000131032,-2.00000117983,5.09616757999e-08
1970/01/01/07:19:58.907000,-1.00000131022,-2.00000118054,5.10456968174e-08
1970/01/01/07:19:58.958000,-1.00000131012,-2.00000118125,5.11297197864e-08
1970/01/01/07:19:59.007000,-1.00000131001,-2.00000118196,5.1213744203e-08
1970/01/01/07:19:59.057000,-1.00000130991,-2.00000118268,5.12977686699e-08
1970/01/01/07:19:59.107000,-1.00000130981,-2.00000118339,5.13817930784e-08
1970/01/01/07:19:59.157000,-1.00000130971,-2.0000011841,5.14658171476e-08
1970/01/01/07:19:59.207000,-1.00000130961,-2.00000118481,5.15498414553e-08
1970/01/01/07:19:59.257000,-1.00000130951,-2.00000118552,5.16338659201e-08
1970/01/01/07:19:59.307000,-1.0000013094,-2.00000118623,5.17178906203e-08
1970/01/01/07:19:59.356000,-1.0000013093,-2.00000118694,5.1801915245e-08
1970/01/01/07:19:59.407000,-1.0000013092,-2.00000118765,5.1885939458e-08
1970/01/01/07:19:59.457000,-1.0000013091,-2.00000118836,5.19699634413e-08
1970/01/01/07:19:59.507000,-1.000001309,-2.00000118907,5.20539861039e-08
1970/01/01/07:19:59.558000,-1.0000013089,-2.00000118978,5.21380077727e-08
1970/01/01/07:19:59.607000,-1.00000130879,-2.00000119049,5.22220268364e-08
1970/01/01/07:19:59.658000,-1.00000130869,-2.0000011912,5.23060431429e-08
1970/01/01/07:19:59.708000,-1.00000130859,-2.00000119191,5.23900573056e-08
1970/01/01/07:19:59.757000,-1.00000130849,-2.00000119262,5.2474069802e-08
1970/01/01/07:19:59.807000,-1.00000130839,-2.00000119333,5.25580809043e-08
1970/01/01/07:19:59.857000,-1.00000130829,-2.00000119404,5.26420908918e-08
1970/01/01/07:19:59.907000,-1.00000130818,-2.00000119475,5.27260997126e-08
1970/01/01/07:19:59.957000,-1.00000130808,-2.00000119546,5.28101063307e-08
1970/01/01/07:20:00.007000,-1.00000130798,-2.00000119617,5.28941102901e-08
1970/01/01/07:20:00.057000,-1.00000130788,-2.00000119688,5.29781112627e-08
1970/01/01/07:20:00.107000,-1.00000130778,-2.00000119759,5.30621106945e-08
1970/01/01/07:20:00.157000,-1.00000130767,-2.0000011983,5.31461080278e-08
1970/01/01/07:20:00.207000,-1.00000130757,-2.00000119901,5.32301032699e-08
1970/01/01/07:20:00.257000,-1.00000130747,-2.00000119973,5.33140966397e-08
1970/01/01/07:20:00.307000,-1.00000130737,-2.00000120044,5.33980886409e-08
1970/01/01/07:20:00.357000,-1.00000130727,-2.00000120115,5.34820785957e-08
1970/01/01/07:20:00.408000,-1.00000130716,-2.00000120186,5.35660665484e-08
1970/01/01/07:20:00.507000,-1.00000130706,-2.00000120257,5.36500524283e-08
1970/01/01/07:20:00.557000,-1.00000130696,-2.00000120328,5.37340362916e-08
1970/01/01/07:20:00.607000,-1.00000130686,-2.00000120399,5.38180187402e-08
1970/01/01/07:20:00.657000,-1.00000130676,-2.0000012047,5.39019990683e-08
1970/01/01/07:20:00.709000,-1.00000130665,-2.00000120541,5.39859785777e-08
1970/01/01/07:20:00.758000,-1.00000130655,-2.00000120612,5.40699574807e-08
1970/01/01/07:20:00.807000,-1.00000130645,-2.00000120683,5.41539352953e-08
1970/01/01/07:20:00.857000,-1.00000130635,-2.00000120754,5.42379124578e-08
1970/01/01/07:20:00.907000,-1.00000130625,-2.00000120825,5.43218901989e-08
1970/01/01/07:20:00.957000,-1.00000130614,-2.00000120896,5.44058669208e-08
1970/01/01/07:20:01.007000,-1.00000130604,-2.00000120967,5.44898452737e-08
1970/01/01/07:20:01.057000,-1.00000130594,-2.00000121038,5.4573827655e-08
1970/01/01/07:20:01.107000,-1.00000130584,-2.00000121109,5.46578111811e-08
1970/01/01/07:20:01.158000,-1.00000130573,-2.0000012118,5.47417964837e-08
1970/01/01/07:20:01.207000,-1.00000130563,-2.00000121251,5.48257839786e-08
1970/01/01/07:20:01.257000,-1.00000130553,-2.00000121322,5.49097743032e-08
1970/01/01/07:20:01.307000,-1.00000130543,-2.00000121393,5.49937664397e-08
1970/01/01/07:20:01.357000,-1.00000130533,-2.00000121464,5.50777589878e-08
1970/01/01/07:20:01.408000,-1.00000130522,-2.00000121535,5.51617534014e-08
1970/01/01/07:20:01.457000,-1.00000130512,-2.00000121607,5.52457496464e-08
1970/01/01/07:20:01.507000,-1.00000130502,-2.00000121678,5.53297478544e-08
1970/01/01/07:20:01.557000,-1.00000130492,-2.00000121749,5.54137483193e-08
1970/01/01/07:20:01.607000,-1.00000130481,-2.0000012182,5.54977507046e-08
1970/01/01/07:20:01.657000,-1.00000130471,-2.00000121891,5.55817555159e-08
1970/01/01/07:20:01.707000,-1.00000130461,-2.00000121962,5.56657624991e-08
1970/01/01/07:20:01.757000,-1.00000130451,-2.00000122033,5.57497700647e-08
1970/01/01/07:20:01.807000,-1.0000013044,-2.00000122104,5.58337786515e-08
1970/01/01/07:20:01.857000,-1.0000013043,-2.00000122175,5.59177884969e-08
1970/01/01/07:20:01.907000,-1.0000013042,-2.00000122246,5.60017998692e-08
1970/01/01/07:20:01.958000,-1.0000013041,-2.00000122317,5.60858136505e-08
1970/01/01/07:20:02.007000,-1.00000130399,-2.00000122388,5.61698296697e-08
1970/01/01/07:20:02.057000,-1.00000130389,-2.00000122459,5.62538484409e-08
1970/01/01/07:20:02.107000,-1.00000130379,-2.0000012253,5.63378691348e-08
1970/01/01/07:20:02.157000,-1.00000130369,-2.00000122601,5.64218918154e-08
1970/01/01/07:20:02.207000,-1.00000130359,-2.00000122672,5.65059174656e-08
1970/01/01/07:20:02.257000,-1.00000130348,-2.00000122743,5.65899449886e-08
1970/01/01/07:20:02.308000,-1.00000130338,-2.00000122814,5.66739730123e-08
1970/01/01/07:20:02.357000,-1.00000130328,-2.00000122885,5.67580008103e-08
1970/01/01/07:20:02.407000,-1.00000130318,-2.00000122956,5.68420286876e-08
1970/01/01/07:20:02.457000,-1.00000130307,-2.00000123027,5.69260570614e-08
1970/01/01/07:20:02.507000,-1.00000130297,-2.00000123098,5.70100857616e-08
1970/01/01/07:20:02.554000,-1.00000130287,-2.00000123169,5.70941140949e-08
1970/01/01/07:20:02.607000,-1.00000130276,-2.0000012324,5.71781424668e-08
1970/01/01/07:20:02.657000,-1.00000130266,-2.00000123312,5.72621705722e-08
1970/01/01/07:20:02.707000,-1.00000130256,-2.00000123383,5.73461975134e-08
1970/01/01/07:20:02.757000,-1.00000130246,-2.00000123454,5.7430223402e-08
1970/01/01/07:20:02.807000,-1.00000130235,-2.00000123525,5.75142473337e-08
1970/01/01/07:20:02.857000,-1.00000130225,-2.00000123596,5.75982690278e-08
1970/01/01/07:20:02.907000,-1.00000130215,-2.00000123667,5.76822886911e-08
1970/01/01/07:20:02.957000,-1.00000130205,-2.00000123738,5.77663061695e-08
1970/01/01/07:20:03.057000,-1.00000130194,-2.00000123809,5.78503213481e-08
1970/01/01/07:20:03.108000,-1.00000130184,-2.0000012388,5.79343343467e-08
1970/01/01/07:20:03.157000,-1.00000130174,-2.00000123951,5.80183451541e-08
1970/01/01/07:20:03.207000,-1.00000130164,-2.00000124022,5.81023546709e-08
1970/01/01/07:20:03.257000,-1.00000130153,-2.00000124093,5.81863627411e-08
1970/01/01/07:20:03.307000,-1.00000130143,-2.00000124164,5.82703700559e-08
1970/01/01/07:20:03.357000,-1.00000130133,-2.00000124235,5.83543759997e-08
1970/01/01/07:20:03.409000,-1.00000130122,-2.00000124306,5.84383802288e-08
1970/01/01/07:20:03.457000,-1.00000130112,-2.00000124377,5.85223836314e-08
1970/01/01/07:20:03.508000,-1.00000130102,-2.00000124448,5.86063853877e-08
1970/01/01/07:20:03.557000,-1.00000130092,-2.00000124519,5.8690384111e-08
1970/01/01/07:20:03.608000,-1.00000130081,-2.0000012459,5.87743815013e-08
1970/01/01/07:20:03.656000,-1.00000130071,-2.00000124661,5.88583782577e-08
1970/01/01/07:20:03.707000,-1.00000130061,-2.00000124732,5.89423732077e-08
1970/01/01/07:20:03.757000,-1.0000013005,-2.00000124803,5.90263664258e-08
1970/01/01/07:20:03.807000,-1.0000013004,-2.00000124874,5.91103569637e-08
1970/01/01/07:20:03.857000,-1.0000013003,-2.00000124945,5.91943464824e-08
1970/01/01/07:20:03.907000,-1.0000013002,-2.00000125017,5.9278334736e-08
1970/01/01/07:20:03.956000,-1.00000130009,-2.00000125088,5.93623216327e-08
1970/01/01/07:20:04.008000,-1.00000129999,-2.00000125159,5.94463069209e-08
1970/01/01/07:20:04.058000,-1.00000129989,-2.0000012523,5.95302906953e-08
1970/01/01/07:20:04.107000,-1.00000129978,-2.00000125301,5.96142735207e-08
1970/01/01/07:20:04.157000,-1.00000129968,-2.00000125372,5.96982551474e-08
1970/01/01/07:20:04.207000,-1.00000129958,-2.00000125443,5.9782235414e-08
1970/01/01/07:20:04.257000,-1.00000129947,-2.00000125514,5.98662147651e-08
1970/01/01/07:20:04.307000,-1.00000129937,-2.00000125585,5.99501929027e-08
1970/01/01/07:20:04.357000,-1.00000129927,-2.00000125656,6.00341698636e-08
1970/01/01/07:20:04.407000,-1.00000129917,-2.00000125727,6.01181460384e-08
1970/01/01/07:20:04.457000,-1.00000129906,-2.00000125798,6.02021235879e-08
1970/01/01/07:20:04.507000,-1.03410233938,-2.00000115839,1.91394596334e-08
1970/01/01/07:20:04.557000,-1.07193954982,-2.00000097354,1.25524870669e-08
