time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/07:21:15.998000,-0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:15.998000,0.0,-0.20000000298,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.049000,0.0,-0.20000000298,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.098000,0.0,-0.20000000298,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.148000,0.0,-0.20000000298,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.198000,0.0,-0.199270012964,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.248000,0.0,-0.19830000696,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.298000,0.0,-0.197320011218,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.349000,0.0,-0.196350005215,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.399000,0.0,-0.195379999211,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.449000,0.0,-0.194409993208,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.499000,0.0,-0.193450000785,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.549000,0.0,-0.192490008361,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.599000,0.0,-0.191540005677,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.649000,0.0,-0.190590002993,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.698000,0.0,-0.189650013889,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.748000,0.0,-0.188710000943,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.798000,0.0,-0.187780001577,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.849000,0.0,-0.186850002212,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.899000,0.0,-0.185929992585,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.949000,0.0,-0.1850100068,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.999000,0.0,-0.1850100068,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.048000,0.0,-0.184100010754,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.098000,0.0,-0.183200004447,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.149000,0.0,-0.1822900084,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.199000,0.0,-0.181390002093,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.248000,0.0,-0.180500009365,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.298000,0.0,-0.179600003058,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.349000,0.0,-0.178710010331,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.400000,0.0,-0.177830007342,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.448000,0.0,-0.176950004353,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.498000,0.0,-0.176079991103,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.549000,0.0,-0.175210001695,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.599000,0.0,-0.174340012287,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.649000,0.0,-0.173480012618,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.699000,0.0,-0.172630002687,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.748000,0.0,-0.171770003017,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.799000,0.0,-0.170930006667,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.849000,0.0,-0.170090010317,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.899000,0.0,-0.169250013966,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.949000,0.0,-0.168409993774,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.996000,0.0,-0.167580011004,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.049000,0.0,-0.166759994131,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.098000,0.0,-0.165940001099,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.149000,0.0,-0.165120008068,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.198000,0.0,-0.164310004775,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.248000,0.0,-0.163500001483,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.298000,0.0,-0.16270001177,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.349000,0.0,-0.161899998216,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.399000,0.0,-0.161109998243,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.449000,0.0,-0.160319998269,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.498000,0.0,-0.159529998295,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.548000,0.0,-0.158750011902,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.599000,0.0,-0.157970001667,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.648000,0.0,-0.157200005013,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.698000,0.0,-0.156430008358,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.749000,0.0,-0.155660011704,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.799000,0.0,-0.154900004788,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.849000,0.0,-0.154139997872,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.899000,0.0,-0.153390004536,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.950000,0.0,-0.152640011201,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.999000,0.0,-0.151889994024,0.0,0.0,0.0,0.0
1970/01/01/07:21:19.048000,0.0,-0.151149990427,0.0,0.0,0.0,0.0
1970/01/01/07:21:19.098000,0.0,-0.150410010672,0.0,0.0,0.0,0.0
1970/01/01/07:21:19.149000,0.0,-0.149679996814,0.0,0.0,0.0,0.0
1970/01/01/07:21:19.198000,0.0,-0.148950006797,0.0,0.0,0.0,0.0
1970/01/01/07:21:19.249000,0.0,-0.148219992939,0.0,0.0,0.0,0.0
1970/01/01/07:21:19.299000,0.0,-0.147499992661,0.0,0.0,0.0,0.0
1970/01/01/07:21:19.348000,0.0,-0.146779992383,0.0,0.0,0.0,0.0
1970/01/01/07:21:19.399000,0.0,-0.146070005686,0.0,0.0,0.0,0.0
1970/01/01/07:21:19.449000,0.0,-0.145359995147,0.0,0.0,0.0,0.0
1970/01/01/07:21:19.498000,0.0,-0.14465000845,0.0,0.0,0.0,0.0
1970/01/01/07:21:19.548000,0.0,-0.143950011491,0.0,0.0,0.0,0.0
1970/01/01/07:21:19.599000,0.0,-0.143950011491,0.0,0.0,0.0,0.0
1970/01/01/07:21:19.649000,0.0,-0.14324999069,0.0,0.0,0.0,0.0
1970/01/01/07:21:19.699000,0.0,-0.142549993732,0.0,0.0,0.0,0.0
1970/01/01/07:21:19.748000,0.0,-0.141860010354,0.0,0.0,0.0,0.0
1970/01/01/07:21:19.799000,0.0,-0.141170003134,0.0,0.0,0.0,0.0
1970/01/01/07:21:19.849000,0.0,-0.140479995914,0.0,0.0,0.0,0.0
1970/01/01/07:21:19.899000,0.0,-0.139800002274,0.0,0.0,0.0,0.0
1970/01/01/07:21:19.948000,0.0,-0.139120008634,0.0,0.0,0.0,0.0
1970/01/01/07:21:19.998000,0.0,-0.138439991153,0.0,0.0,0.0,0.0
1970/01/01/07:21:20.049000,0.0,-0.137759997513,0.0,0.0,0.0,0.0
1970/01/01/07:21:20.099000,0.0,-0.137089993612,0.0,0.0,0.0,0.0
1970/01/01/07:21:20.148000,0.0,-0.136430003292,0.0,0.0,0.0,0.0
1970/01/01/07:21:20.199000,0.0,-0.135759999391,0.0,0.0,0.0,0.0
1970/01/01/07:21:20.249000,0.0,-0.13510000907,0.0,0.0,0.0,0.0
1970/01/01/07:21:20.298000,0.0,-0.134450008488,0.0,0.0,0.0,0.0
1970/01/01/07:21:20.348000,0.0,-0.133789994326,0.0,0.0,0.0,0.0
1970/01/01/07:21:20.399000,0.0,-0.133139993744,0.0,0.0,0.0,0.0
1970/01/01/07:21:20.448000,0.0,-0.132500006743,0.0,0.0,0.0,0.0
1970/01/01/07:21:20.499000,0.0,-0.131859995899,0.0,0.0,0.0,0.0
1970/01/01/07:21:20.549000,0.0,-0.131220008898,0.0,0.0,0.0,0.0
1970/01/01/07:21:20.599000,0.0,-0.130579998055,0.0,0.0,0.0,0.0
1970/01/01/07:21:20.650000,0.0,-0.129950000792,0.0,0.0,0.0,0.0
1970/01/01/07:21:20.699000,0.0,-0.129320003529,0.0,0.0,0.0,0.0
1970/01/01/07:21:20.749000,0.0,-0.128690006266,0.0,0.0,0.0,0.0
1970/01/01/07:21:20.799000,0.0,-0.128069998742,0.0,0.0,0.0,0.0
1970/01/01/07:21:20.848000,0.0,-0.127449991218,0.0,0.0,0.0,0.0
1970/01/01/07:21:20.898000,0.0,-0.126839997274,0.0,0.0,0.0,0.0
1970/01/01/07:21:20.948000,0.0,-0.126220013592,0.0,0.0,0.0,0.0
1970/01/01/07:21:21.000000,0.0,-0.125609995806,0.0,0.0,0.0,0.0
1970/01/01/07:21:21.048000,0.0,-0.125009991601,0.0,0.0,0.0,0.0
1970/01/01/07:21:21.098000,0.0,-0.124399997658,0.0,0.0,0.0,0.0
1970/01/01/07:21:21.148000,0.0,-0.123810007033,0.0,0.0,0.0,0.0
1970/01/01/07:21:21.199000,0.0,-0.123210002828,0.0,0.0,0.0,0.0
1970/01/01/07:21:21.248000,0.0,-0.122620012203,0.0,0.0,0.0,0.0
1970/01/01/07:21:21.299000,0.0,-0.122020007998,0.0,0.0,0.0,0.0
1970/01/01/07:21:21.348000,0.0,-0.121440007112,0.0,0.0,0.0,0.0
1970/01/01/07:21:21.399000,0.0,-0.120849992646,0.0,0.0,0.0,0.0
1970/01/01/07:21:21.448000,0.0,-0.12026999176,0.0,0.0,0.0,0.0
1970/01/01/07:21:21.498000,0.0,-0.119689990873,0.0,0.0,0.0,0.0
1970/01/01/07:21:21.548000,0.0,-0.119120003568,0.0,0.0,0.0,0.0
1970/01/01/07:21:21.598000,0.0,-0.118549992421,0.0,0.0,0.0,0.0
1970/01/01/07:21:21.648000,0.0,-0.117980005115,0.0,0.0,0.0,0.0
1970/01/01/07:21:21.700000,0.0,-0.117409993968,0.0,0.0,0.0,0.0
1970/01/01/07:21:21.749000,0.0,-0.116849996401,0.0,0.0,0.0,0.0
1970/01/01/07:21:21.798000,0.0,-0.116289998834,0.0,0.0,0.0,0.0
1970/01/01/07:21:21.848000,0.0,-0.115730001267,0.0,0.0,0.0,0.0
1970/01/01/07:21:21.899000,0.0,-0.115179993438,0.0,0.0,0.0,0.0
1970/01/01/07:21:21.949000,0.0,-0.114630009452,0.0,0.0,0.0,0.0
1970/01/01/07:21:21.998000,0.0,-0.114080001624,0.0,0.0,0.0,0.0
1970/01/01/07:21:22.048000,0.0,-0.113540007376,0.0,0.0,0.0,0.0
1970/01/01/07:21:22.098000,0.0,-0.112989999547,0.0,0.0,0.0,0.0
1970/01/01/07:21:22.148000,0.0,-0.112989999547,0.0,0.0,0.0,0.0
1970/01/01/07:21:22.198000,0.0,-0.112459995038,0.0,0.0,0.0,0.0
1970/01/01/07:21:22.248000,0.0,-0.11192000079,0.0,0.0,0.0,0.0
1970/01/01/07:21:22.298000,0.0,-0.111380006543,0.0,0.0,0.0,0.0
1970/01/01/07:21:22.349000,0.0,-0.110850002033,0.0,0.0,0.0,0.0
1970/01/01/07:21:22.399000,0.0,-0.110319997524,0.0,0.0,0.0,0.0
1970/01/01/07:21:22.449000,0.0,-0.109789993015,0.0,0.0,0.0,0.0
1970/01/01/07:21:22.499000,0.0,-0.109270002086,0.0,0.0,0.0,0.0
1970/01/01/07:21:22.554000,0.0,-0.108750011157,0.0,0.0,0.0,0.0
1970/01/01/07:21:22.598000,0.0,-0.108229996387,0.0,0.0,0.0,0.0
