time,.x,.y,.theta
1970/01/01/07:21:12.604000,1.99999885141,-4.00000220426,1.72119012679e-07
1970/01/01/07:21:12.655000,1.99999885154,-4.00000220497,1.72203055735e-07
1970/01/01/07:21:12.704000,1.99999885166,-4.00000220569,1.72287097165e-07
1970/01/01/07:21:12.754000,1.99999885179,-4.0000022064,1.72371139108e-07
1970/01/01/07:21:12.805000,1.99999885191,-4.00000220711,1.72455183262e-07
1970/01/01/07:21:12.854000,1.99999885203,-4.00000220782,1.72539225009e-07
1970/01/01/07:21:12.904000,1.99999885216,-4.00000220853,1.72623267299e-07
1970/01/01/07:21:12.954000,1.99999885228,-4.00000220924,1.72707309173e-07
1970/01/01/07:21:13.004000,1.9999988524,-4.00000220995,1.72791352916e-07
1970/01/01/07:21:13.054000,1.99999885253,-4.00000221066,1.72875393662e-07
1970/01/01/07:21:13.104000,1.99999885265,-4.00000221137,1.72959434348e-07
1970/01/01/07:21:13.155000,1.99999885277,-4.00000221208,1.73043476202e-07
1970/01/01/07:21:13.204000,1.9999988529,-4.00000221279,1.73127518844e-07
1970/01/01/07:21:13.254000,1.99999885302,-4.0000022135,1.7321156101e-07
1970/01/01/07:21:13.304000,1.99999885314,-4.00000221421,1.73295602072e-07
1970/01/01/07:21:13.354000,1.99999885327,-4.00000221492,1.7337964445e-07
1970/01/01/07:21:13.404000,1.99999885339,-4.00000221563,1.73463687716e-07
1970/01/01/07:21:13.454000,1.99999885352,-4.00000221634,1.73547731127e-07
1970/01/01/07:21:13.504000,1.99999885364,-4.00000221705,1.73631774508e-07
1970/01/01/07:21:13.555000,1.99999885376,-4.00000221776,1.73715819498e-07
1970/01/01/07:21:13.604000,1.99999885389,-4.00000221847,1.73799861689e-07
1970/01/01/07:21:13.655000,1.99999885401,-4.00000221918,1.73883903596e-07
1970/01/01/07:21:13.704000,1.99999885413,-4.00000221989,1.73967944876e-07
1970/01/01/07:21:13.754000,1.99999885426,-4.0000022206,1.74051988237e-07
1970/01/01/07:21:13.804000,1.99999885438,-4.00000222131,1.74136028599e-07
1970/01/01/07:21:13.854000,1.99999885451,-4.00000222202,1.74220068315e-07
1970/01/01/07:21:13.904000,1.99999885463,-4.00000222274,1.74304109489e-07
1970/01/01/07:21:13.955000,1.99999885475,-4.00000222345,1.74388151338e-07
1970/01/01/07:21:14.004000,1.99999885488,-4.00000222416,1.74472191405e-07
1970/01/01/07:21:14.054000,1.999998855,-4.00000222487,1.74556231702e-07
1970/01/01/07:21:14.104000,1.99999885512,-4.00000222558,1.74640272188e-07
1970/01/01/07:21:14.154000,1.99999885525,-4.00000222629,1.74724315336e-07
1970/01/01/07:21:14.204000,1.99999885537,-4.000002227,1.74808356181e-07
1970/01/01/07:21:14.254000,1.9999988555,-4.00000222771,1.74892398143e-07
1970/01/01/07:21:14.305000,1.99999885562,-4.00000222842,1.74976441242e-07
1970/01/01/07:21:14.354000,1.99999885574,-4.00000222913,1.75060482632e-07
1970/01/01/07:21:14.404000,1.99999885587,-4.00000222984,1.75144520502e-07
1970/01/01/07:21:14.455000,1.99999885599,-4.00000223055,1.75228558087e-07
1970/01/01/07:21:14.504000,1.99999885612,-4.00000223126,1.75312597611e-07
1970/01/01/07:21:14.609000,1.99999885637,-4.00000223268,1.75480676136e-07
1970/01/01/07:21:14.704000,1.99999885649,-4.00000223339,1.7556471631e-07
1970/01/01/07:21:14.755000,1.99999885661,-4.0000022341,1.75648759899e-07
1970/01/01/07:21:14.804000,1.99999885674,-4.00000223481,1.75732802068e-07
1970/01/01/07:21:14.854000,1.99999885686,-4.00000223552,1.75816842536e-07
1970/01/01/07:21:14.904000,1.99999885699,-4.00000223623,1.75900882882e-07
1970/01/01/07:21:14.954000,1.99999885711,-4.00000223694,1.75984923839e-07
1970/01/01/07:21:15.004000,1.99999885723,-4.00000223765,1.76068963128e-07
1970/01/01/07:21:15.054000,1.99999885736,-4.00000223836,1.76153002248e-07
1970/01/01/07:21:15.104000,1.99999885748,-4.00000223907,1.76237042958e-07
1970/01/01/07:21:15.154000,1.99999885761,-4.00000223979,1.76321083613e-07
1970/01/01/07:21:15.204000,1.99999885773,-4.0000022405,1.76405122033e-07
1970/01/01/07:21:15.254000,1.99999885786,-4.00000224121,1.76489160463e-07
1970/01/01/07:21:15.304000,1.99999885798,-4.00000224192,1.76573200044e-07
1970/01/01/07:21:15.355000,1.9999988581,-4.00000224263,1.76657241936e-07
1970/01/01/07:21:15.404000,1.99999885823,-4.00000224334,1.76741282433e-07
1970/01/01/07:21:15.454000,1.99999885835,-4.00000224405,1.76825322844e-07
1970/01/01/07:21:15.504000,1.99999885848,-4.00000224476,1.769093641e-07
1970/01/01/07:21:15.555000,1.9999988586,-4.00000224547,1.7699340552e-07
1970/01/01/07:21:15.604000,1.99999885873,-4.00000224618,1.77077446261e-07
1970/01/01/07:21:15.654000,1.99999885885,-4.00000224689,1.77161485826e-07
1970/01/01/07:21:15.704000,1.99999885897,-4.0000022476,1.77245526676e-07
1970/01/01/07:21:15.754000,1.9999988591,-4.00000224831,1.77329565961e-07
1970/01/01/07:21:15.804000,1.99999885922,-4.00000224902,1.77413605132e-07
1970/01/01/07:21:15.855000,1.99999885935,-4.00000224973,1.77497644481e-07
1970/01/01/07:21:15.904000,1.99999885947,-4.00000225044,1.77581685062e-07
1970/01/01/07:21:15.954000,1.9999988596,-4.00000225115,1.77665724594e-07
1970/01/01/07:21:16.004000,1.99999885972,-4.00000225186,1.77749763169e-07
1970/01/01/07:21:16.055000,1.9999988543,-3.99350304113,-1.45158213978e-08
1970/01/01/07:21:16.104000,1.99999884666,-3.98375397766,-2.68456044504e-07
1970/01/01/07:21:16.154000,1.99999884045,-3.97400466513,-5.00559617476e-07
1970/01/01/07:21:16.204000,1.99999883576,-3.96425515956,-7.16001802581e-07
1970/01/01/07:21:16.254000,1.99999883257,-3.95453020406,-9.18481475973e-07
1970/01/01/07:21:16.306000,1.99999883086,-3.94485238223,-1.11086377536e-06
1970/01/01/07:21:16.354000,1.99999883059,-3.93522433964,-1.29539295237e-06
1970/01/01/07:21:16.405000,1.99999883176,-3.92564677674,-1.473961767e-06
1970/01/01/07:21:16.454000,1.99999883436,-3.91612001887,-1.64981272864e-06
1970/01/01/07:21:16.504000,1.99999883839,-3.90664331796,-1.8226154663e-06
1970/01/01/07:21:16.554000,1.99999884383,-3.89721694406,-1.99278756167e-06
1970/01/01/07:21:16.605000,1.99999885067,-3.88784053403,-2.16082782517e-06
1970/01/01/07:21:16.654000,1.9999988589,-3.87851261398,-2.32713301261e-06
1970/01/01/07:21:16.705000,1.9999988685,-3.86923407844,-2.49199312013e-06
1970/01/01/07:21:16.754000,1.99999887946,-3.86000540022,-2.65563496036e-06
1970/01/01/07:21:16.804000,1.99999889176,-3.85082559314,-2.81824590355e-06
1970/01/01/07:21:16.854000,1.99999890539,-3.84169415869,-2.97996894912e-06
1970/01/01/07:21:16.904000,1.99999892032,-3.83261199848,-3.14090275432e-06
1970/01/01/07:21:16.955000,1.99999893654,-3.82357767427,-3.30115485999e-06
1970/01/01/07:21:17.004000,1.99999895404,-3.81459115588,-3.46102035966e-06
1970/01/01/07:21:17.054000,1.9999989728,-3.80565195458,-3.62092967509e-06
1970/01/01/07:21:17.155000,1.99999899281,-3.79676002103,-3.78120101512e-06
1970/01/01/07:21:17.203000,1.99999901406,-3.78791488617,-3.94185976077e-06
1970/01/01/07:21:17.254000,1.99999903654,-3.77911648027,-4.10293026936e-06
1970/01/01/07:21:17.304000,1.99999906025,-3.77036435319,-4.26442725581e-06
1970/01/01/07:21:17.354000,1.99999908521,-3.76165049605,-4.42627718877e-06
1970/01/01/07:21:17.405000,1.99999911153,-3.75294553824,-4.58818821036e-06
1970/01/01/07:21:17.454000,1.99999913905,-3.7442858697,-4.7504396126e-06
1970/01/01/07:21:17.504000,1.99999916775,-3.73567272079,-4.91258463166e-06
1970/01/01/07:21:17.554000,1.99999919762,-3.72710568136,-5.07462287282e-06
1970/01/01/07:21:17.604000,1.99999922865,-3.71858315226,-5.23656254314e-06
1970/01/01/07:21:17.654000,1.99999926082,-3.71010522308,-5.39840734408e-06
1970/01/01/07:21:17.704000,1.99999929412,-3.70167287376,-5.56015833953e-06
1970/01/01/07:21:17.754000,1.99999932853,-3.69328524431,-5.72181954414e-06
1970/01/01/07:21:17.804000,1.99999936404,-3.68494215453,-5.8833930812e-06
1970/01/01/07:21:17.854000,1.99999940064,-3.6766424144,-6.04488262183e-06
1970/01/01/07:21:17.906000,1.9999994383,-3.66838752447,-6.2062862998e-06
1970/01/01/07:21:17.954000,1.99999947703,-3.66017547433,-6.36760883455e-06
1970/01/01/07:21:18.004000,1.99999951681,-3.65200710396,-6.52884919251e-06
1970/01/01/07:21:18.054000,1.99999955761,-3.64388302361,-6.6900066782e-06
1970/01/01/07:21:18.104000,1.99999959944,-3.63580104327,-6.85108589985e-06
1970/01/01/07:21:18.155000,1.99999964228,-3.62776170256,-7.01208605547e-06
1970/01/01/07:21:18.204000,1.99999968611,-3.61976500206,-7.17300735261e-06
1970/01/01/07:21:18.254000,1.99999973091,-3.61181149209,-7.33384888254e-06
1970/01/01/07:21:18.304000,1.99999977669,-3.60390010228,-7.49461282174e-06
1970/01/01/07:21:18.354000,1.99999982342,-3.59603054225,-7.65535681757e-06
1970/01/01/07:21:18.404000,1.9999998711,-3.58820258167,-7.81671600175e-06
1970/01/01/07:21:18.454000,1.99999991972,-3.58041622129,-7.97926960921e-06
1970/01/01/07:21:18.504000,1.99999996928,-3.57267114118,-8.14332697318e-06
1970/01/01/07:21:18.554000,2.00000001978,-3.56496714107,-8.30834330825e-06
1970/01/01/07:21:18.604000,2.00000007121,-3.55730388049,-8.47394827003e-06
1970/01/01/07:21:18.654000,2.00000012356,-3.54968118003,-8.64013991063e-06
1970/01/01/07:21:18.704000,2.00000017684,-3.54209867962,-8.80691304069e-06
1970/01/01/07:21:18.754000,2.00000023102,-3.53455621903,-8.97426547743e-06
1970/01/01/07:21:18.804000,2.0000002861,-3.52705456826,-9.14220831796e-06
1970/01/01/07:21:18.854000,2.00000034208,-3.51959179772,-9.31071374502e-06
1970/01/01/07:21:18.904000,2.00000039896,-3.51216778754,-9.47978016024e-06
1970/01/01/07:21:18.954000,2.00000045672,-3.50478364716,-9.64942343897e-06
1970/01/01/07:21:19.004000,2.00000051537,-3.49743700645,-9.81942387173e-06
1970/01/01/07:21:19.054000,2.00000057486,-3.4901308664,-9.98940374185e-06
1970/01/01/07:21:19.104000,2.00000063521,-3.4828632856,-1.01592825819e-05
1970/01/01/07:21:19.154000,2.00000069641,-3.47563418482,-1.03290606809e-05
1970/01/01/07:21:19.204000,2.00000075843,-3.46844356422,-1.04987380118e-05
1970/01/01/07:21:19.254000,2.00000082127,-3.4612909543,-1.06683158423e-05
1970/01/01/07:21:19.304000,2.00000088492,-3.45417582445,-1.0837795594e-05
1970/01/01/07:21:19.354000,2.00000094937,-3.4470986241,-1.1007175976e-05
1970/01/01/07:21:19.404000,2.0000010146,-3.44005888375,-1.11764582763e-05
1970/01/01/07:21:19.454000,2.00000108061,-3.43305607392,-1.13456436878e-05
1970/01/01/07:21:19.505000,2.00000114738,-3.42609089345,-1.15147306037e-05
1970/01/01/07:21:19.554000,2.00000121489,-3.41916330349,-1.16837189194e-05
1970/01/01/07:21:19.654000,2.00000128315,-3.41227141337,-1.18526140419e-05
1970/01/01/07:21:19.704000,2.00000135214,-3.40541592309,-1.20214137648e-05
1970/01/01/07:21:19.754000,2.00000142186,-3.39859608271,-1.21901202691e-05
1970/01/01/07:21:19.804000,2.00000149228,-3.39181350253,-1.23587288897e-05
1970/01/01/07:21:19.854000,2.0000015634,-3.38506611169,-1.25273181868e-05
1970/01/01/07:21:19.904000,2.00000163529,-3.37834839117,-1.26962006245e-05
1970/01/01/07:21:19.954000,2.00000170823,-3.37163747057,-1.28651835934e-05
1970/01/01/07:21:20.004000,2.00000178185,-3.36496190991,-1.30346583803e-05
1970/01/01/07:21:20.054000,2.00000185614,-3.35832159,-1.32045016909e-05
1970/01/01/07:21:20.104000,2.00000193111,-3.35171556016,-1.33743060562e-05
1970/01/01/07:21:20.154000,2.00000200671,-3.34514543013,-1.35440024444e-05
1970/01/01/07:21:20.204000,2.00000208296,-3.33860999009,-1.37136554106e-05
1970/01/01/07:21:20.254000,2.00000215985,-3.33210902978,-1.38836957649e-05
1970/01/01/07:21:20.304000,2.00000223736,-3.32564273943,-1.40547359687e-05
1970/01/01/07:21:20.354000,2.0000023155,-3.319210769,-1.42267643585e-05
1970/01/01/07:21:20.404000,2.00000239426,-3.31281292906,-1.43994270882e-05
1970/01/01/07:21:20.454000,2.00000247364,-3.30644888914,-1.45720701112e-05
1970/01/01/07:21:20.503000,2.00000255363,-3.30011864925,-1.47445943842e-05
1970/01/01/07:21:20.555000,2.00000263421,-3.2938219891,-1.49170009936e-05
1970/01/01/07:21:20.604000,2.00000271538,-3.28755796881,-1.50892933485e-05
1970/01/01/07:21:20.654000,2.00000279713,-3.28132786852,-1.52614667784e-05
1970/01/01/07:21:20.704000,2.00000287945,-3.27513016781,-1.54335268423e-05
1970/01/01/07:21:20.754000,2.00000296232,-3.26896585696,-1.56054698907e-05
1970/01/01/07:21:20.804000,2.00000304575,-3.26283403625,-1.57772992127e-05
1970/01/01/07:21:20.854000,2.00000312972,-3.25673410564,-1.59490169329e-05
1970/01/01/07:21:20.904000,2.0000032142,-3.25066789519,-1.6120696999e-05
1970/01/01/07:21:20.954000,2.00000329922,-3.24463300472,-1.62927149676e-05
1970/01/01/07:21:21.004000,2.00000338476,-3.23863014435,-1.64652968055e-05
1970/01/01/07:21:21.054000,2.00000347081,-3.23265859394,-1.66382549241e-05
1970/01/01/07:21:21.104000,2.00000355737,-3.22671904356,-1.68112345255e-05
1970/01/01/07:21:21.154000,2.00000364442,-3.22081103304,-1.69840896611e-05
1970/01/01/07:21:21.204000,2.00000373196,-3.21493439257,-1.7156821249e-05
1970/01/01/07:21:21.255000,2.00000381998,-3.20908859182,-1.73294314331e-05
1970/01/01/07:21:21.306000,2.00000390847,-3.20327384109,-1.75019192894e-05
1970/01/01/07:21:21.354000,2.00000399743,-3.19748991098,-1.76742857736e-05
1970/01/01/07:21:21.404000,2.00000408684,-3.19173666068,-1.78465314131e-05
1970/01/01/07:21:21.454000,2.0000041767,-3.18601369031,-1.80186578368e-05
1970/01/01/07:21:21.504000,2.00000426699,-3.18032145998,-1.81906631248e-05
1970/01/01/07:21:21.554000,2.00000435772,-3.1746588097,-1.83625519826e-05
1970/01/01/07:21:21.605000,2.00000444887,-3.16902631947,-1.85343220221e-05
1970/01/01/07:21:21.654000,2.00000454043,-3.16342411867,-1.87059727182e-05
1970/01/01/07:21:21.703000,2.0000046324,-3.15785098829,-1.8877508994e-05
1970/01/01/07:21:21.755000,2.00000472479,-3.15230647788,-1.90496331651e-05
1970/01/01/07:21:21.805000,2.00000481757,-3.14679211797,-1.92227488808e-05
1970/01/01/07:21:21.854000,2.00000491073,-3.14130747799,-1.93968724609e-05
1970/01/01/07:21:21.904000,2.0000050043,-3.13585090721,-1.95713376899e-05
1970/01/01/07:21:21.954000,2.00000509826,-3.13042343748,-1.97456814927e-05
