time,.x,.y,.theta
1970/01/01/07:21:12.605000,0.0,0.0,0.0
1970/01/01/07:21:12.706000,0.0,0.0,0.0
1970/01/01/07:21:12.755000,0.0,0.0,0.0
1970/01/01/07:21:12.855000,0.0,0.0,0.0
1970/01/01/07:21:12.905000,0.0,0.0,0.0
1970/01/01/07:21:13.005000,0.0,0.0,0.0
1970/01/01/07:21:13.055000,0.0,0.0,0.0
1970/01/01/07:21:13.105000,0.0,0.0,0.0
1970/01/01/07:21:13.205000,0.0,0.0,0.0
1970/01/01/07:21:13.255000,0.0,0.0,0.0
1970/01/01/07:21:13.305000,0.0,0.0,0.0
1970/01/01/07:21:13.405000,0.0,0.0,0.0
1970/01/01/07:21:13.455000,0.0,0.0,0.0
1970/01/01/07:21:13.558000,0.0,0.0,0.0
1970/01/01/07:21:13.655000,0.0,0.0,0.0
1970/01/01/07:21:13.705000,0.0,0.0,0.0
1970/01/01/07:21:13.805000,0.0,0.0,0.0
1970/01/01/07:21:13.856000,0.0,0.0,0.0
1970/01/01/07:21:13.905000,0.0,0.0,0.0
1970/01/01/07:21:13.955000,0.0,0.0,0.0
1970/01/01/07:21:14.006000,0.0,0.0,0.0
1970/01/01/07:21:14.055000,0.0,0.0,0.0
1970/01/01/07:21:14.106000,0.0,0.0,0.0
1970/01/01/07:21:14.205000,0.0,0.0,0.0
1970/01/01/07:21:14.255000,0.0,0.0,0.0
1970/01/01/07:21:14.355000,0.0,0.0,0.0
1970/01/01/07:21:14.405000,0.0,0.0,0.0
1970/01/01/07:21:14.455000,0.0,0.0,0.0
1970/01/01/07:21:14.505000,0.0,0.0,0.0
1970/01/01/07:21:14.555000,0.0,0.0,0.0
1970/01/01/07:21:14.655000,0.0,0.0,0.0
1970/01/01/07:21:14.706000,0.0,0.0,0.0
1970/01/01/07:21:14.756000,0.0,0.0,0.0
1970/01/01/07:21:14.807000,0.0,0.0,0.0
1970/01/01/07:21:14.906000,0.0,0.0,0.0
1970/01/01/07:21:14.955000,0.0,0.0,0.0
1970/01/01/07:21:15.006000,0.0,0.0,0.0
1970/01/01/07:21:15.056000,0.0,0.0,0.0
1970/01/01/07:21:15.155000,0.0,0.0,0.0
1970/01/01/07:21:15.205000,0.0,0.0,0.0
1970/01/01/07:21:15.255000,0.0,0.0,0.0
1970/01/01/07:21:15.306000,0.0,0.0,0.0
1970/01/01/07:21:15.355000,0.0,0.0,0.0
1970/01/01/07:21:15.455000,0.0,0.0,0.0
1970/01/01/07:21:15.504000,0.0,0.0,0.0
1970/01/01/07:21:15.555000,0.0,0.0,0.0
1970/01/01/07:21:15.656000,0.0,0.0,0.0
1970/01/01/07:21:15.755000,0.0,0.0,0.0
1970/01/01/07:21:15.805000,0.0,0.0,0.0
1970/01/01/07:21:15.855000,0.0,0.0,0.0
1970/01/01/07:21:15.905000,0.0,0.0,0.0
1970/01/01/07:21:15.955000,0.0,0.0,0.0
1970/01/01/07:21:16.005000,0.0,0.0,0.0
1970/01/01/07:21:16.104000,0.0,0.0,0.0
1970/01/01/07:21:16.155000,0.0,0.0,0.0
1970/01/01/07:21:16.206000,0.0,0.0,0.0
1970/01/01/07:21:16.305000,0.0,0.0,0.0
1970/01/01/07:21:16.355000,0.0,0.0,0.0
1970/01/01/07:21:16.405000,0.0,0.0,0.0
1970/01/01/07:21:16.455000,0.0,0.0,0.0
1970/01/01/07:21:16.555000,0.0,0.0,0.0
1970/01/01/07:21:16.655000,0.0,0.0,0.0
1970/01/01/07:21:16.708000,0.0,0.0,0.0
1970/01/01/07:21:16.805000,0.0,0.0,0.0
1970/01/01/07:21:16.905000,0.0,0.0,0.0
1970/01/01/07:21:16.955000,0.0,0.0,0.0
1970/01/01/07:21:17.056000,0.0,0.0,0.0
1970/01/01/07:21:17.156000,0.0,0.0,0.0
1970/01/01/07:21:17.255000,0.0,0.0,0.0
1970/01/01/07:21:17.356000,0.0,0.0,0.0
1970/01/01/07:21:17.455000,0.0,0.0,0.0
1970/01/01/07:21:17.506000,0.0,0.0,0.0
1970/01/01/07:21:17.605000,0.0,0.0,0.0
1970/01/01/07:21:17.655000,0.0,0.0,0.0
1970/01/01/07:21:17.705000,0.0,0.0,0.0
1970/01/01/07:21:17.756000,0.0,0.0,0.0
1970/01/01/07:21:17.805000,0.0,0.0,0.0
1970/01/01/07:21:17.856000,0.0,0.0,0.0
1970/01/01/07:21:17.955000,0.0,0.0,0.0
1970/01/01/07:21:18.005000,0.0,0.0,0.0
1970/01/01/07:21:18.055000,0.0,0.0,0.0
1970/01/01/07:21:18.155000,0.0,0.0,0.0
1970/01/01/07:21:18.205000,0.0,0.0,0.0
1970/01/01/07:21:18.256000,0.0,0.0,0.0
1970/01/01/07:21:18.355000,0.0,0.0,0.0
1970/01/01/07:21:18.455000,0.0,0.0,0.0
1970/01/01/07:21:18.506000,0.0,0.0,0.0
1970/01/01/07:21:18.555000,0.0,0.0,0.0
1970/01/01/07:21:18.607000,0.0,0.0,0.0
1970/01/01/07:21:18.705000,0.0,0.0,0.0
1970/01/01/07:21:18.757000,0.0,0.0,0.0
1970/01/01/07:21:18.856000,0.0,0.0,0.0
1970/01/01/07:21:18.905000,0.0,0.0,0.0
1970/01/01/07:21:18.955000,0.0,0.0,0.0
1970/01/01/07:21:19.055000,0.0,0.0,0.0
1970/01/01/07:21:19.105000,0.0,0.0,0.0
1970/01/01/07:21:19.154000,0.0,0.0,0.0
1970/01/01/07:21:19.205000,0.0,0.0,0.0
1970/01/01/07:21:19.306000,0.0,0.0,0.0
1970/01/01/07:21:19.355000,0.0,0.0,0.0
1970/01/01/07:21:19.405000,0.0,0.0,0.0
1970/01/01/07:21:19.505000,0.0,0.0,0.0
1970/01/01/07:21:19.555000,0.0,0.0,0.0
1970/01/01/07:21:19.655000,0.0,0.0,0.0
1970/01/01/07:21:19.705000,0.0,0.0,0.0
1970/01/01/07:21:19.755000,0.0,0.0,0.0
1970/01/01/07:21:19.855000,0.0,0.0,0.0
1970/01/01/07:21:19.905000,0.0,0.0,0.0
1970/01/01/07:21:19.956000,0.0,0.0,0.0
1970/01/01/07:21:20.006000,0.0,0.0,0.0
1970/01/01/07:21:20.105000,0.0,0.0,0.0
1970/01/01/07:21:20.155000,0.0,0.0,0.0
1970/01/01/07:21:20.205000,0.0,0.0,0.0
1970/01/01/07:21:20.255000,0.0,0.0,0.0
1970/01/01/07:21:20.309000,0.0,0.0,0.0
1970/01/01/07:21:20.355000,0.0,0.0,0.0
1970/01/01/07:21:20.405000,0.0,0.0,0.0
1970/01/01/07:21:20.454000,0.0,0.0,0.0
1970/01/01/07:21:20.505000,0.0,0.0,0.0
1970/01/01/07:21:20.555000,0.0,0.0,0.0
1970/01/01/07:21:20.605000,0.0,0.0,0.0
1970/01/01/07:21:20.707000,0.0,0.0,0.0
1970/01/01/07:21:20.757000,0.0,0.0,0.0
1970/01/01/07:21:20.856000,0.0,0.0,0.0
1970/01/01/07:21:20.905000,0.0,0.0,0.0
1970/01/01/07:21:20.955000,0.0,0.0,0.0
1970/01/01/07:21:21.005000,0.0,0.0,0.0
1970/01/01/07:21:21.056000,0.0,0.0,0.0
1970/01/01/07:21:21.106000,0.0,0.0,0.0
1970/01/01/07:21:21.155000,0.0,0.0,0.0
1970/01/01/07:21:21.255000,0.0,0.0,0.0
1970/01/01/07:21:21.304000,0.0,0.0,0.0
1970/01/01/07:21:21.355000,0.0,0.0,0.0
1970/01/01/07:21:21.405000,0.0,0.0,0.0
1970/01/01/07:21:21.455000,0.0,0.0,0.0
1970/01/01/07:21:21.505000,0.0,0.0,0.0
