time,.x,.y,.theta
1970/01/01/07:21:30.906000,-2.31863418426,2.00004752206,-0.000658109104879
1970/01/01/07:21:30.956000,-2.31864086475,2.00004752626,-0.000658106554822
1970/01/01/07:21:31.006000,-2.31864754589,2.0000475305,-0.000658103972548
1970/01/01/07:21:31.057000,-2.31865422767,2.00004753474,-0.000658101338657
1970/01/01/07:21:31.106000,-2.3186609101,2.00004753899,-0.000658098650449
1970/01/01/07:21:31.155000,-2.31866759317,2.00004754325,-0.000658095907628
1970/01/01/07:21:31.206000,-2.31867317541,2.00004754681,-0.000658093108218
1970/01/01/07:21:31.256000,-2.31867730639,2.00004754937,-0.000658090256859
1970/01/01/07:21:31.306000,-2.31868143809,2.00004755195,-0.000658087351233
1970/01/01/07:21:31.356000,-2.31868557049,2.00004755454,-0.000658084391045
1970/01/01/07:21:31.406000,-2.3186897036,2.00004755713,-0.000658081376646
1970/01/01/07:21:31.456000,-2.31869383742,2.00004755972,-0.000658078308238
1970/01/01/07:21:31.506000,-2.31869797194,2.00004756232,-0.000658075185965
1970/01/01/07:21:31.556000,-2.31870210717,2.00004756492,-0.000658072009959
1970/01/01/07:21:31.606000,-2.31870624311,2.00004756752,-0.000658068780347
1970/01/01/07:21:31.656000,-2.31871037975,2.00004757013,-0.000658065497256
1970/01/01/07:21:31.706000,-2.31871451709,2.00004757274,-0.000658062160814
1970/01/01/07:21:31.756000,-2.31871865514,2.00004757536,-0.000658058771152
1970/01/01/07:21:31.806000,-2.31872279389,2.00004757797,-0.000658055328398
1970/01/01/07:21:31.856000,-2.31872693335,2.00004758059,-0.000658051832683
1970/01/01/07:21:31.956000,-2.3187310735,2.00004758322,-0.000658048284137
1970/01/01/07:21:32.006000,-2.31873521436,2.00004758584,-0.000658044682893
1970/01/01/07:21:32.056000,-2.31873935592,2.00004758848,-0.000658041029083
1970/01/01/07:21:32.105000,-2.31874349818,2.00004759111,-0.000658037322839
1970/01/01/07:21:32.156000,-2.31874764114,2.00004759375,-0.000658033564294
1970/01/01/07:21:32.205000,-2.3187517848,2.00004759639,-0.000658029753582
1970/01/01/07:21:32.256000,-2.31875592916,2.00004759903,-0.000658025890836
1970/01/01/07:21:32.306000,-2.31876007422,2.00004760168,-0.000658021976191
1970/01/01/07:21:32.356000,-2.31876421998,2.00004760433,-0.000658018009782
1970/01/01/07:21:32.406000,-2.3187661188,2.00004760553,-0.000658013990718
1970/01/01/07:21:32.456000,-2.31876771869,2.0000476065,-0.000658009922165
