time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/07:21:30.919000,-0.0001500248909,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:30.969000,-0.0001500248909,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:31.019000,-0.0001500248909,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:31.070000,-9.99569892883e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:31.119000,-9.99569892883e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:31.169000,-9.99569892883e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:31.220000,-9.99569892883e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:31.270000,-9.99569892883e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:31.320000,-9.99569892883e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:31.370000,-9.99569892883e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:31.419000,-9.99569892883e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:31.469000,-9.99569892883e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:31.520000,-9.99569892883e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:31.570000,-9.99569892883e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:31.619000,-9.99569892883e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:31.670000,-9.99569892883e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:31.720000,-9.99569892883e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:31.769000,-9.99569892883e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:31.819000,-9.99569892883e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:31.870000,-9.99569892883e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:31.920000,-9.99569892883e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:31.969000,-9.99569892883e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:32.020000,-9.99569892883e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:32.069000,-9.99569892883e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:32.119000,-9.99569892883e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:32.168000,-5.00082969666e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:32.219000,-5.00082969666e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:32.269000,-5.00082969666e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:32.320000,-5.00082969666e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:32.369000,-5.00082969666e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:32.419000,-5.00082969666e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:32.470000,-5.00082969666e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:32.520000,-5.00082969666e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:32.569000,-5.00082969666e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:32.619000,-5.00082969666e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:32.670000,-5.00082969666e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:32.719000,-5.00082969666e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:32.770000,-5.00082969666e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:32.820000,-5.00082969666e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:32.870000,-5.00082969666e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:32.920000,-5.00082969666e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:32.970000,-5.00082969666e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:33.020000,-5.00082969666e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:33.070000,-5.00082969666e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:33.119000,-5.00082969666e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:33.169000,-5.00082969666e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:33.219000,-5.00082969666e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:33.269000,-5.00082969666e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:33.319000,-5.00082969666e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:33.370000,-5.00082969666e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:33.419000,-5.00082969666e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:33.470000,0.00649999082088,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:33.520000,0.0130999833345,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:33.569000,0.0197499841452,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:33.620000,0.0263500362635,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:33.669000,0.0328000038862,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:33.720000,0.0391000062227,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:33.769000,0.0451999753714,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:33.819000,0.0511000305414,-5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:21:33.870000,0.0568499490619,-5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:21:33.919000,0.0624499544501,-5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:21:33.970000,0.0678999945521,-5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:21:34.019000,0.073199942708,-5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:21:34.069000,0.0783500522375,-5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:21:34.119000,0.0833499580622,-5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:21:34.170000,0.0882000178099,-5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:21:34.220000,0.0928499922156,-5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:21:34.269000,0.0974499508739,-5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:21:34.320000,0.101950012147,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:34.369000,0.106299988925,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:34.420000,0.110499998555,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:34.470000,0.11459999159,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:34.519000,0.118599969894,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:34.571000,0.122399981599,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:34.619000,0.126200045197,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:34.669000,0.129850024357,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:34.719000,0.133450054564,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:34.769000,0.136900000274,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:34.820000,0.140250049531,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:34.870000,0.143550030887,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:34.919000,0.150200027972,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:34.969000,0.153349991888,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:35.020000,0.156399991363,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:35.070000,0.159449990839,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:35.119000,0.162299953401,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:35.169000,0.165050022304,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:35.219000,0.167750023305,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:35.270000,0.170350007713,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:35.319000,0.17279997468,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:35.370000,0.175299942493,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:35.419000,0.177799940109,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:35.469000,0.179999947548,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:35.519000,0.182250052691,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:35.569000,0.184449970722,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:35.619000,0.186650007963,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:35.669000,0.188700020313,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:35.719000,0.19080004096,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:35.769000,0.192849993706,4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:21:35.820000,0.194899946451,4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:21:35.870000,0.196850001812,4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:21:35.919000,0.198800057173,4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:21:35.970000,0.200700044632,4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:21:36.019000,0.202499955893,4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:21:36.070000,0.204300045967,4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:21:36.119000,0.206049948931,4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:21:36.170000,0.207799971104,4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:21:36.219000,0.20949998498,4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:21:36.269000,0.211149990559,4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:21:36.320000,0.212749987841,4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:21:36.369000,0.21424998343,4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:21:36.420000,0.215750008821,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:36.469000,0.217199981213,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:36.519000,0.218600004911,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:36.570000,0.219900012016,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:36.620000,0.221150010824,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:36.670000,0.222400009632,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:36.720000,0.223499983549,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:36.770000,0.224649965763,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:36.820000,0.225899994373,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:36.870000,0.226799964905,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:36.919000,0.227999985218,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:36.969000,0.228850007057,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:37.019000,0.229800015688,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:37.070000,0.230700016022,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:37.119000,0.231600016356,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:37.169000,0.232500016689,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:37.219000,0.233350008726,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:37.270000,0.234200000763,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:37.319000,0.234999984503,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:37.369000,0.235799968243,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:37.419000,0.242449969053,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:37.469000,0.243200033903,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:37.520000,0.244100004435,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:37.569000,0.244650006294,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:37.620000,0.245400041342,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:37.669000,0.245799958706,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:37.720000,0.246300011873,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:37.769000,0.246749997139,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:37.819000,0.24715000391,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:37.869000,0.247749984264,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:37.919000,0.248200029135,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:37.970000,0.248450011015,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:38.019000,0.248949974775,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:38.070000,0.249249994755,0.0,0.0,0.0,0.0,0.0
