time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/07:24:53.720000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:53.770000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:53.820000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:53.869000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:53.919000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:53.973000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.019000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.070000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.119000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.169000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.220000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.270000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.319000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.369000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.420000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.471000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.520000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.569000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.620000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.670000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.720000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.769000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.819000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.870000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.920000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.969000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.019000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.070000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.120000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.170000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.220000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.269000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.319000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.369000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.419000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.470000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.520000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.570000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.619000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.670000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.719000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.769000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.820000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.870000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.919000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.969000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:56.019000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:56.070000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:56.119000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:56.170000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:56.219000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:56.270000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:56.320000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:56.369000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:56.419000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:56.470000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:56.520000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:56.569000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:56.619000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:56.669000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:56.719000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:56.769000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:56.820000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:56.869000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:56.919000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:56.969000,3.35276126862e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:57.021000,-0.00649996846914,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:57.070000,-0.0131499692798,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:57.120000,-0.0199499670416,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:57.169000,-0.0264000184834,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:57.219000,-0.0328499861062,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:57.270000,-0.0390999871306,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:57.319000,-0.0451999555517,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:57.370000,-0.0511499587446,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:57.419000,-0.0569000476971,5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:24:57.469000,-0.0626500528306,5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:24:57.520000,-0.0679499730468,5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:24:57.569000,-0.0732500478625,5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:24:57.619000,-0.0784499831498,5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:24:57.670000,-0.0834000073373,5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:24:57.719000,-0.0883999466896,5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:24:57.770000,-0.0929999910295,5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:24:57.819000,-0.0975999459624,5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:24:57.870000,-0.102049939334,5.00082969666e-05,0.0,0.0,0.0,0.0
