time,.x,.y,.theta
1970/01/01/07:24:53.708000,0.093002175,1.19574225,0.0
1970/01/01/07:24:53.756000,0.093002175,1.19574225,0.0
1970/01/01/07:24:53.806000,0.093002175,1.19574225,0.0
1970/01/01/07:24:53.856000,0.093002175,1.19574225,0.0
1970/01/01/07:24:53.906000,0.093002175,1.19574225,0.0
1970/01/01/07:24:53.956000,0.093002175,1.19574225,0.0
1970/01/01/07:24:54.006000,0.093002175,1.19574225,0.0
1970/01/01/07:24:54.056000,0.093002175,1.19574225,0.0
1970/01/01/07:24:54.106000,0.093002175,1.19574225,0.0
1970/01/01/07:24:54.156000,0.093002175,1.19574225,0.0
1970/01/01/07:24:54.206000,0.093002175,1.19574225,0.0
1970/01/01/07:24:54.257000,0.093002175,1.19574225,0.0
1970/01/01/07:24:54.306000,0.093002175,1.19574225,0.0
1970/01/01/07:24:54.356000,0.093002175,1.19574225,0.0
1970/01/01/07:24:54.406000,0.093002175,1.19574225,0.0
1970/01/01/07:24:54.456000,0.093002175,1.19574225,0.0
1970/01/01/07:24:54.507000,0.093002175,1.19574225,0.0
1970/01/01/07:24:54.556000,0.093002175,1.19574225,0.0
1970/01/01/07:24:54.606000,0.093002175,1.19574225,0.0
1970/01/01/07:24:54.656000,0.093002175,1.19574225,0.0
1970/01/01/07:24:54.706000,0.093002175,1.19574225,0.0
1970/01/01/07:24:54.756000,0.093002175,1.19574225,0.0
1970/01/01/07:24:54.806000,0.093002175,1.19574225,0.0
1970/01/01/07:24:54.856000,0.093002175,1.19574225,0.0
1970/01/01/07:24:54.907000,0.093002175,1.19574225,0.0
1970/01/01/07:24:54.956000,0.093002175,1.19574225,0.0
1970/01/01/07:24:55.006000,0.093002175,1.19574225,0.0
1970/01/01/07:24:55.056000,0.093002175,1.19574225,0.0
1970/01/01/07:24:55.106000,0.093002175,1.19574225,0.0
1970/01/01/07:24:55.156000,0.093002175,1.19574225,0.0
1970/01/01/07:24:55.206000,0.093002175,1.19574225,0.0
1970/01/01/07:24:55.256000,0.093002175,1.19574225,0.0
1970/01/01/07:24:55.307000,0.093002175,1.19574225,0.0
1970/01/01/07:24:55.356000,0.093002175,1.19574225,0.0
1970/01/01/07:24:55.406000,0.093002175,1.19574225,0.0
1970/01/01/07:24:55.456000,0.093002175,1.19574225,0.0
1970/01/01/07:24:55.506000,0.093002175,1.19574225,0.0
1970/01/01/07:24:55.556000,0.093002175,1.19574225,0.0
1970/01/01/07:24:55.606000,0.093002175,1.19574225,0.0
1970/01/01/07:24:55.656000,0.093002175,1.19574225,0.0
1970/01/01/07:24:55.706000,0.093002175,1.19574225,0.0
1970/01/01/07:24:55.756000,0.093002175,1.19574225,0.0
1970/01/01/07:24:55.806000,0.093002175,1.19574225,0.0
1970/01/01/07:24:55.856000,0.093002175,1.19574225,0.0
1970/01/01/07:24:55.906000,0.093002175,1.19574225,0.0
1970/01/01/07:24:55.956000,0.093002175,1.19574225,0.0
1970/01/01/07:24:56.006000,0.093002175,1.19574225,0.0
1970/01/01/07:24:56.056000,0.093002175,1.19574225,0.0
1970/01/01/07:24:56.106000,0.093002175,1.19574225,0.0
1970/01/01/07:24:56.156000,0.093002175,1.19574225,0.0
1970/01/01/07:24:56.206000,0.093002175,1.19574225,0.0
1970/01/01/07:24:56.258000,0.093002175,1.19574225,0.0
1970/01/01/07:24:56.356000,0.093002175,1.19574225,0.0
1970/01/01/07:24:56.406000,0.093002175,1.19574225,0.0
1970/01/01/07:24:56.456000,0.093002175,1.19574225,0.0
1970/01/01/07:24:56.506000,0.093002175,1.19574225,0.0
1970/01/01/07:24:56.557000,0.093002175,1.19574225,0.0
1970/01/01/07:24:56.606000,0.093002175,1.19574225,0.0
1970/01/01/07:24:56.656000,0.093002175,1.19574225,0.0
1970/01/01/07:24:56.706000,0.093002175,1.19574225,0.0
1970/01/01/07:24:56.756000,0.093002175,1.19574225,0.0
1970/01/01/07:24:56.806000,0.093002175,1.19574225,0.0
1970/01/01/07:24:56.856000,0.093002175,1.19574225,0.0
1970/01/01/07:24:56.906000,0.0799818705,1.19574225,0.0
1970/01/01/07:24:56.956000,0.0666958455,1.19574225,0.0
1970/01/01/07:24:57.007000,0.0531441,1.19574225,0.0
1970/01/01/07:24:57.056000,0.0401237955,1.19574225,0.0
1970/01/01/07:24:57.107000,0.0268377705,1.19574225,0.0
1970/01/01/07:24:57.156000,0.0135517455,1.19574225,0.0
1970/01/01/07:24:57.206000,0.000265720500003,1.19574225,0.0
1970/01/01/07:24:57.256000,-0.0130203045,1.19574225,0.0
1970/01/01/07:24:57.306000,-0.0263063295,1.19574225,0.0
1970/01/01/07:24:57.356000,-0.039858075,1.19574225,0.0
1970/01/01/07:24:57.406000,-0.0528783795,1.19574225,0.0
1970/01/01/07:24:57.456000,-0.0661644045,1.19574225,0.0
1970/01/01/07:24:57.507000,-0.0794504295,1.19574225,0.0
1970/01/01/07:24:57.556000,-0.0927364545,1.19574225,0.0
1970/01/01/07:24:57.606000,-0.1062882,1.19574225,0.0
1970/01/01/07:24:57.656000,-0.1193085045,1.19574225,0.0
1970/01/01/07:24:57.707000,-0.1325945295,1.19574225,0.0
1970/01/01/07:24:57.756000,-0.1458805545,1.19574225,0.0
1970/01/01/07:24:57.806000,-0.1591665795,1.19574225,0.0
1970/01/01/07:24:57.856000,-0.1724526045,1.19574225,0.0
1970/01/01/07:24:57.908000,-0.1990246545,1.19574225,0.0
1970/01/01/07:24:58.007000,-0.2123106795,1.19574225,0.0
1970/01/01/07:24:58.056000,-0.2255967045,1.19574225,0.0
1970/01/01/07:24:58.106000,-0.2388827295,1.19574225,0.0
1970/01/01/07:24:58.156000,-0.2521687545,1.19574225,0.0
1970/01/01/07:24:58.206000,-0.2654547795,1.19574225,0.0
1970/01/01/07:24:58.256000,-0.2787408045,1.19574225,0.0
1970/01/01/07:24:58.306000,-0.2920268295,1.19574225,0.0
1970/01/01/07:24:58.356000,-0.305578575,1.19574225,0.0
1970/01/01/07:24:58.406000,-0.3185988795,1.19574225,0.0
1970/01/01/07:24:58.456000,-0.3318849045,1.19574225,0.0
1970/01/01/07:24:58.506000,-0.3451709295,1.19574225,0.0
1970/01/01/07:24:58.556000,-0.3584569545,1.19574225,0.0
1970/01/01/07:24:58.606000,-0.3717429795,1.19574225,0.0
1970/01/01/07:24:58.656000,-0.3850290045,1.19574225,0.0
1970/01/01/07:24:58.706000,-0.3983150295,1.19574225,0.0
1970/01/01/07:24:58.756000,-0.4116010545,1.19574225,0.0
1970/01/01/07:24:58.806000,-0.4248870795,1.19574225,0.0
1970/01/01/07:24:58.856000,-0.4381731045,1.19574225,0.0
1970/01/01/07:24:58.906000,-0.4514591295,1.19574225,0.0
1970/01/01/07:24:58.956000,-0.4647451545,1.19574225,0.0
