time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/07:24:04.470000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:04.519000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:04.569000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:04.619000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:04.669000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:04.720000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:04.769000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:04.819000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:04.869000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:04.920000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:04.969000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.020000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.069000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.120000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.169000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.220000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.269000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.319000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.370000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.420000,-5.00343739986e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.470000,-5.00343739986e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.520000,-5.00343739986e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.570000,-5.00343739986e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.620000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.670000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.720000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.769000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.819000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.870000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.920000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.970000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.019000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.070000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.120000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.169000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.219000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.269000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.320000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.370000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.419000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.469000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.520000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.570000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.619000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.669000,-5.00343739986e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.719000,-5.00343739986e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.769000,-5.00343739986e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.819000,-5.00343739986e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.869000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.919000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.969000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:07.020000,3.35276126862e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:24:07.069000,3.35276126862e-08,0.00674998760223,0.0,0.0,0.0,0.0
1970/01/01/07:24:07.119000,3.35276126862e-08,0.0132499933243,0.0,0.0,0.0,0.0
