time,.x,.y,.theta
1970/01/01/07:24:04.456000,0.093002175,-3.188646,0.0
1970/01/01/07:24:04.505000,0.093002175,-3.188646,0.0
1970/01/01/07:24:04.556000,0.093002175,-3.188646,0.0
1970/01/01/07:24:04.606000,0.093002175,-3.188646,0.0
1970/01/01/07:24:04.656000,0.093002175,-3.188646,0.0
1970/01/01/07:24:04.706000,0.093002175,-3.188646,0.0
1970/01/01/07:24:04.756000,0.093002175,-3.188646,0.0
1970/01/01/07:24:04.806000,0.093002175,-3.188646,0.0
1970/01/01/07:24:04.856000,0.093002175,-3.188646,0.0
1970/01/01/07:24:04.906000,0.093002175,-3.188646,0.0
1970/01/01/07:24:04.956000,0.093002175,-3.188646,0.0
1970/01/01/07:24:05.006000,0.093002175,-3.188646,0.0
1970/01/01/07:24:05.056000,0.093002175,-3.188646,0.0
1970/01/01/07:24:05.106000,0.093002175,-3.188646,0.0
1970/01/01/07:24:05.156000,0.093002175,-3.188646,0.0
1970/01/01/07:24:05.206000,0.093002175,-3.188646,0.0
1970/01/01/07:24:05.256000,0.093002175,-3.188646,0.0
1970/01/01/07:24:05.306000,0.093002175,-3.188646,0.0
1970/01/01/07:24:05.356000,0.093002175,-3.188646,0.0
1970/01/01/07:24:05.406000,0.093002175,-3.188646,0.0
1970/01/01/07:24:05.456000,0.093002175,-3.188646,0.0
1970/01/01/07:24:05.507000,0.093002175,-3.188646,0.0
1970/01/01/07:24:05.556000,0.093002175,-3.188646,0.0
1970/01/01/07:24:05.606000,0.093002175,-3.188646,0.0
1970/01/01/07:24:05.656000,0.093002175,-3.188646,0.0
1970/01/01/07:24:05.706000,0.093002175,-3.188646,0.0
1970/01/01/07:24:05.756000,0.093002175,-3.188646,0.0
1970/01/01/07:24:05.806000,0.093002175,-3.188646,0.0
1970/01/01/07:24:05.856000,0.093002175,-3.188646,0.0
1970/01/01/07:24:05.906000,0.093002175,-3.188646,0.0
1970/01/01/07:24:05.956000,0.093002175,-3.188646,0.0
1970/01/01/07:24:06.006000,0.093002175,-3.188646,0.0
1970/01/01/07:24:06.056000,0.093002175,-3.188646,0.0
1970/01/01/07:24:06.106000,0.093002175,-3.188646,0.0
1970/01/01/07:24:06.156000,0.093002175,-3.188646,0.0
1970/01/01/07:24:06.207000,0.093002175,-3.188646,0.0
1970/01/01/07:24:06.256000,0.093002175,-3.188646,0.0
1970/01/01/07:24:06.306000,0.093002175,-3.188646,0.0
1970/01/01/07:24:06.356000,0.093002175,-3.188646,0.0
1970/01/01/07:24:06.406000,0.093002175,-3.188646,0.0
1970/01/01/07:24:06.456000,0.093002175,-3.188646,0.0
1970/01/01/07:24:06.506000,0.093002175,-3.188646,0.0
1970/01/01/07:24:06.556000,0.093002175,-3.188646,0.0
1970/01/01/07:24:06.606000,0.093002175,-3.188646,0.0
1970/01/01/07:24:06.656000,0.093002175,-3.188646,0.0
1970/01/01/07:24:06.706000,0.093002175,-3.188646,0.0
1970/01/01/07:24:06.756000,0.093002175,-3.188646,0.0
1970/01/01/07:24:06.806000,0.093002175,-3.188646,0.0
1970/01/01/07:24:06.856000,0.093002175,-3.188646,0.0
1970/01/01/07:24:06.906000,0.093002175,-3.188646,0.0
1970/01/01/07:24:06.956000,0.093002175,-3.1750942545,0.0
1970/01/01/07:24:07.007000,0.093002175,-3.16207395,0.0
1970/01/01/07:24:07.056000,0.093002175,-3.148787925,0.0
1970/01/01/07:24:07.106000,0.093002175,-3.1355019,0.0
1970/01/01/07:24:07.156000,0.093002175,-3.122215875,0.0
1970/01/01/07:24:07.206000,0.093002175,-3.10892985,0.0
1970/01/01/07:24:07.256000,0.093002175,-3.095643825,0.0
1970/01/01/07:24:07.306000,0.093002175,-3.0823578,0.0
1970/01/01/07:24:07.356000,0.093002175,-3.069071775,0.0
1970/01/01/07:24:07.406000,0.093002175,-3.05578575,0.0
1970/01/01/07:24:07.456000,0.093002175,-3.042499725,0.0
1970/01/01/07:24:07.506000,0.093002175,-3.0292137,0.0
1970/01/01/07:24:07.556000,0.093002175,-3.015927675,0.0
1970/01/01/07:24:07.606000,0.093002175,-3.00264165,0.0
1970/01/01/07:24:07.656000,0.093002175,-2.989355625,0.0
1970/01/01/07:24:07.706000,0.093002175,-2.9760696,0.0
1970/01/01/07:24:07.756000,0.093002175,-2.962783575,0.0
1970/01/01/07:24:07.806000,0.093002175,-2.94949755,0.0
1970/01/01/07:24:07.856000,0.093002175,-2.936211525,0.0
1970/01/01/07:24:07.906000,0.093002175,-2.9229255,0.0
1970/01/01/07:24:07.956000,0.093002175,-2.909639475,0.0
1970/01/01/07:24:08.007000,0.093002175,-2.8960877295,0.0
1970/01/01/07:24:08.056000,0.093002175,-2.883067425,0.0
1970/01/01/07:24:08.106000,0.093002175,-2.8697814,0.0
1970/01/01/07:24:08.156000,0.093002175,-2.856495375,0.0
1970/01/01/07:24:08.206000,0.093002175,-2.84320935,0.0
1970/01/01/07:24:08.256000,0.093002175,-2.829923325,0.0
1970/01/01/07:24:08.306000,0.093002175,-2.8166373,0.0
1970/01/01/07:24:08.356000,0.093002175,-2.803351275,0.0
1970/01/01/07:24:08.406000,0.093002175,-2.79006525,0.0
1970/01/01/07:24:08.456000,0.093002175,-2.7765135045,0.0
1970/01/01/07:24:08.506000,0.093002175,-2.7634932,0.0
1970/01/01/07:24:08.556000,0.093002175,-2.750207175,0.0
1970/01/01/07:24:08.606000,0.093002175,-2.73692115,0.0
1970/01/01/07:24:08.656000,0.093002175,-2.723635125,0.0
1970/01/01/07:24:08.706000,0.093002175,-2.7103491,0.0
1970/01/01/07:24:08.756000,0.093002175,-2.697063075,0.0
1970/01/01/07:24:08.807000,0.093002175,-2.68377705,0.0
1970/01/01/07:24:08.856000,0.093002175,-2.670491025,0.0
1970/01/01/07:24:08.906000,0.093002175,-2.657205,0.0
1970/01/01/07:24:08.956000,0.093002175,-2.643918975,0.0
1970/01/01/07:24:09.006000,0.093002175,-2.63063295,0.0
1970/01/01/07:24:09.056000,0.093002175,-2.617346925,0.0
1970/01/01/07:24:09.105000,0.093002175,-2.6037951795,0.0
1970/01/01/07:24:09.156000,0.093002175,-2.590774875,0.0
1970/01/01/07:24:09.206000,0.093002175,-2.57748885,0.0
1970/01/01/07:24:09.256000,0.093002175,-2.564202825,0.0
1970/01/01/07:24:09.306000,0.093002175,-2.5509168,0.0
1970/01/01/07:24:09.356000,0.093002175,-2.537630775,0.0
1970/01/01/07:24:09.406000,0.093002175,-2.52434475,0.0
1970/01/01/07:24:09.456000,0.093002175,-2.511058725,0.0
1970/01/01/07:24:09.506000,0.093002175,-2.4975069795,0.0
1970/01/01/07:24:09.556000,0.093002175,-2.484486675,0.0
1970/01/01/07:24:09.606000,0.093002175,-2.47120065,0.0
1970/01/01/07:24:09.656000,0.093002175,-2.457914625,0.0
1970/01/01/07:24:09.707000,0.093002175,-2.4446286,0.0
1970/01/01/07:24:09.756000,0.093002175,-2.431342575,0.0
1970/01/01/07:24:09.806000,0.093002175,-2.41805655,0.0
1970/01/01/07:24:09.856000,0.093002175,-2.404770525,0.0
1970/01/01/07:24:09.906000,0.093002175,-2.3914845,0.0
1970/01/01/07:24:09.956000,0.093002175,-2.378198475,0.0
1970/01/01/07:24:10.007000,0.093002175,-2.36491245,0.0
1970/01/01/07:24:10.056000,0.093002175,-2.3513607045,0.0
1970/01/01/07:24:10.106000,0.093002175,-2.3383404,0.0
1970/01/01/07:24:10.156000,0.093002175,-2.325054375,0.0
1970/01/01/07:24:10.206000,0.093002175,-2.31176835,0.0
1970/01/01/07:24:10.256000,0.093002175,-2.298482325,0.0
1970/01/01/07:24:10.306000,0.093002175,-2.2849305795,0.0
1970/01/01/07:24:10.356000,0.093002175,-2.271910275,0.0
1970/01/01/07:24:10.406000,0.093002175,-2.25862425,0.0
1970/01/01/07:24:10.456000,0.093002175,-2.245338225,0.0
1970/01/01/07:24:10.506000,0.093002175,-2.2320522,0.0
1970/01/01/07:24:10.556000,0.093002175,-2.218766175,0.0
1970/01/01/07:24:10.606000,0.093002175,-2.20548015,0.0
1970/01/01/07:24:10.656000,0.093002175,-2.192194125,0.0
1970/01/01/07:24:10.706000,0.093002175,-2.1789081,0.0
1970/01/01/07:24:10.756000,0.093002175,-2.165622075,0.0
1970/01/01/07:24:10.807000,0.093002175,-2.15233605,0.0
1970/01/01/07:24:10.856000,0.093002175,-2.139050025,0.0
1970/01/01/07:24:10.906000,0.093002175,-2.125764,0.0
1970/01/01/07:24:10.956000,0.093002175,-2.1122122545,0.0
1970/01/01/07:24:11.006000,0.093002175,-2.09919195,0.0
1970/01/01/07:24:11.056000,0.093002175,-2.085905925,0.0
1970/01/01/07:24:11.107000,0.093002175,-2.0726199,0.0
1970/01/01/07:24:11.156000,0.093002175,-2.059333875,0.0
1970/01/01/07:24:11.206000,0.093002175,-2.04604785,0.0
1970/01/01/07:24:11.256000,0.093002175,-2.032761825,0.0
1970/01/01/07:24:11.306000,0.093002175,-2.0194758,0.0
1970/01/01/07:24:11.356000,0.093002175,-2.006189775,0.0
1970/01/01/07:24:11.406000,0.093002175,-1.99290375,0.0
