time,.x,.y,.theta
1970/01/01/07:23:14.406000,0.093002175,0.0,0.0
1970/01/01/07:23:14.456000,0.093002175,0.0,0.0
1970/01/01/07:23:14.507000,0.093002175,0.0,0.0
1970/01/01/07:23:14.556000,0.093002175,0.0,0.0
1970/01/01/07:23:14.606000,0.093002175,0.0,0.0
1970/01/01/07:23:14.656000,0.093002175,0.0,0.0
1970/01/01/07:23:14.706000,0.093002175,0.0,0.0
1970/01/01/07:23:14.756000,0.093002175,0.0,0.0
1970/01/01/07:23:14.806000,0.093002175,0.0,0.0
1970/01/01/07:23:14.856000,0.093002175,0.0,0.0
1970/01/01/07:23:14.906000,0.093002175,0.0,0.0
1970/01/01/07:23:14.956000,0.093002175,0.0,0.0
1970/01/01/07:23:15.006000,0.093002175,0.0,0.0
1970/01/01/07:23:15.056000,0.093002175,0.0,0.0
1970/01/01/07:23:15.106000,0.093002175,0.0,0.0
1970/01/01/07:23:15.156000,0.093002175,0.0,0.0
1970/01/01/07:23:15.206000,0.093002175,0.0,0.0
1970/01/01/07:23:15.256000,0.093002175,0.0,0.0
1970/01/01/07:23:15.306000,0.093002175,0.0,0.0
1970/01/01/07:23:15.356000,0.093002175,0.0,0.0
1970/01/01/07:23:15.406000,0.093002175,0.0,0.0
1970/01/01/07:23:15.457000,0.093002175,0.0,0.0
1970/01/01/07:23:15.506000,0.093002175,0.0,0.0
1970/01/01/07:23:15.557000,0.093002175,0.0,0.0
1970/01/01/07:23:15.606000,0.093002175,0.0,0.0
1970/01/01/07:23:15.656000,0.093002175,0.0,0.0
1970/01/01/07:23:15.706000,0.093002175,0.0,0.0
1970/01/01/07:23:15.756000,0.093002175,0.0,0.0
1970/01/01/07:23:15.806000,0.093002175,0.0,0.0
1970/01/01/07:23:15.856000,0.093002175,0.0,0.0
1970/01/01/07:23:15.906000,0.093002175,0.0,0.0
1970/01/01/07:23:15.956000,0.093002175,0.0,0.0
1970/01/01/07:23:16.006000,0.093002175,0.0,0.0
1970/01/01/07:23:16.056000,0.093002175,0.0,0.0
1970/01/01/07:23:16.106000,0.093002175,0.0,0.0
1970/01/01/07:23:16.156000,0.093002175,0.0,0.0
1970/01/01/07:23:16.206000,0.093002175,0.0,0.0
1970/01/01/07:23:16.257000,0.093002175,0.0,0.0
1970/01/01/07:23:16.306000,0.093002175,0.0,0.0
1970/01/01/07:23:16.357000,0.093002175,0.0,0.0
1970/01/01/07:23:16.456000,0.093002175,0.0,0.0
1970/01/01/07:23:16.506000,0.093002175,0.0,0.0
1970/01/01/07:23:16.556000,0.093002175,0.0,0.0
1970/01/01/07:23:16.606000,0.093002175,0.0,0.0
1970/01/01/07:23:16.657000,0.093002175,0.0,0.0
1970/01/01/07:23:16.706000,0.093002175,0.0,0.0
1970/01/01/07:23:16.756000,0.093002175,0.0,0.0
1970/01/01/07:23:16.806000,0.093002175,0.0,0.0
1970/01/01/07:23:16.856000,0.093002175,0.0,0.0
1970/01/01/07:23:16.906000,0.093002175,0.0,0.0
1970/01/01/07:23:16.956000,0.093002175,0.0,0.0
1970/01/01/07:23:17.007000,0.093002175,0.0,0.0
1970/01/01/07:23:17.056000,0.093002175,-0.013286025,0.0
1970/01/01/07:23:17.106000,0.093002175,-0.0268377705,0.0
1970/01/01/07:23:17.156000,0.093002175,-0.039858075,0.0
1970/01/01/07:23:17.206000,0.093002175,-0.0531441,0.0
1970/01/01/07:23:17.257000,0.093002175,-0.066430125,0.0
1970/01/01/07:23:17.306000,0.093002175,-0.07971615,0.0
1970/01/01/07:23:17.356000,0.093002175,-0.093002175,0.0
1970/01/01/07:23:17.406000,0.093002175,-0.1062882,0.0
1970/01/01/07:23:17.456000,0.093002175,-0.119574225,0.0
1970/01/01/07:23:17.506000,0.093002175,-0.13286025,0.0
1970/01/01/07:23:17.557000,0.093002175,-0.146146275,0.0
1970/01/01/07:23:17.606000,0.093002175,-0.1596980205,0.0
1970/01/01/07:23:17.657000,0.093002175,-0.172718325,0.0
1970/01/01/07:23:17.705000,0.093002175,-0.18600435,0.0
1970/01/01/07:23:17.756000,0.093002175,-0.199821816,0.0
1970/01/01/07:23:17.806000,0.093002175,-0.2125764,0.0
1970/01/01/07:23:17.856000,0.093002175,-0.225862425,0.0
1970/01/01/07:23:17.906000,0.093002175,-0.2394141705,0.0
1970/01/01/07:23:17.956000,0.093002175,-0.252434475,0.0
1970/01/01/07:23:18.006000,0.093002175,-0.2657205,0.0
1970/01/01/07:23:18.056000,0.093002175,-0.279006525,0.0
1970/01/01/07:23:18.106000,0.093002175,-0.29229255,0.0
1970/01/01/07:23:18.156000,0.093002175,-0.305578575,0.0
1970/01/01/07:23:18.205000,0.093002175,-0.3188646,0.0
1970/01/01/07:23:18.256000,0.093002175,-0.332150625,0.0
1970/01/01/07:23:18.306000,0.093002175,-0.3462338115,0.0
1970/01/01/07:23:18.356000,0.093002175,-0.358722675,0.0
1970/01/01/07:23:18.406000,0.093002175,-0.3722744205,0.0
1970/01/01/07:23:18.456000,0.093002175,-0.385294725,0.0
1970/01/01/07:23:18.506000,0.093002175,-0.39858075,0.0
1970/01/01/07:23:18.557000,0.093002175,-0.4121324955,0.0
1970/01/01/07:23:18.606000,0.093002175,-0.4251528,0.0
1970/01/01/07:23:18.656000,0.093002175,-0.4387045455,0.0
1970/01/01/07:23:18.706000,0.093002175,-0.45172485,0.0
1970/01/01/07:23:18.757000,0.093002175,-0.4652765955,0.0
1970/01/01/07:23:18.806000,0.093002175,-0.4782969,0.0
1970/01/01/07:23:18.856000,0.093002175,-0.491582925,0.0
1970/01/01/07:23:18.906000,0.093002175,-0.505931832,0.0
1970/01/01/07:23:18.956000,0.093002175,-0.518154975,0.0
1970/01/01/07:23:19.006000,0.093002175,-0.531441,0.0
1970/01/01/07:23:19.057000,0.093002175,-0.544727025,0.0
1970/01/01/07:23:19.106000,0.093002175,-0.55801305,0.0
1970/01/01/07:23:19.156000,0.093002175,-0.571299075,0.0
1970/01/01/07:23:19.206000,0.093002175,-0.5845851,0.0
1970/01/01/07:23:19.256000,0.093002175,-0.597871125,0.0
1970/01/01/07:23:19.307000,0.093002175,-0.61115715,0.0
1970/01/01/07:23:19.356000,0.093002175,-0.624443175,0.0
1970/01/01/07:23:19.406000,0.093002175,-0.6377292,0.0
1970/01/01/07:23:19.456000,0.093002175,-0.651015225,0.0
1970/01/01/07:23:19.506000,0.093002175,-0.66430125,0.0
1970/01/01/07:23:19.556000,0.093002175,-0.677587275,0.0
1970/01/01/07:23:19.606000,0.093002175,-0.6908733,0.0
1970/01/01/07:23:19.656000,0.093002175,-0.704159325,0.0
1970/01/01/07:23:19.706000,0.093002175,-0.71744535,0.0
1970/01/01/07:23:19.757000,0.093002175,-0.730731375,0.0
1970/01/01/07:23:19.806000,0.093002175,-0.7440174,0.0
1970/01/01/07:23:19.856000,0.093002175,-0.757303425,0.0
1970/01/01/07:23:19.907000,0.093002175,-0.77058945,0.0
1970/01/01/07:23:19.956000,0.093002175,-0.783875475,0.0
1970/01/01/07:23:20.006000,0.093002175,-0.7971615,0.0
1970/01/01/07:23:20.056000,0.093002175,-0.810447525,0.0
1970/01/01/07:23:20.106000,0.093002175,-0.82373355,0.0
1970/01/01/07:23:20.156000,0.093002175,-0.837019575,0.0
1970/01/01/07:23:20.206000,0.093002175,-0.8503056,0.0
1970/01/01/07:23:20.257000,0.093002175,-0.8638573455,0.0
1970/01/01/07:23:20.306000,0.093002175,-0.8771433705,0.0
1970/01/01/07:23:20.356000,0.093002175,-0.890163675,0.0
1970/01/01/07:23:20.406000,0.093002175,-0.9034497,0.0
1970/01/01/07:23:20.456000,0.093002175,-0.916735725,0.0
1970/01/01/07:23:20.506000,0.093002175,-0.9302874705,0.0
1970/01/01/07:23:20.556000,0.093002175,-0.943307775,0.0
1970/01/01/07:23:20.606000,0.093002175,-0.9565938,0.0
1970/01/01/07:23:20.656000,0.093002175,-0.969879825,0.0
1970/01/01/07:23:20.706000,0.093002175,-0.98316585,0.0
1970/01/01/07:23:20.756000,0.093002175,-0.996451875,0.0
1970/01/01/07:23:20.806000,0.093002175,-1.0097379,0.0
1970/01/01/07:23:20.856000,0.093002175,-1.023023925,0.0
1970/01/01/07:23:20.906000,0.093002175,-1.03630995,0.0
1970/01/01/07:23:20.956000,0.093002175,-1.049595975,0.0
1970/01/01/07:23:21.006000,0.093002175,-1.062882,0.0
1970/01/01/07:23:21.056000,0.093002175,-1.076168025,0.0
1970/01/01/07:23:21.106000,0.093002175,-1.08945405,0.0
1970/01/01/07:23:21.156000,0.093002175,-1.102740075,0.0
