time,.x,.y,.theta
1970/01/01/07:26:06.757000,-4.12515377,-1.52195330392,-0.000710517130477
1970/01/01/07:26:06.807000,-4.12515315749,-1.52195329829,-0.000710443430488
1970/01/01/07:26:06.856000,-4.1251525455,-1.52195329247,-0.000710369949809
1970/01/01/07:26:06.907000,-4.12515193404,-1.52195328639,-0.000710296741694
1970/01/01/07:26:06.957000,-4.1251513231,-1.52195328009,-0.000710223766714
1970/01/01/07:26:07.007000,-4.12515071269,-1.52195327367,-0.000710150942134
1970/01/01/07:26:07.057000,-4.12515010281,-1.52195326719,-0.000710078223912
1970/01/01/07:26:07.107000,-4.12514949344,-1.52195326067,-0.000710005588732
1970/01/01/07:26:07.156000,-4.12514888461,-1.52195325412,-0.000709933019861
1970/01/01/07:26:07.207000,-4.12514827629,-1.52195324757,-0.000709860507426
1970/01/01/07:26:07.257000,-4.1251490139,-1.52195324166,-0.000709786812106
1970/01/01/07:26:07.307000,-4.12515094791,-1.52195323863,-0.000709709889811
1970/01/01/07:26:07.357000,-4.12515288239,-1.52195323742,-0.000709631528563
1970/01/01/07:26:07.406000,-4.12515481733,-1.52195323658,-0.000709552916442
1970/01/01/07:26:07.457000,-4.12515515819,-1.52195323528,-0.000709475564687
1970/01/01/07:26:07.507000,-4.12515455279,-1.52195323152,-0.000709401055683
1970/01/01/07:26:07.557000,-4.12515394791,-1.52195322634,-0.000709327749152
1970/01/01/07:26:07.607000,-4.12515334355,-1.52195322073,-0.000709254857438
1970/01/01/07:26:07.707000,-4.12515273971,-1.52195321493,-0.000709182166935
1970/01/01/07:26:07.757000,-4.1251521364,-1.52195320887,-0.000709109758931
1970/01/01/07:26:07.807000,-4.1251515336,-1.52195320262,-0.000709037553424
1970/01/01/07:26:07.856000,-4.12515093132,-1.52195319627,-0.000708965481454
1970/01/01/07:26:07.906000,-4.12515032957,-1.52195318987,-0.000708893507107
1970/01/01/07:26:07.957000,-4.12514972832,-1.52195318343,-0.000708821609685
1970/01/01/07:26:08.007000,-4.1251491276,-1.52195317698,-0.000708749774733
1970/01/01/07:26:08.057000,-4.12514852739,-1.52195317053,-0.000708677993918
1970/01/01/07:26:08.107000,-4.1251479277,-1.52195316407,-0.000708606262498
1970/01/01/07:26:08.157000,-4.12514957085,-1.52195315928,-0.000708531935746
1970/01/01/07:26:08.207000,-4.12515151346,-1.52195315729,-0.000708455024029
1970/01/01/07:26:08.257000,-4.12515345652,-1.52195315642,-0.000708377238917
1970/01/01/07:26:08.307000,-4.12515540004,-1.52195315561,-0.000708299475515
1970/01/01/07:26:08.357000,-4.12515734402,-1.52195315479,-0.000708221766589
1970/01/01/07:26:08.407000,-4.12515679698,-1.52195315292,-0.000708146359585
1970/01/01/07:26:08.457000,-4.12515620062,-1.52195314861,-0.000708073200822
1970/01/01/07:26:08.506000,-4.12515560478,-1.52195314333,-0.000708000890929
1970/01/01/07:26:08.557000,-4.12515500946,-1.52195313775,-0.000707928881866
1970/01/01/07:26:08.607000,-4.12515441465,-1.521953132,-0.000707857072114
1970/01/01/07:26:08.657000,-4.12515382035,-1.52195312598,-0.000707785535445
1970/01/01/07:26:08.707000,-4.12515322657,-1.52195311981,-0.000707714179742
1970/01/01/07:26:08.758000,-4.1251526333,-1.52195311355,-0.000707642945573
1970/01/01/07:26:08.807000,-4.12515204054,-1.52195310725,-0.000707571802736
1970/01/01/07:26:08.857000,-4.12515144829,-1.52195310091,-0.000707500731858
1970/01/01/07:26:08.907000,-4.12515085655,-1.52195309456,-0.00070742972031
1970/01/01/07:26:08.957000,-4.12515026531,-1.52195308821,-0.000707358760853
1970/01/01/07:26:09.007000,-4.12514967459,-1.52195308186,-0.000707287849392
1970/01/01/07:26:09.056000,-4.12514908438,-1.52195307552,-0.000707216983657
1970/01/01/07:26:09.107000,-4.12514849467,-1.52195306918,-0.000707146162435
1970/01/01/07:26:09.157000,-4.12514865292,-1.52195306315,-0.000707074844649
1970/01/01/07:26:09.207000,-4.12515060553,-1.52195305992,-0.000706999923469
1970/01/01/07:26:09.257000,-4.12515255859,-1.52195305883,-0.000706923329765
1970/01/01/07:26:09.307000,-4.12515451209,-1.52195305801,-0.000706846571429
1970/01/01/07:26:09.357000,-4.12515551929,-1.52195305707,-0.000706770363281
1970/01/01/07:26:09.408000,-4.1251549324,-1.52195305431,-0.000706696916975
1970/01/01/07:26:09.457000,-4.12515434603,-1.52195304961,-0.000706625083186
1970/01/01/07:26:09.506000,-4.12515376017,-1.52195304428,-0.000706553816619
1970/01/01/07:26:09.557000,-4.12515317481,-1.52195303876,-0.000706482766315
1970/01/01/07:26:09.608000,-4.12515258996,-1.52195303301,-0.000706411968889
1970/01/01/07:26:09.657000,-4.12515200562,-1.52195302703,-0.000706341402149
1970/01/01/07:26:09.707000,-4.12515142178,-1.52195302094,-0.000706270984761
1970/01/01/07:26:09.757000,-4.12515083844,-1.52195301479,-0.00070620067218
1970/01/01/07:26:09.807000,-4.1251502556,-1.52195300859,-0.000706130441557
1970/01/01/07:26:09.857000,-4.12514967327,-1.52195300238,-0.000706060276742
1970/01/01/07:26:09.907000,-4.12514909144,-1.52195299615,-0.000705990167926
1970/01/01/07:26:09.957000,-4.1251485101,-1.52195298993,-0.000705920109494
1970/01/01/07:26:10.007000,-4.12514952383,-1.52195298472,-0.000705848414996
1970/01/01/07:26:10.057000,-4.12515148478,-1.52195298267,-0.000705773406537
1970/01/01/07:26:10.107000,-4.12515344617,-1.52195298184,-0.000705697463852
1970/01/01/07:26:10.157000,-4.12515540801,-1.52195298103,-0.00070562156327
1970/01/01/07:26:10.257000,-4.1251555266,-1.52195297982,-0.000705547001165
1970/01/01/07:26:10.307000,-4.12515494806,-1.52195297628,-0.000705475034744
1970/01/01/07:26:10.357000,-4.12515437002,-1.52195297138,-0.000705404223702
1970/01/01/07:26:10.407000,-4.12515379248,-1.52195296606,-0.000705333812261
1970/01/01/07:26:10.457000,-4.12515321545,-1.52195296057,-0.000705263590251
1970/01/01/07:26:10.507000,-4.12515263891,-1.52195295483,-0.00070519363739
1970/01/01/07:26:10.558000,-4.12515206287,-1.52195294891,-0.000705123882152
1970/01/01/07:26:10.607000,-4.12515148733,-1.5219529429,-0.000705054257451
1970/01/01/07:26:10.658000,-4.12515091228,-1.52195293683,-0.000704984727726
1970/01/01/07:26:10.707000,-4.12515033774,-1.52195293073,-0.000704915273514
1970/01/01/07:26:10.757000,-4.12514976368,-1.52195292461,-0.000704845880886
1970/01/01/07:26:10.808000,-4.12514919012,-1.52195291849,-0.000704776541734
1970/01/01/07:26:10.857000,-4.12514861706,-1.52195291238,-0.000704707251439
1970/01/01/07:26:10.908000,-4.12514804449,-1.52195290626,-0.000704638007409
1970/01/01/07:26:10.957000,-4.1251499639,-1.52195290242,-0.000704565520743
1970/01/01/07:26:11.007000,-4.12515193358,-1.52195290124,-0.000704490702097
1970/01/01/07:26:11.057000,-4.12515390369,-1.52195290044,-0.000704415652026
1970/01/01/07:26:11.108000,-4.12515572476,-1.52195289949,-0.000704340642924
1970/01/01/07:26:11.157000,-4.12515515445,-1.52195289789,-0.000704267963174
1970/01/01/07:26:11.208000,-4.12515458463,-1.52195289384,-0.000704197312382
1970/01/01/07:26:11.257000,-4.12515401531,-1.52195288885,-0.000704127479482
1970/01/01/07:26:11.307000,-4.12515344648,-1.52195288357,-0.000704057937656
1970/01/01/07:26:11.357000,-4.12515287814,-1.52195287811,-0.000703988595586
1970/01/01/07:26:11.407000,-4.1251523103,-1.52195287241,-0.000703919512605
1970/01/01/07:26:11.458000,-4.12515174295,-1.52195286657,-0.000703850600628
1970/01/01/07:26:11.507000,-4.12515117609,-1.52195286064,-0.000703781804411
1970/01/01/07:26:11.557000,-4.12515060972,-1.52195285467,-0.000703713095598
1970/01/01/07:26:11.607000,-4.12515004383,-1.52195284868,-0.000703644456802
1970/01/01/07:26:11.657000,-4.12514947844,-1.52195284267,-0.000703575876284
1970/01/01/07:26:11.708000,-4.12514891353,-1.52195283666,-0.000703507347299
1970/01/01/07:26:11.755000,-4.12514834912,-1.52195283066,-0.000703438866013
1970/01/01/07:26:11.807000,-4.12514863229,-1.52195282507,-0.000703369742696
1970/01/01/07:26:11.858000,-4.12515061014,-1.52195282261,-0.000703296791098
1970/01/01/07:26:11.907000,-4.12515258843,-1.52195282179,-0.000703222598684
1970/01/01/07:26:11.957000,-4.12515456715,-1.52195282099,-0.000703148452927
1970/01/01/07:26:12.007000,-4.12515549987,-1.52195282011,-0.000703074855675
1970/01/01/07:26:12.058000,-4.12515493816,-1.52195281763,-0.000703003793181
1970/01/01/07:26:12.107000,-4.12515437695,-1.52195281323,-0.00070293432584
1970/01/01/07:26:12.157000,-4.12515381622,-1.5219528082,-0.000702865425622
1970/01/01/07:26:12.207000,-4.12515325598,-1.52195280297,-0.000702796740122
1970/01/01/07:26:12.257000,-4.12515269622,-1.52195279752,-0.00070272829705
1970/01/01/07:26:12.307000,-4.12515213695,-1.52195279187,-0.000702660078206
1970/01/01/07:26:12.357000,-4.12515157817,-1.52195278609,-0.000702592005042
1970/01/01/07:26:12.407000,-4.12515101987,-1.52195278026,-0.000702524033958
1970/01/01/07:26:12.456000,-4.12515046205,-1.52195277439,-0.000702456142776
1970/01/01/07:26:12.508000,-4.12514990471,-1.5219527685,-0.000702388316146
1970/01/01/07:26:12.557000,-4.12514934786,-1.5219527626,-0.000702320544565
1970/01/01/07:26:12.607000,-4.12514879149,-1.52195275671,-0.000702252822592
1970/01/01/07:26:12.657000,-4.12514823559,-1.52195275081,-0.000702185147155
1970/01/01/07:26:12.706000,-4.12514942422,-1.52195274625,-0.000702115486465
1970/01/01/07:26:12.757000,-4.12515141057,-1.52195274491,-0.000702042548208
1970/01/01/07:26:12.857000,-4.12515339734,-1.52195274411,-0.000701969243262
1970/01/01/07:26:12.907000,-4.12515538454,-1.52195274331,-0.000701896003874
1970/01/01/07:26:12.957000,-4.12515737217,-1.5219527425,-0.000701822823419
1970/01/01/07:26:13.007000,-4.12515736704,-1.52195274142,-0.000701750941528
1970/01/01/07:26:13.058000,-4.12515681425,-1.52195273815,-0.000701681461362
1970/01/01/07:26:13.107000,-4.12407265386,-1.52195275127,-0.000701708123375
1970/01/01/07:26:13.157000,-4.1216758989,-1.5219534947,-0.000701755331954
1970/01/01/07:26:13.207000,-4.11796841926,-1.52195510379,-0.000701796909546
1970/01/01/07:26:13.257000,-4.11295105188,-1.52195859116,-0.000701831462843
1970/01/01/07:26:13.307000,-4.10664537949,-1.52196344506,-0.000701975091978
1970/01/01/07:26:13.357000,-4.09910975321,-1.52196941019,-0.000701949701133
1970/01/01/07:26:13.407000,-4.09035926019,-1.52197629357,-0.000701912444411
1970/01/01/07:26:13.457000,-4.08046963696,-1.52198406848,-0.000701851568069
1970/01/01/07:26:13.507000,-4.0693867164,-1.52199290878,-0.000701589419844
1970/01/01/07:26:13.557000,-4.05716699233,-1.52200273481,-0.000701193921523
1970/01/01/07:26:13.607000,-4.04384172276,-1.52201349036,-0.000700792671745
1970/01/01/07:26:13.657000,-4.02948562299,-1.52202517091,-0.000700380177534
1970/01/01/07:26:13.707000,-4.01410786846,-1.52203782355,-0.000699950027873
1970/01/01/07:26:13.757000,-3.9977375801,-1.52205150858,-0.000699490086032
1970/01/01/07:26:13.807000,-3.98038623219,-1.52206631778,-0.000698982122888
1970/01/01/07:26:13.857000,-3.96210542909,-1.52208234528,-0.00069840673191
1970/01/01/07:26:13.907000,-3.94293488371,-1.52209936383,-0.000697724212248
1970/01/01/07:26:13.957000,-3.92288517282,-1.52211591357,-0.000696888974429
1970/01/01/07:26:14.007000,-3.90196344768,-1.52213460097,-0.000695853607662
1970/01/01/07:26:14.057000,-3.88023016137,-1.52215612099,-0.00069455873664
1970/01/01/07:26:14.107000,-3.85769265914,-1.52218177457,-0.00069300474136
1970/01/01/07:26:14.157000,-3.83437086781,-1.5222143078,-0.000691282852898
1970/01/01/07:26:14.207000,-3.80993338538,-1.52225856556,-0.000688760348647
1970/01/01/07:26:14.257000,-3.78425100293,-1.52232099883,-0.000684790365371
1970/01/01/07:26:14.307000,-3.75876404974,-1.52241541094,-0.000678141334944
1970/01/01/07:26:14.357000,-3.73265004962,-1.52256387936,-0.00066655100017
1970/01/01/07:26:14.407000,-3.70595423147,-1.52277361088,-0.000664250318602
1970/01/01/07:26:14.457000,-3.67878813016,-1.52293762878,-0.000745160226741
1970/01/01/07:26:14.508000,-3.651254235,-1.52303321291,-0.00093534198424
1970/01/01/07:26:14.557000,-3.62334803841,-1.52308702958,-0.00114636030022
1970/01/01/07:26:14.607000,-3.59487765653,-1.52312630609,-0.00129668852546
1970/01/01/07:26:14.657000,-3.56568954338,-1.52316376589,-0.00138451619921
1970/01/01/07:26:14.708000,-3.53562273182,-1.52319809988,-0.00138690054635
1970/01/01/07:26:14.758000,-3.50480763211,-1.52323122942,-0.0013663758007
1970/01/01/07:26:14.807000,-3.47336399158,-1.52326447212,-0.00135031159192
1970/01/01/07:26:14.857000,-3.44134189617,-1.52329808011,-0.00134435400934
1970/01/01/07:26:14.907000,-3.40877975707,-1.52333279955,-0.00134781531328
1970/01/01/07:26:14.957000,-3.37569973499,-1.52337241146,-0.00134973935769
1970/01/01/07:26:15.007000,-3.34212091234,-1.52341453199,-0.00134782318278
1970/01/01/07:26:15.057000,-3.30805667362,-1.52345923741,-0.00134301329307
1970/01/01/07:26:15.107000,-3.27352953634,-1.52350728841,-0.00133199093412
1970/01/01/07:26:15.157000,-3.23853545885,-1.52356215031,-0.00130692438582
1970/01/01/07:26:15.207000,-3.2030783532,-1.52362352788,-0.00125858197742
1970/01/01/07:26:15.258000,-3.16718025649,-1.52368166059,-0.00120340829719
1970/01/01/07:26:15.358000,-3.1308814982,-1.52373805025,-0.00115894410269
1970/01/01/07:26:15.407000,-3.09418945318,-1.52379767537,-0.00112687831198
1970/01/01/07:26:15.457000,-3.05709608154,-1.52386130369,-0.00110739381906
1970/01/01/07:26:15.507000,-3.01889262359,-1.52393347761,-0.0011012078072
1970/01/01/07:26:15.557000,-2.98009900395,-1.52401552817,-0.00110829491497
1970/01/01/07:26:15.607000,-2.94094898802,-1.52410544709,-0.00112773975155
1970/01/01/07:26:15.657000,-2.90144050728,-1.52418953942,-0.00114758680476
1970/01/01/07:26:15.706000,-2.86160186137,-1.52426509521,-0.00116331251018
1970/01/01/07:26:15.757000,-2.82142840825,-1.52433057436,-0.00117507695059
1970/01/01/07:26:15.808000,-2.7809753376,-1.52438605685,-0.00118292113395
1970/01/01/07:26:15.857000,-2.74023393016,-1.52443195735,-0.00118664203182
1970/01/01/07:26:15.906000,-2.69921211898,-1.52446810722,-0.00118558963616
1970/01/01/07:26:15.957000,-2.65791904366,-1.52449680063,-0.00117915695512
1970/01/01/07:26:16.007000,-2.61636362409,-1.52451558162,-0.00116664578265
1970/01/01/07:26:16.057000,-2.57455481552,-1.52452642501,-0.00114720881544
1970/01/01/07:26:16.107000,-2.53250164042,-1.52452631452,-0.0011198192408
1970/01/01/07:26:16.157000,-2.49018572461,-1.52451710092,-0.00108329757818
1970/01/01/07:26:16.207000,-2.44766177716,-1.52449783377,-0.00103630813878
1970/01/01/07:26:16.257000,-2.40491603841,-1.52446718294,-0.00097710490123
1970/01/01/07:26:16.307000,-2.36195781611,-1.52442778041,-0.000907236329323
1970/01/01/07:26:16.357000,-2.31879185626,-1.52439261719,-0.000836522370107
1970/01/01/07:26:16.407000,-2.27543127795,-1.52436421595,-0.000765872817622
1970/01/01/07:26:16.457000,-2.23187839333,-1.5243427835,-0.000694062194919
1970/01/01/07:26:16.507000,-2.18812300851,-1.52432851946,-0.000619074637408
1970/01/01/07:26:16.557000,-2.14421264559,-1.52431983669,-0.000541218406825
1970/01/01/07:26:16.607000,-2.10012908137,-1.52431671389,-0.000460553585797
1970/01/01/07:26:16.657000,-2.05587612786,-1.52431849017,-0.000376829092011
1970/01/01/07:26:16.707000,-2.01145377267,-1.52432330999,-0.000292574309308
1970/01/01/07:26:16.757000,-1.96684328195,-1.52433040503,-0.000210153746301
1970/01/01/07:26:16.807000,-1.92207473508,-1.52433879917,-0.000131904538361
1970/01/01/07:26:16.857000,-1.87715687832,-1.52434761522,-5.98416628221e-05
1970/01/01/07:26:16.907000,-1.83207975519,-1.52435614531,4.65441828542e-06
1970/01/01/07:26:16.957000,-1.78683934921,-1.52436388717,6.0918619103e-05
1970/01/01/07:26:17.007000,-1.74143300075,-1.52437053975,0.000108899176379
1970/01/01/07:26:17.057000,-1.69589172133,-1.5243753835,0.000148629211018
1970/01/01/07:26:17.107000,-1.65020576492,-1.52437911243,0.000179723889871
1970/01/01/07:26:17.157000,-1.60438196412,-1.52438220146,0.000203856601854
1970/01/01/07:26:17.208000,-1.55841894992,-1.52438414462,0.00022222733374
1970/01/01/07:26:17.257000,-1.5123234226,-1.52438314112,0.000237020346303
1970/01/01/07:26:17.307000,-1.46608478602,-1.52438045008,0.00024782557803
1970/01/01/07:26:17.357000,-1.42036784948,-1.52437760561,0.000254124391011
1970/01/01/07:26:17.407000,-1.37584365571,-1.52437449646,0.000256706481407
1970/01/01/07:26:17.457000,-1.33251522158,-1.52436780094,0.000258713919004
1970/01/01/07:26:17.507000,-1.29039965949,-1.52435738687,0.000260556229196
1970/01/01/07:26:17.557000,-1.24942930395,-1.52434353384,0.000262260966738
1970/01/01/07:26:17.607000,-1.20959501358,-1.52432653418,0.000263806630312
1970/01/01/07:26:17.657000,-1.1708641705,-1.5243065661,0.0002652593246
1970/01/01/07:26:17.707000,-1.1332068356,-1.52428553078,0.000266595184961
1970/01/01/07:26:17.757000,-1.09659235242,-1.52426285373,0.000267844772024
1970/01/01/07:26:17.807000,-1.06099084607,-1.52423787189,0.00026896525536
1970/01/01/07:26:17.857000,-1.02637512604,-1.52421066225,0.000270033472042
1970/01/01/07:26:17.957000,-0.992716991372,-1.52418139404,0.000271039516703
1970/01/01/07:26:18.007000,-0.96000713033,-1.52415222842,0.000271927792363
1970/01/01/07:26:18.057000,-0.927508869265,-1.52412161957,0.000272812484824
1970/01/01/07:26:18.108000,-0.895718026626,-1.5240893356,0.00027360539461
1970/01/01/07:26:18.156000,-0.864789261767,-1.52405546211,0.000274369745528
1970/01/01/07:26:18.207000,-0.834730377574,-1.52402011112,0.000275107065342
1970/01/01/07:26:18.258000,-0.805515718998,-1.52398559916,0.000275801051906
1970/01/01/07:26:18.307000,-0.777112927801,-1.52395006006,0.000276538703457
1970/01/01/07:26:18.357000,-0.749515287928,-1.52391337292,0.000277200596113
