time,.x,.y,.theta
1970/01/01/07:26:06.756000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:06.806000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:06.856000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:06.906000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:06.956000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:07.006000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:07.056000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:07.106000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:07.156000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:07.207000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:07.256000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:07.307000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:07.356000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:07.406000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:07.456000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:07.506000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:07.556000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:07.606000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:07.656000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:07.706000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:07.755000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:07.806000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:07.856000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:07.906000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:07.956000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:08.006000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:08.056000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:08.106000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:08.156000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:08.206000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:08.256000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:08.306000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:08.356000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:08.406000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:08.456000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:08.506000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:08.556000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:08.607000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:08.656000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:08.706000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:08.756000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:08.806000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:08.855000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:08.906000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:08.957000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:09.006000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:09.056000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:09.106000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:09.156000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:09.206000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:09.256000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:09.306000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:09.356000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:09.406000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:09.456000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:09.506000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:09.557000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:09.606000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:09.656000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:09.706000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:09.756000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:09.806000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:09.857000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:09.906000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:09.956000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:10.006000,-2.125232559,0.4780311795,0.0
1970/01/01/07:26:10.056000,-2.125232559,0.4780311795,0.0
