time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/07:20:05.500000,-0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.500000,0.0,-0.5,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.550000,0.0,-0.5,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.600000,0.0,-0.5,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.651000,0.0,-0.5,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.701000,0.0,-0.497174978256,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.751000,0.0,-0.490925014019,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.800000,0.0,-0.484650015831,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.851000,0.0,-0.478399991989,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.900000,0.0,-0.472150027752,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.951000,0.0,-0.465974986553,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.001000,0.0,-0.459874987602,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.050000,0.0,-0.453849971294,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.101000,0.0,-0.447899997234,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.150000,0.0,-0.442049980164,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.201000,0.0,-0.436275005341,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.250000,0.0,-0.430575013161,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.300000,0.0,-0.424950003624,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.349000,0.0,-0.41939997673,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.401000,0.0,-0.413924992085,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.450000,0.0,-0.408524990082,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.500000,0.0,-0.403199970722,0.0,0.0,0.0,0.0
