time,.x,.y,.theta
1970/01/01/07:20:19.307000,-1.00000126846,-2.00000146471,8.46480095028e-08
1970/01/01/07:20:19.357000,-1.00000126835,-2.00000146542,8.47319978446e-08
1970/01/01/07:20:19.407000,-1.00000126824,-2.00000146613,8.48159847867e-08
1970/01/01/07:20:19.457000,-1.00000126814,-2.00000146684,8.48999716857e-08
1970/01/01/07:20:19.507000,-1.00000126803,-2.00000146756,8.49839588571e-08
1970/01/01/07:20:19.557000,-1.00000126792,-2.00000146827,8.50679458625e-08
1970/01/01/07:20:19.607000,-1.00000126782,-2.00000146898,8.51519319145e-08
1970/01/01/07:20:19.657000,-1.00000126771,-2.00000146969,8.52359179742e-08
1970/01/01/07:20:19.709000,-1.0000012676,-2.0000014704,8.53199043551e-08
1970/01/01/07:20:19.757000,-1.00000126749,-2.00000147111,8.54038911913e-08
1970/01/01/07:20:19.808000,-1.00000126739,-2.00000147182,8.54878792598e-08
1970/01/01/07:20:19.857000,-1.00000126728,-2.00000147253,8.55718676956e-08
1970/01/01/07:20:19.907000,-1.00000126717,-2.00000147324,8.56558565546e-08
1970/01/01/07:20:19.957000,-1.00000126706,-2.00000147395,8.57398456145e-08
1970/01/01/07:20:20.007000,-1.00000126696,-2.00000147466,8.58238348993e-08
1970/01/01/07:20:20.057000,-1.00000126685,-2.00000147537,8.59078248945e-08
1970/01/01/07:20:20.107000,-1.00000126674,-2.00000147608,8.59918154639e-08
1970/01/01/07:20:20.157000,-1.00000126663,-2.00000147679,8.60758059359e-08
1970/01/01/07:20:20.207000,-1.00000126653,-2.0000014775,8.61597960133e-08
1970/01/01/07:20:20.258000,-1.00000126642,-2.00000147821,8.62437866546e-08
1970/01/01/07:20:20.307000,-1.00000126631,-2.00000147892,8.63277776829e-08
1970/01/01/07:20:20.357000,-1.0000012662,-2.00000147963,8.64117684825e-08
1970/01/01/07:20:20.407000,-1.0000012661,-2.00000148034,8.64957591594e-08
1970/01/01/07:20:20.457000,-1.00000126599,-2.00000148105,8.65797502894e-08
1970/01/01/07:20:20.507000,-1.00000126588,-2.00000148176,8.66637421633e-08
1970/01/01/07:20:20.557000,-1.00000126577,-2.00000148247,8.67477342995e-08
1970/01/01/07:20:20.607000,-1.00000126567,-2.00000148318,8.68317270199e-08
1970/01/01/07:20:20.657000,-1.00000126556,-2.0000014839,8.69157204891e-08
1970/01/01/07:20:20.708000,-1.00000126545,-2.00000148461,8.69997145833e-08
1970/01/01/07:20:20.757000,-1.00000126534,-2.00000148532,8.70837087467e-08
1970/01/01/07:20:20.807000,-1.00000126524,-2.00000148603,8.71677040403e-08
1970/01/01/07:20:20.857000,-1.00000126513,-2.00000148674,8.7251699513e-08
1970/01/01/07:20:20.957000,-1.00000126502,-2.00000148745,8.73356958804e-08
1970/01/01/07:20:21.007000,-1.00000126491,-2.00000148816,8.74196927297e-08
1970/01/01/07:20:21.057000,-1.0000012648,-2.00000148887,8.75036908706e-08
1970/01/01/07:20:21.107000,-1.0000012647,-2.00000148958,8.7587690575e-08
1970/01/01/07:20:21.157000,-1.00000126459,-2.00000149029,8.76716905148e-08
1970/01/01/07:20:21.207000,-1.00000126448,-2.000001491,8.77556923006e-08
1970/01/01/07:20:21.257000,-1.00000126437,-2.00000149171,8.78396951181e-08
1970/01/01/07:20:21.307000,-1.00000126427,-2.00000149242,8.79236986841e-08
1970/01/01/07:20:21.358000,-1.00000126416,-2.00000149313,8.80077032076e-08
1970/01/01/07:20:21.407000,-1.00000126405,-2.00000149384,8.80917091489e-08
1970/01/01/07:20:21.457000,-1.00000126394,-2.00000149455,8.81757160947e-08
1970/01/01/07:20:21.507000,-1.00000126383,-2.00000149526,8.82597236611e-08
1970/01/01/07:20:21.557000,-1.00000126373,-2.00000149597,8.83437325856e-08
1970/01/01/07:20:21.607000,-1.00000126362,-2.00000149668,8.84277426592e-08
1970/01/01/07:20:21.657000,-1.00000126351,-2.00000149739,8.85117537024e-08
1970/01/01/07:20:21.708000,-1.0000012634,-2.0000014981,8.85957655722e-08
1970/01/01/07:20:21.757000,-1.00000126329,-2.00000149881,8.8679778667e-08
1970/01/01/07:20:21.807000,-1.00000126319,-2.00000149952,8.8763793128e-08
1970/01/01/07:20:21.857000,-1.00000126308,-2.00000150023,8.88478082315e-08
1970/01/01/07:20:21.907000,-1.00000126297,-2.00000150095,8.89318245435e-08
1970/01/01/07:20:21.957000,-1.00000126286,-2.00000150166,8.90158420376e-08
1970/01/01/07:20:22.007000,-1.00000126275,-2.00000150237,8.90998604773e-08
1970/01/01/07:20:22.057000,-1.00000126265,-2.00000150308,8.91838798459e-08
1970/01/01/07:20:22.107000,-1.00000126254,-2.00000150379,8.92678999859e-08
1970/01/01/07:20:22.158000,-1.00000126243,-2.0000015045,8.9351921407e-08
1970/01/01/07:20:22.207000,-1.00000126232,-2.00000150521,8.94359440188e-08
1970/01/01/07:20:22.257000,-1.00000126221,-2.00000150592,8.95199675048e-08
1970/01/01/07:20:22.307000,-1.00000126211,-2.00000150663,8.96039917888e-08
1970/01/01/07:20:22.357000,-1.000001262,-2.00000150734,8.96880173126e-08
1970/01/01/07:20:22.407000,-1.00000126189,-2.00000150805,8.97720437987e-08
1970/01/01/07:20:22.457000,-1.00000126178,-2.00000150876,8.98560709419e-08
