time,.x,.y,.theta
1970/01/01/07:20:19.306000,0.0,0.0,0.0
1970/01/01/07:20:19.356000,0.0,0.0,0.0
1970/01/01/07:20:19.407000,0.0,0.0,0.0
1970/01/01/07:20:19.507000,0.0,0.0,0.0
1970/01/01/07:20:19.556000,0.0,0.0,0.0
1970/01/01/07:20:19.606000,0.0,0.0,0.0
1970/01/01/07:20:19.656000,0.0,0.0,0.0
1970/01/01/07:20:19.706000,0.0,0.0,0.0
1970/01/01/07:20:19.756000,0.0,0.0,0.0
1970/01/01/07:20:19.807000,0.0,0.0,0.0
1970/01/01/07:20:19.856000,0.0,0.0,0.0
1970/01/01/07:20:19.906000,0.0,0.0,0.0
1970/01/01/07:20:19.956000,0.0,0.0,0.0
1970/01/01/07:20:20.006000,0.0,0.0,0.0
1970/01/01/07:20:20.056000,0.0,0.0,0.0
1970/01/01/07:20:20.106000,0.0,0.0,0.0
1970/01/01/07:20:20.156000,0.0,0.0,0.0
1970/01/01/07:20:20.206000,0.0,0.0,0.0
1970/01/01/07:20:20.256000,0.0,0.0,0.0
1970/01/01/07:20:20.306000,0.0,0.0,0.0
1970/01/01/07:20:20.356000,0.0,0.0,0.0
1970/01/01/07:20:20.406000,0.0,0.0,0.0
1970/01/01/07:20:20.456000,0.0,0.0,0.0
1970/01/01/07:20:20.506000,0.0,0.0,0.0
1970/01/01/07:20:20.556000,0.0,0.0,0.0
1970/01/01/07:20:20.606000,0.0,0.0,0.0
1970/01/01/07:20:20.656000,0.0,0.0,0.0
1970/01/01/07:20:20.706000,0.0,0.0,0.0
1970/01/01/07:20:20.756000,0.0,0.0,0.0
1970/01/01/07:20:20.806000,0.0,0.0,0.0
1970/01/01/07:20:20.856000,0.0,0.0,0.0
1970/01/01/07:20:20.906000,0.0,0.0,0.0
1970/01/01/07:20:20.956000,0.0,0.0,0.0
1970/01/01/07:20:21.006000,0.0,0.0,0.0
1970/01/01/07:20:21.056000,0.0,0.0,0.0
1970/01/01/07:20:21.106000,0.0,0.0,0.0
1970/01/01/07:20:21.156000,0.0,0.0,0.0
1970/01/01/07:20:21.207000,0.0,0.0,0.0
1970/01/01/07:20:21.256000,0.0,0.0,0.0
1970/01/01/07:20:21.308000,0.0,0.0,0.0
1970/01/01/07:20:21.356000,0.0,0.0,0.0
1970/01/01/07:20:21.406000,0.0,0.0,0.0
1970/01/01/07:20:21.456000,0.0,0.0,0.0
1970/01/01/07:20:21.507000,0.0,0.0,0.0
1970/01/01/07:20:21.556000,0.0,0.0,0.0
1970/01/01/07:20:21.606000,0.0,0.0,0.0
1970/01/01/07:20:21.656000,0.0,0.0,0.0
1970/01/01/07:20:21.706000,0.0,0.0,0.0
1970/01/01/07:20:21.756000,0.0,0.0,0.0
1970/01/01/07:20:21.806000,0.0,0.0,0.0
1970/01/01/07:20:21.857000,0.0,0.0,0.0
1970/01/01/07:20:21.906000,0.0,0.0,0.0
1970/01/01/07:20:21.956000,0.0,0.0,0.0
1970/01/01/07:20:22.006000,0.0,0.0,0.0
1970/01/01/07:20:22.056000,0.0,0.0,0.0
1970/01/01/07:20:22.106000,0.0,0.0,0.0
1970/01/01/07:20:22.157000,0.0,0.0,0.0
1970/01/01/07:20:22.206000,0.0,0.0,0.0
1970/01/01/07:20:22.257000,0.0,0.0,0.0
1970/01/01/07:20:22.306000,0.0,0.0,0.0
1970/01/01/07:20:22.356000,0.0,0.0,0.0
1970/01/01/07:20:22.406000,0.0,0.0,0.0
1970/01/01/07:20:22.456000,0.0,0.0,0.0
1970/01/01/07:20:22.506000,0.0,0.0,0.0
1970/01/01/07:20:22.557000,0.0,0.0,0.0
1970/01/01/07:20:22.606000,0.0,0.0,0.0
1970/01/01/07:20:22.656000,0.0,0.0,0.0
1970/01/01/07:20:22.706000,0.0,0.0,0.0
1970/01/01/07:20:22.756000,0.0,0.0,0.0
1970/01/01/07:20:22.806000,0.0,0.0,0.0
1970/01/01/07:20:22.856000,0.0,0.0,0.0
1970/01/01/07:20:22.906000,0.0,0.0,0.0
1970/01/01/07:20:22.956000,0.0,0.0,0.0
1970/01/01/07:20:23.006000,0.0,0.0,0.0
1970/01/01/07:20:23.056000,0.0,0.0,0.0
1970/01/01/07:20:23.106000,0.0,0.0,0.0
1970/01/01/07:20:23.156000,0.0,0.0,0.0
1970/01/01/07:20:23.206000,0.0,0.0,0.0
1970/01/01/07:20:23.256000,0.0,0.0,0.0
1970/01/01/07:20:23.306000,0.0,0.0,0.0
1970/01/01/07:20:23.356000,0.0,0.0,0.0
1970/01/01/07:20:23.406000,0.0,0.0,0.0
1970/01/01/07:20:23.456000,0.0,0.0,0.0
1970/01/01/07:20:23.506000,0.0,0.0,0.0
1970/01/01/07:20:23.556000,0.0,0.0,0.0
1970/01/01/07:20:23.606000,0.0,0.0,0.0
1970/01/01/07:20:23.656000,0.0,0.0,0.0
1970/01/01/07:20:23.706000,0.0,0.0,0.0
1970/01/01/07:20:23.756000,0.0,0.0,0.0
1970/01/01/07:20:23.806000,0.0,0.0,0.0
1970/01/01/07:20:23.856000,0.0,0.0,0.0
1970/01/01/07:20:23.906000,0.0,0.0,0.0
1970/01/01/07:20:23.956000,0.0,0.0,0.0
1970/01/01/07:20:24.006000,0.0,0.0,0.0
1970/01/01/07:20:24.056000,0.0,0.0,0.0
1970/01/01/07:20:24.106000,0.0,0.0,0.0
1970/01/01/07:20:24.156000,0.0,0.0,0.0
1970/01/01/07:20:24.206000,0.0,0.0,0.0
1970/01/01/07:20:24.256000,0.0,0.0,0.0
1970/01/01/07:20:24.306000,0.0,0.0,0.0
1970/01/01/07:20:24.356000,0.0,0.0,0.0
1970/01/01/07:20:24.406000,0.0,0.0,0.0
1970/01/01/07:20:24.455000,0.0,0.0,0.0
1970/01/01/07:20:24.506000,0.0,0.0,0.0
1970/01/01/07:20:24.556000,0.0,0.0,0.0
1970/01/01/07:20:24.606000,0.0,0.0,0.0
1970/01/01/07:20:24.656000,0.0,0.0,0.0
1970/01/01/07:20:24.706000,0.0,0.0,0.0
1970/01/01/07:20:24.756000,0.0,0.0,0.0
1970/01/01/07:20:24.806000,0.0,0.0,0.0
1970/01/01/07:20:24.856000,0.0,0.0,0.0
1970/01/01/07:20:24.906000,0.0,0.0,0.0
1970/01/01/07:20:24.956000,0.0,0.0,0.0
1970/01/01/07:20:25.006000,0.0,0.0,0.0
1970/01/01/07:20:25.056000,0.0,0.0,0.0
1970/01/01/07:20:25.106000,0.0,0.0,0.0
1970/01/01/07:20:25.157000,0.0,0.0,0.0
1970/01/01/07:20:25.206000,0.0,0.0,0.0
1970/01/01/07:20:25.256000,0.0,0.0,0.0
1970/01/01/07:20:25.307000,0.0,0.0,0.0
1970/01/01/07:20:25.356000,0.0,0.0,0.0
1970/01/01/07:20:25.406000,0.0,0.0,0.0
1970/01/01/07:20:25.456000,0.0,0.0,0.0
1970/01/01/07:20:25.506000,0.0,0.0,0.0
1970/01/01/07:20:25.556000,0.0,0.0,0.0
1970/01/01/07:20:25.606000,0.0,0.0,0.0
1970/01/01/07:20:25.656000,0.0,0.0,0.0
1970/01/01/07:20:25.706000,0.0,0.0,0.0
1970/01/01/07:20:25.756000,0.0,0.0,0.0
1970/01/01/07:20:25.806000,0.0,0.0,0.0
1970/01/01/07:20:25.856000,0.0,0.0,0.0
1970/01/01/07:20:25.906000,0.0,0.0,0.0
1970/01/01/07:20:25.956000,0.0,0.0,0.0
1970/01/01/07:20:26.006000,0.0,0.0,0.0
1970/01/01/07:20:26.056000,0.0,0.0,0.0
1970/01/01/07:20:26.106000,0.0,0.0,0.0
1970/01/01/07:20:26.156000,0.0,0.0,0.0
1970/01/01/07:20:26.206000,0.0,0.0,0.0
1970/01/01/07:20:26.256000,0.0,0.0,0.0
1970/01/01/07:20:26.306000,0.0,0.0,0.0
1970/01/01/07:20:26.356000,0.0,0.0,0.0
1970/01/01/07:20:26.406000,0.0,0.0,0.0
1970/01/01/07:20:26.456000,0.0,0.0,0.0
1970/01/01/07:20:26.506000,0.0,0.0,0.0
1970/01/01/07:20:26.556000,0.0,0.0,0.0
1970/01/01/07:20:26.606000,0.0,0.0,0.0
1970/01/01/07:20:26.656000,0.0,0.0,0.0
1970/01/01/07:20:26.706000,0.0,0.0,0.0
1970/01/01/07:20:26.756000,0.0,0.0,0.0
1970/01/01/07:20:26.806000,0.0,0.0,0.0
1970/01/01/07:20:26.856000,0.0,0.0,0.0
1970/01/01/07:20:26.906000,0.0,0.0,0.0
1970/01/01/07:20:26.956000,0.0,0.0,0.0
1970/01/01/07:20:27.006000,0.0,0.0,0.0
1970/01/01/07:20:27.056000,0.0,0.0,0.0
1970/01/01/07:20:27.106000,0.0,0.0,0.0
1970/01/01/07:20:27.156000,0.0,0.0,0.0
1970/01/01/07:20:27.206000,0.0,0.0,0.0
1970/01/01/07:20:27.256000,0.0,0.0,0.0
1970/01/01/07:20:27.306000,0.0,0.0,0.0
1970/01/01/07:20:27.356000,0.0,0.0,0.0
1970/01/01/07:20:27.406000,0.0,0.0,0.0
1970/01/01/07:20:27.456000,0.0,0.0,0.0
1970/01/01/07:20:27.506000,0.0,0.0,0.0
1970/01/01/07:20:27.557000,0.0,0.0,0.0
1970/01/01/07:20:27.606000,0.0,0.0,0.0
1970/01/01/07:20:27.656000,0.0,0.0,0.0
1970/01/01/07:20:27.707000,0.0,0.0,0.0
1970/01/01/07:20:27.756000,0.0,0.0,0.0
1970/01/01/07:20:27.806000,0.0,0.0,0.0
1970/01/01/07:20:27.855000,0.0,0.0,0.0
1970/01/01/07:20:27.906000,0.0,0.0,0.0
1970/01/01/07:20:27.956000,0.0,0.0,0.0
1970/01/01/07:20:28.006000,0.0,0.0,0.0
1970/01/01/07:20:28.056000,0.0,0.0,0.0
1970/01/01/07:20:28.106000,0.0,0.0,0.0
1970/01/01/07:20:28.156000,0.0,0.0,0.0
1970/01/01/07:20:28.206000,0.0,0.0,0.0
1970/01/01/07:20:28.256000,0.0,0.0,0.0
1970/01/01/07:20:28.306000,0.0,0.0,0.0
1970/01/01/07:20:28.356000,0.0,0.0,0.0
1970/01/01/07:20:28.406000,0.0,0.0,0.0
1970/01/01/07:20:28.456000,0.0,0.0,0.0
1970/01/01/07:20:28.506000,0.0,0.0,0.0
1970/01/01/07:20:28.556000,0.0,0.0,0.0
1970/01/01/07:20:28.606000,0.0,0.0,0.0
1970/01/01/07:20:28.656000,0.0,0.0,0.0
1970/01/01/07:20:28.706000,0.0,0.0,0.0
1970/01/01/07:20:28.756000,0.0,0.0,0.0
1970/01/01/07:20:28.806000,0.0,0.0,0.0
1970/01/01/07:20:28.856000,0.0,0.0,0.0
1970/01/01/07:20:28.906000,0.0,0.0,0.0
1970/01/01/07:20:28.956000,0.0,0.0,0.0
