time,.x,.y,.theta
1970/01/01/07:20:18.283000,-2.00000127017,3.99999854665,8.33045605468e-08
1970/01/01/07:20:18.334000,-2.00000127007,3.99999854594,8.33885603405e-08
1970/01/01/07:20:18.383000,-2.00000126996,3.99999854523,8.34725585184e-08
1970/01/01/07:20:18.434000,-2.00000126985,3.99999854452,8.35565579125e-08
1970/01/01/07:20:18.483000,-2.00000126974,3.99999854381,8.36405571668e-08
1970/01/01/07:20:18.533000,-2.00000126964,3.9999985431,8.37245562462e-08
1970/01/01/07:20:18.583000,-2.00000126953,3.99999854239,8.38085571289e-08
1970/01/01/07:20:18.634000,-2.00000126942,3.99999854168,8.3892557767e-08
1970/01/01/07:20:18.683000,-2.00000126932,3.99999854097,8.39765585952e-08
1970/01/01/07:20:18.738000,-2.00000126921,3.99999854026,8.40605612813e-08
1970/01/01/07:20:18.782000,-2.0000012691,3.99999853955,8.4144562467e-08
1970/01/01/07:20:18.833000,-2.00000126899,3.99999853884,8.42285652658e-08
1970/01/01/07:20:18.883000,-2.00000126889,3.99999853813,8.43125686306e-08
1970/01/01/07:20:18.933000,-2.00000126878,3.99999853742,8.43965693011e-08
1970/01/01/07:20:18.983000,-2.00000126867,3.99999853671,8.44805734645e-08
1970/01/01/07:20:19.033000,-2.00000126857,3.999998536,8.45645780175e-08
1970/01/01/07:20:19.083000,-2.00000126846,3.99999853529,8.46485819392e-08
1970/01/01/07:20:19.133000,-2.00000126835,3.99999853458,8.47325879925e-08
1970/01/01/07:20:19.186000,-2.00000126824,3.99999853387,8.48165934723e-08
1970/01/01/07:20:19.233000,-2.00000126814,3.99999853316,8.49005995202e-08
1970/01/01/07:20:19.283000,-2.00000126803,3.99999853245,8.49846080472e-08
1970/01/01/07:20:19.333000,-2.00000126792,3.99999853174,8.50686159504e-08
1970/01/01/07:20:19.384000,-2.00000126782,3.99999853102,8.51526251075e-08
1970/01/01/07:20:19.433000,-2.00000126771,3.99999853031,8.52366350552e-08
1970/01/01/07:20:19.483000,-2.0000012676,3.9999985296,8.53206431544e-08
1970/01/01/07:20:19.533000,-2.00000124685,3.91039662793,3.42715151227e-07
1970/01/01/07:20:19.583000,-2.00000119854,3.80884751446,6.01398154617e-07
1970/01/01/07:20:19.633000,-2.00000112485,3.70729816451,8.37673432162e-07
1970/01/01/07:20:19.683000,-2.00000102797,3.6059278304,1.05657965469e-06
1970/01/01/07:20:19.733000,-2.00000091475,3.50915095691,1.2613663138e-06
1970/01/01/07:20:19.783000,-2.00000078906,3.41745386853,1.45483232831e-06
1970/01/01/07:20:19.833000,-2.00000065423,3.33113589478,1.63949781267e-06
1970/01/01/07:20:19.882000,-2.00000051288,3.25016854841,1.81731945386e-06
