time,.x,.y,.theta
1970/01/01/07:19:57.959000,2.99999868836,1.9999988294,4.98697769299e-08
1970/01/01/07:19:58.009000,2.99999868846,1.99999882869,4.99537887259e-08
1970/01/01/07:19:58.059000,2.99999868856,1.99999882798,5.00377973924e-08
1970/01/01/07:19:58.109000,2.99999868867,1.99999882727,5.01218083113e-08
1970/01/01/07:19:58.159000,2.99999868877,1.99999882656,5.02058154093e-08
1970/01/01/07:19:58.209000,2.99999868887,1.99999882585,5.02898240353e-08
1970/01/01/07:19:58.259000,2.99999868897,1.99999882514,5.03738337153e-08
1970/01/01/07:19:58.309000,2.99999868907,1.99999882443,5.04578400495e-08
1970/01/01/07:19:58.359000,2.99999868917,1.99999882372,5.05418504357e-08
1970/01/01/07:19:58.409000,2.99999868927,1.99999882301,5.0625857578e-08
1970/01/01/07:19:58.459000,2.99999868938,1.9999988223,5.07098674907e-08
1970/01/01/07:19:58.509000,2.99999868948,1.99999882159,5.07938795446e-08
1970/01/01/07:19:58.559000,2.99999868958,1.99999882088,5.08778906997e-08
1970/01/01/07:19:58.609000,2.99999868968,1.99999882017,5.09619046946e-08
1970/01/01/07:19:58.659000,2.99999868978,1.99999881946,5.10459171092e-08
1970/01/01/07:19:58.709000,2.99999868988,1.99999881875,5.11299299107e-08
1970/01/01/07:19:58.759000,2.99999868999,1.99999881804,5.12139443013e-08
1970/01/01/07:19:58.809000,2.99999869009,1.99999881732,5.12979582869e-08
1970/01/01/07:19:58.859000,2.99999869019,1.99999881661,5.1381973829e-08
1970/01/01/07:19:58.909000,2.99999869029,1.9999988159,5.1465988068e-08
1970/01/01/07:19:58.959000,2.99999869039,1.99999881519,5.15500007702e-08
1970/01/01/07:19:59.010000,2.99999869049,1.99999881448,5.16340133928e-08
1970/01/01/07:19:59.059000,2.9999986906,1.99999881377,5.17180226996e-08
1970/01/01/07:19:59.109000,2.9999986907,1.99999881306,5.18020329059e-08
1970/01/01/07:19:59.161000,2.9999986908,1.99999881235,5.18860401603e-08
1970/01/01/07:19:59.210000,2.9999986909,1.99999881164,5.19700448423e-08
1970/01/01/07:19:59.259000,2.999998691,1.99999881093,5.20540524262e-08
1970/01/01/07:19:59.305000,2.9999986911,1.99999881022,5.21380529231e-08
1970/01/01/07:19:59.359000,2.99999869121,1.99999880951,5.22220556324e-08
1970/01/01/07:19:59.410000,2.99999869131,1.9999988088,5.23060566597e-08
1970/01/01/07:19:59.459000,2.99999869141,1.99999880809,5.23900533918e-08
1970/01/01/07:19:59.509000,2.99999869151,1.99999880738,5.24740557185e-08
1970/01/01/07:19:59.559000,2.99999869161,1.99999880667,5.25580519618e-08
1970/01/01/07:19:59.609000,2.99999869172,1.99999880596,5.26420502418e-08
