time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/07:20:02.249000,-5.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.299000,-5.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.352000,-5.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.398000,-5.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.449000,-4.1764998436,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.499000,-2.90350019932,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.549000,-1.63049995899,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.599000,-0.357000231743,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.649000,0.759500265121,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.698000,1.5750002861,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.749000,2.0659995079,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.799000,2.21899986267,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.849000,2.07700014114,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.899000,1.71100020409,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.948000,1.20450019836,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.999000,0.645999908447,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.049000,0.11549949646,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.099000,-0.325499773026,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.149000,-0.638499855995,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.199000,-0.806999802589,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.249000,-0.837500095367,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.299000,-0.758500099182,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.349000,-0.596500039101,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.398000,-0.393000245094,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.449000,-0.182999968529,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.499000,0.00499963760376,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.549000,0.14899969101,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.599000,0.240499973297,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.649000,0.277999639511,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.698000,0.270999670029,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.748000,0.270999670029,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.799000,0.230499505997,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.849000,0.169999599457,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.899000,0.102000236511,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.949000,0.0355005264282,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.998000,-0.029000043869,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.048000,-0.0809997320175,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.099000,-0.117499828339,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.148000,-0.136500000954,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.199000,-0.139999985695,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.248000,-0.127999782562,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.298000,-0.105000138283,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.348000,-0.0744998455048,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.399000,-0.0414997339249,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.448000,-0.00899970531464,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.499000,0.0189995765686,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.549000,0.0409996509552,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.599000,0.05499958992,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.649000,0.0604999065399,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.699000,0.0590002536774,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.749000,0.0514996051788,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.798000,0.0399994850159,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.849000,0.0255000591278,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.899000,0.011500120163,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.948000,-0.001500248909,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.998000,-0.0120002031326,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.049000,-0.0195002555847,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.099000,-0.0230002403259,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.149000,-0.0234997272491,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.198000,-0.0214999914169,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.250000,-0.0169998407364,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.298000,-0.0120002031326,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.349000,-0.00599980354309,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.398000,-0.00100016593933,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.448000,0.00349998474121,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.499000,0.0065004825592,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.549000,0.00800013542175,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.598000,0.00849962234497,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.649000,0.00749945640564,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.698000,0.00599980354309,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.749000,0.00399947166443,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.798000,0.00200033187866,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.849000,0.000499486923218,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.898000,-0.00100016593933,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.949000,-0.00199973583221,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.999000,-0.00249981880188,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.048000,-0.00249981880188,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.098000,-0.00199973583221,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.149000,-0.001500248909,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.198000,-0.00100016593933,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.248000,-0.00100016593933,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.298000,-0.000500082969666,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.348000,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.398000,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.449000,0.000499486923218,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:06.499000,0.000499486923218,0.0,0.0,0.0,0.0,0.0
