time,.x,.y,.theta
1970/01/01/07:19:57.948000,0.0,0.0,0.0
1970/01/01/07:19:57.998000,0.0,0.0,0.0
1970/01/01/07:19:58.048000,0.0,0.0,0.0
1970/01/01/07:19:58.098000,0.0,0.0,0.0
1970/01/01/07:19:58.148000,0.0,0.0,0.0
1970/01/01/07:19:58.198000,0.0,0.0,0.0
1970/01/01/07:19:58.248000,0.0,0.0,0.0
1970/01/01/07:19:58.298000,0.0,0.0,0.0
1970/01/01/07:19:58.348000,0.0,0.0,0.0
1970/01/01/07:19:58.398000,0.0,0.0,0.0
1970/01/01/07:19:58.448000,0.0,0.0,0.0
1970/01/01/07:19:58.498000,0.0,0.0,0.0
1970/01/01/07:19:58.548000,0.0,0.0,0.0
1970/01/01/07:19:58.599000,0.0,0.0,0.0
1970/01/01/07:19:58.648000,0.0,0.0,0.0
1970/01/01/07:19:58.698000,0.0,0.0,0.0
1970/01/01/07:19:58.748000,0.0,0.0,0.0
1970/01/01/07:19:58.798000,0.0,0.0,0.0
1970/01/01/07:19:58.848000,0.0,0.0,0.0
1970/01/01/07:19:58.899000,0.0,0.0,0.0
1970/01/01/07:19:58.948000,0.0,0.0,0.0
1970/01/01/07:19:58.998000,0.0,0.0,0.0
1970/01/01/07:19:59.048000,0.0,0.0,0.0
1970/01/01/07:19:59.098000,0.0,0.0,0.0
1970/01/01/07:19:59.148000,0.0,0.0,0.0
1970/01/01/07:19:59.199000,0.0,0.0,0.0
1970/01/01/07:19:59.249000,0.0,0.0,0.0
1970/01/01/07:19:59.298000,0.0,0.0,0.0
1970/01/01/07:19:59.348000,0.0,0.0,0.0
1970/01/01/07:19:59.398000,0.0,0.0,0.0
1970/01/01/07:19:59.448000,0.0,0.0,0.0
1970/01/01/07:19:59.498000,0.0,0.0,0.0
1970/01/01/07:19:59.548000,0.0,0.0,0.0
1970/01/01/07:19:59.598000,0.0,0.0,0.0
1970/01/01/07:19:59.648000,0.0,0.0,0.0
1970/01/01/07:19:59.698000,0.0,0.0,0.0
1970/01/01/07:19:59.749000,0.0,0.0,0.0
1970/01/01/07:19:59.798000,0.0,0.0,0.0
1970/01/01/07:19:59.848000,0.0,0.0,0.0
1970/01/01/07:19:59.898000,0.0,0.0,0.0
1970/01/01/07:19:59.948000,0.0,0.0,0.0
1970/01/01/07:19:59.998000,0.0,0.0,0.0
1970/01/01/07:20:00.048000,0.0,0.0,0.0
1970/01/01/07:20:00.098000,0.0,0.0,0.0
1970/01/01/07:20:00.148000,0.0,0.0,0.0
1970/01/01/07:20:00.198000,0.0,0.0,0.0
1970/01/01/07:20:00.248000,0.0,0.0,0.0
1970/01/01/07:20:00.299000,0.0,0.0,0.0
1970/01/01/07:20:00.350000,0.0,0.0,0.0
