time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/07:20:04.489000,-0.0,1.5,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.539000,-0.0,1.5,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.589000,-0.0,1.5,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.640000,-0.0,1.45529991388,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.689000,-0.0,1.39822500944,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.742000,-0.0,1.34122502804,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.790000,-0.0,1.28414994478,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.839000,-0.0,1.22857493162,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.889000,-0.0,1.17517501116,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.939000,-0.0,1.12387508154,0.0,0.0,0.0,0.0
1970/01/01/07:20:04.989000,-0.0,1.07489991188,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.039000,-0.0,1.02810001373,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.090000,-0.0,0.983475029469,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.140000,-0.0,0.940800011158,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.189000,-0.0,0.900000035763,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.240000,-0.0,0.861074924469,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.289000,-0.0,0.823949933052,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.340000,-0.0,0.788399934769,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.390000,-0.0,0.754424929619,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.439000,-0.0,0.722024917603,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.489000,-0.0,0.691050052643,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.540000,-0.0,0.661425054073,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.590000,-0.0,0.633074998856,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.639000,-0.0,0.606074988842,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.690000,-0.0,0.580200076103,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.740000,-0.0,0.555525004864,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.790000,-0.0,0.531899929047,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.840000,-0.0,0.509325027466,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.889000,-0.0,0.487725019455,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.939000,-0.0,0.487725019455,0.0,0.0,0.0,0.0
1970/01/01/07:20:05.989000,-0.0,0.467100083828,0.0,0.0,0.0,0.0
