time,.x,.y,.theta
1970/01/01/07:19:58.307000,0.0,0.0,0.0
1970/01/01/07:19:58.356000,0.0,0.0,0.0
1970/01/01/07:19:58.406000,0.0,0.0,0.0
1970/01/01/07:19:58.456000,0.0,0.0,0.0
1970/01/01/07:19:58.506000,0.0,0.0,0.0
1970/01/01/07:19:58.556000,0.0,0.0,0.0
1970/01/01/07:19:58.606000,0.0,0.0,0.0
1970/01/01/07:19:58.656000,0.0,0.0,0.0
1970/01/01/07:19:58.706000,0.0,0.0,0.0
1970/01/01/07:19:58.756000,0.0,0.0,0.0
1970/01/01/07:19:58.806000,0.0,0.0,0.0
1970/01/01/07:19:58.856000,0.0,0.0,0.0
1970/01/01/07:19:58.906000,0.0,0.0,0.0
1970/01/01/07:19:58.957000,0.0,0.0,0.0
1970/01/01/07:19:59.006000,0.0,0.0,0.0
1970/01/01/07:19:59.056000,0.0,0.0,0.0
1970/01/01/07:19:59.106000,0.0,0.0,0.0
1970/01/01/07:19:59.156000,0.0,0.0,0.0
1970/01/01/07:19:59.206000,0.0,0.0,0.0
1970/01/01/07:19:59.256000,0.0,0.0,0.0
1970/01/01/07:19:59.307000,0.0,0.0,0.0
1970/01/01/07:19:59.356000,0.0,0.0,0.0
1970/01/01/07:19:59.406000,0.0,0.0,0.0
1970/01/01/07:19:59.457000,0.0,0.0,0.0
1970/01/01/07:19:59.506000,0.0,0.0,0.0
1970/01/01/07:19:59.556000,0.0,0.0,0.0
1970/01/01/07:19:59.606000,0.0,0.0,0.0
1970/01/01/07:19:59.656000,0.0,0.0,0.0
1970/01/01/07:19:59.706000,0.0,0.0,0.0
1970/01/01/07:19:59.756000,0.0,0.0,0.0
1970/01/01/07:19:59.806000,0.0,0.0,0.0
1970/01/01/07:19:59.857000,0.0,0.0,0.0
1970/01/01/07:19:59.906000,0.0,0.0,0.0
1970/01/01/07:19:59.957000,0.0,0.0,0.0
1970/01/01/07:20:00.056000,0.0,0.0,0.0
1970/01/01/07:20:00.106000,0.0,0.0,0.0
1970/01/01/07:20:00.156000,0.0,0.0,0.0
1970/01/01/07:20:00.206000,0.0,0.0,0.0
1970/01/01/07:20:00.256000,0.0,0.0,0.0
1970/01/01/07:20:00.306000,0.0,0.0,0.0
1970/01/01/07:20:00.356000,0.0,0.0,0.0
1970/01/01/07:20:00.406000,0.0,0.0,0.0
1970/01/01/07:20:00.456000,0.0,0.0,0.0
1970/01/01/07:20:00.506000,0.0,0.0,0.0
1970/01/01/07:20:00.556000,0.0,0.0,0.0
1970/01/01/07:20:00.606000,0.0,0.0,0.0
1970/01/01/07:20:00.656000,0.0,0.0,0.0
