time,.x,.y,.theta
1970/01/01/07:21:12.605000,-2.00000114809,3.99999779289,1.72444243702e-07
1970/01/01/07:21:12.655000,-2.00000114797,3.99999779218,1.72528230679e-07
1970/01/01/07:21:12.705000,-2.00000114785,3.99999779147,1.72612219651e-07
1970/01/01/07:21:12.755000,-2.00000114772,3.99999779076,1.72696207677e-07
1970/01/01/07:21:12.806000,-2.0000011476,3.99999779005,1.72780194509e-07
1970/01/01/07:21:12.855000,-2.00000114747,3.99999778934,1.72864182307e-07
1970/01/01/07:21:12.905000,-2.00000114735,3.99999778863,1.72948171409e-07
1970/01/01/07:21:12.955000,-2.00000114723,3.99999778792,1.7303215964e-07
1970/01/01/07:21:13.005000,-2.0000011471,3.99999778721,1.73116146678e-07
1970/01/01/07:21:13.055000,-2.00000114698,3.9999977865,1.73200135079e-07
1970/01/01/07:21:13.105000,-2.00000114686,3.99999778579,1.73284124412e-07
1970/01/01/07:21:13.155000,-2.00000114673,3.99999778508,1.7336811227e-07
1970/01/01/07:21:13.205000,-2.00000114661,3.99999778437,1.73452100045e-07
1970/01/01/07:21:13.255000,-2.00000114649,3.99999778366,1.73536089142e-07
1970/01/01/07:21:13.305000,-2.00000114636,3.99999778295,1.73620078543e-07
1970/01/01/07:21:13.356000,-2.00000114624,3.99999778224,1.73704066259e-07
1970/01/01/07:21:13.405000,-2.00000114611,3.99999778153,1.73788054481e-07
1970/01/01/07:21:13.455000,-2.00000114599,3.99999778082,1.73872044518e-07
1970/01/01/07:21:13.505000,-2.00000114587,3.9999977801,1.73956034078e-07
1970/01/01/07:21:13.555000,-2.00000114574,3.99999777939,1.74040021668e-07
1970/01/01/07:21:13.605000,-2.00000114562,3.99999777868,1.74124010349e-07
1970/01/01/07:21:13.654000,-2.0000011455,3.99999777797,1.74208000481e-07
1970/01/01/07:21:13.705000,-2.00000114537,3.99999777726,1.74291989896e-07
1970/01/01/07:21:13.755000,-2.00000114525,3.99999777655,1.74375978071e-07
1970/01/01/07:21:13.805000,-2.00000114512,3.99999777584,1.74459967404e-07
1970/01/01/07:21:13.855000,-2.000001145,3.99999777513,1.74543957335e-07
1970/01/01/07:21:13.906000,-2.00000114488,3.99999777442,1.74627946522e-07
1970/01/01/07:21:13.955000,-2.00000114475,3.99999777371,1.74711934889e-07
1970/01/01/07:21:14.005000,-2.00000114463,3.999997773,1.74795924961e-07
1970/01/01/07:21:14.055000,-2.0000011445,3.99999777229,1.74879915393e-07
1970/01/01/07:21:14.105000,-2.00000114438,3.99999777158,1.74963904741e-07
1970/01/01/07:21:14.155000,-2.00000114426,3.99999777087,1.75047893353e-07
1970/01/01/07:21:14.205000,-2.00000114413,3.99999777016,1.75131883774e-07
1970/01/01/07:21:14.256000,-2.00000114401,3.99999776945,1.75215874333e-07
1970/01/01/07:21:14.305000,-2.00000114388,3.99999776874,1.75299863109e-07
1970/01/01/07:21:14.355000,-2.00000114376,3.99999776803,1.75383852533e-07
1970/01/01/07:21:14.455000,-2.00000114364,3.99999776732,1.75467843481e-07
1970/01/01/07:21:14.505000,-2.00000114351,3.99999776661,1.7555183413e-07
1970/01/01/07:21:14.556000,-2.00000114339,3.9999977659,1.75635823094e-07
1970/01/01/07:21:14.605000,-2.00000114326,3.99999776519,1.75719813282e-07
1970/01/01/07:21:14.655000,-2.00000114314,3.99999776448,1.75803804231e-07
1970/01/01/07:21:14.706000,-2.00000114301,3.99999776376,1.75887795718e-07
1970/01/01/07:21:14.755000,-2.00000114289,3.99999776305,1.75971784213e-07
1970/01/01/07:21:14.805000,-2.00000114277,3.99999776234,1.76055774562e-07
1970/01/01/07:21:14.855000,-2.00000114264,3.99999776163,1.76139766458e-07
1970/01/01/07:21:14.906000,-2.00000114252,3.99999776092,1.76223756271e-07
1970/01/01/07:21:14.955000,-2.00000114239,3.99999776021,1.76307745679e-07
1970/01/01/07:21:15.005000,-2.00000114227,3.9999977595,1.76391736688e-07
1970/01/01/07:21:15.054000,-2.00000114215,3.99999775879,1.76475727579e-07
1970/01/01/07:21:15.106000,-2.00000114202,3.99999775808,1.76559718016e-07
1970/01/01/07:21:15.155000,-2.0000011419,3.99999775737,1.76643707573e-07
1970/01/01/07:21:15.205000,-2.00000114177,3.99999775666,1.7672769816e-07
1970/01/01/07:21:15.255000,-2.00000114165,3.99999775595,1.76811690061e-07
1970/01/01/07:21:15.305000,-2.00000114152,3.99999775524,1.76895680092e-07
1970/01/01/07:21:15.355000,-2.0000011414,3.99999775453,1.76979669721e-07
1970/01/01/07:21:15.405000,-2.00000114127,3.99999775382,1.77063660595e-07
1970/01/01/07:21:15.455000,-2.00000114115,3.99999775311,1.77147652442e-07
1970/01/01/07:21:15.505000,-2.00000114103,3.9999977524,1.77231641614e-07
1970/01/01/07:21:15.555000,-2.0000011409,3.99999775169,1.77315631535e-07
1970/01/01/07:21:15.605000,-2.00000114078,3.99999775098,1.7739962265e-07
1970/01/01/07:21:15.655000,-2.00000114065,3.99999775027,1.77483613425e-07
1970/01/01/07:21:15.705000,-2.00000114053,3.99999774956,1.7756760301e-07
1970/01/01/07:21:15.755000,-2.0000011404,3.99999774885,1.77651593129e-07
1970/01/01/07:21:15.805000,-2.00000114028,3.99999774814,1.77735584679e-07
1970/01/01/07:21:15.855000,-2.00000114015,3.99999774743,1.77819575058e-07
1970/01/01/07:21:15.905000,-2.00000114003,3.99999774671,1.77903564477e-07
1970/01/01/07:21:15.955000,-2.00000113991,3.999997746,1.77987556759e-07
1970/01/01/07:21:16.004000,-2.00000113978,3.99999774529,1.78071549089e-07
1970/01/01/07:21:16.056000,-2.00000114229,3.99273393506,4.26879412728e-07
1970/01/01/07:21:16.104000,-2.00000114305,3.98298485863,7.25441386571e-07
1970/01/01/07:21:16.155000,-2.00000114143,3.97323553757,9.99852264107e-07
1970/01/01/07:21:16.206000,-2.00000113755,3.96348602573,1.25761783818e-06
1970/01/01/07:21:16.255000,-2.00000113176,3.95376702499,1.50283302642e-06
1970/01/01/07:21:16.305000,-2.00000112424,3.94409715891,1.73733535656e-06
1970/01/01/07:21:16.355000,-2.000001115,3.93447711286,1.96481440515e-06
1970/01/01/07:21:16.405000,-2.00000110403,3.92490750716,2.18628788418e-06
1970/01/01/07:21:16.455000,-2.00000109134,3.91538828742,2.40254444838e-06
1970/01/01/07:21:16.505000,-2.00000107692,3.90591946571,2.61474216339e-06
1970/01/01/07:21:16.555000,-2.0000010608,3.89650057076,2.82377968504e-06
1970/01/01/07:21:16.605000,-2.00000104298,3.88713156982,3.03035401443e-06
1970/01/01/07:21:16.654000,-2.00000102348,3.87781101907,3.23573461569e-06
1970/01/01/07:21:16.708000,-2.00000100231,3.86854079297,3.44048930635e-06
1970/01/01/07:21:16.756000,-2.00000097947,3.85932038429,3.64487503026e-06
1970/01/01/07:21:16.805000,-2.00000095498,3.85014881686,3.84908758374e-06
1970/01/01/07:21:16.855000,-2.00000092884,3.84102560209,4.05325193264e-06
1970/01/01/07:21:16.905000,-2.00000090106,3.83195069167,4.25708764913e-06
1970/01/01/07:21:17.005000,-2.00000087166,3.82292361718,4.46045266257e-06
1970/01/01/07:21:17.057000,-2.00000084063,3.81393793862,4.66345221687e-06
1970/01/01/07:21:17.105000,-2.00000080782,3.80495953735,4.86621543625e-06
1970/01/01/07:21:17.156000,-2.00000077344,3.79602836388,5.06872869019e-06
1970/01/01/07:21:17.205000,-2.0000007375,3.78714408902,5.27103566693e-06
1970/01/01/07:21:17.255000,-2.00000070002,3.77830702281,5.47316899909e-06
1970/01/01/07:21:17.305000,-2.00000066102,3.76951663578,5.67515528784e-06
1970/01/01/07:21:17.356000,-2.00000062052,3.76077265778,5.8769242632e-06
1970/01/01/07:21:17.405000,-2.00000057853,3.75207533933,6.07823380273e-06
1970/01/01/07:21:17.455000,-2.00000053507,3.7434232702,6.2791008384e-06
1970/01/01/07:21:17.504000,-2.00000049017,3.73481784086,6.47952089553e-06
1970/01/01/07:21:17.555000,-2.00000044386,3.72625887158,6.67962345651e-06
1970/01/01/07:21:17.605000,-2.00000039613,3.71774427234,6.87964484691e-06
1970/01/01/07:21:17.655000,-2.00000034701,3.70927491237,7.07958703906e-06
1970/01/01/07:21:17.705000,-2.00000029653,3.70085059193,7.2794536966e-06
