time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/07:21:15.998000,-0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:15.998000,-0.10000000149,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.049000,-0.10000000149,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.098000,-0.10000000149,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.148000,-0.10000000149,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.198000,-0.0997100010471,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.248000,-0.0992300048356,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.298000,-0.0987400069645,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.349000,-0.098259998832,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.399000,-0.0977800026205,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.449000,-0.097300006409,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.499000,-0.0968299999361,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.549000,-0.0963500037245,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.599000,-0.0958799972516,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.649000,-0.0954100026996,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.698000,-0.0949399962267,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.748000,-0.0944700016747,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.798000,-0.0940000071228,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.849000,-0.0935300006498,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.899000,-0.0930600060979,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.949000,-0.0926000012845,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:16.999000,-0.0921300067325,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.048000,-0.0916700019191,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.098000,-0.0912099971057,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.149000,-0.0907500042133,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.199000,-0.0903000010595,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.248000,-0.0898399962461,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.298000,-0.0893900050132,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.349000,-0.0889300001998,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.400000,-0.0889300001998,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.448000,-0.088479997046,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.498000,-0.0880300058131,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.549000,-0.0875900043188,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.599000,-0.087140001165,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.649000,-0.0866999996707,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.699000,-0.0862499965169,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.748000,-0.0858100069435,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.799000,-0.0853700054492,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.849000,-0.0849300039549,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.899000,-0.0845000041202,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.949000,-0.0840700042854,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:17.996000,-0.0836300027911,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.049000,-0.0832000029564,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.098000,-0.0827800047812,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.149000,-0.0823500049464,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.198000,-0.0819300067712,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.248000,-0.0815099966751,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.298000,-0.0810899984999,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.349000,-0.0806700003247,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:21:18.399000,-0.0802500021495,0.0,0.0,0.0,0.0,0.0
