time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/07:22:24.722000,5.00679016113e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:24.770000,5.00679016113e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:24.819000,5.00679016113e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:24.869000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:24.920000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:24.969000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.020000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.070000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.119000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.169000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.220000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.269000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.319000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.369000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.419000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.469000,5.00679016113e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.519000,5.00679016113e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.570000,5.00679016113e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.619000,5.00679016113e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.669000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.719000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.770000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.820000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.869000,-0.0,0.0,0.0,0.0,0.0,0.0
