time,.x,.y,.theta
1970/01/01/07:22:24.756000,4.3974085545,0.0,0.0
1970/01/01/07:22:24.806000,4.3974085545,0.0,0.0
1970/01/01/07:22:24.856000,4.3974085545,0.0,0.0
1970/01/01/07:22:24.906000,4.3974085545,0.0,0.0
1970/01/01/07:22:24.956000,4.3974085545,0.0,0.0
1970/01/01/07:22:25.005000,4.3974085545,0.0,0.0
1970/01/01/07:22:25.056000,4.3974085545,0.0,0.0
1970/01/01/07:22:25.106000,4.3974085545,0.0,0.0
1970/01/01/07:22:25.156000,4.3974085545,0.0,0.0
1970/01/01/07:22:25.206000,4.3974085545,0.0,0.0
1970/01/01/07:22:25.257000,4.3974085545,0.0,0.0
1970/01/01/07:22:25.306000,4.3974085545,0.0,0.0
1970/01/01/07:22:25.356000,4.3974085545,0.0,0.0
1970/01/01/07:22:25.406000,4.3974085545,0.0,0.0
1970/01/01/07:22:25.456000,4.3974085545,0.0,0.0
1970/01/01/07:22:25.507000,4.3974085545,0.0,0.0
1970/01/01/07:22:25.556000,4.3974085545,0.0,0.0
1970/01/01/07:22:25.606000,4.3974085545,0.0,0.0
1970/01/01/07:22:25.656000,4.3974085545,0.0,0.0
1970/01/01/07:22:25.706000,4.3974085545,0.0,0.0
1970/01/01/07:22:25.756000,4.3974085545,0.0,0.0
1970/01/01/07:22:25.806000,4.3974085545,0.0,0.0
1970/01/01/07:22:25.856000,4.3974085545,0.0,0.0
1970/01/01/07:22:25.906000,4.3974085545,0.0,0.0
1970/01/01/07:22:25.957000,4.3974085545,0.0,0.0
1970/01/01/07:22:26.006000,4.3974085545,0.0,0.0
1970/01/01/07:22:26.056000,4.3974085545,0.0,0.0
1970/01/01/07:22:26.106000,4.3974085545,0.0,0.0
1970/01/01/07:22:26.156000,4.3974085545,0.0,0.0
1970/01/01/07:22:26.208000,4.3974085545,0.0,0.0
1970/01/01/07:22:26.306000,4.3974085545,0.0,0.0
1970/01/01/07:22:26.356000,4.3974085545,0.0,0.0
1970/01/01/07:22:26.406000,4.3974085545,0.0,0.0
1970/01/01/07:22:26.456000,4.3974085545,0.0,0.0
1970/01/01/07:22:26.506000,4.3974085545,0.0,0.0
1970/01/01/07:22:26.556000,4.38438825,0.0,0.0
1970/01/01/07:22:26.606000,4.371102225,0.0,0.0
1970/01/01/07:22:26.656000,4.3578162,0.0,0.0
1970/01/01/07:22:26.706000,4.344530175,0.0,0.0
1970/01/01/07:22:26.756000,4.3309784295,0.0,0.0
1970/01/01/07:22:26.806000,4.317958125,0.0,0.0
1970/01/01/07:22:26.856000,4.3044063795,0.0,0.0
1970/01/01/07:22:26.905000,4.291386075,0.0,0.0
1970/01/01/07:22:26.956000,4.27810005,0.0,0.0
1970/01/01/07:22:27.006000,4.264814025,0.0,0.0
1970/01/01/07:22:27.056000,4.251528,0.0,0.0
1970/01/01/07:22:27.106000,4.2379762545,0.0,0.0
1970/01/01/07:22:27.156000,4.22495595,0.0,0.0
1970/01/01/07:22:27.206000,4.211669925,0.0,0.0
1970/01/01/07:22:27.256000,4.1983839,0.0,0.0
1970/01/01/07:22:27.306000,4.185097875,0.0,0.0
1970/01/01/07:22:27.355000,4.17181185,0.0,0.0
1970/01/01/07:22:27.406000,4.158525825,0.0,0.0
1970/01/01/07:22:27.456000,4.1452398,0.0,0.0
1970/01/01/07:22:27.506000,4.131953775,0.0,0.0
1970/01/01/07:22:27.556000,4.11866775,0.0,0.0
1970/01/01/07:22:27.606000,4.105381725,0.0,0.0
1970/01/01/07:22:27.656000,4.0920957,0.0,0.0
1970/01/01/07:22:27.706000,4.0785439545,0.0,0.0
1970/01/01/07:22:27.757000,4.06552365,0.0,0.0
1970/01/01/07:22:27.806000,4.052237625,0.0,0.0
1970/01/01/07:22:27.857000,4.0389516,0.0,0.0
1970/01/01/07:22:27.906000,4.025665575,0.0,0.0
1970/01/01/07:22:27.956000,4.01237955,0.0,0.0
1970/01/01/07:22:28.006000,3.999093525,0.0,0.0
1970/01/01/07:22:28.056000,3.9858075,0.0,0.0
1970/01/01/07:22:28.106000,3.972521475,0.0,0.0
1970/01/01/07:22:28.156000,3.95923545,0.0,0.0
1970/01/01/07:22:28.207000,3.945949425,0.0,0.0
1970/01/01/07:22:28.256000,3.9326634,0.0,0.0
1970/01/01/07:22:28.306000,3.919377375,0.0,0.0
1970/01/01/07:22:28.356000,3.90609135,0.0,0.0
1970/01/01/07:22:28.407000,3.892805325,0.0,0.0
1970/01/01/07:22:28.456000,3.8795193,0.0,0.0
1970/01/01/07:22:28.507000,3.866233275,0.0,0.0
1970/01/01/07:22:28.556000,3.85294725,0.0,0.0
1970/01/01/07:22:28.607000,3.839661225,0.0,0.0
1970/01/01/07:22:28.656000,3.8263752,0.0,0.0
1970/01/01/07:22:28.706000,3.813089175,0.0,0.0
1970/01/01/07:22:28.756000,3.79980315,0.0,0.0
1970/01/01/07:22:28.806000,3.786517125,0.0,0.0
1970/01/01/07:22:28.856000,3.7732311,0.0,0.0
1970/01/01/07:22:28.905000,3.759945075,0.0,0.0
1970/01/01/07:22:28.956000,3.74665905,0.0,0.0
1970/01/01/07:22:29.006000,3.7331073045,0.0,0.0
1970/01/01/07:22:29.056000,3.720087,0.0,0.0
1970/01/01/07:22:29.106000,3.706800975,0.0,0.0
1970/01/01/07:22:29.156000,3.6932492295,0.0,0.0
1970/01/01/07:22:29.206000,3.680228925,0.0,0.0
1970/01/01/07:22:29.256000,3.6669429,0.0,0.0
1970/01/01/07:22:29.306000,3.6533911545,0.0,0.0
1970/01/01/07:22:29.356000,3.64037085,0.0,0.0
1970/01/01/07:22:29.407000,3.627084825,0.0,0.0
1970/01/01/07:22:29.456000,3.6137988,0.0,0.0
1970/01/01/07:22:29.506000,3.600512775,0.0,0.0
1970/01/01/07:22:29.556000,3.5869610295,0.0,0.0
1970/01/01/07:22:29.606000,3.5736750045,0.0,0.0
1970/01/01/07:22:29.656000,3.5606547,0.0,0.0
1970/01/01/07:22:29.706000,3.547368675,0.0,0.0
1970/01/01/07:22:29.757000,3.53408265,0.0,0.0
1970/01/01/07:22:29.806000,3.5205309045,0.0,0.0
1970/01/01/07:22:29.856000,3.5075106,0.0,0.0
1970/01/01/07:22:29.906000,3.494224575,0.0,0.0
