time,.x,.y,.theta
1970/01/01/07:21:30.906000,-0.3188646,0.0,0.0
1970/01/01/07:21:30.956000,-0.3188646,0.0,0.0
1970/01/01/07:21:31.006000,-0.3188646,0.0,0.0
1970/01/01/07:21:31.056000,-0.3188646,0.0,0.0
1970/01/01/07:21:31.107000,-0.3188646,0.0,0.0
1970/01/01/07:21:31.156000,-0.3188646,0.0,0.0
1970/01/01/07:21:31.206000,-0.3188646,0.0,0.0
1970/01/01/07:21:31.256000,-0.3188646,0.0,0.0
1970/01/01/07:21:31.306000,-0.3188646,0.0,0.0
1970/01/01/07:21:31.356000,-0.3188646,0.0,0.0
1970/01/01/07:21:31.407000,-0.3188646,0.0,0.0
1970/01/01/07:21:31.456000,-0.3188646,0.0,0.0
1970/01/01/07:21:31.506000,-0.3188646,0.0,0.0
1970/01/01/07:21:31.557000,-0.3188646,0.0,0.0
1970/01/01/07:21:31.606000,-0.3188646,0.0,0.0
1970/01/01/07:21:31.656000,-0.3188646,0.0,0.0
1970/01/01/07:21:31.706000,-0.3188646,0.0,0.0
1970/01/01/07:21:31.756000,-0.3188646,0.0,0.0
1970/01/01/07:21:31.806000,-0.3188646,0.0,0.0
1970/01/01/07:21:31.856000,-0.3188646,0.0,0.0
1970/01/01/07:21:31.906000,-0.3188646,0.0,0.0
1970/01/01/07:21:31.956000,-0.3188646,0.0,0.0
1970/01/01/07:21:32.006000,-0.3188646,0.0,0.0
1970/01/01/07:21:32.056000,-0.3188646,0.0,0.0
1970/01/01/07:21:32.106000,-0.3188646,0.0,0.0
1970/01/01/07:21:32.156000,-0.3188646,0.0,0.0
1970/01/01/07:21:32.207000,-0.3188646,0.0,0.0
1970/01/01/07:21:32.256000,-0.3188646,0.0,0.0
1970/01/01/07:21:32.305000,-0.3188646,0.0,0.0
1970/01/01/07:21:32.356000,-0.3188646,0.0,0.0
1970/01/01/07:21:32.406000,-0.3188646,0.0,0.0
1970/01/01/07:21:32.456000,-0.3188646,0.0,0.0
1970/01/01/07:21:32.506000,-0.3188646,0.0,0.0
1970/01/01/07:21:32.556000,-0.3188646,0.0,0.0
1970/01/01/07:21:32.607000,-0.3188646,0.0,0.0
1970/01/01/07:21:32.657000,-0.3188646,0.0,0.0
1970/01/01/07:21:32.706000,-0.3188646,0.0,0.0
1970/01/01/07:21:32.756000,-0.3188646,0.0,0.0
1970/01/01/07:21:32.806000,-0.3188646,0.0,0.0
1970/01/01/07:21:32.857000,-0.3188646,0.0,0.0
1970/01/01/07:21:32.906000,-0.3188646,0.0,0.0
1970/01/01/07:21:32.956000,-0.3188646,0.0,0.0
1970/01/01/07:21:33.006000,-0.3188646,0.0,0.0
1970/01/01/07:21:33.057000,-0.3188646,0.0,0.0
1970/01/01/07:21:33.106000,-0.3188646,0.0,0.0
1970/01/01/07:21:33.156000,-0.3188646,0.0,0.0
1970/01/01/07:21:33.206000,-0.3188646,0.0,0.0
1970/01/01/07:21:33.256000,-0.3188646,0.0,0.0
1970/01/01/07:21:33.306000,-0.3188646,0.0,0.0
1970/01/01/07:21:33.356000,-0.3058442955,0.0,0.0
1970/01/01/07:21:33.406000,-0.2925582705,0.0,0.0
1970/01/01/07:21:33.457000,-0.2792722455,0.0,0.0
1970/01/01/07:21:33.506000,-0.2659862205,0.0,0.0
1970/01/01/07:21:33.556000,-0.2527001955,0.0,0.0
1970/01/01/07:21:33.607000,-0.2394141705,0.0,0.0
1970/01/01/07:21:33.656000,-0.2261281455,0.0,0.0
1970/01/01/07:21:33.706000,-0.2128421205,0.0,0.0
1970/01/01/07:21:33.756000,-0.1995560955,0.0,0.0
1970/01/01/07:21:33.806000,-0.1862700705,0.0,0.0
1970/01/01/07:21:33.857000,-0.1729840455,0.0,0.0
1970/01/01/07:21:33.906000,-0.1596980205,0.0,0.0
1970/01/01/07:21:33.956000,-0.1464119955,0.0,0.0
1970/01/01/07:21:34.006000,-0.1331259705,0.0,0.0
1970/01/01/07:21:34.056000,-0.1198399455,0.0,0.0
1970/01/01/07:21:34.106000,-0.1065539205,0.0,0.0
1970/01/01/07:21:34.156000,-0.0932678955,0.0,0.0
1970/01/01/07:21:34.206000,-0.0799818705,0.0,0.0
1970/01/01/07:21:34.256000,-0.0666958455,0.0,0.0
1970/01/01/07:21:34.306000,-0.0534098205,0.0,0.0
1970/01/01/07:21:34.356000,-0.0401237955,0.0,0.0
1970/01/01/07:21:34.406000,-0.0268377705,0.0,0.0
1970/01/01/07:21:34.456000,-0.0135517455,0.0,0.0
1970/01/01/07:21:34.506000,-0.0002657205,0.0,0.0
1970/01/01/07:21:34.556000,0.0130203045,0.0,0.0
1970/01/01/07:21:34.606000,0.0263063295,0.0,0.0
1970/01/01/07:21:34.657000,0.0395923545,0.0,0.0
1970/01/01/07:21:34.706000,0.0528783795,0.0,0.0
1970/01/01/07:21:34.756000,0.0661644045,0.0,0.0
1970/01/01/07:21:34.806000,0.0794504295,0.0,0.0
1970/01/01/07:21:34.856000,0.0927364545,0.0,0.0
1970/01/01/07:21:34.906000,0.1060224795,0.0,0.0
1970/01/01/07:21:34.956000,0.1193085045,0.0,0.0
1970/01/01/07:21:35.006000,0.1325945295,0.0,0.0
1970/01/01/07:21:35.056000,0.1458805545,0.0,0.0
1970/01/01/07:21:35.106000,0.1591665795,0.0,0.0
1970/01/01/07:21:35.156000,0.1724526045,0.0,0.0
1970/01/01/07:21:35.206000,0.1857386295,0.0,0.0
1970/01/01/07:21:35.256000,0.1990246545,0.0,0.0
1970/01/01/07:21:35.306000,0.2125764,0.0,0.0
1970/01/01/07:21:35.356000,0.2255967045,0.0,0.0
1970/01/01/07:21:35.407000,0.2388827295,0.0,0.0
1970/01/01/07:21:35.456000,0.2521687545,0.0,0.0
1970/01/01/07:21:35.507000,0.2654547795,0.0,0.0
1970/01/01/07:21:35.556000,0.2787408045,0.0,0.0
1970/01/01/07:21:35.606000,0.2920268295,0.0,0.0
