time,.x,.y,.theta
1970/01/01/07:24:53.708000,-1.90704312971,-0.804342923485,0.000838452157662
1970/01/01/07:24:53.807000,-1.90704316665,-0.804342916699,0.000838450547076
1970/01/01/07:24:53.857000,-1.90704320369,-0.804342909916,0.000838448934074
1970/01/01/07:24:53.907000,-1.9070432408,-0.804342903136,0.000838447318621
1970/01/01/07:24:53.957000,-1.90704327801,-0.80434289636,0.000838445700744
1970/01/01/07:24:54.007000,-1.9070433153,-0.804342889586,0.00083844408042
1970/01/01/07:24:54.057000,-1.90704335267,-0.804342882816,0.000838442457667
1970/01/01/07:24:54.107000,-1.90704339014,-0.804342876049,0.000838440832466
1970/01/01/07:24:54.157000,-1.90704342768,-0.804342869285,0.000838439204837
1970/01/01/07:24:54.207000,-1.90704346532,-0.804342862524,0.00083843757475
1970/01/01/07:24:54.257000,-1.90704350303,-0.804342855766,0.000838435942235
1970/01/01/07:24:54.307000,-1.90704354084,-0.804342849011,0.000838434307269
1970/01/01/07:24:54.359000,-1.90704357873,-0.804342842259,0.000838432669871
1970/01/01/07:24:54.407000,-1.9070436167,-0.80434283551,0.000838431030025
1970/01/01/07:24:54.457000,-1.90704365476,-0.804342828765,0.000838429387746
1970/01/01/07:24:54.507000,-1.9070436929,-0.804342822022,0.000838427743017
1970/01/01/07:24:54.557000,-1.90704373113,-0.804342815282,0.000838426095856
1970/01/01/07:24:54.607000,-1.90704376945,-0.804342808546,0.000838424446246
1970/01/01/07:24:54.657000,-1.90704380785,-0.804342801812,0.000838422794206
1970/01/01/07:24:54.707000,-1.90704384633,-0.804342795082,0.000838421139715
1970/01/01/07:24:54.756000,-1.9070438849,-0.804342788354,0.000838419482796
1970/01/01/07:24:54.807000,-1.90704392356,-0.80434278163,0.000838417823433
1970/01/01/07:24:54.857000,-1.9070439623,-0.804342774908,0.000838416161642
1970/01/01/07:24:54.907000,-1.90704400112,-0.80434276819,0.000838414497401
1970/01/01/07:24:54.957000,-1.90704404003,-0.804342761475,0.000838412830736
1970/01/01/07:24:55.007000,-1.90704407903,-0.804342754762,0.000838411161631
1970/01/01/07:24:55.057000,-1.9070441181,-0.804342748053,0.000838409490099
1970/01/01/07:24:55.107000,-1.90704415727,-0.804342741346,0.000838407816125
1970/01/01/07:24:55.157000,-1.90704419652,-0.804342734643,0.000838406139735
1970/01/01/07:24:55.207000,-1.90704423585,-0.804342727942,0.0008384044609
1970/01/01/07:24:55.257000,-1.90704427526,-0.804342721245,0.000838402779647
1970/01/01/07:24:55.307000,-1.90704431476,-0.80434271455,0.000838401095957
1970/01/01/07:24:55.357000,-1.90704435435,-0.804342707858,0.000838399409847
1970/01/01/07:24:55.407000,-1.90704439402,-0.80434270117,0.000838397721309
1970/01/01/07:24:55.457000,-1.90704443377,-0.804342694484,0.000838396030353
1970/01/01/07:24:55.507000,-1.90704447361,-0.804342687801,0.000838394336967
1970/01/01/07:24:55.557000,-1.90704451353,-0.804342681122,0.000838392641168
1970/01/01/07:24:55.608000,-1.90704455354,-0.804342674445,0.000838390942941
1970/01/01/07:24:55.658000,-1.90704459363,-0.804342667771,0.000838389242301
1970/01/01/07:24:55.707000,-1.9070446338,-0.8043426611,0.000838387539241
1970/01/01/07:24:55.757000,-1.90704467406,-0.804342654432,0.000838385833775
1970/01/01/07:24:55.807000,-1.9070447144,-0.804342647767,0.000838384125882
1970/01/01/07:24:55.857000,-1.90704475483,-0.804342641105,0.000838382415584
1970/01/01/07:24:55.907000,-1.90704479534,-0.804342634446,0.00083838070287
1970/01/01/07:24:55.958000,-1.90704483593,-0.80434262779,0.000838378987755
1970/01/01/07:24:56.007000,-1.90704487661,-0.804342621137,0.00083837727022
1970/01/01/07:24:56.057000,-1.90704491737,-0.804342614486,0.000838375550292
1970/01/01/07:24:56.106000,-1.90704495821,-0.804342607839,0.000838373827947
1970/01/01/07:24:56.157000,-1.90704499914,-0.804342601194,0.00083837210321
1970/01/01/07:24:56.206000,-1.90704504015,-0.804342594553,0.000838370376061
1970/01/01/07:24:56.257000,-1.90704508124,-0.804342587914,0.000838368646517
1970/01/01/07:24:56.358000,-1.90704512242,-0.804342581279,0.000838366914573
1970/01/01/07:24:56.408000,-1.90704516368,-0.804342574646,0.000838365180239
1970/01/01/07:24:56.457000,-1.90704520503,-0.804342568016,0.000838363443497
1970/01/01/07:24:56.507000,-1.90704524645,-0.804342561389,0.000838361704376
1970/01/01/07:24:56.557000,-1.90704528796,-0.804342554765,0.000838359962848
1970/01/01/07:24:56.607000,-1.90704532956,-0.804342548144,0.000838358218942
1970/01/01/07:24:56.657000,-1.90704537123,-0.804342541526,0.000838356472638
1970/01/01/07:24:56.707000,-1.90704541299,-0.804342534911,0.000838354723952
1970/01/01/07:24:56.758000,-1.90704545484,-0.804342528299,0.00083835297288
1970/01/01/07:24:56.807000,-1.90704549676,-0.80434252169,0.000838351219431
1970/01/01/07:24:56.856000,-1.90704553877,-0.804342515083,0.000838349463585
1970/01/01/07:24:56.907000,-1.90704558086,-0.80434250848,0.000838347705371
1970/01/01/07:24:56.958000,-1.90704562303,-0.804342501879,0.000838345944772
1970/01/01/07:24:57.007000,-1.90704566529,-0.804342495281,0.000838344181802
1970/01/01/07:24:57.057000,-1.90704570763,-0.804342488686,0.000838342416445
1970/01/01/07:24:57.107000,-1.90737754278,-0.804343591074,0.000838418732158
1970/01/01/07:24:57.157000,-1.90806182899,-0.804345074368,0.000838520203282
1970/01/01/07:24:57.207000,-1.90910531572,-0.804346849743,0.000838619237339
1970/01/01/07:24:57.257000,-1.9104865505,-0.804348904663,0.000838716373133
1970/01/01/07:24:57.308000,-1.9122019797,-0.80435123454,0.000838811016206
1970/01/01/07:24:57.357000,-1.91424785246,-0.804353834738,0.000838902683308
1970/01/01/07:24:57.407000,-1.91660576573,-0.804356688287,0.00083899090893
1970/01/01/07:24:57.456000,-1.9192717192,-0.804359340283,0.000839075269565
1970/01/01/07:24:57.507000,-1.92223926348,-0.804360133571,0.000839155358847
1970/01/01/07:24:57.557000,-1.92550289345,-0.804361162389,0.000839230787817
1970/01/01/07:24:57.607000,-1.929042106,-0.804362407996,0.000839301208888
1970/01/01/07:24:57.657000,-1.93285560045,-0.804363867843,0.000839366300776
1970/01/01/07:24:57.707000,-1.93693597369,-0.804365534215,0.00083942576149
1970/01/01/07:24:57.757000,-1.94127522334,-0.80436739888,0.000839479318982
1970/01/01/07:24:57.807000,-1.94586904964,-0.804369456698,0.000839526715694
1970/01/01/07:24:57.857000,-1.95069650045,-0.804371688508,0.000839567737062
1970/01/01/07:24:57.907000,-1.95576677212,-0.804374100544,0.000839602186229
1970/01/01/07:24:57.957000,-1.96106651465,-0.804376680036,0.00083962988724
1970/01/01/07:24:58.007000,-1.96659465956,-0.804379443724,0.000839654646217
1970/01/01/07:24:58.057000,-1.97233528534,-0.804382398949,0.000839683064829
1970/01/01/07:24:58.106000,-1.97828937016,-0.804385516972,0.000839716749571
1970/01/01/07:24:58.157000,-1.98444511778,-0.804388779308,0.000839756106608
1970/01/01/07:24:58.207000,-1.99080111178,-0.804392141087,0.000839800338125
1970/01/01/07:24:58.258000,-1.99735082564,-0.80439555562,0.000839849674061
1970/01/01/07:24:58.307000,-2.00408900149,-0.804399009228,0.000839902710417
1970/01/01/07:24:58.357000,-2.01101031826,-0.804402558343,0.000839958462015
1970/01/01/07:24:58.407000,-2.01810686915,-0.804406245895,0.000840016204526
1970/01/01/07:24:58.457000,-2.02537509621,-0.804410133468,0.000840075442311
1970/01/01/07:24:58.507000,-2.03281313219,-0.804414167383,0.00084016728281
1970/01/01/07:24:58.557000,-2.04041635765,-0.804418282096,0.000840331247704
1970/01/01/07:24:58.607000,-2.04817460973,-0.804422442791,0.000840581308711
1970/01/01/07:24:58.657000,-2.05608722918,-0.804426675031,0.000840890922328
