time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/07:24:04.470000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:04.519000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:04.569000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:04.619000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:04.669000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:04.720000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:04.769000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:04.819000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:04.869000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:04.920000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:04.969000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.020000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.069000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.120000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.169000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.220000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.269000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.319000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.370000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.420000,-4.99747693539e-05,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.470000,-4.99747693539e-05,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.520000,-4.99747693539e-05,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.570000,-4.99747693539e-05,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.620000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.669000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.720000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.769000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.819000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.870000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.920000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:05.970000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.019000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.070000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.120000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.169000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.219000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.269000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.320000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.370000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.419000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.469000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.520000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.570000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.619000,-4.99747693539e-05,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.669000,-4.99747693539e-05,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.719000,-4.99747693539e-05,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.769000,-4.99747693539e-05,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.819000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.869000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.919000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:06.969000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:07.020000,-2.60770320892e-08,-5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:07.069000,-2.60770320892e-08,0.00674992799759,0.0,0.0,0.0,0.0
1970/01/01/07:24:07.119000,-2.60770320892e-08,0.0132499337196,0.0,0.0,0.0,0.0
1970/01/01/07:24:07.170000,-2.60770320892e-08,0.0199000239372,0.0,0.0,0.0,0.0
1970/01/01/07:24:07.219000,-2.60770320892e-08,0.0264500379562,0.0,0.0,0.0,0.0
1970/01/01/07:24:07.270000,-2.60770320892e-08,0.0328000187874,0.0,0.0,0.0,0.0
1970/01/01/07:24:07.319000,-2.60770320892e-08,0.0389999747276,0.0,0.0,0.0,0.0
1970/01/01/07:24:07.370000,-2.60770320892e-08,0.0450500845909,0.0,0.0,0.0,0.0
1970/01/01/07:24:07.420000,-2.60770320892e-08,0.0508999824524,0.0,0.0,0.0,0.0
1970/01/01/07:24:07.469000,-4.99747693539e-05,0.0566000342369,0.0,0.0,0.0,0.0
1970/01/01/07:24:07.520000,-4.99747693539e-05,0.0621500015259,0.0,0.0,0.0,0.0
1970/01/01/07:24:07.569000,-4.99747693539e-05,0.0687999725342,0.0,0.0,0.0,0.0
1970/01/01/07:24:07.620000,-4.99747693539e-05,0.0741999745369,0.0,0.0,0.0,0.0
1970/01/01/07:24:07.670000,-4.99747693539e-05,0.079450070858,0.0,0.0,0.0,0.0
1970/01/01/07:24:07.719000,-4.99747693539e-05,0.0845500230789,0.0,0.0,0.0,0.0
1970/01/01/07:24:07.769000,-4.99747693539e-05,0.0894000530243,0.0,0.0,0.0,0.0
1970/01/01/07:24:07.820000,-4.99747693539e-05,0.0942000150681,0.0,0.0,0.0,0.0
1970/01/01/07:24:07.869000,-4.99747693539e-05,0.0988500118256,0.0,0.0,0.0,0.0
1970/01/01/07:24:07.920000,-4.99747693539e-05,0.103349983692,0.0,0.0,0.0,0.0
1970/01/01/07:24:07.970000,-4.99747693539e-05,0.107750058174,0.0,0.0,0.0,0.0
1970/01/01/07:24:08.020000,-4.99747693539e-05,0.112049996853,0.0,0.0,0.0,0.0
1970/01/01/07:24:08.070000,-4.99747693539e-05,0.116149961948,0.0,0.0,0.0,0.0
1970/01/01/07:24:08.120000,-4.99747693539e-05,0.120299994946,0.0,0.0,0.0,0.0
1970/01/01/07:24:08.169000,-4.99747693539e-05,0.124049961567,0.0,0.0,0.0,0.0
1970/01/01/07:24:08.220000,-4.99747693539e-05,0.127849936485,0.0,0.0,0.0,0.0
1970/01/01/07:24:08.269000,-4.99747693539e-05,0.131550073624,0.0,0.0,0.0,0.0
1970/01/01/07:24:08.320000,-4.99747693539e-05,0.135150015354,0.0,0.0,0.0,0.0
1970/01/01/07:24:08.369000,-4.99747693539e-05,0.138650000095,0.0,0.0,0.0,0.0
1970/01/01/07:24:08.419000,-4.99747693539e-05,0.141999959946,0.0,0.0,0.0,0.0
1970/01/01/07:24:08.470000,-4.99747693539e-05,0.145249962807,0.0,0.0,0.0,0.0
1970/01/01/07:24:08.519000,-4.99747693539e-05,0.148449957371,0.0,0.0,0.0,0.0
1970/01/01/07:24:08.569000,-4.99747693539e-05,0.151700019836,0.0,0.0,0.0,0.0
