time,.x,.y,.theta
1970/01/01/07:24:04.456000,2.0930430408,-5.18855538563,0.00147777506345
1970/01/01/07:24:04.506000,2.09304346474,-5.18855538354,0.00147779389958
1970/01/01/07:24:04.557000,2.09304388832,-5.18855538138,0.00147781278684
1970/01/01/07:24:04.606000,2.09304431153,-5.18855537921,0.00147783167993
1970/01/01/07:24:04.656000,2.09304473438,-5.18855537703,0.00147785057051
1970/01/01/07:24:04.706000,2.09304515687,-5.18855537486,0.00147786945716
1970/01/01/07:24:04.756000,2.09304557899,-5.18855537269,0.00147788833963
1970/01/01/07:24:04.806000,2.09304600076,-5.18855537051,0.00147790721785
1970/01/01/07:24:04.857000,2.09304642216,-5.18855536834,0.00147792609177
1970/01/01/07:24:04.906000,2.0930468432,-5.18855536617,0.00147794496135
1970/01/01/07:24:04.956000,2.09304726388,-5.188555364,0.00147796382657
1970/01/01/07:24:05.006000,2.0930476842,-5.18855536183,0.00147798268739
1970/01/01/07:24:05.056000,2.09304810416,-5.18855535966,0.00147800154376
1970/01/01/07:24:05.106000,2.09304852376,-5.18855535749,0.00147802039567
1970/01/01/07:24:05.156000,2.093048943,-5.18855535532,0.00147803924308
1970/01/01/07:24:05.206000,2.09304936188,-5.18855535315,0.00147805808596
1970/01/01/07:24:05.256000,2.0930497804,-5.18855535098,0.00147807692427
1970/01/01/07:24:05.306000,2.09305019856,-5.18855534882,0.00147809575799
1970/01/01/07:24:05.357000,2.09305061636,-5.18855534665,0.00147811458708
1970/01/01/07:24:05.406000,2.0930510338,-5.18855534448,0.00147813341048
1970/01/01/07:24:05.506000,2.09304969851,-5.18855534518,0.00147815233028
1970/01/01/07:24:05.556000,2.09304756178,-5.18855534689,0.0014781712693
1970/01/01/07:24:05.606000,2.09304542472,-5.18855534863,0.0014781901815
1970/01/01/07:24:05.656000,2.09304328732,-5.18855535037,0.00147820908546
1970/01/01/07:24:05.707000,2.09304315231,-5.18855534867,0.00147822782414
1970/01/01/07:24:05.756000,2.0930435677,-5.18855534654,0.00147824658864
1970/01/01/07:24:05.806000,2.09304398274,-5.18855534439,0.0014782653739
1970/01/01/07:24:05.856000,2.09304439742,-5.18855534222,0.00147828415873
1970/01/01/07:24:05.906000,2.09304481174,-5.18855534006,0.00147830293961
1970/01/01/07:24:05.956000,2.0930452257,-5.1885553379,0.00147832171594
1970/01/01/07:24:06.006000,2.09304563932,-5.18855533574,0.00147834048756
1970/01/01/07:24:06.056000,2.09304605257,-5.18855533358,0.00147835925444
1970/01/01/07:24:06.106000,2.09304646547,-5.18855533142,0.00147837801652
1970/01/01/07:24:06.156000,2.09304687802,-5.18855532927,0.00147839677377
1970/01/01/07:24:06.206000,2.09304729021,-5.18855532711,0.00147841552617
1970/01/01/07:24:06.256000,2.09304770204,-5.18855532495,0.00147843427367
1970/01/01/07:24:06.306000,2.09304811353,-5.18855532279,0.00147845301625
1970/01/01/07:24:06.356000,2.09304852466,-5.18855532064,0.00147847175388
1970/01/01/07:24:06.406000,2.09304893543,-5.18855531848,0.00147849048652
1970/01/01/07:24:06.456000,2.09304934586,-5.18855531633,0.00147850921416
1970/01/01/07:24:06.506000,2.09304975593,-5.18855531418,0.00147852793676
1970/01/01/07:24:06.556000,2.09305016564,-5.18855531202,0.00147854665429
1970/01/01/07:24:06.606000,2.09305057501,-5.18855530987,0.00147856536674
1970/01/01/07:24:06.657000,2.09305098402,-5.18855530772,0.00147858407406
1970/01/01/07:24:06.706000,2.09305089201,-5.18855530658,0.00147860277999
1970/01/01/07:24:06.756000,2.09304874685,-5.18855530824,0.00147862163961
1970/01/01/07:24:06.806000,2.09304660136,-5.18855530999,0.00147864043856
1970/01/01/07:24:06.856000,2.09304445555,-5.18855531175,0.0014786592237
1970/01/01/07:24:06.906000,2.09304301036,-5.18855531197,0.00147867794365
1970/01/01/07:24:06.956000,2.09304341735,-5.18855530991,0.00147869654376
1970/01/01/07:24:07.007000,2.093043824,-5.18855530778,0.00147871520109
1970/01/01/07:24:07.056000,2.0930442303,-5.18855530564,0.00147873386425
1970/01/01/07:24:07.106000,2.093044459,-5.18843405666,0.00147877226055
1970/01/01/07:24:07.156000,2.09304417966,-5.18796701527,0.00147884631354
1970/01/01/07:24:07.206000,2.09304339549,-5.18715897227,0.00147892036573
1970/01/01/07:24:07.256000,2.09304210247,-5.18600723041,0.00147899442773
1970/01/01/07:24:07.307000,2.09304030837,-5.18451709006,0.00147906850347
1970/01/01/07:24:07.356000,2.09303802437,-5.18269614725,0.00147914259602
1970/01/01/07:24:07.406000,2.09303526611,-5.18055500779,0.00147921670777
1970/01/01/07:24:07.456000,2.09303204919,-5.17810426712,0.00147929084069
1970/01/01/07:24:07.506000,2.09302838539,-5.17535192336,0.00147936499643
1970/01/01/07:24:07.556000,2.09302428449,-5.17230462922,0.00147943917643
1970/01/01/07:24:07.606000,2.09301976027,-5.16897173774,0.00147951338198
1970/01/01/07:24:07.656000,2.09301482407,-5.16536095368,0.00147958761424
1970/01/01/07:24:07.706000,2.0930094881,-5.16148057042,0.00147966187432
1970/01/01/07:24:07.756000,2.0930037634,-5.15733808136,0.00147973616322
1970/01/01/07:24:07.807000,2.09299766249,-5.15294199171,0.00147981048193
1970/01/01/07:24:07.857000,2.0929912031,-5.14830430503,0.00147988483135
1970/01/01/07:24:07.906000,2.09298437487,-5.1434180706,0.00147995921239
1970/01/01/07:24:07.956000,2.09297720736,-5.13830328409,0.0014800336259
1970/01/01/07:24:08.057000,2.09296970163,-5.13296069441,0.00148010807271
1970/01/01/07:24:08.106000,2.09296186821,-5.12739745493,0.00148018255364
1970/01/01/07:24:08.156000,2.09295372209,-5.12162372195,0.00148025706945
1970/01/01/07:24:08.206000,2.09294510016,-5.11552934227,0.00148033162094
1970/01/01/07:24:08.256000,2.09293612915,-5.109199964,0.00148040620929
1970/01/01/07:24:08.306000,2.09292686623,-5.10267423714,0.00148048083526
1970/01/01/07:24:08.356000,2.09291730617,-5.09594865243,0.00148055549956
