time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/07:23:14.420000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:14.469000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:14.520000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:14.569000,-4.99747693539e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:14.620000,-4.99747693539e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:14.670000,-4.99747693539e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:14.720000,-4.99747693539e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:14.769000,-4.99747693539e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:14.820000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:14.871000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:14.919000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:14.969000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:15.019000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:15.069000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:15.119000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:15.169000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:15.220000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:15.270000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:15.319000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:15.369000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:15.420000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:15.470000,-4.99747693539e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:15.519000,-4.99747693539e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:15.569000,-4.99747693539e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:15.619000,-4.99747693539e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:15.669000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:15.720000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:15.769000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:15.820000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:15.869000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:15.919000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:15.969000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:16.020000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:16.069000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:16.119000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:16.169000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:16.219000,-4.99747693539e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:16.270000,-4.99747693539e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:16.320000,-4.99747693539e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:16.370000,-4.99747693539e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:16.419000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:16.470000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:16.519000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:16.570000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:16.620000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:16.669000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:16.719000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:16.769000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:16.820000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:16.869000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:16.919000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:16.969000,-2.60770320892e-08,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:17.020000,-4.99747693539e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:17.069000,-4.99747693539e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:17.120000,-4.99747693539e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:23:17.169000,-4.99747693539e-05,-0.0066499998793,0.0,0.0,0.0,0.0
1970/01/01/07:23:17.220000,-4.99747693539e-05,-0.0133999995887,0.0,0.0,0.0,0.0
1970/01/01/07:23:17.270000,-2.60770320892e-08,-0.0199500005692,0.0,0.0,0.0,0.0
1970/01/01/07:23:17.320000,-2.60770320892e-08,-0.0265500005335,0.0,0.0,0.0,0.0
1970/01/01/07:23:17.369000,-2.60770320892e-08,-0.0330500341952,0.0,0.0,0.0,0.0
1970/01/01/07:23:17.420000,-2.60770320892e-08,-0.0393500365317,0.0,0.0,0.0,0.0
1970/01/01/07:23:17.469000,-2.60770320892e-08,-0.0455500222743,0.0,0.0,0.0,0.0
1970/01/01/07:23:17.520000,-2.60770320892e-08,-0.0515000224113,0.0,0.0,0.0,0.0
1970/01/01/07:23:17.570000,-2.60770320892e-08,-0.0573500096798,0.0,0.0,0.0,0.0
1970/01/01/07:23:17.620000,-4.99747693539e-05,-0.0629999637604,0.0,0.0,0.0,0.0
1970/01/01/07:23:17.670000,-4.99747693539e-05,-0.0684499517083,0.0,0.0,0.0,0.0
1970/01/01/07:23:17.719000,-4.99747693539e-05,-0.0739000290632,0.0,0.0,0.0,0.0
1970/01/01/07:23:17.770000,-4.99747693539e-05,-0.0789499655366,0.0,0.0,0.0,0.0
1970/01/01/07:23:17.820000,-4.99747693539e-05,-0.0840000584722,0.0,0.0,0.0,0.0
1970/01/01/07:23:17.869000,-4.99747693539e-05,-0.0891499444842,0.0,0.0,0.0,0.0
1970/01/01/07:23:17.920000,-4.99747693539e-05,-0.0936499834061,0.0,0.0,0.0,0.0
1970/01/01/07:23:17.970000,-4.99747693539e-05,-0.0982499420643,0.0,0.0,0.0,0.0
1970/01/01/07:23:18.019000,-4.99747693539e-05,-0.102850005031,0.0,0.0,0.0,0.0
1970/01/01/07:23:18.069000,-4.99747693539e-05,-0.10704998672,0.0,0.0,0.0,0.0
1970/01/01/07:23:18.119000,-4.99747693539e-05,-0.111299946904,0.0,0.0,0.0,0.0
1970/01/01/07:23:18.170000,-4.99747693539e-05,-0.115400061011,0.0,0.0,0.0,0.0
1970/01/01/07:23:18.220000,-4.99747693539e-05,-0.119400024414,0.0,0.0,0.0,0.0
1970/01/01/07:23:18.270000,-4.99747693539e-05,-0.123299986124,0.0,0.0,0.0,0.0
1970/01/01/07:23:18.319000,-4.99747693539e-05,-0.127100050449,0.0,0.0,0.0,0.0
1970/01/01/07:23:18.369000,-4.99747693539e-05,-0.130799978971,0.0,0.0,0.0,0.0
1970/01/01/07:23:18.420000,-4.99747693539e-05,-0.134699940681,0.0,0.0,0.0,0.0
1970/01/01/07:23:18.470000,-4.99747693539e-05,-0.137799963355,0.0,0.0,0.0,0.0
1970/01/01/07:23:18.520000,-4.99747693539e-05,-0.141300007701,0.0,0.0,0.0,0.0
1970/01/01/07:23:18.570000,-4.99747693539e-05,-0.144449993968,0.0,0.0,0.0,0.0
1970/01/01/07:23:18.620000,-4.99747693539e-05,-0.14764995873,0.0,0.0,0.0,0.0
1970/01/01/07:23:18.670000,-4.99747693539e-05,-0.150850012898,0.0,0.0,0.0,0.0
1970/01/01/07:23:18.720000,-4.99747693539e-05,-0.15374994278,0.0,0.0,0.0,0.0
1970/01/01/07:23:18.770000,-4.99747693539e-05,-0.156800046563,0.0,0.0,0.0,0.0
1970/01/01/07:23:18.819000,-4.99747693539e-05,-0.159500017762,0.0,0.0,0.0,0.0
1970/01/01/07:23:18.870000,-4.99747693539e-05,-0.162399962544,0.0,0.0,0.0,0.0
1970/01/01/07:23:18.920000,-4.99747693539e-05,-0.164949968457,0.0,0.0,0.0,0.0
1970/01/01/07:23:18.970000,-4.99747693539e-05,-0.167549952865,0.0,0.0,0.0,0.0
1970/01/01/07:23:19.020000,-4.99747693539e-05,-0.170599997044,0.0,0.0,0.0,0.0
1970/01/01/07:23:19.070000,-4.99747693539e-05,-0.1725499928,0.0,0.0,0.0,0.0
1970/01/01/07:23:19.119000,-4.99747693539e-05,-0.174950033426,0.0,0.0,0.0,0.0
1970/01/01/07:23:19.169000,-4.99747693539e-05,-0.177249968052,0.0,0.0,0.0,0.0
1970/01/01/07:23:19.219000,-4.99747693539e-05,-0.179550021887,0.0,0.0,0.0,0.0
1970/01/01/07:23:19.270000,-9.99830663204e-05,-0.181750059128,0.0,0.0,0.0,0.0
1970/01/01/07:23:19.320000,-9.99830663204e-05,-0.183899998665,0.0,0.0,0.0,0.0
