time,.x,.y,.theta
1970/01/01/07:26:06.757000,-0.12514847369,-1.52195395645,8.23904408757e-05
1970/01/01/07:26:06.806000,-0.12515040544,-1.5219539541,8.24672940766e-05
1970/01/01/07:26:06.856000,-0.125152337654,-1.52195395394,8.25458727766e-05
1970/01/01/07:26:06.906000,-0.125154270337,-1.5219539546,8.26250788616e-05
1970/01/01/07:26:06.956000,-0.12515530347,-1.52195395438,8.27037044003e-05
1970/01/01/07:26:07.006000,-0.125154687059,-1.52195395074,8.27793162047e-05
1970/01/01/07:26:07.056000,-0.12515407118,-1.52195394522,8.28533555424e-05
1970/01/01/07:26:07.107000,-0.125153455829,-1.52195393911,8.29268497311e-05
1970/01/01/07:26:07.156000,-0.125152841003,-1.5219539328,8.30001299329e-05
1970/01/01/07:26:07.206000,-0.125152226703,-1.52195392623,8.30731406784e-05
1970/01/01/07:26:07.256000,-0.125151612927,-1.52195391945,8.31459200931e-05
1970/01/01/07:26:07.306000,-0.125150999674,-1.52195391255,8.32185497527e-05
1970/01/01/07:26:07.356000,-0.125150386944,-1.52195390559,8.32910735295e-05
1970/01/01/07:26:07.406000,-0.125149774736,-1.52195389859,8.33635145214e-05
1970/01/01/07:26:07.456000,-0.12514916305,-1.52195389156,8.34358893069e-05
1970/01/01/07:26:07.506000,-0.125148551884,-1.52195388454,8.35082076963e-05
1970/01/01/07:26:07.556000,-0.12514944127,-1.52195387949,8.35819286871e-05
1970/01/01/07:26:07.606000,-0.125151381164,-1.52195387821,8.36588297499e-05
1970/01/01/07:26:07.656000,-0.125153321516,-1.52195387865,8.37370877118e-05
1970/01/01/07:26:07.706000,-0.125155262333,-1.52195387935,8.3815505596e-05
1970/01/01/07:26:07.756000,-0.125155503577,-1.5219538782,8.38925644218e-05
1970/01/01/07:26:07.807000,-0.125154895307,-1.5219538739,8.39668247133e-05
1970/01/01/07:26:07.906000,-0.125154287563,-1.52195386822,8.40399169007e-05
1970/01/01/07:26:07.956000,-0.12515368034,-1.52195386212,8.41126055562e-05
1970/01/01/07:26:08.006000,-0.125153073635,-1.52195385585,8.41850974857e-05
1970/01/01/07:26:08.056000,-0.12515246745,-1.52195384931,8.42573091615e-05
1970/01/01/07:26:08.106000,-0.125151861782,-1.52195384258,8.43293190205e-05
1970/01/01/07:26:08.156000,-0.125151256631,-1.52195383576,8.44011957155e-05
1970/01/01/07:26:08.206000,-0.125150651996,-1.52195382889,8.44729751042e-05
1970/01/01/07:26:08.256000,-0.125150047877,-1.52195382198,8.45446776733e-05
1970/01/01/07:26:08.306000,-0.125149444274,-1.52195381506,8.46163178099e-05
1970/01/01/07:26:08.356000,-0.125148841184,-1.52195380813,8.46879038148e-05
1970/01/01/07:26:08.406000,-0.125148238608,-1.52195380121,8.47594404117e-05
1970/01/01/07:26:08.456000,-0.125147636546,-1.52195379428,8.4830930245e-05
