time,.x,.y,.theta
1970/01/01/07:01:21.608000,9.99999773931,11.9999993128,1.71807610674e-09
1970/01/01/07:01:21.658000,9.99999773908,11.9999993128,1.71835983261e-09
1970/01/01/07:01:21.708000,9.99999773884,11.9999993128,1.71863666497e-09
1970/01/01/07:01:21.757000,9.99999773861,11.9999993128,1.71891613176e-09
1970/01/01/07:01:21.808000,9.99999773838,11.9999993128,1.71919051049e-09
1970/01/01/07:01:21.908000,9.99999773814,11.9999993128,1.71945821119e-09
1970/01/01/07:01:21.958000,9.99999773791,11.9999993128,1.71972426966e-09
1970/01/01/07:01:22.008000,9.99999773767,11.9999993128,1.71999116066e-09
1970/01/01/07:01:22.059000,9.99999773744,11.9999993128,1.72025564513e-09
1970/01/01/07:01:22.108000,9.9999977372,11.9999993128,1.7205207262e-09
1970/01/01/07:01:22.158000,9.99999773697,11.9999993128,1.7207842786e-09
1970/01/01/07:01:22.208000,9.99999773674,11.9999993128,1.72104527694e-09
1970/01/01/07:01:22.258000,9.9999977365,11.9999993128,1.721299947e-09
1970/01/01/07:01:22.308000,9.99999773627,11.9999993128,1.72155266062e-09
1970/01/01/07:01:22.358000,9.99999773603,11.9999993128,1.72179564134e-09
1970/01/01/07:01:22.408000,9.9999977358,11.9999993128,1.72203622317e-09
1970/01/01/07:01:22.458000,9.99999773556,11.9999993128,1.72226644497e-09
1970/01/01/07:01:22.507000,9.99999773533,11.9999993128,1.72249674089e-09
1970/01/01/07:01:22.558000,9.9999977351,11.9999993128,1.72272223234e-09
1970/01/01/07:01:22.608000,9.99999773486,11.9999993128,1.72294345997e-09
1970/01/01/07:01:22.658000,9.99999773463,11.9999993128,1.72316657942e-09
1970/01/01/07:01:22.708000,9.99999773439,11.9999993128,1.7233801268e-09
1970/01/01/07:01:22.758000,9.99999773416,11.9999993128,1.72359175629e-09
1970/01/01/07:01:22.808000,9.99999773392,11.9999993128,1.72379897907e-09
1970/01/01/07:01:22.858000,9.99999773369,11.9999993128,1.72400481838e-09
1970/01/01/07:01:22.908000,9.99999773346,11.9999993128,1.72420578501e-09
1970/01/01/07:01:22.958000,9.99999773322,11.9999993128,1.72440318348e-09
1970/01/01/07:01:23.008000,9.99999773299,11.9999993128,1.72459779556e-09
1970/01/01/07:01:23.057000,9.99999773275,11.9999993128,1.7247798185e-09
1970/01/01/07:01:23.108000,9.99999773252,11.9999993128,1.72495778042e-09
1970/01/01/07:01:23.158000,9.99999773228,11.9999993128,1.72513006798e-09
1970/01/01/07:01:23.208000,9.99999773205,11.9999993128,1.72529665847e-09
1970/01/01/07:01:23.258000,9.99999773181,11.9999993128,1.72545568129e-09
1970/01/01/07:01:23.308000,9.99999773158,11.9999993128,1.72561178324e-09
1970/01/01/07:01:23.358000,9.99999773135,11.9999993128,1.72576281971e-09
1970/01/01/07:01:23.408000,9.99999773111,11.9999993128,1.72590572835e-09
1970/01/01/07:01:23.458000,9.99999773088,11.9999993128,1.72604867399e-09
1970/01/01/07:01:23.508000,9.99999773064,11.9999993128,1.72619077708e-09
1970/01/01/07:01:23.558000,9.99999773041,11.9999993128,1.72632376614e-09
1970/01/01/07:01:23.608000,9.99999773017,11.9999993128,1.72645972202e-09
1970/01/01/07:01:23.659000,9.99999772994,11.9999993128,1.72658314551e-09
1970/01/01/07:01:23.708000,9.99999772971,11.9999993128,1.72669656339e-09
1970/01/01/07:01:23.759000,9.99999772947,11.9999993128,1.72680433818e-09
1970/01/01/07:01:23.808000,9.99999772924,11.9999993128,1.72690791964e-09
1970/01/01/07:01:23.858000,9.999997729,11.9999993128,1.72700491108e-09
1970/01/01/07:01:23.908000,9.99999772877,11.9999993128,1.72709752099e-09
1970/01/01/07:01:23.958000,9.99999772853,11.9999993128,1.72718331494e-09
1970/01/01/07:01:24.008000,9.9999977283,11.9999993128,1.72726827442e-09
1970/01/01/07:01:24.058000,9.99999772807,11.9999993128,1.72734225881e-09
1970/01/01/07:01:24.107000,9.99999772783,11.9999993128,1.72741274028e-09
1970/01/01/07:01:24.159000,9.9999977276,11.9999993128,1.72747842158e-09
1970/01/01/07:01:24.208000,9.99999772736,11.9999993128,1.72753993132e-09
1970/01/01/07:01:24.258000,9.99999772713,11.9999993128,1.72759961233e-09
1970/01/01/07:01:24.308000,9.99999772689,11.9999993128,1.72765684884e-09
1970/01/01/07:01:24.408000,9.99999772666,11.9999993128,1.72771242625e-09
1970/01/01/07:01:24.458000,9.99999772643,11.9999993128,1.72776374111e-09
