time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/07:01:26.689000,-0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:01:26.689000,4.5,2.5,0.0,0.0,0.0,0.0
1970/01/01/07:01:26.739000,4.5,2.5,0.0,0.0,0.0,0.0
1970/01/01/07:01:26.790000,4.5,2.5,0.0,0.0,0.0,0.0
1970/01/01/07:01:26.839000,4.48874998093,2.49375009537,0.0,0.0,0.0,0.0
1970/01/01/07:01:26.891000,4.37424993515,2.43024992943,0.0,0.0,0.0,0.0
1970/01/01/07:01:26.940000,4.25969982147,2.36669993401,0.0,0.0,0.0,0.0
1970/01/01/07:01:26.989000,4.1451997757,2.30314993858,0.0,0.0,0.0,0.0
1970/01/01/07:01:27.039000,4.0313000679,2.23990011215,0.0,0.0,0.0,0.0
1970/01/01/07:01:27.089000,3.92045021057,2.17834997177,0.0,0.0,0.0,0.0
1970/01/01/07:01:27.139000,3.8126001358,2.11849999428,0.0,0.0,0.0,0.0
1970/01/01/07:01:27.189000,3.7077498436,2.06025004387,0.0,0.0,0.0,0.0
1970/01/01/07:01:27.239000,3.60580015182,2.00359988213,0.0,0.0,0.0,0.0
1970/01/01/07:01:27.289000,3.50664997101,1.94849991798,0.0,0.0,0.0,0.0
1970/01/01/07:01:27.340000,3.41029977798,1.89494991302,0.0,0.0,0.0,0.0
1970/01/01/07:01:27.390000,3.31664991379,1.84290003777,0.0,0.0,0.0,0.0
1970/01/01/07:01:27.440000,3.22559976578,1.79229998589,0.0,0.0,0.0,0.0
1970/01/01/07:01:27.489000,3.13710021973,1.7431499958,0.0,0.0,0.0,0.0
1970/01/01/07:01:27.539000,3.05109977722,1.69534993172,0.0,0.0,0.0,0.0
1970/01/01/07:01:27.589000,3.05109977722,1.69534993172,0.0,0.0,0.0,0.0
1970/01/01/07:01:27.639000,2.96749997139,1.64884996414,0.0,0.0,0.0,0.0
1970/01/01/07:01:27.689000,2.88619995117,1.60369992256,0.0,0.0,0.0,0.0
1970/01/01/07:01:27.740000,2.80725002289,1.55979990959,0.0,0.0,0.0,0.0
1970/01/01/07:01:27.789000,2.72950005531,1.51659989357,0.0,0.0,0.0,0.0
1970/01/01/07:01:27.839000,2.65280008316,1.47394990921,0.0,0.0,0.0,0.0
1970/01/01/07:01:27.890000,2.57820010185,1.43245005608,0.0,0.0,0.0,0.0
1970/01/01/07:01:27.939000,2.50565004349,1.39214992523,0.0,0.0,0.0,0.0
1970/01/01/07:01:27.989000,2.43519997597,1.35299992561,0.0,0.0,0.0,0.0
1970/01/01/07:01:28.039000,2.36665010452,1.31489992142,0.0,0.0,0.0,0.0
1970/01/01/07:01:28.090000,2.3001499176,1.27789998055,0.0,0.0,0.0,0.0
1970/01/01/07:01:28.139000,2.23550009727,1.242000103,0.0,0.0,0.0,0.0
1970/01/01/07:01:28.189000,2.17269992828,1.20709991455,0.0,0.0,0.0,0.0
1970/01/01/07:01:28.239000,2.11174988747,1.17324995995,0.0,0.0,0.0,0.0
1970/01/01/07:01:28.289000,2.05255007744,1.14030003548,0.0,0.0,0.0,0.0
1970/01/01/07:01:28.340000,1.99499988556,1.10835003853,0.0,0.0,0.0,0.0
1970/01/01/07:01:28.389000,1.93910002708,1.07730007172,0.0,0.0,0.0,0.0
1970/01/01/07:01:28.440000,1.88485002518,1.04714989662,0.0,0.0,0.0,0.0
1970/01/01/07:01:28.490000,1.83214998245,1.01784992218,0.0,0.0,0.0,0.0
1970/01/01/07:01:28.539000,1.78090000153,0.989349961281,0.0,0.0,0.0,0.0
1970/01/01/07:01:28.590000,1.73114991188,0.961699962616,0.0,0.0,0.0,0.0
1970/01/01/07:01:28.639000,1.68280005455,0.934849977493,0.0,0.0,0.0,0.0
1970/01/01/07:01:28.690000,1.6357998848,0.90875005722,0.0,0.0,0.0,0.0
