time,time (seconds),.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/07:01:26.689000,0,0,0,0,0,0,0
1970/01/01/07:01:26.689000,0.05,-4.5,3.5,0,0,0,0
1970/01/01/07:01:26.739000,0.1,-4.5,3.5,0,0,0,0
1970/01/01/07:01:26.790000,0.15,-4.5,3.5,0,0,0,0
1970/01/01/07:01:26.839000,0.2,-4.5,3.5,0,0,0,0
1970/01/01/07:01:26.891000,0.25,-4.41015005112,3.43015003204,0,0,0,0
1970/01/01/07:01:26.940000,0.3,-4.29565000534,3.34114980698,0,0,0,0
1970/01/01/07:01:26.989000,0.35,-4.18109989166,3.25204992294,0,0,0,0
1970/01/01/07:01:27.039000,0.4,-4.06650018692,3.16295003891,0,0,0,0
1970/01/01/07:01:27.089000,0.45,-3.95384979248,3.07534980774,0,0,0,0
1970/01/01/07:01:27.139000,0.5,-3.84404993057,2.98994994164,0,0,0,0
1970/01/01/07:01:27.189000,0.55,-3.73729991913,2.90689992905,0,0,0,0
1970/01/01/07:01:27.239000,0.6,-3.63355016708,2.82614994049,0,0,0,0
1970/01/01/07:01:27.289000,0.65,-3.5327000618,2.74764990807,0,0,0,0
1970/01/01/07:01:27.340000,0.7,-3.43464994431,2.67135000229,0,0,0,0
1970/01/01/07:01:27.390000,0.75,-3.33935022354,2.59719991684,0,0,0,0
1970/01/01/07:01:27.440000,0.8,-3.24679994583,2.52515006065,0,0,0,0
1970/01/01/07:01:27.489000,0.85,-3.15684986115,2.45519995689,0,0,0,0
1970/01/01/07:01:27.539000,0.9,-3.06949996948,2.38720011711,0,0,0,0
1970/01/01/07:01:27.589000,0.95,-2.98460006714,2.32109999657,0,0,0,0
1970/01/01/07:01:27.639000,1,-2.90205001831,2.2569000721,0,0,0,0
1970/01/01/07:01:27.689000,1.05,-2.8219499588,2.19455003738,0,0,0,0
1970/01/01/07:01:27.740000,1.1,-2.74405002594,2.13394999504,0,0,0,0
1970/01/01/07:01:27.789000,1.15,-2.66834998131,2.07505011559,0,0,0,0
1970/01/01/07:01:27.839000,1.2,-2.59474992752,2.0177500248,0,0,0,0
1970/01/01/07:01:27.890000,1.25,-2.5232000351,1.96210002899,0,0,0,0
1970/01/01/07:01:27.939000,1.3,-2.4537498951,1.90805006027,0,0,0,0
1970/01/01/07:01:27.989000,1.35,-2.38614988327,1.85544991493,0,0,0,0
1970/01/01/07:01:28.039000,1.4,-2.320499897,1.80434989929,0,0,0,0
1970/01/01/07:01:28.090000,1.45,-2.25664997101,1.75469994545,0,0,0,0
1970/01/01/07:01:28.139000,1.5,-2.19464993477,1.7064499855,0,0,0,0
1970/01/01/07:01:28.189000,1.55,-2.13435006142,1.65954995155,0,0,0,0
1970/01/01/07:01:28.239000,1.6,-2.07575011253,1.61395001411,0,0,0,0
1970/01/01/07:01:28.289000,1.65,-2.01880002022,1.56970000267,0,0,0,0
1970/01/01/07:01:28.340000,1.7,-1.96344995499,1.52659988403,0,0,0,0
1970/01/01/07:01:28.389000,1.75,-1.90965008736,1.48475003242,0,0,0,0
1970/01/01/07:01:28.440000,1.8,-1.90965008736,1.48475003242,0,0,0,0
1970/01/01/07:01:28.490000,1.85,-1.85735011101,1.44409990311,0,0,0,0
1970/01/01/07:01:28.539000,1.9,-1.80649995804,1.40450000763,0,0,0,0
1970/01/01/07:01:28.590000,1.95,-1.75710010529,1.36610007286,0,0,0,0
1970/01/01/07:01:28.639000,2,-1.70840001106,1.32824993134,0,0,0,0
1970/01/01/07:01:28.690000,2.05,-1.66039991379,1.29089999199,0,0,0,0
1970/01/01/07:01:28.740000,2.1,-1.61369991302,1.25454998016,0,0,0,0
1970/01/01/07:01:28.790000,2.15,-1.56830000877,1.21924996376,0,0,0,0
1970/01/01/07:01:28.839000,2.2,-1.52419996262,1.1849501133,0,0,0,0
1970/01/01/07:01:28.889000,2.25,-1.48130011559,1.15164995193,0,0,0,0
1970/01/01/07:01:28.939000,2.3,-1.43969988823,1.11925005913,0,0,0,0
1970/01/01/07:01:28.989000,2.35,-1.39925003052,1.08780002594,0,0,0,0
1970/01/01/07:01:29.039000,2.4,-1.35995006561,1.05725002289,0,0,0,0
1970/01/01/07:01:29.090000,2.45,-1.32179999352,1.02760004997,0,0,0,0
1970/01/01/07:01:29.139000,2.5,-1.28474998474,0.998800039291,0,0,0,0
1970/01/01/07:01:29.189000,2.55,-1.24874997139,0.970800042152,0,0,0,0
1970/01/01/07:01:29.239000,2.6,-1.21379995346,0.943600058556,0,0,0,0
1970/01/01/07:01:29.289000,2.65,-1.17980003357,0.917199969292,0,0,0,0
1970/01/01/07:01:29.339000,2.7,-1.1468000412,0.891499996185,0,0,0,0
1970/01/01/07:01:29.390000,2.75,-1.11474990845,0.866600036621,0,0,0,0
1970/01/01/07:01:29.439000,2.8,-1.08360004425,0.842350006104,0,0,0,0
1970/01/01/07:01:29.489000,2.85,-1.05334997177,0.818850040436,0,0,0,0
1970/01/01/07:01:29.540000,2.9,-1.02395009995,0.796000003815,0,0,0,0
1970/01/01/07:01:29.590000,2.95,-0.995399951935,0.77380001545,0,0,0,0
1970/01/01/07:01:29.639000,3,-0.967650055885,0.752200007439,0,0,0,0
1970/01/01/07:01:29.690000,3.05,-0.940700054169,0.731250047684,0,0,0,0
1970/01/01/07:01:29.740000,3.1,-0.914499998093,0.710899949074,0,0,0,0
1970/01/01/07:01:29.789000,3.15,-0.889050006866,0.691100001335,0,0,0,0
1970/01/01/07:01:29.840000,3.2,-0.864349961281,0.671900033951,0,0,0,0
1970/01/01/07:01:29.889000,3.25,-0.840299963951,0.653249979019,0,0,0,0
1970/01/01/07:01:29.939000,3.3,-0.817000031471,0.635100007057,0,0,0,0
1970/01/01/07:01:29.989000,3.35,-0.794299960136,0.617449998856,0,0,0,0
1970/01/01/07:01:30.039000,3.4,-0.772300004959,0.600350022316,0,0,0,0
1970/01/01/07:01:30.089000,3.45,-0.750900030136,0.583699941635,0,0,0,0
1970/01/01/07:01:30.139000,3.5,-0.730100035667,0.567549943924,0,0,0,0
1970/01/01/07:01:30.190000,3.55,-0.709900021553,0.551849961281,0,0,0,0
1970/01/01/07:01:30.240000,3.6,-0.690299987793,0.536599993706,0,0,0,0
1970/01/01/07:01:30.289000,3.65,-0.671200037003,0.521749973297,0,0,0,0
1970/01/01/07:01:30.340000,3.7,-0.652649998665,0.507349967957,0,0,0,0
1970/01/01/07:01:30.389000,3.75,-0.634649991989,0.493350028992,0,0,0,0
1970/01/01/07:01:30.439000,3.8,-0.617149949074,0.479750037193,0,0,0,0
1970/01/01/07:01:30.489000,3.85,-0.600149989128,0.466500043869,0,0,0,0
1970/01/01/07:01:30.539000,3.9,-0.58360004425,0.453649997711,0,0,0,0
1970/01/01/07:01:30.590000,3.95,-0.567549943924,0.441149950027,0,0,0,0
1970/01/01/07:01:30.640000,4,-0.551900029182,0.429049968719,0,0,0,0
1970/01/01/07:01:30.689000,4.05,-0.536749958992,0.417250037193,0,0,0,0
1970/01/01/07:01:30.740000,4.1,-0.521999955177,0.40575003624,0,0,0,0
1970/01/01/07:01:30.789000,4.15,-0.507650017738,0.39460003376,0,0,0,0
1970/01/01/07:01:30.839000,4.2,-0.493700027466,0.383749961853,0,0,0,0
1970/01/01/07:01:30.889000,4.25,-0.48014998436,0.373250007629,0,0,0,0
1970/01/01/07:01:30.939000,4.3,-0.48014998436,0.373250007629,0,0,0,0
1970/01/01/07:01:30.989000,4.35,-0.466950058937,0.363000035286,0,0,0,0
1970/01/01/07:01:31.040000,4.4,-0.454149961472,0.353049993515,0,0,0,0
1970/01/01/07:01:31.090000,4.45,-0.441699981689,0.343350052834,0,0,0,0
1970/01/01/07:01:31.139000,4.5,-0.429450035095,0.333850026131,0,0,0,0
1970/01/01/07:01:31.190000,4.55,-0.41740000248,0.324450016022,0,0,0,0
1970/01/01/07:01:31.239000,4.6,-0.405650019646,0.315299987793,0,0,0,0
1970/01/01/07:01:31.289000,4.65,-0.394199967384,0.306450009346,0,0,0,0
1970/01/01/07:01:31.340000,4.7,-0.383100032806,0.297799944878,0,0,0,0
1970/01/01/07:01:31.390000,4.75,-0.372300028801,0.289399981499,0,0,0,0
1970/01/01/07:01:31.439000,4.8,-0.36185002327,0.281299948692,0,0,0,0
1970/01/01/07:01:31.490000,4.85,-0.351649999619,0.273350000381,0,0,0,0
1970/01/01/07:01:31.540000,4.9,-0.341799974442,0.265699982643,0,0,0,0
1970/01/01/07:01:31.589000,4.95,-0.332200050354,0.2582000494,0,0,0,0
1970/01/01/07:01:31.639000,5,-0.322849988937,0.25100004673,0,0,0,0
1970/01/01/07:01:31.689000,5.05,-0.313799977303,0.243950009346,0,0,0,0
1970/01/01/07:01:31.740000,5.1,-0.304999947548,0.23710000515,0,0,0,0
1970/01/01/07:01:31.790000,5.15,-0.296450018883,0.230450034142,0,0,0,0
1970/01/01/07:01:31.839000,5.2,-0.288149952888,0.223999977112,0,0,0,0
1970/01/01/07:01:31.889000,5.25,-0.280099987984,0.21774995327,0,0,0,0
1970/01/01/07:01:31.939000,5.3,-0.272250056267,0.211650013924,0,0,0,0
1970/01/01/07:01:31.989000,5.35,-0.264649987221,0.205749988556,0,0,0,0
1970/01/01/07:01:32.039000,5.4,-0.257249951363,0.200000047684,0,0,0,0
1970/01/01/07:01:32.089000,5.45,-0.250100016594,0.194399952888,0,0,0,0
1970/01/01/07:01:32.139000,5.5,-0.243100047112,0.18900001049,0,0,0,0
1970/01/01/07:01:32.190000,5.55,-0.236350059509,0.183699965477,0,0,0,0
1970/01/01/07:01:32.240000,5.6,-0.229750037193,0.178599953651,0,0,0,0
1970/01/01/07:01:32.289000,5.65,-0.223350048065,0.17359995842,0,0,0,0
1970/01/01/07:01:32.340000,5.7,-0.217149972916,0.168799996376,0,0,0,0
1970/01/01/07:01:32.389000,5.75,-0.211099982262,0.164100050926,0,0,0,0
1970/01/01/07:01:32.439000,5.8,-0.205250024796,0.159549951553,0,0,0,0
1970/01/01/07:01:32.490000,5.85,-0.199550032616,0.155099987984,0,0,0,0
1970/01/01/07:01:32.539000,5.9,-0.194000005722,0.1507999897,0,0,0,0
1970/01/01/07:01:32.590000,5.95,-0.188599944115,0.146600008011,0,0,0,0
1970/01/01/07:01:32.639000,6,-0.183400034904,0.142549991608,0,0,0,0
