time,.x,.y,.theta
1970/01/01/07:01:21.608000,0.0,0.0,0.0
1970/01/01/07:01:21.657000,0.0,0.0,0.0
1970/01/01/07:01:21.707000,0.0,0.0,0.0
1970/01/01/07:01:21.757000,0.0,0.0,0.0
1970/01/01/07:01:21.807000,0.0,0.0,0.0
1970/01/01/07:01:21.857000,0.0,0.0,0.0
1970/01/01/07:01:21.907000,0.0,0.0,0.0
1970/01/01/07:01:21.957000,0.0,0.0,0.0
1970/01/01/07:01:22.007000,0.0,0.0,0.0
1970/01/01/07:01:22.059000,0.0,0.0,0.0
1970/01/01/07:01:22.107000,0.0,0.0,0.0
1970/01/01/07:01:22.158000,0.0,0.0,0.0
1970/01/01/07:01:22.207000,0.0,0.0,0.0
1970/01/01/07:01:22.257000,0.0,0.0,0.0
1970/01/01/07:01:22.307000,0.0,0.0,0.0
1970/01/01/07:01:22.358000,0.0,0.0,0.0
1970/01/01/07:01:22.407000,0.0,0.0,0.0
1970/01/01/07:01:22.457000,0.0,0.0,0.0
1970/01/01/07:01:22.507000,0.0,0.0,0.0
1970/01/01/07:01:22.557000,0.0,0.0,0.0
1970/01/01/07:01:22.607000,0.0,0.0,0.0
1970/01/01/07:01:22.657000,0.0,0.0,0.0
1970/01/01/07:01:22.707000,0.0,0.0,0.0
1970/01/01/07:01:22.757000,0.0,0.0,0.0
1970/01/01/07:01:22.807000,0.0,0.0,0.0
1970/01/01/07:01:22.857000,0.0,0.0,0.0
1970/01/01/07:01:22.907000,0.0,0.0,0.0
1970/01/01/07:01:22.957000,0.0,0.0,0.0
1970/01/01/07:01:23.007000,0.0,0.0,0.0
1970/01/01/07:01:23.057000,0.0,0.0,0.0
1970/01/01/07:01:23.108000,0.0,0.0,0.0
1970/01/01/07:01:23.158000,0.0,0.0,0.0
1970/01/01/07:01:23.208000,0.0,0.0,0.0
1970/01/01/07:01:23.257000,0.0,0.0,0.0
1970/01/01/07:01:23.308000,0.0,0.0,0.0
1970/01/01/07:01:23.357000,0.0,0.0,0.0
1970/01/01/07:01:23.407000,0.0,0.0,0.0
1970/01/01/07:01:23.457000,0.0,0.0,0.0
1970/01/01/07:01:23.507000,0.0,0.0,0.0
1970/01/01/07:01:23.557000,0.0,0.0,0.0
1970/01/01/07:01:23.607000,0.0,0.0,0.0
1970/01/01/07:01:23.657000,0.0,0.0,0.0
1970/01/01/07:01:23.708000,0.0,0.0,0.0
1970/01/01/07:01:23.757000,0.0,0.0,0.0
1970/01/01/07:01:23.807000,0.0,0.0,0.0
1970/01/01/07:01:23.857000,0.0,0.0,0.0
1970/01/01/07:01:23.907000,0.0,0.0,0.0
1970/01/01/07:01:23.957000,0.0,0.0,0.0
1970/01/01/07:01:24.007000,0.0,0.0,0.0
1970/01/01/07:01:24.057000,0.0,0.0,0.0
