time,.x,.y,.theta
1970/01/01/07:00:46.010000,9.9999979027,11.9999993128,1.60460776265e-09
1970/01/01/07:00:46.060000,9.99999790246,11.9999993128,1.60488961388e-09
1970/01/01/07:00:46.109000,9.99999790223,11.9999993128,1.60517341258e-09
1970/01/01/07:00:46.160000,9.99999790199,11.9999993128,1.6054560137e-09
1970/01/01/07:00:46.260000,9.99999790176,11.9999993128,1.60573821528e-09
1970/01/01/07:00:46.310000,9.99999790153,11.9999993128,1.60602198154e-09
1970/01/01/07:00:46.360000,9.99999790129,11.9999993128,1.6063035309e-09
1970/01/01/07:00:46.410000,9.99999790106,11.9999993128,1.60658568755e-09
1970/01/01/07:00:46.460000,9.99999790083,11.9999993128,1.6068688446e-09
1970/01/01/07:00:46.510000,9.99999790059,11.9999993128,1.60715300546e-09
1970/01/01/07:00:46.560000,9.99999790036,11.9999993128,1.6074352812e-09
1970/01/01/07:00:46.610000,9.99999790012,11.9999993128,1.60771729311e-09
1970/01/01/07:00:46.660000,9.99999789989,11.9999993128,1.60800061834e-09
1970/01/01/07:00:46.710000,9.99999789966,11.9999993128,1.60828262738e-09
1970/01/01/07:00:46.759000,9.99999789942,11.9999993128,1.60856543709e-09
1970/01/01/07:00:46.810000,9.99999789919,11.9999993128,1.60884956424e-09
1970/01/01/07:00:46.859000,9.99999789895,11.9999993128,1.60912951873e-09
1970/01/01/07:00:46.910000,9.99999789872,11.9999993128,1.60940494852e-09
1970/01/01/07:00:46.960000,9.99999789849,11.9999993128,1.60967802051e-09
1970/01/01/07:00:47.010000,9.99999789825,11.9999993128,1.60995331817e-09
1970/01/01/07:00:47.060000,9.99999789802,11.9999993128,1.61022154888e-09
1970/01/01/07:00:47.110000,9.99999789778,11.9999993128,1.61048785153e-09
1970/01/01/07:00:47.160000,9.99999789755,11.9999993128,1.61075239617e-09
1970/01/01/07:00:47.210000,9.99999789732,11.9999993128,1.61101613943e-09
1970/01/01/07:00:47.260000,9.99999789708,11.9999993128,1.61127917938e-09
1970/01/01/07:00:47.310000,9.99999789685,11.9999993128,1.61153834244e-09
1970/01/01/07:00:47.360000,9.99999789662,11.9999993128,1.61179684412e-09
1970/01/01/07:00:47.410000,9.99999789638,11.9999993128,1.61204821556e-09
1970/01/01/07:00:47.460000,9.99999789615,11.9999993128,1.61229550123e-09
1970/01/01/07:00:47.510000,9.99999789591,11.9999993128,1.61253130769e-09
1970/01/01/07:00:47.560000,9.99999789568,11.9999993128,1.61275864781e-09
1970/01/01/07:00:47.610000,9.99999789545,11.9999993128,1.61297683402e-09
1970/01/01/07:00:47.660000,9.99999789521,11.9999993128,1.6131948476e-09
1970/01/01/07:00:47.710000,9.99999789498,11.9999993128,1.61340429377e-09
1970/01/01/07:00:47.760000,9.99999789474,11.9999993128,1.61361079171e-09
1970/01/01/07:00:47.810000,9.99999789451,11.9999993128,1.61381045029e-09
1970/01/01/07:00:47.860000,9.99999789428,11.9999993128,1.61400600787e-09
1970/01/01/07:00:47.910000,9.99999789404,11.9999993128,1.61419715408e-09
1970/01/01/07:00:47.960000,9.99999789381,11.9999993128,1.61438623278e-09
1970/01/01/07:00:48.011000,9.99999789357,11.9999993128,1.61457617071e-09
1970/01/01/07:00:48.060000,9.99999789334,11.9999993128,1.61476547847e-09
1970/01/01/07:00:48.110000,9.99999789311,11.9999993128,1.61495166303e-09
1970/01/01/07:00:48.160000,9.99999789287,11.9999993128,1.61513576525e-09
1970/01/01/07:00:48.210000,9.99999789264,11.9999993128,1.61530918211e-09
1970/01/01/07:00:48.260000,9.99999789241,11.9999993128,1.61548375273e-09
1970/01/01/07:00:48.310000,9.99999789217,11.9999993128,1.61564189624e-09
1970/01/01/07:00:48.360000,9.99999789194,11.9999993128,1.61579115656e-09
1970/01/01/07:00:48.410000,9.9999978917,11.9999993128,1.61593770521e-09
1970/01/01/07:00:48.459000,9.99999789147,11.9999993128,1.61607168799e-09
1970/01/01/07:00:48.510000,9.99999789124,11.9999993128,1.61619095992e-09
1970/01/01/07:00:48.560000,9.999997891,11.9999993128,1.61631484816e-09
1970/01/01/07:00:48.609000,9.99999789077,11.9999993128,1.61643077884e-09
1970/01/01/07:00:48.661000,9.99999789053,11.9999993128,1.61653328182e-09
1970/01/01/07:00:48.762000,9.99999789007,11.9999993128,1.61672400232e-09
1970/01/01/07:00:48.860000,9.99999788983,11.9999993128,1.61681561058e-09
1970/01/01/07:00:48.910000,9.9999978896,11.9999993128,1.6169032322e-09
1970/01/01/07:00:48.960000,9.99999788936,11.9999993128,1.61698597783e-09
1970/01/01/07:00:49.010000,9.99999788913,11.9999993128,1.61706567434e-09
1970/01/01/07:00:49.060000,9.9999978889,11.9999993128,1.61713640912e-09
1970/01/01/07:00:49.110000,9.99999788866,11.9999993128,1.61720758902e-09
1970/01/01/07:00:49.160000,9.99999788843,11.9999993128,1.61727388926e-09
1970/01/01/07:00:49.210000,9.9999978882,11.9999993128,1.61733777403e-09
1970/01/01/07:00:49.259000,9.99999788796,11.9999993128,1.61739800029e-09
1970/01/01/07:00:49.310000,9.99999788773,11.9999993128,1.61745207506e-09
1970/01/01/07:00:49.359000,9.99999788749,11.9999993128,1.61750257441e-09
1970/01/01/07:00:49.410000,9.99999788726,11.9999993128,1.61755139726e-09
1970/01/01/07:00:49.460000,9.99999788703,11.9999993128,1.61759413207e-09
1970/01/01/07:00:49.510000,9.99999788679,11.9999993128,1.617633255e-09
1970/01/01/07:00:49.560000,9.99999788656,11.9999993128,1.61766897381e-09
1970/01/01/07:00:49.612000,9.99999788632,11.9999993128,1.61769798299e-09
1970/01/01/07:00:49.660000,9.99999788609,11.9999993128,1.61772629193e-09
1970/01/01/07:00:49.710000,9.28039197296,11.1003878532,1.32996840994e-05
1970/01/01/07:00:49.760000,8.46483675008,10.0807773605,5.23824108573e-05
1970/01/01/07:00:49.810000,7.64929250574,9.06109106547,0.000105619590397
1970/01/01/07:00:49.860000,6.83377186668,8.04132490627,0.000163358042523
1970/01/01/07:00:49.910000,6.09022317623,7.11145656775,0.000218983182596
1970/01/01/07:00:49.961000,5.43130332962,6.28734266156,0.000268582039004
1970/01/01/07:00:50.010000,4.85881105277,5.57129040774,0.000310274130415
1970/01/01/07:00:50.060000,4.36918605665,4.95888419165,0.000343548824132
1970/01/01/07:00:50.110000,3.95503673425,4.44089076585,0.000368727863373
1970/01/01/07:00:50.160000,3.61000280095,4.0093989386,0.000386576475233
