time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/07:00:49.683000,-18.0,14.0,0.0,0.0,0.0,0.0
1970/01/01/07:00:49.733000,-18.0,14.0,0.0,0.0,0.0,0.0
1970/01/01/07:00:49.782000,-18.0,14.0,0.0,0.0,0.0,0.0
1970/01/01/07:00:49.832000,-18.0,14.0,0.0,0.0,0.0,0.0
1970/01/01/07:00:49.882000,-16.9923992157,13.2164001465,0.0,0.0,0.0,0.0
1970/01/01/07:00:49.933000,-15.1574001312,11.7894001007,0.0,0.0,0.0,0.0
1970/01/01/07:00:49.982000,-13.3222007751,10.3620004654,0.0,0.0,0.0,0.0
1970/01/01/07:00:50.032000,-11.4871997833,8.9343996048,0.0,0.0,0.0,0.0
1970/01/01/07:00:50.083000,-9.71640014648,7.55700016022,0.0,0.0,0.0,0.0
1970/01/01/07:00:50.132000,-8.10519981384,6.30319976807,0.0,0.0,0.0,0.0
1970/01/01/07:00:50.182000,-6.68859958649,5.20079994202,0.0,0.0,0.0,0.0
1970/01/01/07:00:50.233000,-5.45899963379,4.24400043488,0.0,0.0,0.0,0.0
1970/01/01/07:00:50.282000,-4.41199970245,3.42920017242,0.0,0.0,0.0,0.0
1970/01/01/07:00:50.332000,-3.5408000946,2.75120019913,0.0,0.0,0.0,0.0
1970/01/01/07:00:50.382000,-2.82520008087,2.19439983368,0.0,0.0,0.0,0.0
1970/01/01/07:00:50.433000,-2.23939990997,1.73880004883,0.0,0.0,0.0,0.0
1970/01/01/07:00:50.482000,-1.76900005341,1.37279987335,0.0,0.0,0.0,0.0
1970/01/01/07:00:50.532000,-1.39079999924,1.07880020142,0.0,0.0,0.0,0.0
1970/01/01/07:00:50.582000,-1.09019994736,0.845200061798,0.0,0.0,0.0,0.0
1970/01/01/07:00:50.633000,-0.852799892426,0.660799980164,0.0,0.0,0.0,0.0
1970/01/01/07:00:50.684000,-0.667200088501,0.516600131989,0.0,0.0,0.0,0.0
1970/01/01/07:00:50.733000,-0.520999908447,0.403200149536,0.0,0.0,0.0,0.0
1970/01/01/07:00:50.782000,-0.407199859619,0.314799785614,0.0,0.0,0.0,0.0
1970/01/01/07:00:50.832000,-0.318399906158,0.246200084686,0.0,0.0,0.0,0.0
1970/01/01/07:00:50.882000,-0.248799800873,0.192200183868,0.0,0.0,0.0,0.0
1970/01/01/07:00:50.932000,-0.195400238037,0.150800228119,0.0,0.0,0.0,0.0
1970/01/01/07:00:50.982000,-0.15399980545,0.118800163269,0.0,0.0,0.0,0.0
1970/01/01/07:00:51.033000,-0.121799945831,0.0939998626709,0.0,0.0,0.0,0.0
1970/01/01/07:00:51.083000,-0.0967998504639,0.0748000144958,0.0,0.0,0.0,0.0
1970/01/01/07:00:51.132000,-0.0774002075195,0.0598001480103,0.0,0.0,0.0,0.0
1970/01/01/07:00:51.183000,-0.061999797821,0.0479998588562,0.0,0.0,0.0,0.0
1970/01/01/07:00:51.232000,-0.0500001907349,0.0387997627258,0.0,0.0,0.0,0.0
1970/01/01/07:00:51.282000,-0.040599822998,0.0314002037048,0.0,0.0,0.0,0.0
1970/01/01/07:00:51.333000,-0.0329999923706,0.0255999565125,0.0,0.0,0.0,0.0
1970/01/01/07:00:51.382000,-0.0269999504089,0.0209999084473,0.0,0.0,0.0,0.0
1970/01/01/07:00:51.432000,-0.0222001075745,0.0171999931335,0.0,0.0,0.0,0.0
1970/01/01/07:00:51.482000,-0.0184001922607,0.0144000053406,0.0,0.0,0.0,0.0
1970/01/01/07:00:51.533000,-0.015200138092,0.0120000839233,0.0,0.0,0.0,0.0
1970/01/01/07:00:51.582000,-0.0125999450684,0.0100002288818,0.0,0.0,0.0,0.0
1970/01/01/07:00:51.633000,-0.0106000900269,0.00839996337891,0.0,0.0,0.0,0.0
1970/01/01/07:00:51.683000,-0.00899982452393,0.00699996948242,0.0,0.0,0.0,0.0
1970/01/01/07:00:51.732000,-0.00759983062744,0.00600004196167,0.0,0.0,0.0,0.0
1970/01/01/07:00:51.782000,-0.0064001083374,0.00519990921021,0.0,0.0,0.0,0.0
1970/01/01/07:00:51.833000,-0.00540018081665,0.00439977645874,0.0,0.0,0.0,0.0
1970/01/01/07:00:51.882000,-0.00460004806519,0.00379991531372,0.0,0.0,0.0,0.0
1970/01/01/07:00:51.932000,-0.00400018692017,0.00339984893799,0.0,0.0,0.0,0.0
1970/01/01/07:00:51.982000,-0.00339984893799,0.00299978256226,0.0,0.0,0.0,0.0
1970/01/01/07:00:52.032000,-0.00279998779297,0.00260019302368,0.0,0.0,0.0,0.0
1970/01/01/07:00:52.083000,-0.00239992141724,0.00239992141724,0.0,0.0,0.0,0.0
1970/01/01/07:00:52.133000,-0.00220012664795,0.0019998550415,0.0,0.0,0.0,0.0
1970/01/01/07:00:52.182000,-0.00180006027222,0.0019998550415,0.0,0.0,0.0,0.0
1970/01/01/07:00:52.233000,-0.00159978866577,0.00180006027222,0.0,0.0,0.0,0.0
1970/01/01/07:00:52.283000,-0.00139999389648,0.00159978866577,0.0,0.0,0.0,0.0
1970/01/01/07:00:52.333000,-0.00139999389648,0.00159978866577,0.0,0.0,0.0,0.0
1970/01/01/07:00:52.383000,-0.0012001991272,0.00159978866577,0.0,0.0,0.0,0.0
1970/01/01/07:00:52.433000,-0.000999927520752,0.00139999389648,0.0,0.0,0.0,0.0
1970/01/01/07:00:52.482000,-0.000800132751465,0.00139999389648,0.0,0.0,0.0,0.0
1970/01/01/07:00:52.532000,-0.000800132751465,0.0012001991272,0.0,0.0,0.0,0.0
1970/01/01/07:00:52.582000,-0.00059986114502,0.0012001991272,0.0,0.0,0.0,0.0
1970/01/01/07:00:52.632000,-0.00059986114502,0.0012001991272,0.0,0.0,0.0,0.0
1970/01/01/07:00:52.683000,-0.000400066375732,0.0012001991272,0.0,0.0,0.0,0.0
1970/01/01/07:00:52.732000,-0.000400066375732,0.000999927520752,0.0,0.0,0.0,0.0
1970/01/01/07:00:52.782000,-0.000400066375732,0.000999927520752,0.0,0.0,0.0,0.0
1970/01/01/07:00:52.833000,-0.000199794769287,0.000999927520752,0.0,0.0,0.0,0.0
1970/01/01/07:00:52.882000,-0.000199794769287,0.000999927520752,0.0,0.0,0.0,0.0
1970/01/01/07:00:52.932000,-0.000199794769287,0.000999927520752,0.0,0.0,0.0,0.0
1970/01/01/07:00:52.983000,-0.000199794769287,0.000999927520752,0.0,0.0,0.0,0.0
1970/01/01/07:00:53.032000,-0.000199794769287,0.000999927520752,0.0,0.0,0.0,0.0
1970/01/01/07:00:53.083000,-0.000199794769287,0.000999927520752,0.0,0.0,0.0,0.0
1970/01/01/07:00:53.132000,-0.000199794769287,0.000999927520752,0.0,0.0,0.0,0.0
1970/01/01/07:00:53.182000,-0.000199794769287,0.000999927520752,0.0,0.0,0.0,0.0
1970/01/01/07:00:53.232000,-0.0,0.000999927520752,0.0,0.0,0.0,0.0
1970/01/01/07:00:53.283000,-0.0,0.000999927520752,0.0,0.0,0.0,0.0
1970/01/01/07:00:53.332000,-0.0,0.000999927520752,0.0,0.0,0.0,0.0
1970/01/01/07:00:53.382000,-0.0,0.000999927520752,0.0,0.0,0.0,0.0
1970/01/01/07:00:53.433000,-0.0,0.000999927520752,0.0,0.0,0.0,0.0
1970/01/01/07:00:53.483000,-0.0,0.000999927520752,0.0,0.0,0.0,0.0
1970/01/01/07:00:53.532000,-0.0,0.000999927520752,0.0,0.0,0.0,0.0
1970/01/01/07:00:53.582000,-0.0,0.000999927520752,0.0,0.0,0.0,0.0
1970/01/01/07:00:53.634000,-0.0,0.000999927520752,0.0,0.0,0.0,0.0
1970/01/01/07:00:53.683000,-0.0,0.000999927520752,0.0,0.0,0.0,0.0
1970/01/01/07:00:53.733000,-0.0,0.000999927520752,0.0,0.0,0.0,0.0
