time,.x,.y,.theta
1970/01/01/07:00:46.008000,0.0,0.0,0.0
1970/01/01/07:00:46.058000,0.0,0.0,0.0
1970/01/01/07:00:46.108000,0.0,0.0,0.0
1970/01/01/07:00:46.158000,0.0,0.0,0.0
1970/01/01/07:00:46.208000,0.0,0.0,0.0
1970/01/01/07:00:46.259000,0.0,0.0,0.0
1970/01/01/07:00:46.309000,0.0,0.0,0.0
1970/01/01/07:00:46.358000,0.0,0.0,0.0
1970/01/01/07:00:46.408000,0.0,0.0,0.0
1970/01/01/07:00:46.458000,0.0,0.0,0.0
1970/01/01/07:00:46.508000,0.0,0.0,0.0
1970/01/01/07:00:46.559000,0.0,0.0,0.0
1970/01/01/07:00:46.608000,0.0,0.0,0.0
1970/01/01/07:00:46.658000,0.0,0.0,0.0
1970/01/01/07:00:46.708000,0.0,0.0,0.0
1970/01/01/07:00:46.758000,0.0,0.0,0.0
1970/01/01/07:00:46.808000,0.0,0.0,0.0
1970/01/01/07:00:46.858000,0.0,0.0,0.0
1970/01/01/07:00:46.908000,0.0,0.0,0.0
1970/01/01/07:00:46.958000,0.0,0.0,0.0
1970/01/01/07:00:47.008000,0.0,0.0,0.0
1970/01/01/07:00:47.059000,0.0,0.0,0.0
1970/01/01/07:00:47.108000,0.0,0.0,0.0
1970/01/01/07:00:47.159000,0.0,0.0,0.0
1970/01/01/07:00:47.208000,0.0,0.0,0.0
1970/01/01/07:00:47.259000,0.0,0.0,0.0
1970/01/01/07:00:47.308000,0.0,0.0,0.0
1970/01/01/07:00:47.358000,0.0,0.0,0.0
1970/01/01/07:00:47.409000,0.0,0.0,0.0
1970/01/01/07:00:47.458000,0.0,0.0,0.0
1970/01/01/07:00:47.508000,0.0,0.0,0.0
1970/01/01/07:00:47.558000,0.0,0.0,0.0
1970/01/01/07:00:47.608000,0.0,0.0,0.0
1970/01/01/07:00:47.658000,0.0,0.0,0.0
1970/01/01/07:00:47.708000,0.0,0.0,0.0
1970/01/01/07:00:47.758000,0.0,0.0,0.0
1970/01/01/07:00:47.808000,0.0,0.0,0.0
1970/01/01/07:00:47.859000,0.0,0.0,0.0
1970/01/01/07:00:47.908000,0.0,0.0,0.0
1970/01/01/07:00:47.958000,0.0,0.0,0.0
1970/01/01/07:00:48.008000,0.0,0.0,0.0
1970/01/01/07:00:48.058000,0.0,0.0,0.0
1970/01/01/07:00:48.109000,0.0,0.0,0.0
1970/01/01/07:00:48.158000,0.0,0.0,0.0
1970/01/01/07:00:48.208000,0.0,0.0,0.0
1970/01/01/07:00:48.259000,0.0,0.0,0.0
1970/01/01/07:00:48.308000,0.0,0.0,0.0
1970/01/01/07:00:48.358000,0.0,0.0,0.0
1970/01/01/07:00:48.409000,0.0,0.0,0.0
1970/01/01/07:00:48.458000,0.0,0.0,0.0
1970/01/01/07:00:48.508000,0.0,0.0,0.0
1970/01/01/07:00:48.559000,0.0,0.0,0.0
1970/01/01/07:00:48.608000,0.0,0.0,0.0
1970/01/01/07:00:48.658000,0.0,0.0,0.0
1970/01/01/07:00:48.708000,0.0,0.0,0.0
1970/01/01/07:00:48.758000,0.0,0.0,0.0
1970/01/01/07:00:48.808000,0.0,0.0,0.0
1970/01/01/07:00:48.858000,0.0,0.0,0.0
1970/01/01/07:00:48.908000,0.0,0.0,0.0
1970/01/01/07:00:48.958000,0.0,0.0,0.0
1970/01/01/07:00:49.008000,0.0,0.0,0.0
1970/01/01/07:00:49.058000,0.0,0.0,0.0
1970/01/01/07:00:49.108000,0.0,0.0,0.0
1970/01/01/07:00:49.158000,0.0,0.0,0.0
1970/01/01/07:00:49.209000,0.0,0.0,0.0
1970/01/01/07:00:49.259000,0.0,0.0,0.0
1970/01/01/07:00:49.308000,0.0,0.0,0.0
1970/01/01/07:00:49.358000,0.0,0.0,0.0
1970/01/01/07:00:49.408000,0.0,0.0,0.0
1970/01/01/07:00:49.458000,0.0,0.0,0.0
1970/01/01/07:00:49.508000,0.0,0.0,0.0
1970/01/01/07:00:49.558000,0.0,0.0,0.0
1970/01/01/07:00:49.608000,0.0,0.0,0.0
1970/01/01/07:00:49.658000,0.0,0.0,0.0
1970/01/01/07:00:49.708000,0.0,0.0,0.0
1970/01/01/07:00:49.758000,0.0,0.0,0.0
1970/01/01/07:00:49.808000,0.0,0.0,0.0
1970/01/01/07:00:49.858000,0.0,0.0,0.0
1970/01/01/07:00:49.908000,0.0,0.0,0.0
1970/01/01/07:00:49.958000,0.0,0.0,0.0
1970/01/01/07:00:50.008000,0.0,0.0,0.0
1970/01/01/07:00:50.058000,0.0,0.0,0.0
1970/01/01/07:00:50.108000,0.0,0.0,0.0
1970/01/01/07:00:50.158000,0.0,0.0,0.0
1970/01/01/07:00:50.208000,0.0,0.0,0.0
1970/01/01/07:00:50.259000,0.0,0.0,0.0
1970/01/01/07:00:50.308000,0.0,0.0,0.0
1970/01/01/07:00:50.358000,0.0,0.0,0.0
1970/01/01/07:00:50.408000,0.0,0.0,0.0
1970/01/01/07:00:50.458000,0.0,0.0,0.0
1970/01/01/07:00:50.508000,0.0,0.0,0.0
1970/01/01/07:00:50.558000,0.0,0.0,0.0
1970/01/01/07:00:50.608000,0.0,0.0,0.0
1970/01/01/07:00:50.658000,0.0,0.0,0.0
1970/01/01/07:00:50.708000,0.0,0.0,0.0
1970/01/01/07:00:50.759000,0.0,0.0,0.0
1970/01/01/07:00:50.808000,0.0,0.0,0.0
1970/01/01/07:00:50.858000,0.0,0.0,0.0
1970/01/01/07:00:50.908000,0.0,0.0,0.0
1970/01/01/07:00:50.958000,0.0,0.0,0.0
1970/01/01/07:00:51.008000,0.0,0.0,0.0
1970/01/01/07:00:51.058000,0.0,0.0,0.0
1970/01/01/07:00:51.108000,0.0,0.0,0.0
1970/01/01/07:00:51.158000,0.0,0.0,0.0
1970/01/01/07:00:51.208000,0.0,0.0,0.0
1970/01/01/07:00:51.259000,0.0,0.0,0.0
1970/01/01/07:00:51.308000,0.0,0.0,0.0
1970/01/01/07:00:51.358000,0.0,0.0,0.0
1970/01/01/07:00:51.409000,0.0,0.0,0.0
1970/01/01/07:00:51.458000,0.0,0.0,0.0
1970/01/01/07:00:51.508000,0.0,0.0,0.0
1970/01/01/07:00:51.558000,0.0,0.0,0.0
1970/01/01/07:00:51.608000,0.0,0.0,0.0
1970/01/01/07:00:51.658000,0.0,0.0,0.0
1970/01/01/07:00:51.708000,0.0,0.0,0.0
1970/01/01/07:00:51.758000,0.0,0.0,0.0
1970/01/01/07:00:51.808000,0.0,0.0,0.0
1970/01/01/07:00:51.858000,0.0,0.0,0.0
1970/01/01/07:00:51.908000,0.0,0.0,0.0
1970/01/01/07:00:51.958000,0.0,0.0,0.0
1970/01/01/07:00:52.008000,0.0,0.0,0.0
1970/01/01/07:00:52.058000,0.0,0.0,0.0
1970/01/01/07:00:52.108000,0.0,0.0,0.0
1970/01/01/07:00:52.158000,0.0,0.0,0.0
1970/01/01/07:00:52.208000,0.0,0.0,0.0
1970/01/01/07:00:52.258000,0.0,0.0,0.0
1970/01/01/07:00:52.308000,0.0,0.0,0.0
1970/01/01/07:00:52.358000,0.0,0.0,0.0
1970/01/01/07:00:52.408000,0.0,0.0,0.0
1970/01/01/07:00:52.458000,0.0,0.0,0.0
1970/01/01/07:00:52.509000,0.0,0.0,0.0
1970/01/01/07:00:52.558000,0.0,0.0,0.0
1970/01/01/07:00:52.608000,0.0,0.0,0.0
1970/01/01/07:00:52.659000,0.0,0.0,0.0
1970/01/01/07:00:52.708000,0.0,0.0,0.0
1970/01/01/07:00:52.758000,0.0,0.0,0.0
1970/01/01/07:00:52.809000,0.0,0.0,0.0
1970/01/01/07:00:52.858000,0.0,0.0,0.0
1970/01/01/07:00:52.908000,0.0,0.0,0.0
1970/01/01/07:00:52.958000,0.0,0.0,0.0
1970/01/01/07:00:53.008000,0.0,0.0,0.0
1970/01/01/07:00:53.059000,0.0,0.0,0.0
1970/01/01/07:00:53.108000,0.0,0.0,0.0
1970/01/01/07:00:53.159000,0.0,0.0,0.0
1970/01/01/07:00:53.208000,0.0,0.0,0.0
1970/01/01/07:00:53.258000,0.0,0.0,0.0
1970/01/01/07:00:53.308000,0.0,0.0,0.0
1970/01/01/07:00:53.359000,0.0,0.0,0.0
1970/01/01/07:00:53.408000,0.0,0.0,0.0
1970/01/01/07:00:53.458000,0.0,0.0,0.0
1970/01/01/07:00:53.508000,0.0,0.0,0.0
1970/01/01/07:00:53.558000,0.0,0.0,0.0
1970/01/01/07:00:53.609000,0.0,0.0,0.0
1970/01/01/07:00:53.658000,0.0,0.0,0.0
1970/01/01/07:00:53.709000,0.0,0.0,0.0
1970/01/01/07:00:53.758000,0.0,0.0,0.0
1970/01/01/07:00:53.808000,0.0,0.0,0.0
1970/01/01/07:00:53.858000,0.0,0.0,0.0
1970/01/01/07:00:53.908000,0.0,0.0,0.0
1970/01/01/07:00:53.958000,0.0,0.0,0.0
1970/01/01/07:00:54.008000,0.0,0.0,0.0
1970/01/01/07:00:54.059000,0.0,0.0,0.0
1970/01/01/07:00:54.108000,0.0,0.0,0.0
1970/01/01/07:00:54.158000,0.0,0.0,0.0
1970/01/01/07:00:54.208000,0.0,0.0,0.0
1970/01/01/07:00:54.258000,0.0,0.0,0.0
1970/01/01/07:00:54.308000,0.0,0.0,0.0
1970/01/01/07:00:54.359000,0.0,0.0,0.0
1970/01/01/07:00:54.408000,0.0,0.0,0.0
1970/01/01/07:00:54.458000,0.0,0.0,0.0
1970/01/01/07:00:54.509000,0.0,0.0,0.0
1970/01/01/07:00:54.559000,0.0,0.0,0.0
1970/01/01/07:00:54.608000,0.0,0.0,0.0
1970/01/01/07:00:54.658000,0.0,0.0,0.0
1970/01/01/07:00:54.708000,0.0,0.0,0.0
1970/01/01/07:00:54.758000,0.0,0.0,0.0
1970/01/01/07:00:54.808000,0.0,0.0,0.0
1970/01/01/07:00:54.858000,0.0,0.0,0.0
1970/01/01/07:00:54.909000,0.0,0.0,0.0
1970/01/01/07:00:54.958000,0.0,0.0,0.0
1970/01/01/07:00:55.008000,0.0,0.0,0.0
1970/01/01/07:00:55.058000,0.0,0.0,0.0
1970/01/01/07:00:55.109000,0.0,0.0,0.0
1970/01/01/07:00:55.158000,0.0,0.0,0.0
1970/01/01/07:00:55.209000,0.0,0.0,0.0
1970/01/01/07:00:55.258000,0.0,0.0,0.0
1970/01/01/07:00:55.309000,0.0,0.0,0.0
1970/01/01/07:00:55.358000,0.0,0.0,0.0
1970/01/01/07:00:55.408000,0.0,0.0,0.0
1970/01/01/07:00:55.458000,0.0,0.0,0.0
1970/01/01/07:00:55.508000,0.0,0.0,0.0
1970/01/01/07:00:55.558000,0.0,0.0,0.0
1970/01/01/07:00:55.608000,0.0,0.0,0.0
1970/01/01/07:00:55.658000,0.0,0.0,0.0
1970/01/01/07:00:55.707000,0.0,0.0,0.0
1970/01/01/07:00:55.758000,0.0,0.0,0.0
1970/01/01/07:00:55.809000,0.0,0.0,0.0
1970/01/01/07:00:55.858000,0.0,0.0,0.0
1970/01/01/07:00:55.909000,0.0,0.0,0.0
1970/01/01/07:00:55.958000,0.0,0.0,0.0
1970/01/01/07:00:56.008000,0.0,0.0,0.0
1970/01/01/07:00:56.058000,0.0,0.0,0.0
1970/01/01/07:00:56.108000,0.0,0.0,0.0
1970/01/01/07:00:56.158000,0.0,0.0,0.0
1970/01/01/07:00:56.208000,0.0,0.0,0.0
1970/01/01/07:00:56.258000,0.0,0.0,0.0
1970/01/01/07:00:56.308000,0.0,0.0,0.0
1970/01/01/07:00:56.358000,0.0,0.0,0.0
1970/01/01/07:00:56.408000,0.0,0.0,0.0
1970/01/01/07:00:56.458000,0.0,0.0,0.0
1970/01/01/07:00:56.508000,0.0,0.0,0.0
1970/01/01/07:00:56.558000,0.0,0.0,0.0
1970/01/01/07:00:56.608000,0.0,0.0,0.0
1970/01/01/07:00:56.658000,0.0,0.0,0.0
1970/01/01/07:00:56.708000,0.0,0.0,0.0
1970/01/01/07:00:56.758000,0.0,0.0,0.0
1970/01/01/07:00:56.808000,0.0,0.0,0.0
1970/01/01/07:00:56.858000,0.0,0.0,0.0
1970/01/01/07:00:56.908000,0.0,0.0,0.0
1970/01/01/07:00:56.958000,0.0,0.0,0.0
1970/01/01/07:00:57.008000,0.0,0.0,0.0
1970/01/01/07:00:57.058000,0.0,0.0,0.0
1970/01/01/07:00:57.108000,0.0,0.0,0.0
1970/01/01/07:00:57.158000,0.0,0.0,0.0
1970/01/01/07:00:57.209000,0.0,0.0,0.0
1970/01/01/07:00:57.259000,0.0,0.0,0.0
1970/01/01/07:00:57.309000,0.0,0.0,0.0
1970/01/01/07:00:57.358000,0.0,0.0,0.0
1970/01/01/07:00:57.408000,0.0,0.0,0.0
1970/01/01/07:00:57.458000,0.0,0.0,0.0
1970/01/01/07:00:57.508000,0.0,0.0,0.0
1970/01/01/07:00:57.559000,0.0,0.0,0.0
1970/01/01/07:00:57.608000,0.0,0.0,0.0
1970/01/01/07:00:57.658000,0.0,0.0,0.0
1970/01/01/07:00:57.708000,0.0,0.0,0.0
1970/01/01/07:00:57.758000,0.0,0.0,0.0
1970/01/01/07:00:57.809000,0.0,0.0,0.0
1970/01/01/07:00:57.858000,0.0,0.0,0.0
1970/01/01/07:00:57.908000,0.0,0.0,0.0
1970/01/01/07:00:57.958000,0.0,0.0,0.0
1970/01/01/07:00:58.008000,0.0,0.0,0.0
1970/01/01/07:00:58.059000,0.0,0.0,0.0
1970/01/01/07:00:58.108000,0.0,0.0,0.0
1970/01/01/07:00:58.158000,0.0,0.0,0.0
1970/01/01/07:00:58.208000,0.0,0.0,0.0
1970/01/01/07:00:58.258000,0.0,0.0,0.0
1970/01/01/07:00:58.308000,0.0,0.0,0.0
1970/01/01/07:00:58.358000,0.0,0.0,0.0
1970/01/01/07:00:58.408000,0.0,0.0,0.0
1970/01/01/07:00:58.459000,0.0,0.0,0.0
1970/01/01/07:00:58.508000,0.0,0.0,0.0
1970/01/01/07:00:58.558000,0.0,0.0,0.0
1970/01/01/07:00:58.608000,0.0,0.0,0.0
1970/01/01/07:00:58.658000,0.0,0.0,0.0
1970/01/01/07:00:58.708000,0.0,0.0,0.0
1970/01/01/07:00:58.758000,0.0,0.0,0.0
1970/01/01/07:00:58.810000,0.0,0.0,0.0
1970/01/01/07:00:58.860000,0.0,0.0,0.0
1970/01/01/07:00:58.908000,0.0,0.0,0.0
1970/01/01/07:00:58.958000,0.0,0.0,0.0
1970/01/01/07:00:59.009000,0.0,0.0,0.0
1970/01/01/07:00:59.058000,0.0,0.0,0.0
1970/01/01/07:00:59.108000,0.0,0.0,0.0
1970/01/01/07:00:59.158000,0.0,0.0,0.0
1970/01/01/07:00:59.208000,0.0,0.0,0.0
1970/01/01/07:00:59.258000,0.0,0.0,0.0
1970/01/01/07:00:59.309000,0.0,0.0,0.0
1970/01/01/07:00:59.358000,0.0,0.0,0.0
1970/01/01/07:00:59.408000,0.0,0.0,0.0
1970/01/01/07:00:59.458000,0.0,0.0,0.0
1970/01/01/07:00:59.509000,0.0,0.0,0.0
1970/01/01/07:00:59.558000,0.0,0.0,0.0
1970/01/01/07:00:59.608000,0.0,0.0,0.0
1970/01/01/07:00:59.659000,0.0,0.0,0.0
1970/01/01/07:00:59.708000,0.0,0.0,0.0
1970/01/01/07:00:59.758000,0.0,0.0,0.0
1970/01/01/07:00:59.808000,0.0,0.0,0.0
1970/01/01/07:00:59.858000,0.0,0.0,0.0
1970/01/01/07:00:59.908000,0.0,0.0,0.0
1970/01/01/07:00:59.958000,0.0,0.0,0.0
1970/01/01/07:01:00.008000,0.0,0.0,0.0
1970/01/01/07:01:00.058000,0.0,0.0,0.0
1970/01/01/07:01:00.108000,0.0,0.0,0.0
1970/01/01/07:01:00.158000,0.0,0.0,0.0
1970/01/01/07:01:00.208000,0.0,0.0,0.0
1970/01/01/07:01:00.258000,0.0,0.0,0.0
1970/01/01/07:01:00.308000,0.0,0.0,0.0
1970/01/01/07:01:00.358000,0.0,0.0,0.0
1970/01/01/07:01:00.408000,0.0,0.0,0.0
1970/01/01/07:01:00.458000,0.0,0.0,0.0
1970/01/01/07:01:00.508000,0.0,0.0,0.0
1970/01/01/07:01:00.558000,0.0,0.0,0.0
1970/01/01/07:01:00.608000,0.0,0.0,0.0
1970/01/01/07:01:00.658000,0.0,0.0,0.0
1970/01/01/07:01:00.708000,0.0,0.0,0.0
1970/01/01/07:01:00.758000,0.0,0.0,0.0
1970/01/01/07:01:00.808000,0.0,0.0,0.0
1970/01/01/07:01:00.858000,0.0,0.0,0.0
1970/01/01/07:01:00.908000,0.0,0.0,0.0
1970/01/01/07:01:00.958000,0.0,0.0,0.0
1970/01/01/07:01:01.008000,0.0,0.0,0.0
1970/01/01/07:01:01.058000,0.0,0.0,0.0
1970/01/01/07:01:01.109000,0.0,0.0,0.0
1970/01/01/07:01:01.158000,0.0,0.0,0.0
1970/01/01/07:01:01.208000,0.0,0.0,0.0
1970/01/01/07:01:01.258000,0.0,0.0,0.0
1970/01/01/07:01:01.308000,0.0,0.0,0.0
1970/01/01/07:01:01.358000,0.0,0.0,0.0
1970/01/01/07:01:01.408000,0.0,0.0,0.0
1970/01/01/07:01:01.459000,0.0,0.0,0.0
1970/01/01/07:01:01.508000,0.0,0.0,0.0
1970/01/01/07:01:01.559000,0.0,0.0,0.0
1970/01/01/07:01:01.608000,0.0,0.0,0.0
1970/01/01/07:01:01.658000,0.0,0.0,0.0
1970/01/01/07:01:01.708000,0.0,0.0,0.0
1970/01/01/07:01:01.758000,0.0,0.0,0.0
1970/01/01/07:01:01.808000,0.0,0.0,0.0
1970/01/01/07:01:01.858000,0.0,0.0,0.0
1970/01/01/07:01:01.908000,0.0,0.0,0.0
1970/01/01/07:01:01.958000,0.0,0.0,0.0
1970/01/01/07:01:02.008000,0.0,0.0,0.0
1970/01/01/07:01:02.058000,0.0,0.0,0.0
1970/01/01/07:01:02.109000,0.0,0.0,0.0
1970/01/01/07:01:02.158000,0.0,0.0,0.0
1970/01/01/07:01:02.208000,0.0,0.0,0.0
1970/01/01/07:01:02.259000,0.0,0.0,0.0
1970/01/01/07:01:02.308000,0.0,0.0,0.0
1970/01/01/07:01:02.358000,0.0,0.0,0.0
1970/01/01/07:01:02.408000,0.0,0.0,0.0
1970/01/01/07:01:02.458000,0.0,0.0,0.0
1970/01/01/07:01:02.508000,0.0,0.0,0.0
1970/01/01/07:01:02.558000,0.0,0.0,0.0
1970/01/01/07:01:02.608000,0.0,0.0,0.0
1970/01/01/07:01:02.658000,0.0,0.0,0.0
1970/01/01/07:01:02.708000,0.0,0.0,0.0
1970/01/01/07:01:02.758000,0.0,0.0,0.0
1970/01/01/07:01:02.809000,0.0,0.0,0.0
1970/01/01/07:01:02.858000,0.0,0.0,0.0
1970/01/01/07:01:02.908000,0.0,0.0,0.0
1970/01/01/07:01:02.958000,0.0,0.0,0.0
1970/01/01/07:01:03.008000,0.0,0.0,0.0
1970/01/01/07:01:03.059000,0.0,0.0,0.0
1970/01/01/07:01:03.108000,0.0,0.0,0.0
1970/01/01/07:01:03.158000,0.0,0.0,0.0
1970/01/01/07:01:03.208000,0.0,0.0,0.0
1970/01/01/07:01:03.258000,0.0,0.0,0.0
1970/01/01/07:01:03.308000,0.0,0.0,0.0
1970/01/01/07:01:03.358000,0.0,0.0,0.0
1970/01/01/07:01:03.408000,0.0,0.0,0.0
1970/01/01/07:01:03.459000,0.0,0.0,0.0
1970/01/01/07:01:03.508000,0.0,0.0,0.0
1970/01/01/07:01:03.558000,0.0,0.0,0.0
1970/01/01/07:01:03.608000,0.0,0.0,0.0
1970/01/01/07:01:03.659000,0.0,0.0,0.0
1970/01/01/07:01:03.708000,0.0,0.0,0.0
1970/01/01/07:01:03.759000,0.0,0.0,0.0
1970/01/01/07:01:03.808000,0.0,0.0,0.0
1970/01/01/07:01:03.858000,0.0,0.0,0.0
1970/01/01/07:01:03.908000,0.0,0.0,0.0
1970/01/01/07:01:03.958000,0.0,0.0,0.0
1970/01/01/07:01:04.008000,0.0,0.0,0.0
1970/01/01/07:01:04.058000,0.0,0.0,0.0
1970/01/01/07:01:04.108000,0.0,0.0,0.0
1970/01/01/07:01:04.158000,0.0,0.0,0.0
1970/01/01/07:01:04.208000,0.0,0.0,0.0
1970/01/01/07:01:04.258000,0.0,0.0,0.0
1970/01/01/07:01:04.309000,0.0,0.0,0.0
1970/01/01/07:01:04.358000,0.0,0.0,0.0
1970/01/01/07:01:04.408000,0.0,0.0,0.0
1970/01/01/07:01:04.458000,0.0,0.0,0.0
1970/01/01/07:01:04.509000,0.0,0.0,0.0
1970/01/01/07:01:04.558000,0.0,0.0,0.0
1970/01/01/07:01:04.608000,0.0,0.0,0.0
1970/01/01/07:01:04.659000,0.0,0.0,0.0
1970/01/01/07:01:04.708000,0.0,0.0,0.0
1970/01/01/07:01:04.758000,0.0,0.0,0.0
1970/01/01/07:01:04.808000,0.0,0.0,0.0
1970/01/01/07:01:04.859000,0.0,0.0,0.0
1970/01/01/07:01:04.908000,0.0,0.0,0.0
1970/01/01/07:01:04.958000,0.0,0.0,0.0
1970/01/01/07:01:05.008000,0.0,0.0,0.0
1970/01/01/07:01:05.059000,0.0,0.0,0.0
1970/01/01/07:01:05.109000,0.0,0.0,0.0
1970/01/01/07:01:05.158000,0.0,0.0,0.0
1970/01/01/07:01:05.208000,0.0,0.0,0.0
1970/01/01/07:01:05.258000,0.0,0.0,0.0
1970/01/01/07:01:05.308000,0.0,0.0,0.0
