time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/07:22:15.970000,4.99486923218e-05,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:16.019000,4.99486923218e-05,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:16.069000,0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:16.118000,0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:16.169000,0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:16.218000,0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:16.268000,0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:16.318000,0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:16.369000,0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:16.418000,0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:16.469000,0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:16.519000,0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:16.568000,0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:16.618000,0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:16.668000,0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:16.719000,0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:16.768000,0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:16.818000,0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:16.868000,4.99486923218e-05,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:16.919000,4.99486923218e-05,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:16.968000,4.99486923218e-05,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:17.018000,4.99486923218e-05,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:17.069000,0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:17.119000,0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:17.169000,0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:17.218000,0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:17.269000,0.0,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:17.319000,-0.0125000001863,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:17.368000,-0.0250000003725,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:17.419000,-0.0377499982715,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:17.468000,-0.0498500354588,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:17.518000,-0.0620999485254,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:17.569000,-0.0735500603914,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:17.617000,-0.0849499925971,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:17.669000,-0.0960000529885,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:17.719000,-0.106750056148,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:17.768000,-0.117200016975,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:17.819000,-0.127600044012,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:17.868000,-0.137450024486,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:17.918000,-0.146849960089,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:17.968000,-0.156400024891,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:18.019000,-0.165249943733,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:18.069000,-0.174050047994,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:18.118000,-0.182649999857,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:18.169000,-0.191249966621,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:18.218000,-0.203499957919,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:18.268000,-0.211599946022,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:18.319000,-0.219500005245,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:18.368000,-0.227149993181,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:18.419000,-0.234549969435,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:18.468000,-0.241650044918,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:18.518000,-0.248600006104,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:18.569000,-0.255599945784,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:18.619000,-0.263100028038,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:18.669000,-0.268200010061,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:18.718000,-0.274650037289,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:18.768000,-0.280650049448,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:18.818000,-0.2867000103,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:18.869000,-0.2920999825,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:18.919000,-0.297350019217,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:18.968000,-0.302949965,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:19.018000,-0.307899951935,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:19.069000,-0.312949955463,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:19.118000,-0.3178999722,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:19.168000,-0.322699993849,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:19.218000,-0.327400028706,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:19.269000,-0.332049965858,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:19.319000,-0.336700022221,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:19.368000,-0.341199994087,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:19.422000,-0.345849990845,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:19.468000,-0.349900066853,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:19.518000,-0.354050040245,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:19.568000,-0.358099997044,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:19.618000,-0.362250030041,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:19.669000,-0.365750074387,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:19.718000,-0.369399964809,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:19.769000,-0.372849941254,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:19.819000,-0.376249969006,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:19.868000,-0.379500031471,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:19.918000,-0.382699966431,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:19.968000,-0.38580006361,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:20.019000,-0.388749957085,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:20.068000,-0.391650021076,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:20.120000,-0.394500017166,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:20.168000,-0.397250056267,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:20.218000,-0.400150001049,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:20.268000,-0.402500033379,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:20.318000,-0.405250072479,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:20.368000,-0.407400012016,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:20.418000,-0.409800052643,-4.99486923218e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:20.469000,-0.412349998951,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:20.519000,-0.426799952984,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:20.568000,-0.416449964046,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:20.618000,-0.418550014496,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:20.668000,-0.420350074768,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:20.718000,-0.42224997282,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:20.768000,-0.43499994278,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:20.819000,-0.436700046062,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:20.869000,-0.438549995422,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:20.918000,-0.440400004387,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:20.969000,-0.442200005054,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:21.018000,-0.443349957466,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:21.068000,-0.444750010967,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:21.118000,-0.446099996567,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:21.169000,-0.447399973869,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:21.218000,-0.448650062084,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:21.268000,-0.449849963188,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:21.318000,-0.451050043106,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:21.369000,-0.452149987221,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:21.418000,-0.453299999237,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:21.468000,-0.454349994659,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:21.518000,-0.455399990082,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:21.568000,-0.456400036812,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:21.619000,-0.45735001564,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:21.669000,-0.458299994469,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:21.718000,-0.459249973297,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:21.768000,-0.460150003433,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:21.819000,-0.461000084877,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:21.870000,-0.461849927902,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:21.919000,-0.462650060654,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:21.968000,-0.463449954987,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:22.019000,-0.464200019836,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:22.069000,-0.464950084686,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:22.119000,-0.465649962425,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:22.168000,-0.466350078583,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:22.219000,-0.467000007629,-0.0,0.0,0.0,0.0,0.0
1970/01/01/07:22:22.269000,-0.467700004578,5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:22.318000,-0.468300104141,5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:22.368000,-0.468950033188,5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:22.419000,-0.469550013542,5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:22.469000,-0.470099925995,5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:22.519000,-0.470700025558,5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:22.569000,-0.47125005722,5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:22.619000,-0.471750020981,5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:22.668000,-0.472300052643,5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:22.719000,-0.472799897194,5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:22.769000,-0.473250031471,5.00082969666e-05,0.0,0.0,0.0,0.0
1970/01/01/07:22:22.819000,-0.473999977112,0.000100016593933,0.0,0.0,0.0,0.0
1970/01/01/07:22:22.869000,-0.4742000103,0.000100016593933,0.0,0.0,0.0,0.0
1970/01/01/07:22:22.918000,-0.474650025368,0.000100016593933,0.0,0.0,0.0,0.0
1970/01/01/07:22:22.968000,-0.475049972534,0.000100016593933,0.0,0.0,0.0,0.0
1970/01/01/07:22:23.019000,-0.475499987602,0.000100016593933,0.0,0.0,0.0,0.0
1970/01/01/07:22:23.068000,-0.475900053978,0.000100016593933,0.0,0.0,0.0,0.0
1970/01/01/07:22:23.118000,-0.476300001144,0.000100016593933,0.0,0.0,0.0,0.0
1970/01/01/07:22:23.169000,-0.47670006752,0.000100016593933,0.0,0.0,0.0,0.0
1970/01/01/07:22:23.219000,-0.477050065994,0.000100016593933,0.0,0.0,0.0,0.0
1970/01/01/07:22:23.269000,-0.490050077438,0.000100016593933,0.0,0.0,0.0,0.0
1970/01/01/07:22:23.318000,-0.489900112152,0.000100016593933,0.0,0.0,0.0,0.0
1970/01/01/07:22:23.368000,-0.490249991417,0.0001500248909,0.0,0.0,0.0,0.0
1970/01/01/07:22:23.418000,-0.490599989891,0.0001500248909,0.0,0.0,0.0,0.0
1970/01/01/07:22:23.469000,-0.490700006485,0.0001500248909,0.0,0.0,0.0,0.0
1970/01/01/07:22:23.518000,-0.490700006485,0.0001500248909,0.0,0.0,0.0,0.0
1970/01/01/07:22:23.569000,-0.490700006485,0.0001500248909,0.0,0.0,0.0,0.0
1970/01/01/07:22:23.618000,-0.490699887276,0.0001500248909,0.0,0.0,0.0,0.0
1970/01/01/07:22:23.668000,-0.490950107574,0.0001500248909,0.0,0.0,0.0,0.0
1970/01/01/07:22:23.719000,-0.490700006485,0.0001500248909,0.0,0.0,0.0,0.0
1970/01/01/07:22:23.768000,-0.490700006485,0.0001500248909,0.0,0.0,0.0,0.0
1970/01/01/07:22:23.819000,-0.478199958801,0.0001500248909,0.0,0.0,0.0,0.0
1970/01/01/07:22:23.868000,-0.465650081635,0.000199973583221,0.0,0.0,0.0,0.0
1970/01/01/07:22:23.918000,-0.453150033951,0.000199973583221,0.0,0.0,0.0,0.0
1970/01/01/07:22:23.969000,-0.440649986267,0.000199973583221,0.0,0.0,0.0,0.0
1970/01/01/07:22:24.019000,-0.428450107574,0.000199973583221,0.0,0.0,0.0,0.0
1970/01/01/07:22:24.069000,-0.416599988937,0.000199973583221,0.0,0.0,0.0,0.0
1970/01/01/07:22:24.118000,-0.405050039291,0.000199973583221,0.0,0.0,0.0,0.0
1970/01/01/07:22:24.168000,-0.39385008812,0.000199973583221,0.0,0.0,0.0,0.0
1970/01/01/07:22:24.219000,-0.38295006752,0.000199973583221,0.0,0.0,0.0,0.0
1970/01/01/07:22:24.269000,-0.372400045395,0.000199973583221,0.0,0.0,0.0,0.0
1970/01/01/07:22:24.318000,-0.362099885941,0.000199973583221,0.0,0.0,0.0,0.0
1970/01/01/07:22:24.369000,-0.352099895477,0.000199973583221,0.0,0.0,0.0,0.0
1970/01/01/07:22:24.419000,-0.342400074005,0.000249981880188,0.0,0.0,0.0,0.0
1970/01/01/07:22:24.469000,-0.332950115204,0.000249981880188,0.0,0.0,0.0,0.0
1970/01/01/07:22:24.519000,-0.323800086975,0.000249981880188,0.0,0.0,0.0,0.0
1970/01/01/07:22:24.568000,-0.314850091934,0.000249981880188,0.0,0.0,0.0,0.0
1970/01/01/07:22:24.624000,-0.306200027466,0.000249981880188,0.0,0.0,0.0,0.0
1970/01/01/07:22:24.669000,-0.297800064087,0.000249981880188,0.0,0.0,0.0,0.0
1970/01/01/07:22:24.718000,-0.289599895477,0.000249981880188,0.0,0.0,0.0,0.0
1970/01/01/07:22:24.768000,-0.281599998474,0.000249981880188,0.0,0.0,0.0,0.0
1970/01/01/07:22:24.819000,-0.273900032043,0.000249981880188,0.0,0.0,0.0,0.0
1970/01/01/07:22:24.869000,-0.266400098801,0.000249981880188,0.0,0.0,0.0,0.0
1970/01/01/07:22:24.919000,-0.259049892426,0.000249981880188,0.0,0.0,0.0,0.0
1970/01/01/07:22:24.968000,-0.251950025558,0.000249981880188,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.018000,-0.245049953461,0.000249981880188,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.069000,-0.238349914551,0.000249981880188,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.118000,-0.231849908829,0.000249981880188,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.169000,-0.225500106812,0.000249981880188,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.218000,-0.219350099564,0.000249981880188,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.268000,-0.213350057602,0.000249981880188,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.319000,-0.207550048828,0.000249981880188,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.368000,-0.201849937439,0.000249981880188,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.421000,-0.196350097656,0.000249981880188,0.0,0.0,0.0,0.0
1970/01/01/07:22:25.469000,-0.190999984741,0.000249981880188,0.0,0.0,0.0,0.0
