time,.x,.y,.theta
1970/01/01/07:22:15.958000,2.00004581408,-2.00004569606,-1.41417368583e-06
1970/01/01/07:22:16.008000,2.00004643151,-2.00004569501,-1.3940116343e-06
1970/01/01/07:22:16.058000,2.00004704839,-2.00004569395,-1.373850332e-06
1970/01/01/07:22:16.108000,2.00004766473,-2.00004569289,-1.3536898044e-06
1970/01/01/07:22:16.158000,2.00004828052,-2.00004569184,-1.33353007999e-06
1970/01/01/07:22:16.208000,2.00004889578,-2.00004569079,-1.31337119065e-06
1970/01/01/07:22:16.258000,2.0000495105,-2.00004568973,-1.29321316951e-06
1970/01/01/07:22:16.308000,2.00005012467,-2.00004568868,-1.27305604984e-06
1970/01/01/07:22:16.358000,2.00005073831,-2.00004568762,-1.25289986493e-06
1970/01/01/07:22:16.408000,2.0000513514,-2.00004568657,-1.232744648e-06
1970/01/01/07:22:16.458000,2.00005121474,-2.00004568576,-1.21251106119e-06
1970/01/01/07:22:16.508000,2.00004927942,-2.00004568491,-1.19213168529e-06
1970/01/01/07:22:16.558000,2.0000473436,-2.00004568406,-1.17180454936e-06
1970/01/01/07:22:16.608000,2.00004540729,-2.00004568321,-1.15148594e-06
1970/01/01/07:22:16.658000,2.00004441951,-2.00004568202,-1.13126190359e-06
1970/01/01/07:22:16.708000,2.00004502955,-2.00004568102,-1.11114986245e-06
1970/01/01/07:22:16.758000,2.00004563906,-2.00004567997,-1.09100622361e-06
1970/01/01/07:22:16.807000,2.00004624803,-2.00004567892,-1.07085803816e-06
1970/01/01/07:22:16.858000,2.00004685647,-2.00004567787,-1.05071016104e-06
1970/01/01/07:22:16.908000,2.00004746437,-2.00004567682,-1.03056338596e-06
1970/01/01/07:22:16.958000,2.00004807174,-2.00004567577,-1.01041784877e-06
1970/01/01/07:22:17.009000,2.00004867857,-2.00004567472,-9.90273586465e-07
1970/01/01/07:22:17.058000,2.00004928487,-2.00004567366,-9.70130626247e-07
1970/01/01/07:22:17.108000,2.00004989063,-2.00004567261,-9.49988997516e-07
1970/01/01/07:22:17.158000,2.00005049586,-2.00004567156,-9.29848731578e-07
1970/01/01/07:22:17.208000,2.00005110056,-2.00004567051,-9.09709859774e-07
1970/01/01/07:22:17.258000,2.00005170473,-2.00004566946,-8.89572413678e-07
1970/01/01/07:22:17.308000,2.00005075997,-2.00004566872,-8.69273786928e-07
1970/01/01/07:22:17.358000,1.99964882291,-2.0000461828,-8.4280801982e-07
1970/01/01/07:22:17.408000,1.99859690186,-2.00004717305,-7.91559224339e-07
1970/01/01/07:22:17.458000,1.9968992533,-2.00004812575,-7.4212475847e-07
1970/01/01/07:22:17.508000,1.99455213606,-2.00004904951,-6.94586589329e-07
1970/01/01/07:22:17.558000,1.99155981607,-2.00004992965,-6.5422157761e-07
1970/01/01/07:22:17.608000,1.98797431689,-2.00005069296,-6.06705158495e-07
1970/01/01/07:22:17.658000,1.98379797097,-2.00005133143,-5.15694080205e-07
1970/01/01/07:22:17.758000,1.97905604023,-2.00005006436,-3.82087090814e-07
1970/01/01/07:22:17.807000,1.97374308729,-2.00004814503,-2.26676578085e-07
1970/01/01/07:22:17.858000,1.96779991917,-2.00004622364,-5.75240218012e-08
1970/01/01/07:22:17.909000,1.96128444051,-2.0000443452,8.41988057152e-08
1970/01/01/07:22:17.958000,1.95423665578,-2.00004252426,1.82422204182e-07
1970/01/01/07:22:18.008000,1.94668746538,-2.00004290015,2.79711009692e-07
1970/01/01/07:22:18.058000,1.93863042223,-2.00004367851,3.36738649183e-07
1970/01/01/07:22:18.107000,1.93010057645,-2.00004447765,3.81827143412e-07
1970/01/01/07:22:18.158000,1.9211050782,-2.00004527299,4.25673919081e-07
1970/01/01/07:22:18.208000,1.91165377996,-2.00004606774,4.69859822934e-07
1970/01/01/07:22:18.255000,1.90174993182,-2.00004686508,5.15043895876e-07
1970/01/01/07:22:18.308000,1.89142868312,-2.00004766176,5.59626692185e-07
1970/01/01/07:22:18.358000,1.8806836325,-2.00004846353,6.06085499268e-07
1970/01/01/07:22:18.408000,1.86953348244,-2.00004926213,6.52868674157e-07
1970/01/01/07:22:18.457000,1.85799878077,-2.00005006036,6.99047166584e-07
1970/01/01/07:22:18.508000,1.84607778088,-2.00005086015,7.44827675781e-07
1970/01/01/07:22:18.558000,1.83378622972,-2.00005165829,7.91916939187e-07
1970/01/01/07:22:18.608000,1.82114227792,-2.00005221067,8.37251789276e-07
1970/01/01/07:22:18.658000,1.80812347621,-2.00005047343,8.82805784694e-07
1970/01/01/07:22:18.708000,1.79473167588,-2.00004873685,9.29708158396e-07
1970/01/01/07:22:18.758000,1.7810565761,-2.00004700115,9.75300369837e-07
1970/01/01/07:22:18.808000,1.76706507543,-2.00004526666,1.02140203036e-06
1970/01/01/07:22:18.858000,1.75275502403,-2.00004407653,1.06534541822e-06
1970/01/01/07:22:18.908000,1.73813757213,-2.00004488777,1.11195895146e-06
1970/01/01/07:22:18.958000,1.72323932127,-2.00004569753,1.15904027257e-06
1970/01/01/07:22:19.008000,1.70806317121,-2.00004650829,1.20518824133e-06
1970/01/01/07:22:19.058000,1.69260632036,-2.0000473186,1.25381540085e-06
1970/01/01/07:22:19.108000,1.67689226903,-2.00004813448,1.29912245185e-06
1970/01/01/07:22:19.158000,1.66091731937,-2.00004894839,1.34623650537e-06
1970/01/01/07:22:19.208000,1.64468856891,-2.00004976461,1.39219375675e-06
1970/01/01/07:22:19.258000,1.62821471748,-2.00005058234,1.44018531472e-06
1970/01/01/07:22:19.308000,1.61150206577,-2.00005140213,1.48608082695e-06
1970/01/01/07:22:19.359000,1.59455751462,-2.00005222117,1.53077210492e-06
1970/01/01/07:22:19.408000,1.57738746319,-2.0000519462,1.57676522795e-06
1970/01/01/07:22:19.458000,1.55999736165,-2.00005022565,1.62271123475e-06
1970/01/01/07:22:19.508000,1.54238846027,-2.00004850606,1.66869452668e-06
1970/01/01/07:22:19.558000,1.52457555979,-2.00004678747,1.71495953211e-06
1970/01/01/07:22:19.608000,1.50656636017,-2.00004507035,1.76084294108e-06
1970/01/01/07:22:19.658000,1.48835550963,-2.00004469359,1.8056858656e-06
1970/01/01/07:22:19.708000,1.46995940719,-2.00004552134,1.85243327633e-06
1970/01/01/07:22:19.758000,1.45137790474,-2.00004634734,1.89888315631e-06
1970/01/01/07:22:19.808000,1.43262430353,-2.00004717673,1.94530402533e-06
1970/01/01/07:22:19.859000,1.41369360268,-2.00004800902,1.99019884452e-06
1970/01/01/07:22:19.908000,1.39459450177,-2.00004884037,2.03724867309e-06
1970/01/01/07:22:19.958000,1.37533229973,-2.00004967612,2.08383257246e-06
1970/01/01/07:22:20.008000,1.35590754807,-2.00005050928,2.12910586431e-06
1970/01/01/07:22:20.058000,1.33633074644,-2.00005134533,2.17506528949e-06
1970/01/01/07:22:20.108000,1.31660129476,-2.00005218173,2.22012761775e-06
1970/01/01/07:22:20.158000,1.2967311435,-2.00005122435,2.26479397561e-06
