time,.x,.y,.theta
1970/01/01/07:22:15.958000,0.0,0.0,0.0
1970/01/01/07:22:16.008000,0.0,0.0,0.0
1970/01/01/07:22:16.058000,0.0,0.0,0.0
1970/01/01/07:22:16.108000,0.0,0.0,0.0
1970/01/01/07:22:16.158000,0.0,0.0,0.0
1970/01/01/07:22:16.208000,0.0,0.0,0.0
1970/01/01/07:22:16.258000,0.0,0.0,0.0
1970/01/01/07:22:16.308000,0.0,0.0,0.0
1970/01/01/07:22:16.357000,0.0,0.0,0.0
1970/01/01/07:22:16.408000,0.0,0.0,0.0
1970/01/01/07:22:16.458000,0.0,0.0,0.0
1970/01/01/07:22:16.508000,0.0,0.0,0.0
1970/01/01/07:22:16.558000,0.0,0.0,0.0
1970/01/01/07:22:16.608000,0.0,0.0,0.0
1970/01/01/07:22:16.658000,0.0,0.0,0.0
1970/01/01/07:22:16.708000,0.0,0.0,0.0
1970/01/01/07:22:16.758000,0.0,0.0,0.0
1970/01/01/07:22:16.807000,0.0,0.0,0.0
1970/01/01/07:22:16.858000,0.0,0.0,0.0
1970/01/01/07:22:16.908000,0.0,0.0,0.0
1970/01/01/07:22:16.958000,0.0,0.0,0.0
1970/01/01/07:22:17.008000,0.0,0.0,0.0
1970/01/01/07:22:17.058000,0.0,0.0,0.0
1970/01/01/07:22:17.108000,0.0,0.0,0.0
1970/01/01/07:22:17.158000,0.0,0.0,0.0
1970/01/01/07:22:17.209000,-0.025,0.0,0.0
1970/01/01/07:22:17.258000,-0.05,0.0,0.0
1970/01/01/07:22:17.308000,-0.0755,0.0,0.0
1970/01/01/07:22:17.358000,-0.1,0.0,0.0
1970/01/01/07:22:17.408000,-0.1255,0.0,0.0
1970/01/01/07:22:17.457000,-0.15,0.0,0.0
1970/01/01/07:22:17.508000,-0.175,0.0,0.0
1970/01/01/07:22:17.558000,-0.2,0.0,0.0
1970/01/01/07:22:17.608000,-0.225,0.0,0.0
1970/01/01/07:22:17.658000,-0.25,0.0,0.0
1970/01/01/07:22:17.709000,-0.2755,0.0,0.0
1970/01/01/07:22:17.758000,-0.3005,0.0,0.0
1970/01/01/07:22:17.809000,-0.325,0.0,0.0
1970/01/01/07:22:17.858000,-0.3505,0.0,0.0
1970/01/01/07:22:17.908000,-0.375,0.0,0.0
1970/01/01/07:22:17.958000,-0.4,0.0,0.0
1970/01/01/07:22:18.009000,-0.425,0.0,0.0
1970/01/01/07:22:18.058000,-0.4505,0.0,0.0
