time,.x,.y,.theta
1970/01/01/07:20:16.964000,2.00004512737,-2.00004559992,-8.12741312943e-06
1970/01/01/07:20:17.013000,2.0000459465,-2.000045599,-8.10924263032e-06
1970/01/01/07:20:17.063000,2.00004676491,-2.00004559808,-8.09105730611e-06
1970/01/01/07:20:17.113000,2.00004758261,-2.00004559716,-8.07285750385e-06
1970/01/01/07:20:17.163000,2.0000483996,-2.00004559624,-8.05464334697e-06
1970/01/01/07:20:17.213000,2.00004921588,-2.00004559532,-8.03641491549e-06
1970/01/01/07:20:17.263000,2.00005003144,-2.00004559439,-8.01817228138e-06
1970/01/01/07:20:17.313000,2.00005084631,-2.00004559347,-7.99991551555e-06
1970/01/01/07:20:17.363000,2.00005166046,-2.00004559254,-7.98164468947e-06
1970/01/01/07:20:17.413000,2.00005222416,-2.00004559176,-7.963338376e-06
1970/01/01/07:20:17.463000,2.00005048957,-2.00004559105,-7.94480487041e-06
1970/01/01/07:20:17.513000,2.00004875434,-2.0000455903,-7.92632447418e-06
1970/01/01/07:20:17.563000,2.00004701845,-2.00004558955,-7.90783944872e-06
1970/01/01/07:20:17.613000,2.00004528191,-2.0000455888,-7.88934133802e-06
1970/01/01/07:20:17.663000,2.00004399426,-2.00004558782,-7.87086466229e-06
1970/01/01/07:20:17.713000,2.00004480375,-2.00004558693,-7.8525252113e-06
1970/01/01/07:20:17.763000,2.00004561254,-2.00004558601,-7.83414645247e-06
1970/01/01/07:20:17.813000,2.00004642062,-2.00004558508,-7.8157490729e-06
1970/01/01/07:20:17.863000,2.000047228,-2.00004558414,-7.79733723046e-06
1970/01/01/07:20:17.913000,2.00004803468,-2.0000455832,-7.77891184901e-06
1970/01/01/07:20:17.963000,2.00004884066,-2.00004558226,-7.76047317047e-06
1970/01/01/07:20:18.013000,2.00004964594,-2.00004558132,-7.74202129587e-06
1970/01/01/07:20:18.064000,2.00005045052,-2.00004558038,-7.72355629801e-06
1970/01/01/07:20:18.113000,2.00005125439,-2.00004557944,-7.70507824544e-06
1970/01/01/07:20:18.163000,2.00005205757,-2.0000455785,-7.68658720632e-06
1970/01/01/07:20:18.213000,2.00005181115,-2.00004557778,-7.66796941605e-06
1970/01/01/07:20:18.263000,2.00005006562,-2.00004557704,-7.64925169491e-06
1970/01/01/07:20:18.313000,2.00004831945,-2.00004557628,-7.63055735232e-06
1970/01/01/07:20:18.364000,2.00004657265,-2.00004557552,-7.61185510086e-06
1970/01/01/07:20:18.413000,2.0000448252,-2.00004557475,-7.59314014497e-06
1970/01/01/07:20:18.513000,2.00004437576,-2.00004557372,-7.57451787211e-06
1970/01/01/07:20:18.563000,2.00004517434,-2.0000455728,-7.55595253594e-06
1970/01/01/07:20:18.613000,2.00004597222,-2.00004557185,-7.53735955679e-06
1970/01/01/07:20:18.663000,2.00004676941,-2.0000455709,-7.5187509893e-06
1970/01/01/07:20:18.713000,2.00004756591,-2.00004556995,-7.50012941656e-06
1970/01/01/07:20:18.763000,2.00004836171,-2.000045569,-7.48149550823e-06
1970/01/01/07:20:18.813000,2.00004915683,-2.00004556804,-7.46284944244e-06
1970/01/01/07:20:18.863000,2.00004995125,-2.00004556709,-7.44419126803e-06
1970/01/01/07:20:18.913000,2.00005074498,-2.00004556614,-7.42552103824e-06
1970/01/01/07:20:18.966000,2.00005153802,-2.00004556518,-7.40683881306e-06
1970/01/01/07:20:19.013000,2.00005233037,-2.00004556422,-7.38814465522e-06
1970/01/01/07:20:19.064000,2.00005127397,-2.00004556356,-7.36925049747e-06
1970/01/01/07:20:19.113000,2.00004951765,-2.00004556279,-7.3503487686e-06
1970/01/01/07:20:19.164000,2.00004776069,-2.00004556202,-7.33145510041e-06
1970/01/01/07:20:19.213000,2.00004600311,-2.00004556125,-7.31255207574e-06
1970/01/01/07:20:19.263000,2.0000442449,-2.00004556047,-7.29363697648e-06
1970/01/01/07:20:19.313000,2.00004463381,-2.00004555937,-7.27488000358e-06
1970/01/01/07:20:19.363000,2.00004542162,-2.00004555842,-7.25611098482e-06
1970/01/01/07:20:19.413000,2.00004620874,-2.00004555746,-7.23732119359e-06
1970/01/01/07:20:19.463000,2.00004699519,-2.0000455565,-7.21851808587e-06
1970/01/01/07:20:19.513000,2.00004778094,-2.00004555553,-7.19970350926e-06
1970/01/01/07:20:19.563000,2.00004856602,-2.00004555457,-7.18087773664e-06
1970/01/01/07:20:19.613000,2.00004935041,-2.0000455536,-7.16204080958e-06
1970/01/01/07:20:19.663000,2.00005013412,-2.00004555263,-7.14319276621e-06
1970/01/01/07:20:19.715000,2.00005091715,-2.00004555166,-7.12433365543e-06
1970/01/01/07:20:19.763000,2.0000516995,-2.00004555069,-7.10546353402e-06
1970/01/01/07:20:19.813000,2.00005238127,-2.00004554984,-7.08658134172e-06
1970/01/01/07:20:19.863000,2.00005061492,-2.00004554911,-7.06743708319e-06
1970/01/01/07:20:19.913000,2.00004884795,-2.00004554833,-7.04835890009e-06
1970/01/01/07:20:19.963000,2.00004708036,-2.00004554754,-7.02928079429e-06
1970/01/01/07:20:20.013000,2.00004531214,-2.00004554676,-7.01019290625e-06
1970/01/01/07:20:20.063000,2.00004394289,-2.00004554574,-6.99112559914e-06
1970/01/01/07:20:20.114000,2.00004472075,-2.0000455448,-6.97221193179e-06
1970/01/01/07:20:20.163000,2.00004549794,-2.00004554384,-6.95325811607e-06
1970/01/01/07:20:20.213000,2.00004627445,-2.00004554286,-6.93428792082e-06
1970/01/01/07:20:20.263000,2.00004705029,-2.00004554189,-6.9153064419e-06
1970/01/01/07:20:20.313000,2.00004782545,-2.00004554091,-6.89631463252e-06
1970/01/01/07:20:20.363000,2.00004859994,-2.00004553993,-6.87731258823e-06
1970/01/01/07:20:20.413000,2.00004937375,-2.00004553895,-6.85830033641e-06
1970/01/01/07:20:20.463000,2.00005014689,-2.00004553796,-6.83927791337e-06
1970/01/01/07:20:20.513000,2.00005091936,-2.00004553698,-6.82024536758e-06
1970/01/01/07:20:20.563000,2.00005169115,-2.000045536,-6.80120275434e-06
1970/01/01/07:20:20.613000,2.00005161316,-2.00004553523,-6.78205499596e-06
1970/01/01/07:20:20.663000,2.0000498363,-2.00004553445,-6.76277700982e-06
1970/01/01/07:20:20.713000,2.00004805882,-2.00004553366,-6.74353299851e-06
1970/01/01/07:20:20.763000,2.00004628072,-2.00004553286,-6.72428517496e-06
1970/01/01/07:20:20.813000,2.00004555092,-2.0000455318,-6.70511757781e-06
1970/01/01/07:20:20.863000,2.00004631891,-2.00004553084,-6.68603564409e-06
1970/01/01/07:20:20.913000,2.00004708623,-2.00004552986,-6.66692467556e-06
1970/01/01/07:20:20.964000,2.00004785288,-2.00004552888,-6.64780022979e-06
1970/01/01/07:20:21.063000,2.00004861887,-2.00004552789,-6.6286659084e-06
1970/01/01/07:20:21.115000,2.00004938419,-2.0000455269,-6.60952215702e-06
1970/01/01/07:20:21.163000,2.00005014884,-2.00004552591,-6.59036903112e-06
1970/01/01/07:20:21.212000,2.00005091283,-2.00004552491,-6.57120655405e-06
1970/01/01/07:20:21.263000,2.00005167615,-2.00004552392,-6.55203476211e-06
1970/01/01/07:20:21.313000,2.00005243881,-2.00004552293,-6.532853703e-06
1970/01/01/07:20:21.363000,2.00005160248,-2.00004552222,-6.51349283961e-06
1970/01/01/07:20:21.413000,2.0000498165,-2.00004552142,-6.49409889332e-06
1970/01/01/07:20:21.463000,2.00004802993,-2.00004552062,-6.47472069705e-06
