time,.x,.y,.theta
1970/01/01/07:20:16.964000,0.0,0.0,0.0
1970/01/01/07:20:17.063000,0.0,0.0,0.0
1970/01/01/07:20:17.113000,0.0,0.0,0.0
1970/01/01/07:20:17.213000,0.0,0.0,0.0
1970/01/01/07:20:17.265000,0.0,0.0,0.0
1970/01/01/07:20:17.363000,0.0,0.0,0.0
1970/01/01/07:20:17.414000,0.0,0.0,0.0
1970/01/01/07:20:17.463000,0.0,0.0,0.0
1970/01/01/07:20:17.513000,0.0,0.0,0.0
1970/01/01/07:20:17.563000,0.0,0.0,0.0
1970/01/01/07:20:17.613000,0.0,0.0,0.0
1970/01/01/07:20:17.713000,0.0,0.0,0.0
1970/01/01/07:20:17.813000,0.0,0.0,0.0
1970/01/01/07:20:17.913000,0.0,0.0,0.0
1970/01/01/07:20:17.963000,0.0,0.0,0.0
1970/01/01/07:20:18.063000,0.0,0.0,0.0
1970/01/01/07:20:18.163000,0.0,0.0,0.0
1970/01/01/07:20:18.213000,0.0,0.0,0.0
1970/01/01/07:20:18.313000,0.0,0.0,0.0
1970/01/01/07:20:18.413000,0.0,0.0,0.0
1970/01/01/07:20:18.463000,0.0,0.0,0.0
1970/01/01/07:20:18.513000,0.0,0.0,0.0
1970/01/01/07:20:18.563000,0.0,0.0,0.0
1970/01/01/07:20:18.613000,0.0,0.0,0.0
1970/01/01/07:20:18.663000,0.0,0.0,0.0
1970/01/01/07:20:18.763000,0.0,0.0,0.0
1970/01/01/07:20:18.813000,0.0,0.0,0.0
1970/01/01/07:20:18.913000,0.0,0.0,0.0
1970/01/01/07:20:18.963000,0.0,0.0,0.0
1970/01/01/07:20:19.013000,0.0,0.0,0.0
1970/01/01/07:20:19.063000,0.0,0.0,0.0
1970/01/01/07:20:19.113000,0.0,0.0,0.0
1970/01/01/07:20:19.163000,0.0,0.0,0.0
1970/01/01/07:20:19.213000,0.0,0.0,0.0
1970/01/01/07:20:19.263000,0.0,0.0,0.0
1970/01/01/07:20:19.313000,0.0,0.0,0.0
1970/01/01/07:20:19.363000,0.0,0.0,0.0
1970/01/01/07:20:19.463000,0.0,0.0,0.0
1970/01/01/07:20:19.513000,0.0,0.0,0.0
1970/01/01/07:20:19.563000,0.0,0.0,0.0
1970/01/01/07:20:19.663000,0.0,0.0,0.0
1970/01/01/07:20:19.763000,0.0,0.0,0.0
1970/01/01/07:20:19.813000,0.0,0.0,0.0
1970/01/01/07:20:19.913000,0.0,0.0,0.0
1970/01/01/07:20:19.963000,0.0,0.0,0.0
1970/01/01/07:20:20.063000,0.0,0.0,0.0
1970/01/01/07:20:20.162000,0.0,0.0,0.0
1970/01/01/07:20:20.213000,0.0,0.0,0.0
1970/01/01/07:20:20.263000,0.0,0.0,0.0
1970/01/01/07:20:20.364000,0.0,0.0,0.0
1970/01/01/07:20:20.463000,0.0,0.0,0.0
1970/01/01/07:20:20.513000,0.0,0.0,0.0
1970/01/01/07:20:20.563000,0.0,0.0,0.0
1970/01/01/07:20:20.613000,0.0,0.0,0.0
1970/01/01/07:20:20.663000,0.0,0.0,0.0
1970/01/01/07:20:20.713000,0.0,0.0,0.0
1970/01/01/07:20:20.764000,0.0,0.0,0.0
1970/01/01/07:20:20.813000,0.0,0.0,0.0
1970/01/01/07:20:20.863000,0.0,0.0,0.0
1970/01/01/07:20:20.963000,0.0,0.0,0.0
1970/01/01/07:20:21.013000,0.0,0.0,0.0
1970/01/01/07:20:21.063000,0.0,0.0,0.0
1970/01/01/07:20:21.163000,0.0,0.0,0.0
1970/01/01/07:20:21.263000,0.0,0.0,0.0
1970/01/01/07:20:21.313000,0.0,0.0,0.0
1970/01/01/07:20:21.363000,0.0,0.0,0.0
1970/01/01/07:20:21.463000,0.0,0.0,0.0
1970/01/01/07:20:21.563000,0.0,0.0,0.0
1970/01/01/07:20:21.613000,0.0,0.0,0.0
1970/01/01/07:20:21.663000,0.0,0.0,0.0
1970/01/01/07:20:21.763000,0.0,0.0,0.0
1970/01/01/07:20:21.813000,0.0,0.0,0.0
1970/01/01/07:20:21.863000,0.0,0.0,0.0
1970/01/01/07:20:21.914000,0.0,0.0,0.0
1970/01/01/07:20:21.963000,0.0,0.0,0.0
1970/01/01/07:20:22.013000,0.0,0.0,0.0
1970/01/01/07:20:22.064000,0.0,0.0,0.0
1970/01/01/07:20:22.163000,0.0,0.0,0.0
1970/01/01/07:20:22.264000,0.0,0.0,0.0
1970/01/01/07:20:22.363000,0.0,0.0,0.0
1970/01/01/07:20:22.413000,0.0,0.0,0.0
1970/01/01/07:20:22.465000,0.0,0.0,0.0
1970/01/01/07:20:22.513000,0.0,0.0,0.0
1970/01/01/07:20:22.613000,0.0,0.0,0.0
1970/01/01/07:20:22.663000,0.0,0.0,0.0
1970/01/01/07:20:22.713000,0.0,0.0,0.0
1970/01/01/07:20:22.813000,0.0,0.0,0.0
1970/01/01/07:20:22.863000,0.0,0.0,0.0
1970/01/01/07:20:22.913000,0.0,0.0,0.0
1970/01/01/07:20:22.963000,0.0,0.0,0.0
1970/01/01/07:20:23.013000,0.025,0.0,0.0
1970/01/01/07:20:23.062000,0.075,0.0,0.0
1970/01/01/07:20:23.163000,0.125,0.0,0.0
1970/01/01/07:20:23.263000,0.15,0.0,0.0
1970/01/01/07:20:23.313000,0.2,0.0,0.0
1970/01/01/07:20:23.363000,0.225,0.0,0.0
1970/01/01/07:20:23.463000,0.275,0.0,0.0
1970/01/01/07:20:23.513000,0.3,0.0,0.0
1970/01/01/07:20:23.563000,0.325,0.0,0.0
1970/01/01/07:20:23.665000,0.35,0.0,0.0
1970/01/01/07:20:23.713000,0.375,0.0,0.0
1970/01/01/07:20:23.763000,0.4,0.0,0.0
1970/01/01/07:20:23.814000,0.45,0.0,0.0
1970/01/01/07:20:23.863000,0.475,0.0,0.0
1970/01/01/07:20:23.963000,0.525,0.0,0.0
1970/01/01/07:20:24.063000,0.55,0.0,0.0
1970/01/01/07:20:24.113000,0.6,0.0,0.0
1970/01/01/07:20:24.213000,0.65,0.0,0.0
1970/01/01/07:20:24.313000,0.7,0.0,0.0
1970/01/01/07:20:24.363000,0.725,0.0,0.0
1970/01/01/07:20:24.413000,0.75,0.0,0.0
1970/01/01/07:20:24.463000,0.775,0.0,0.0
1970/01/01/07:20:24.563000,0.8,0.0,0.0
1970/01/01/07:20:24.613000,0.825,0.0,0.0
1970/01/01/07:20:24.663000,0.875,0.0,0.0
1970/01/01/07:20:24.763000,0.9,0.0,0.0
1970/01/01/07:20:24.813000,0.95,0.0,0.0
1970/01/01/07:20:24.913000,0.975,0.0,0.0
