time,.x,.y,.theta
1970/01/01/07:20:00.613000,-2.00610336294,2.01510092927,-1.05527841761e-05
1970/01/01/07:20:00.663000,-2.00593609869,2.01468375027,-1.05591738603e-05
1970/01/01/07:20:00.713000,-2.00577123156,2.01427137159,-1.0565605588e-05
1970/01/01/07:20:00.763000,-2.00561036279,2.01387089291,-1.05720597604e-05
1970/01/01/07:20:00.812000,-2.00545344552,2.01348206403,-1.05786370169e-05
1970/01/01/07:20:00.863000,-2.00530172859,2.0131036367,-1.05851495179e-05
1970/01/01/07:20:00.913000,-2.00515375995,2.01273560705,-1.0591750035e-05
1970/01/01/07:20:00.963000,-2.00500989,2.01237797615,-1.05983493058e-05
1970/01/01/07:20:01.013000,-2.00486966824,2.01203074643,-1.06050308904e-05
1970/01/01/07:20:01.063000,-2.00473364536,2.01169391802,-1.06117326152e-05
1970/01/01/07:20:01.114000,-2.00460117454,2.01136748695,-1.06184839719e-05
1970/01/01/07:20:01.163000,-2.00447290099,2.01104960657,-1.06252935119e-05
1970/01/01/07:20:01.213000,-2.00434817732,2.01074142432,-1.06321175624e-05
1970/01/01/07:20:01.263000,-2.00422785481,2.01044184321,-1.06390192114e-05
1970/01/01/07:20:01.314000,-2.00411088003,2.01015006166,-1.06459360423e-05
1970/01/01/07:20:01.363000,-2.00399655665,2.00986818045,-1.06528858126e-05
1970/01/01/07:20:01.413000,-2.00388672943,2.00959454781,-1.06598895982e-05
1970/01/01/07:20:01.463000,-2.00378010315,2.00932871288,-1.06669443002e-05
1970/01/01/07:20:01.513000,-2.00367607494,2.00906862781,-1.06740147718e-05
1970/01/01/07:20:01.563000,-2.00357464852,2.00881584095,-1.06811386621e-05
1970/01/01/07:20:01.613000,-2.0034758199,2.008570857,-1.06882770257e-05
1970/01/01/07:20:01.663000,-2.00337959332,2.00833367162,-1.06955034716e-05
1970/01/01/07:20:01.714000,-2.00328596436,2.00810203634,-1.07027340106e-05
1970/01/01/07:20:01.763000,-2.0031949877,2.00787804907,-1.07099968752e-05
1970/01/01/07:20:01.813000,-2.00310655838,2.0076593619,-1.0717324592e-05
1970/01/01/07:20:01.863000,-2.00302072579,2.00744827267,-1.07246873344e-05
1970/01/01/07:20:01.913000,-2.00293744576,2.0072424337,-1.07320645903e-05
1970/01/01/07:20:01.963000,-2.00285681282,2.00704189509,-1.07395033945e-05
1970/01/01/07:20:02.013000,-2.00277878259,2.00684660679,-1.07469981875e-05
1970/01/01/07:20:02.064000,-2.00270344953,2.00665921639,-1.07545067382e-05
1970/01/01/07:20:02.113000,-2.00263051912,2.00647692629,-1.07620936113e-05
1970/01/01/07:20:02.163000,-2.00255778799,2.00629983663,-1.07696971121e-05
1970/01/01/07:20:02.212000,-2.00248770362,2.00612774694,-1.0777345864e-05
1970/01/01/07:20:02.263000,-2.00242016683,2.00595850455,-1.07850326569e-05
1970/01/01/07:20:02.313000,-2.0023548825,2.00579436255,-1.07927593948e-05
1970/01/01/07:20:02.363000,-2.00228999722,2.00563552092,-1.08005234647e-05
1970/01/01/07:20:02.412000,-2.00222770978,2.00548142907,-1.08083372257e-05
1970/01/01/07:20:02.463000,-2.00216752471,2.0053304348,-1.08161652126e-05
1970/01/01/07:20:02.513000,-2.00210788848,2.00518464084,-1.08240480256e-05
1970/01/01/07:20:02.563000,-2.00205085045,2.00504344644,-1.08319881756e-05
1970/01/01/07:20:02.613000,-2.00199576454,2.00490539979,-1.08399472462e-05
1970/01/01/07:20:02.663000,-2.00194132743,2.00477190419,-1.08479413405e-05
1970/01/01/07:20:02.713000,-2.00188878783,2.00464180914,-1.08559862497e-05
1970/01/01/07:20:02.763000,-2.00183704689,2.00451611099,-1.08640626468e-05
1970/01/01/07:20:02.813000,-2.0017878547,2.00439296391,-1.08721819563e-05
1970/01/01/07:20:02.863000,-2.00174041435,2.00427336484,-1.08803468001e-05
1970/01/01/07:20:02.963000,-2.00169397242,2.00415806717,-1.08885545535e-05
1970/01/01/07:20:03.013000,-2.00164907839,2.00404527014,-1.08968094076e-05
1970/01/01/07:20:03.063000,-2.00160518522,2.00393506999,-1.09050920262e-05
1970/01/01/07:20:03.113000,-2.00156284371,2.00382746912,-1.09134505592e-05
1970/01/01/07:20:03.163000,-2.00152170046,2.0037237702,-1.0921850954e-05
1970/01/01/07:20:03.213000,-2.00148190537,2.00362277126,-1.09302899787e-05
1970/01/01/07:20:03.263000,-2.00144210974,2.00352297066,-1.09387367383e-05
1970/01/01/07:20:03.312000,-2.0014023136,2.00342582001,-1.09471823523e-05
1970/01/01/07:20:03.363000,-2.00136386868,2.00333126919,-1.09556573606e-05
1970/01/01/07:20:03.413000,-2.0013266249,2.00323931867,-1.09641166496e-05
1970/01/01/07:20:03.463000,-2.00129082905,2.00314996777,-1.0972587139e-05
1970/01/01/07:20:03.513000,-2.00125613144,2.00306321382,-1.09810540497e-05
1970/01/01/07:20:03.563000,-2.00122143315,2.00297906049,-1.09895180559e-05
1970/01/01/07:20:03.613000,-2.00118833245,2.00289750653,-1.09979752131e-05
1970/01/01/07:20:03.663000,-2.00115618002,2.00281690127,-1.10064284441e-05
1970/01/01/07:20:03.713000,-2.00112402683,2.00273799798,-1.10148840269e-05
1970/01/01/07:20:03.763000,-2.00109357515,2.00266164378,-1.10233497258e-05
1970/01/01/07:20:03.813000,-2.00106397378,2.0025879409,-1.10318139384e-05
1970/01/01/07:20:03.863000,-2.00103437161,2.00251683684,-1.10402902545e-05
1970/01/01/07:20:03.913000,-2.00100661666,2.00244827991,-1.1048777261e-05
1970/01/01/07:20:03.962000,-2.00097956013,2.00238042203,-1.105728117e-05
1970/01/01/07:20:04.013000,-2.00095250276,2.00231456665,-1.10657959337e-05
1970/01/01/07:20:04.063000,-2.00092749725,2.00225130971,-1.10743258745e-05
1970/01/01/07:20:04.113000,-2.00090299149,2.00219065491,-1.10828859163e-05
1970/01/01/07:20:04.163000,-2.00087848486,2.00213045055,-1.10914627154e-05
