time,.x,.y,.theta
1970/01/01/07:20:00.606000,0.0,0.0,0.0
1970/01/01/07:20:00.656000,0.0,0.0,0.0
1970/01/01/07:20:00.706000,0.0,0.0,0.0
1970/01/01/07:20:00.756000,0.0,0.0,0.0
1970/01/01/07:20:00.806000,0.0,0.0,0.0
1970/01/01/07:20:00.857000,0.0,0.0,0.0
1970/01/01/07:20:00.906000,0.0,0.0,0.0
1970/01/01/07:20:00.956000,0.0,0.0,0.0
1970/01/01/07:20:01.007000,0.0,0.0,0.0
1970/01/01/07:20:01.057000,0.0,0.0,0.0
1970/01/01/07:20:01.106000,0.0,0.0,0.0
1970/01/01/07:20:01.156000,0.0,0.0,0.0
1970/01/01/07:20:01.206000,0.0,0.0,0.0
1970/01/01/07:20:01.256000,0.0,0.0,0.0
1970/01/01/07:20:01.306000,0.0,0.0,0.0
1970/01/01/07:20:01.356000,0.0,0.0,0.0
1970/01/01/07:20:01.406000,0.0,0.0,0.0
1970/01/01/07:20:01.456000,0.0,0.0,0.0
1970/01/01/07:20:01.507000,0.0,0.0,0.0
1970/01/01/07:20:01.556000,0.0,0.0,0.0
1970/01/01/07:20:01.607000,0.0,0.0,0.0
1970/01/01/07:20:01.656000,0.0,0.0,0.0
1970/01/01/07:20:01.706000,0.0,0.0,0.0
1970/01/01/07:20:01.756000,0.0,0.0,0.0
1970/01/01/07:20:01.806000,0.0,0.0,0.0
1970/01/01/07:20:01.856000,0.0,0.0,0.0
1970/01/01/07:20:01.907000,0.0,0.0,0.0
1970/01/01/07:20:01.956000,0.0,0.0,0.0
1970/01/01/07:20:02.006000,0.0,0.0,0.0
1970/01/01/07:20:02.056000,0.0,0.0,0.0
1970/01/01/07:20:02.107000,0.0,0.0,0.0
1970/01/01/07:20:02.156000,0.0,0.0,0.0
1970/01/01/07:20:02.206000,0.0,0.0,0.0
1970/01/01/07:20:02.256000,0.0,0.0,0.0
1970/01/01/07:20:02.306000,0.0,0.0,0.0
1970/01/01/07:20:02.357000,0.0,0.0,0.0
1970/01/01/07:20:02.406000,0.0,0.0,0.0
1970/01/01/07:20:02.456000,0.0,0.0,0.0
1970/01/01/07:20:02.506000,0.0,0.0,0.0
1970/01/01/07:20:02.556000,0.0,0.0,0.0
