rosbagTimestamp,layout,dim,data_offset,data
80664000000,,[],0,[-2.3667185306549072]
80665000000,,[],0,"[1.1227368116378784, -2.3667185306549072]"
80674000000,,[],0,"[1.1149133443832397, -2.3502891063690186]"
80684000000,,[],0,"[1.1071455478668213, -2.336690902709961]"
80694000000,,[],0,"[1.0873860120773315, -2.3339712619781494]"
80704000000,,[],0,"[1.0854099988937378, -2.285259246826172]"
80714000000,,[],0,"[1.0624452829360962, -2.2368929386138916]"
80724000000,,[],0,"[1.0396655797958374, -2.188728094100952]"
80734000000,,[],0,"[1.0171488523483276, -2.1410083770751953]"
80744000000,,[],0,"[0.9948151707649231, -2.0940730571746826]"
80754000000,,[],0,"[0.9728803634643555, -2.047980546951294]"
80764000000,,[],0,"[0.9513735771179199, -2.0027847290039062]"
80774000000,,[],0,"[0.9302583336830139, -1.9584194421768188]"
80784000000,,[],0,"[0.909497082233429, -1.9147933721542358]"
80795000000,,[],0,"[0.8891471028327942, -1.8759713172912598]"
80804000000,,[],0,"[0.8691700100898743, -1.8720890283584595]"
80815000000,,[],0,"[0.8691700100898743, -1.8300458192825317]"
80825000000,,[],0,"[0.8495287895202637, -1.7888001203536987]"
80835000000,,[],0,"[0.8302937150001526, -1.7480461597442627]"
80844000000,,[],0,"[0.8112722635269165, -1.707637071609497]"
80854000000,,[],0,"[0.7924337983131409, -1.6680243015289307]"
80864000000,,[],0,"[0.7739138603210449, -1.6290757656097412]"
80874000000,,[],0,"[0.7557364106178284, -1.5908454656600952]"
80884000000,,[],0,"[0.7378875017166138, -1.5533233880996704]"
80894000000,,[],0,"[0.720367431640625, -1.519845962524414]"
80904000000,,[],0,"[0.703204333782196, -1.487022042274475]"
80914000000,,[],0,"[0.703204333782196, -1.4804716110229492]"
80925000000,,[],0,"[0.686365008354187, -1.4450569152832031]"
80935000000,,[],0,"[0.6698421239852905, -1.4102344512939453]"
80944000000,,[],0,"[0.6535646319389343, -1.3758280277252197]"
80955000000,,[],0,"[0.6373642086982727, -1.3417621850967407]"
80965000000,,[],0,"[0.6214956641197205, -1.308387041091919]"
80975000000,,[],0,"[0.6059195399284363, -1.275630235671997]"
80984000000,,[],0,"[0.5906099081039429, -1.243438482284546]"
80994000000,,[],0,"[0.5756205320358276, -1.2119123935699463]"
81004000000,,[],0,"[0.5609076023101807, -1.1809742450714111]"
81015000000,,[],0,"[0.5464538335800171, -1.1556843519210815]"
81025000000,,[],0,"[0.5335755348205566, -1.150626301765442]"
81035000000,,[],0,"[0.5322877168655396, -1.1208449602127075]"
81045000000,,[],0,"[0.5183929800987244, -1.091590166091919]"
81055000000,,[],0,"[0.5047364234924316, -1.0626816749572754]"
81064000000,,[],0,"[0.491258442401886, -1.0341064929962158]"
81074000000,,[],0,"[0.4779060184955597, -1.0060219764709473]"
81084000000,,[],0,"[0.46482712030410767, -0.9785205721855164]"
81094000000,,[],0,"[0.4519764184951782, -0.9515044093132019]"
81105000000,,[],0,"[0.439374715089798, -0.925004243850708]"
81114000000,,[],0,"[0.42703333497047424, -0.9014123678207397]"
81125000000,,[],0,"[0.4149171710014343, -0.8761449456214905]"
81135000000,,[],0,"[0.4041286110877991, -0.8735995292663574]"
81144000000,,[],0,"[0.4030497372150421, -0.8486250638961792]"
81154000000,,[],0,"[0.3914213180541992, -0.8240236639976501]"
81164000000,,[],0,"[0.3800022304058075, -0.7998083829879761]"
81174000000,,[],0,"[0.3687177896499634, -0.7758358120918274]"
81184000000,,[],0,"[0.3575648367404938, -0.7523664236068726]"
81194000000,,[],0,"[0.3466137647628784, -0.7293171286582947]"
81204000000,,[],0,"[0.33588728308677673, -0.7067590355873108]"
81215000000,,[],0,"[0.3253488838672638, -0.6846102476119995]"
81224000000,,[],0,"[0.31502529978752136, -0.6629012227058411]"
81234000000,,[],0,"[0.3049052059650421, -0.643608033657074]"
81245000000,,[],0,"[0.29589781165122986, -0.6416786909103394]"
81255000000,,[],0,"[0.29499709606170654, -0.6208449006080627]"
81265000000,,[],0,"[0.2852822542190552, -0.6004077792167664]"
81274000000,,[],0,"[0.27577412128448486, -0.5802279710769653]"
81285000000,,[],0,"[0.26636871695518494, -0.5602478384971619]"
81294000000,,[],0,"[0.2570732831954956, -0.5406927466392517]"
81305000000,,[],0,"[0.24795915186405182, -0.521523654460907]"
81315000000,,[],0,"[0.2390090376138687, -0.5027090311050415]"
81324000000,,[],0,"[0.23025090992450714, -0.4843006432056427]"
81335000000,,[],0,"[0.22166523337364197, -0.46788063645362854]"
81345000000,,[],0,"[0.21325621008872986, -0.4517553746700287]"
81354000000,,[],0,"[0.2057778537273407, -0.44853684306144714]"
81365000000,,[],0,"[0.20503002405166626, -0.4312438666820526]"
81375000000,,[],0,"[0.19696979224681854, -0.41420045495033264]"
81385000000,,[],0,"[0.1890549510717392, -0.39745771884918213]"
81395000000,,[],0,"[0.1812497079372406, -0.38089779019355774]"
81405000000,,[],0,"[0.1735253781080246, -0.36465123295783997]"
81415000000,,[],0,"[0.16597118973731995, -0.34875932335853577]"
81424000000,,[],0,"[0.15857191383838654, -0.3331908583641052]"
81435000000,,[],0,"[0.15131331980228424, -0.3179272711277008]"
81445000000,,[],0,"[0.1442185789346695, -0.30300822854042053]"
81455000000,,[],0,"[0.13726003468036652, -0.2897022068500519]"
81465000000,,[],0,"[0.13107803463935852, -0.28837162256240845]"
81475000000,,[],0,"[0.13045983016490936, -0.27407577633857727]"
81484000000,,[],0,"[0.12380325794219971, -0.2599932849407196]"
81496000000,,[],0,"[0.11728781461715698, -0.24614748358726501]"
81504000000,,[],0,"[0.11084578931331635, -0.23245279490947723]"
81514000000,,[],0,"[0.10448038578033447, -0.21904537081718445]"
81525000000,,[],0,"[0.09824337810277939, -0.20592160522937775]"
81535000000,,[],0,"[0.09214256703853607, -0.19310171902179718]"
81544000000,,[],0,"[0.0861637219786644, -0.18053525686264038]"
81554000000,,[],0,"[0.08031625300645828, -0.16824091970920563]"
81565000000,,[],0,"[0.32452863454818726, 0.09233585745096207]"
81575000000,,[],0,"[0.5693512558937073, 0.11839063465595245]"
81585000000,,[],0,"[0.5938318371772766, 0.4047090411186218]"
81594000000,,[],0,"[0.8626195192337036, 0.7147735357284546]"
81604000000,,[],0,"[1.1279773712158203, 0.9972415566444397]"
81614000000,,[],0,"[1.3901005983352661, 1.2529072761535645]"
81625000000,,[],0,"[1.6501495838165283, 1.5541198253631592]"
81635000000,,[],0,"[1.9061001539230347, 1.8017189502716064]"
81645000000,,[],0,"[2.1574008464813232, 2.0958333015441895]"
81655000000,,[],0,"[2.403780221939087, 2.3608829975128174]"
81665000000,,[],0,"[2.645850896835327, 2.5975093841552734]"
81674000000,,[],0,"[2.8836846351623535, 2.831655263900757]"
81685000000,,[],0,"[3.0961709022521973, 3.062584638595581]"
81694000000,,[],0,"[3.1174166202545166, 3.108691692352295]"
81705000000,,[],0,"[3.3474481105804443, 3.3590378761291504]"
81715000000,,[],0,"[3.573526382446289, 3.606292963027954]"
81731000000,,[],0,"[3.918023109436035, 3.9626286029815674]"
81735000000,,[],0,"[4.019198894500732, 4.096162796020508]"
81745000000,,[],0,"[4.237133979797363, 4.361556053161621]"
