rosbagTimestamp,layout,dim,data_offset,data
80664000000,,[],0,[0.11614175140857697]
80665000000,,[],0,"[-0.023398272693157196, 0.11614175140857697]"
80674000000,,[],0,"[-0.023060571402311325, 0.11455773562192917]"
80684000000,,[],0,"[-0.02272769808769226, 0.11325497925281525]"
80694000000,,[],0,"[-0.022165466099977493, 0.11299531906843185]"
80704000000,,[],0,"[-0.02210974507033825, 0.10987244546413422]"
80714000000,,[],0,"[-0.021477079018950462, 0.1068141832947731]"
80724000000,,[],0,"[-0.020858246833086014, 0.10380638390779495]"
80734000000,,[],0,"[-0.020254425704479218, 0.10086183995008469]"
80744000000,,[],0,"[-0.01966303586959839, 0.09800038486719131]"
80754000000,,[],0,"[-0.019089816138148308, 0.09522414952516556]"
80764000000,,[],0,"[-0.018535232171416283, 0.0925348773598671]"
80774000000,,[],0,"[-0.017997903749346733, 0.08992695808410645]"
80785000000,,[],0,"[-0.017476480454206467, 0.08739303052425385]"
80795000000,,[],0,"[-0.016972210258245468, 0.08516398072242737]"
80804000000,,[],0,"[-0.0164837297052145, 0.084943026304245]"
80815000000,,[],0,"[-0.0164837297052145, 0.08255968242883682]"
80825000000,,[],0,"[-0.016009768471121788, 0.08024958521127701]"
80835000000,,[],0,"[-0.015551777556538582, 0.07799302041530609]"
80844000000,,[],0,"[-0.01510451640933752, 0.07578194886445999]"
80854000000,,[],0,"[-0.014667419716715813, 0.07364127784967422]"
80864000000,,[],0,"[-0.014243494719266891, 0.07156211882829666]"
80874000000,,[],0,"[-0.013833079487085342, 0.06954643875360489]"
80884000000,,[],0,"[-0.013435526750981808, 0.06759249418973923]"
80894000000,,[],0,"[-0.01305061113089323, 0.0658692792057991]"
80904000000,,[],0,"[-0.01267875637859106, 0.06419900804758072]"
80914000000,,[],0,"[-0.01267875637859106, 0.06386878341436386]"
80925000000,,[],0,"[-0.012318924069404602, 0.06209210678935051]"
80935000000,,[],0,"[-0.01197069976478815, 0.06036645919084549]"
80944000000,,[],0,"[-0.011632244102656841, 0.058681584894657135]"
80955000000,,[],0,"[-0.01129977311939001, 0.05703365430235863]"
80965000000,,[],0,"[-0.010978727601468563, 0.05543956905603409]"
80975000000,,[],0,"[-0.010668004862964153, 0.053894612938165665]"
80984000000,,[],0,"[-0.010366864502429962, 0.05239526927471161]"
80994000000,,[],0,"[-0.01007622480392456, 0.05094553530216217]"
81004000000,,[],0,"[-0.009794957004487514, 0.049540676176548004]"
81015000000,,[],0,"[-0.009522536769509315, 0.04840496927499771]"
81025000000,,[],0,"[-0.009283028542995453, 0.048179928213357925]"
81035000000,,[],0,"[-0.009259329177439213, 0.046861324459314346]"
81045000000,,[],0,"[-0.00900482852011919, 0.04558223485946655]"
81055000000,,[],0,"[-0.008758223615586758, 0.04433392360806465]"
81064000000,,[],0,"[-0.0085182785987854, 0.04311538115143776]"
81074000000,,[],0,"[-0.008283915929496288, 0.04193301871418953]"
81084000000,,[],0,"[-0.00805770792067051, 0.04079007729887962]"
81094000000,,[],0,"[-0.007838676683604717, 0.03968162462115288]"
81105000000,,[],0,"[-0.007627031300216913, 0.03860827907919884]"
81114000000,,[],0,"[-0.007422804832458496, 0.03766418620944023]"
81125000000,,[],0,"[-0.00722523033618927, 0.03666556999087334]"
81135000000,,[],0,"[-0.007051724940538406, 0.036565959453582764]"
81144000000,,[],0,"[-0.0070345643907785416, 0.035592783242464066]"
81154000000,,[],0,"[-0.006850463803857565, 0.034646641463041306]"
81164000000,,[],0,"[-0.006672353949397802, 0.0337272547185421]"
81174000000,,[],0,"[-0.006498987786471844, 0.032828573137521744]"
81184000000,,[],0,"[-0.00633013853803277, 0.03196021914482117]"
81194000000,,[],0,"[-0.006166834384202957, 0.031118489801883698]"
81204000000,,[],0,"[-0.006009310949593782, 0.0303054079413414]"
81215000000,,[],0,"[-0.005856907460838556, 0.029517441987991333]"
81224000000,,[],0,"[-0.005709855351597071, 0.02875513583421707]"
81234000000,,[],0,"[-0.005567891988903284, 0.02808588743209839]"
81245000000,,[],0,"[-0.005443338304758072, 0.028019610792398453]"
81255000000,,[],0,"[-0.005431025288999081, 0.027306880801916122]"
81265000000,,[],0,"[-0.005298876203596592, 0.02661682851612568]"
81274000000,,[],0,"[-0.005171489901840687, 0.025944646447896957]"
81285000000,,[],0,"[-0.005047500599175692, 0.025287669152021408]"
81294000000,,[],0,"[-0.0049268160946667194, 0.024653133004903793]"
81305000000,,[],0,"[-0.004810343496501446, 0.02403932437300682]"
81315000000,,[],0,"[-0.004697773139923811, 0.02344479411840439]"
81324000000,,[],0,"[-0.004589347168803215, 0.022870738059282303]"
81335000000,,[],0,"[-0.004484680946916342, 0.022364918142557144]"
81345000000,,[],0,"[-0.004383760038763285, 0.021874159574508667]"
81354000000,,[],0,"[-0.004295313730835915, 0.0217771977186203]"
81365000000,,[],0,"[-0.004286573734134436, 0.021258754655718803]"
81375000000,,[],0,"[-0.004192842170596123, 0.020755019038915634]"
81385000000,,[],0,"[-0.004102275241166353, 0.020266233012080193]"
81395000000,,[],0,"[-0.0040144966915249825, 0.019789474084973335]"
81405000000,,[],0,"[-0.00392899801954627, 0.019327925518155098]"
81415000000,,[],0,"[-0.0038467172998934984, 0.01888240873813629]"
